right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.025,0,9.3912,-0.4134,-10.3932,0.0281,-0.28,0.0392,89,0.152,2,3.6956,1.3,-16.8661,0.1986,-1.2147,-0.338,51
0.077,1,8.9104,-0.3999,-10.844,0.0073,-0.6093,0.1033,89,0.203,3,0.7504,2.3973,-16.2492,0.1255,-1.1812,-0.2142,51
0.128,2,9.1372,-0.2871,-11.7984,0.0788,-0.7741,0.121,89,0.255,4,-0.598,2.7435,-15.3258,-0.0333,-1.2338,0.1378,51
0.18,3,8.9285,-0.1196,-12.3079,0.1043,-1.0955,0.1713,89,0.307,5,0.6311,2.3146,-14.2507,-0.3173,-1.4641,0.3887,51
0.232,4,8.6845,-0.0889,-13.2093,0.0018,-1.3513,0.2068,89,0.359,6,4.3122,1.0357,-13.3079,-0.3578,-1.331,0.1573,51
0.284,5,9.2842,-0.3607,-14.2261,0.0367,-0.7417,0.0967,89,0.411,7,3.8041,2.2045,-14.75,-0.8835,-0.335,-0.1975,51
0.336,6,12.0417,-0.6797,-17.139,-0.2008,-0.2521,-0.4693,89,0.463,8,3.3782,3.3058,-18.7464,0.0299,0.4405,0.056,51
0.387,7,13.4653,-2.706,-14.0606,0.1208,-0.8574,-0.6563,89,0.514,9,4.4591,4.3899,-21.6632,-0.6516,0.7478,0.2636,51
0.439,8,7.9872,-0.8934,-7.678,-0.4375,0.0122,-0.3052,89,0.566,10,2.8441,5.8396,-23.3003,0.1991,0.1012,-0.1652,51
0.491,9,9.3603,-1.5003,-12.6404,-0.2137,0.6872,0.4326,89,0.618,11,-1.3592,5.2738,-19.9557,0.5154,-0.5929,-0.4401,51
0.543,10,3.4816,1.0542,-17.2304,0.5206,1.0832,0.2812,89,0.67,12,-1.8587,3.8629,-15.3729,0.3659,-1.0995,-0.2605,51
0.595,11,-2.7831,3.2926,-11.9612,-0.0366,0.3652,0.642,89,0.722,13,0.2502,2.364,-11.8543,0.0524,-1.4089,-0.0777,51
0.646,12,1.2968,2.1016,-13.022,0.0257,-0.4069,0.5521,89,0.773,14,3.5112,1.6647,-10.3147,-0.0089,-0.8317,0.1129,51
0.698,13,4.3894,1.4959,-13.1671,-0.0881,-0.1101,0.1745,89,0.825,15,3.2155,1.212,-12.7442,-0.3612,0.078,0.5642,51
0.75,14,8.4693,2.8451,-9.7999,-0.0538,-0.4282,-0.1584,89,0.877,16,3.8709,3.7214,-17.2825,-0.5681,0.7419,0.8228,51
0.802,15,11.2062,1.8443,-8.0963,-0.2834,-0.9859,-0.3523,89,0.929,17,3.2622,5.9748,-20.5947,-0.3224,0.6196,0.415,51
0.854,16,8.5236,1.0063,-3.325,-0.1191,-0.1675,0.0806,89,0.98,18,2.2183,6.0241,-20.0209,0.0237,-0.1083,-0.1255,51
0.905,17,9.4376,1.1663,-7.4758,-0.7621,0.5561,0.6413,89,1.032,19,-0.2564,4.1753,-17.6697,-0.2569,-0.7459,-0.0063,51
0.957,18,4.3616,0.0642,-13.461,0.0382,1.0841,0.6245,89,1.084,20,-0.8497,1.8124,-15.6386,0.1153,-1.2111,0.4367,51
1.009,19,-2.1409,-5.1902,-17.148,-0.5712,0.1178,1.1316,89,1.136,21,2.0549,-0.9083,-14.9972,-0.4029,-1.5103,0.8072,51
1.061,20,1.1395,-4.3348,-17.371,-0.4341,-0.5236,1.0,89,1.188,22,2.7528,-1.1003,-13.4407,-0.0606,-0.9866,0.4447,51
1.113,21,5.7963,-2.4901,-15.3096,-0.5897,-0.5816,0.6015,89,1.239,23,4.5231,1.0337,-15.9551,-0.1656,-0.0351,0.5116,51
1.165,22,5.7001,-5.3003,-11.9772,-1.1056,-0.1717,0.5137,89,1.291,24,4.8585,3.4715,-19.6259,-0.5396,0.6594,0.6526,51
1.216,23,5.4764,-8.4981,-10.4477,-1.4821,-0.6609,0.99,89,1.343,25,3.5014,5.3657,-22.3051,-0.0316,0.1721,0.1506,51
1.268,24,7.498,-7.6086,-5.0411,-1.357,0.1919,1.4003,89,1.395,26,-0.2296,4.8084,-20.5794,0.4444,-0.5412,-0.4459,51
1.32,25,8.7313,-2.25,-11.6841,-0.3138,0.8184,1.201,89,1.447,27,-0.9954,4.6833,-16.2829,0.5374,-1.0618,-0.4389,51
1.372,26,11.5409,3.7097,-6.4327,0.1212,0.2158,0.5338,89,1.498,28,1.6042,3.0542,-12.5362,0.353,-1.4417,-0.1999,51
1.423,27,13.3524,5.8135,-8.592,0.508,-0.5068,0.2251,89,1.55,29,5.3387,1.6149,-10.5684,0.5457,-0.8451,0.3006,51
1.475,28,13.7193,4.634,-10.0066,0.051,-0.416,-0.3506,89,1.602,30,6.9398,1.1191,-11.581,0.3579,0.0682,0.7737,51
1.527,29,15.2787,5.7099,-9.111,0.3667,-0.7479,-0.5585,89,1.654,31,8.3921,4.0591,-16.4335,-0.1942,0.7347,1.245,51
1.579,30,12.9055,1.2527,-7.8123,-0.0836,-1.1287,-0.831,89,1.706,32,7.4758,7.3837,-19.9751,-0.0329,1.0996,1.1177,51
1.631,31,14.6848,-2.4071,-3.1177,0.4996,-1.1064,-0.4282,89,1.758,33,4.9333,7.2322,-21.3152,0.1483,0.3087,0.4935,51
1.682,32,11.1449,-4.0143,-3.2022,-0.3046,-0.1291,0.3652,89,1.809,34,1.4577,5.9335,-18.6425,0.1259,-0.4415,-0.0147,51
1.734,33,12.1342,-2.7936,-10.342,0.4381,0.5841,0.8851,89,1.861,35,0.9724,4.4389,-15.1053,-0.3115,-0.989,-0.1197,51
1.786,34,14.1219,3.313,-4.964,0.021,-0.2435,0.2902,89,1.913,36,1.4417,2.2571,-12.3589,-0.29,-1.1946,-0.1579,51
1.838,35,15.5725,5.1662,-8.5605,0.5307,-0.8511,0.0142,89,1.965,37,4.1496,0.0741,-11.3805,-0.4631,-0.8774,0.0245,51
1.89,36,16.4687,2.6976,-10.6887,-0.1371,-0.4499,-0.4804,89,2.016,38,0.1346,5.3463,-12.6886,-0.8116,0.0446,0.3599,51
1.941,37,17.2853,1.9159,-7.6281,-0.7473,-0.0334,-0.3203,89,2.068,39,1.4401,8.4306,-17.2419,0.0824,0.7175,0.4233,51
1.993,38,15.191,-0.134,-4.7692,-1.1899,-0.6978,-0.0868,89,2.12,40,2.5488,9.0603,-20.5651,0.6459,1.095,0.0098,51
2.045,39,6.2944,-3.1945,-1.0186,-1.5437,0.1691,0.6144,89,2.172,41,1.4684,8.4056,-21.0354,0.8858,0.6347,-0.3527,51
2.097,40,8.5796,-2.2626,-8.0786,-0.4501,0.8018,1.1261,89,2.224,42,-0.6664,7.4845,-19.7177,0.6251,-0.0546,-0.1983,51
2.149,41,5.515,2.7889,-13.901,0.348,0.693,1.1028,89,2.275,43,-1.8608,6.0198,-17.4654,0.2147,-0.7066,0.1187,51
2.2,42,7.442,7.3874,-7.5615,0.0205,0.7876,1.1447,89,2.327,44,0.4299,5.457,-14.3967,-0.0947,-0.9879,0.0572,51
2.252,43,9.1439,9.8886,-9.3373,0.3297,0.2393,0.3979,89,2.379,45,5.2538,3.9507,-11.8128,-0.2372,-0.8466,-0.5957,51
2.304,44,11.5675,6.1802,-11.1844,0.1799,-0.2945,-0.0123,89,2.431,46,8.3008,3.3106,-13.8697,-0.8502,0.0671,-0.4565,51
2.356,45,11.6558,3.5752,-9.936,-0.3194,-0.421,-0.0649,89,2.483,47,7.9482,4.5462,-18.1039,0.0542,0.7339,-0.4967,51
2.408,46,9.4968,2.5532,-6.397,-0.1321,-0.3248,-0.162,89,2.534,48,6.5282,4.4318,-21.1942,0.2262,0.5451,-0.318,51
2.459,47,10.7423,-0.8048,-2.3792,-0.7716,0.4399,0.3742,89,2.586,49,3.4333,5.1238,-21.6348,0.7406,-0.0988,-0.2556,51
2.511,48,12.0665,-1.0725,-9.7413,-1.1909,0.9994,0.9416,89,2.638,50,0.2776,4.2903,-18.5228,0.4701,-0.7389,0.3312,51
2.563,49,4.0943,-6.0198,-15.1146,-0.1927,0.3858,0.8336,89,2.689,51,0.7627,3.8728,-15.5382,0.3086,-1.2061,0.7175,51
2.615,50,1.2631,-9.6306,-19.0361,-0.2594,-0.3918,0.4344,89,2.741,52,4.3673,3.6996,-12.3831,0.117,-1.2949,0.7013,51
2.667,51,5.0807,-7.4258,-17.393,-0.2945,-0.82,0.0387,89,2.793,53,5.1742,4.3041,-13.789,-0.226,-0.3217,0.4006,51
2.718,52,8.9739,-3.8008,-16.0746,-0.1491,-1.1831,-0.1515,89,2.845,54,6.1573,4.2958,-18.045,0.1005,0.4502,0.4963,51
2.77,53,9.3645,-2.9811,-10.3926,-0.5068,-1.0527,-0.3276,89,2.897,55,4.7721,6.2835,-21.1513,-0.075,0.5622,0.1468,51
2.822,54,10.1056,-3.8663,-5.0009,-0.2074,-0.9532,-0.0288,89,2.948,56,3.0756,3.7095,-21.7696,0.5395,-0.0794,0.0734,51
2.874,55,9.4477,-3.5856,-3.4567,-0.8266,-0.0173,0.6567,89,3.001,57,4.3685,0.5645,-18.8324,-0.2616,-0.7247,-0.1705,51
2.926,56,12.1611,-3.3386,-10.5277,-0.1863,0.6657,0.9145,89,3.052,58,2.5014,-0.4365,-15.0679,-0.3652,-1.1957,-0.0922,51
2.977,57,14.1415,2.9152,-15.6885,0.4186,-0.0755,0.3313,89,3.104,59,3.2772,-1.2151,-13.043,-0.867,-1.2296,0.0599,51
3.029,58,15.5868,6.0768,-19.0174,0.8933,-0.7285,0.2959,89,3.156,60,5.7875,-2.6707,-12.0762,-0.4516,-0.8864,0.2887,51
3.081,59,16.4899,2.7724,-18.4055,0.2039,-0.7845,-0.1411,89,3.208,61,1.2422,1.9817,-14.0359,-0.5132,0.0268,0.799,51
3.133,60,17.3008,2.2025,-10.8766,-0.5262,-0.3139,-0.2143,89,3.26,62,1.6563,5.5387,-18.2252,0.0668,0.7046,1.0807,51
3.185,61,14.5013,0.6497,-7.5199,-0.8687,-0.807,-0.0846,89,3.311,63,2.5957,6.7457,-21.2828,-0.032,1.0269,0.7813,51
3.236,62,12.482,-1.3413,-3.6475,-1.3093,0.0894,0.6155,89,3.363,64,-0.0013,6.4059,-22.1272,0.3042,0.578,0.4269,51
3.288,63,12.1669,0.8759,-10.667,-0.279,0.7436,1.0034,89,3.415,65,-2.2016,4.6612,-20.0742,0.1022,-0.2307,0.4381,51
3.34,64,4.908,4.8278,-15.7901,0.3673,0.4958,0.7113,89,3.466,66,-1.8005,3.7228,-17.9764,0.2069,-0.8352,0.3229,51
3.392,65,-1.7421,8.8754,-8.9403,0.4683,0.1418,1.1186,89,3.518,67,0.6247,2.6386,-16.2434,0.0837,-1.2764,0.1788,51
3.444,66,3.1985,7.1238,-11.3205,0.1133,-0.5106,0.7799,89,3.57,68,5.5356,3.8206,-14.9512,0.2298,-1.348,-0.1321,51
3.495,67,7.6002,4.6323,-9.49,-0.0806,-0.8807,0.4187,89,3.622,69,5.895,3.4843,-16.2493,-0.306,-0.2989,0.1256,51
3.547,68,8.7712,2.1944,-8.4965,-0.1591,-1.3089,-0.0302,89,3.674,70,5.3102,5.4701,-19.7886,0.4465,0.4668,-0.0373,51
3.599,69,11.5118,0.0891,-3.6171,-0.1612,-1.1905,0.3415,89,3.725,71,4.9134,5.4322,-22.23,1.0005,1.0257,-0.6987,51
3.651,70,10.922,0.1301,-1.905,-0.7928,-0.1905,0.9261,89,3.777,72,4.2321,1.3798,-23.0897,1.1002,1.0415,-1.1813,51
3.703,71,12.1769,0.2905,-9.3952,0.0916,0.5393,1.0057,89,3.829,73,5.63,1.0851,-18.8828,0.9931,0.097,-0.997,51
3.755,72,14.153,5.5639,-4.273,-0.0961,0.5462,1.0147,89,3.881,74,4.283,0.9536,-17.2286,0.5463,-0.4364,-1.1618,51
3.806,73,15.5952,9.4127,-7.0872,0.6015,-0.2748,0.3978,89,3.932,75,4.0291,0.9615,-15.7583,0.6618,-0.9528,-1.1396,51
3.858,74,15.2305,5.2901,-9.1609,-0.1041,-0.4424,-0.0847,89,3.984,76,3.4028,2.5466,-15.2157,0.504,-0.916,-0.8739,51
