right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.257,4,12.6093,-1.1714,-11.4864,-0.2206,-0.0535,-1.1502,89,0.025,0,3.7419,-2.4743,-18.2134,0.9396,-0.3612,-0.409,52
0.309,5,13.0023,-6.092,-13.9039,-0.4489,-0.7124,-1.4469,89,0.077,1,5.8975,-2.8894,-20.2691,0.7275,0.3929,-0.1171,52
0.361,6,10.5254,-8.3446,-13.181,-0.7672,-0.0075,-1.2019,89,0.129,2,5.2994,-4.3864,-22.0235,0.3294,0.5923,0.1446,52
0.413,7,5.6061,-9.2922,-13.113,-1.1341,0.6729,-0.1994,89,0.181,3,4.7546,-1.9094,-20.4376,0.5887,-0.0228,0.313,52
0.464,8,3.9394,-5.4671,-15.009,-0.1512,-0.1823,0.5322,89,0.232,4,4.5385,-3.5655,-18.8766,-0.2474,-0.6835,0.633,52
0.516,9,8.1409,1.3618,-18.1768,-0.1897,0.2074,0.0522,89,0.284,5,5.7773,-4.7533,-17.2047,0.0475,-1.1656,0.8637,52
0.568,10,11.2073,6.3458,-16.4837,0.2024,0.0034,-0.6359,89,0.336,6,4.8686,-3.5533,-15.9836,0.6931,-0.778,1.3107,52
0.62,11,11.3821,4.754,-15.198,-0.1421,-0.0218,-0.4548,89,0.388,7,3.5856,-2.9872,-16.7837,0.7148,0.1171,1.6254,52
0.672,12,13.5729,-1.5751,-14.4566,-0.7092,-0.5384,-0.8277,89,0.44,8,3.0823,-1.6848,-19.1471,0.2088,0.7704,1.2077,52
0.723,13,15.1718,-6.3866,-16.5428,-1.0856,-1.0621,-0.2401,89,0.492,9,0.1312,0.943,-20.748,0.5367,1.2473,0.405,52
0.775,14,11.2454,-9.8982,-15.6501,-1.4675,-0.2244,0.484,89,0.543,10,-1.534,2.3744,-21.8725,-0.2225,1.4421,-0.3735,52
0.827,15,2.8832,-12.4612,-14.1591,-1.4425,-0.1524,1.0048,89,0.595,11,-0.496,0.0447,-21.7021,-0.579,1.0302,-0.8065,52
0.879,16,7.37,-3.7428,-18.3388,-0.3763,-0.7429,0.3561,89,0.647,12,0.9261,-2.1459,-21.5313,-0.5961,0.0851,-0.6069,52
0.931,17,2.9058,-4.8361,-15.9108,-0.6862,-1.2146,0.2145,89,0.699,13,5.7932,-0.231,-20.8607,-0.0752,-0.6047,0.0329,52
0.982,18,6.7709,-2.2473,-13.9938,-0.7012,-1.5598,-0.0872,89,0.751,14,6.8168,-0.0413,-20.3143,0.5153,-0.3129,0.581,52
1.034,19,10.0082,-1.3105,-14.9773,-0.3427,-1.6807,-0.7347,89,0.803,15,8.9612,-0.6634,-21.5285,0.5287,0.2831,0.2809,52
1.086,20,8.7549,-3.8983,-18.1253,-0.9253,-0.7315,-0.9822,89,0.854,16,6.3562,1.5834,-20.8763,1.0606,0.636,-0.1339,52
1.138,21,6.0741,-8.0822,-21.2335,-1.3506,-0.1462,-0.1584,89,0.906,17,-0.7273,2.5743,-20.5412,0.4519,0.3977,-0.3471,52
