right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.106,2,10.0393,2.3549,-7.4013,0.4171,-2.003,0.1999,92,0.033,0,8.5509,1.3326,-14.8687,-0.0131,-0.412,-0.2453,62
0.157,3,6.8194,3.5185,-8.0681,0.1021,-0.7835,-0.2518,92,0.085,1,11.2749,0.5286,-13.1429,-0.1676,0.0282,-0.0926,62
0.209,4,5.2986,1.4461,-13.8933,0.57,0.1065,-0.7962,92,0.137,2,8.6083,0.5771,-12.8252,0.1632,0.2532,-0.2306,62
0.261,5,4.5251,-1.0553,-18.1448,-0.0438,0.4281,-0.3677,92,0.188,3,7.4936,-0.4283,-11.5125,0.5054,-0.1301,-0.3866,62
0.313,6,1.4238,-2.2736,-20.6442,0.1799,-0.0661,0.0173,92,0.24,4,4.9728,-0.3026,-10.7331,0.853,0.412,-0.4168,62
0.364,7,-0.9058,-1.0825,-19.59,0.5337,-0.7217,0.1265,92,0.292,5,2.4725,0.2718,-13.6409,0.0195,0.6352,-0.2455,62
0.416,8,0.3217,1.3552,-17.6742,0.7158,-1.2001,-0.0295,92,0.344,6,6.9181,-5.0984,-16.5747,-0.6628,0.8052,-0.0784,62
0.468,9,5.5005,2.9973,-15.1434,0.0748,-1.5493,-0.3302,92,0.396,7,6.4015,-0.6245,-17.8437,-0.018,0.3625,-0.12,62
0.52,10,8.2625,2.2822,-15.5411,-0.6206,-0.4915,-0.6037,92,0.448,8,8.3761,0.9881,-18.5875,-0.4053,0.0967,0.2254,62
0.572,11,5.966,0.0129,-19.3475,-0.3087,0.3196,-0.3137,92,0.5,9,7.292,-1.048,-13.6275,-0.0206,0.1241,-0.2317,62
0.624,12,2.4031,-0.2307,-22.1255,-0.9005,0.9116,0.1597,92,0.551,10,10.4393,2.1081,-12.8499,0.3185,-0.5762,-0.7437,62
0.675,13,-2.7246,-0.861,-22.9639,-0.4127,0.2658,0.2046,92,0.603,11,7.1167,-1.9215,-6.7706,0.8495,0.2644,-0.6878,62
0.727,14,-3.0997,-0.2186,-21.4423,0.015,-0.4794,0.1662,92,0.655,12,-0.2785,-3.7369,-12.9227,-0.0568,0.878,-0.1226,62
0.779,15,0.2186,2.5114,-18.7748,0.3201,-1.0233,0.0848,92,0.706,13,3.1568,-5.1309,-17.4128,-0.2728,0.9762,0.2529,62
0.831,16,5.4253,3.6416,-15.3156,-0.2212,-1.4202,-0.2782,92,0.758,14,6.9959,-1.3063,-18.7172,0.0809,0.8205,0.0904,62
0.882,17,4.6854,2.0339,-15.1986,-0.8309,-0.3783,-0.1823,92,0.81,15,10.2232,-1.1504,-17.2719,-0.4442,0.2031,0.4327,62
0.934,18,2.7349,1.9842,-19.0975,-0.1132,0.4022,0.4266,92,0.862,16,12.5787,-2.5191,-9.9981,0.2442,-0.4219,-0.0933,62
0.986,19,1.1981,2.2693,-21.9431,-0.6861,0.9637,0.9872,92,0.914,17,12.9042,-1.7459,-5.3095,0.0293,-0.6366,-0.3544,62
1.038,20,-2.5704,0.7927,-22.5418,-0.4542,0.1727,0.8262,92,0.965,18,9.5807,-2.9553,-1.6627,0.1296,0.2204,-0.0562,62
1.09,21,-3.8241,1.1352,-20.6942,0.127,-0.5473,0.4538,92,1.017,19,7.3251,-0.6293,-9.1947,-0.5825,0.8458,0.6393,62
1.141,22,-0.9438,3.0478,-17.4445,0.3476,-1.0729,0.069,92,1.069,20,1.8328,4.8329,-14.6919,-0.0884,0.1726,-0.1676,62
1.193,23,4.5769,2.5498,-14.0308,-0.038,-1.4471,-0.3102,92,1.121,21,6.4549,0.4356,-16.8784,-0.4457,-0.5408,-0.2329,62
1.245,24,6.6881,1.9347,-14.107,-0.1998,-0.3778,-0.7165,92,1.172,22,9.8284,-0.4344,-17.5639,-0.5104,-0.9505,-0.0915,62
1.297,25,6.8094,2.5335,-18.3008,0.08,0.4026,-0.9114,92,1.224,23,11.4108,-1.5799,-10.5622,-0.2827,-0.852,-0.3963,62
1.349,26,7.2254,3.3075,-21.3616,-0.5583,0.9722,-0.8412,92,1.276,24,12.7688,-3.2027,-8.2483,-0.4273,-1.2368,-0.6657,62
1.401,27,2.8893,1.2926,-23.5955,-1.0827,1.0773,-0.7265,92,1.328,25,10.4082,-4.6904,-4.0054,0.3628,-0.2177,-0.7891,62
1.452,28,-1.334,-0.2285,-23.2821,-0.5662,0.1128,-1.0832,92,1.38,26,5.4605,-2.8368,-10.1488,-0.4123,0.5261,-0.1963,62
1.504,29,-2.2451,-1.2235,-21.4245,-0.0111,-0.591,-1.3573,92,1.431,27,9.1026,3.2217,-15.3882,-0.6001,0.0551,-0.5394,62
1.556,30,1.7664,0.2089,-18.7187,0.507,-1.1048,-1.4344,92,1.483,28,10.8419,2.301,-14.0685,0.1121,-0.6266,-0.9468,62
1.608,31,6.5108,0.9777,-17.6929,0.4315,-1.4277,-1.3034,92,1.535,29,12.0961,2.6506,-16.2315,-0.2124,-0.7998,-0.5591,62
1.66,32,6.6405,1.4499,-19.1243,0.7014,-0.3637,-0.6723,92,1.587,30,13.9455,-0.3905,-11.7136,-0.504,-0.4526,-0.4989,62
1.711,33,6.5417,2.4549,-21.9626,0.5086,0.4129,-0.3168,92,1.638,31,13.6822,3.2141,-11.0306,-0.4483,-0.9938,-0.4929,62
1.763,34,-0.325,0.4008,-24.0342,-0.3041,0.9797,-0.1014,92,1.69,32,14.3517,-1.5193,-5.4428,0.3475,-0.5015,-0.4701,62
1.815,35,-5.5613,-1.4211,-22.9388,-0.0944,0.4852,-0.2231,92,1.742,33,10.8687,0.6174,-1.3647,0.2952,0.319,-0.9197,62
1.867,36,-6.2805,-1.2503,-21.465,0.088,-0.3193,-0.188,92,1.794,34,6.1678,-1.5146,-8.9772,-0.4616,0.9178,-0.3011,62
1.919,37,-0.7244,0.0207,-20.7031,0.5061,-0.9064,-0.3278,92,1.846,35,-0.9711,-4.4923,-14.5331,-0.3261,0.3409,-0.6366,62
1.97,38,4.7371,2.4567,-20.2984,0.4705,-1.3136,-0.4638,92,1.897,36,-2.0674,-0.9846,-16.4256,0.0325,0.1448,-0.401,62
2.022,39,5.0158,2.94,-22.2541,0.802,-0.2804,-0.1012,92,1.949,37,3.6084,-3.8286,-14.9654,-0.6534,-0.5611,0.1692,62
2.074,40,4.2185,3.2869,-24.2469,0.7527,0.4737,0.4282,92,2.001,38,7.7509,-2.7621,-13.6269,0.1248,-1.0763,-0.488,62
2.126,41,-2.2453,2.4561,-23.2439,0.4385,0.661,0.1829,92,2.053,39,10.7742,-2.7407,-7.3378,0.7505,-0.7291,-0.8109,62
2.177,42,-6.181,0.9126,-21.2327,0.1573,0.0495,-0.05,92,2.105,40,5.0453,-5.0842,-2.7477,0.3489,0.1528,-0.6634,62
2.229,43,-6.6531,1.2402,-18.8614,0.0183,-0.6373,0.1037,92,2.157,41,5.515,1.5815,-9.9866,-0.4224,0.7833,-0.8162,62
2.281,44,-3.5875,1.597,-19.1502,-0.1889,-1.1385,-0.1222,92,2.208,42,9.1424,6.4464,-9.8753,0.3664,-0.0951,-1.1325,62
2.333,45,2.6474,0.2771,-21.1134,-0.1932,-0.8056,-0.5341,92,2.26,43,11.7898,5.753,-12.5853,-0.1733,-0.6734,-0.4667,62
2.385,46,3.4985,0.9679,-23.4144,-0.049,0.0904,0.0547,92,2.312,44,13.722,2.2728,-6.5775,0.5482,-1.154,-0.971,62
2.436,47,2.1952,2.137,-25.0937,0.244,0.7443,0.5346,92,2.364,45,13.2526,-1.2145,-4.0628,0.4971,-1.2247,-1.2098,62
2.488,48,-3.5779,2.4006,-25.199,0.1285,1.2211,0.0575,92,2.415,46,14.6244,0.0824,-0.6175,0.6065,-0.308,-1.1609,62
2.54,49,-6.4173,1.1831,-23.8365,0.1354,0.6473,-0.4703,92,2.467,47,13.5689,-0.6184,-2.9273,0.2903,0.4602,-0.1694,62
2.592,50,-6.1811,1.111,-21.8103,0.4024,-0.1981,-0.7503,92,2.519,48,15.0205,4.8408,-10.1177,0.8295,-0.0558,-0.4572,62
2.644,51,-2.3446,1.999,-20.2689,0.3729,-0.818,-0.8699,92,2.571,49,15.1228,-0.1124,-12.9076,0.5959,-0.7075,-0.4257,62
2.695,52,3.5545,3.8838,-19.1636,0.0903,-1.2704,-0.724,92,2.623,50,16.1546,0.5703,-13.6362,0.2099,-0.762,-0.3217,62
2.747,53,3.5084,1.6892,-19.0326,-0.3406,-0.4308,-0.8111,92,2.674,51,16.9076,-2.0907,-7.3446,0.1075,-0.77,-0.3023,62
2.799,54,1.0022,-0.1893,-20.5072,0.1839,0.364,-0.4061,92,2.726,52,17.4572,1.0171,-5.9454,0.4722,-1.2288,-0.8313,62
2.851,55,-2.0412,0.557,-22.9719,-0.052,0.944,-0.0462,92,2.778,53,12.4785,-1.3942,-2.0502,1.0193,-0.2119,-0.8325,62
2.903,56,-4.356,0.6058,-23.5398,-0.1709,0.8751,-0.1353,92,2.83,54,11.7587,-1.0451,-4.829,1.0713,0.5303,-0.5806,62
2.955,57,-3.3503,0.359,-23.3969,0.3333,0.0968,-0.4738,92,2.882,55,8.9763,0.3895,-11.5056,0.4569,1.072,0.2214,62
3.006,58,0.2844,1.4234,-21.548,0.7652,-0.6027,-0.7556,92,2.933,56,11.6686,-5.0125,-5.7895,0.6677,0.1156,-0.5051,62
3.058,59,4.5596,3.2405,-19.6174,0.7372,-1.1133,-0.8698,92,2.985,57,11.377,-2.7138,-11.5067,0.751,-0.5824,-0.7405,62
3.11,60,5.389,2.146,-18.8747,0.6188,-0.1993,-1.0196,92,3.037,58,13.4207,-2.8161,-10.4652,0.3773,-1.0918,-0.8206,62
3.162,61,4.7942,-0.6883,-19.3937,0.8363,0.5329,-0.6944,92,3.089,59,11.6069,0.1845,-12.8717,0.95,-1.3178,-1.1426,62
3.214,62,4.4501,0.0016,-17.607,0.8509,1.0673,-0.5207,92,3.14,60,8.5205,-1.6542,-6.7866,0.9818,-0.7703,-0.8088,62
3.265,63,3.6502,1.9153,-16.2863,-0.0542,1.4573,-0.5573,92,3.192,61,6.0296,-1.0577,-6.2694,1.2173,0.1228,-0.0584,62
