right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.002,0,9.755,0.0953,-10.9124,0.0268,-0.7046,0.073,90,0.345,6,8.6298,1.3849,-11.6126,0.0009,-0.3366,0.0985,63
0.053,1,9.5845,-0.2412,-10.9531,-0.2341,-0.6651,0.105,90,0.397,7,8.4553,1.2795,-11.289,0.1361,-0.4586,0.1025,63
0.105,2,9.8588,-0.2275,-11.81,0.1339,-0.4979,0.1727,90,0.449,8,8.4539,1.4254,-11.5337,0.2207,-0.6921,0.1407,63
0.157,3,9.8846,-0.2159,-11.7682,0.0894,-0.5835,0.2552,90,0.501,9,8.5716,1.6425,-12.1936,0.4012,-1.0601,0.2536,63
0.208,4,9.7055,0.0867,-11.5721,-0.0738,-0.8241,0.2581,90,0.552,10,11.3733,2.2557,-12.1091,0.4601,-1.4405,0.4103,63
0.26,5,8.0464,0.9006,-14.1355,0.4811,-0.9919,0.1993,90,0.604,11,13.418,1.7343,-14.9847,-0.009,-1.7181,0.5617,63
0.312,6,10.3196,0.1882,-13.6852,0.5909,-1.1642,0.2817,90,0.656,12,13.0278,1.0976,-16.3261,0.1442,-1.9208,0.5912,63
0.364,7,7.225,-0.9295,-14.648,0.681,-1.3782,0.2952,90,0.708,13,7.7213,1.5768,-16.287,0.5008,-1.7529,0.5968,63
0.416,8,8.6272,-1.05,-15.5425,0.5226,-0.994,0.4983,90,0.76,14,2.3299,0.1177,-15.3499,0.0101,-1.6508,0.5607,63
0.467,9,10.3995,-1.3777,-16.1966,0.0572,-0.5181,0.38,90,0.811,15,-0.5393,-0.924,-14.1024,0.1637,-1.49,0.6487,63
0.519,10,12.8558,-1.6877,-11.7618,-0.4649,-0.2984,0.073,90,0.863,16,-0.6327,-0.7889,-13.5655,-0.1284,-1.3856,0.8566,63
0.571,11,14.4851,-1.4934,-10.0724,-0.5305,-0.8663,0.215,90,0.915,17,3.5036,0.073,-13.6438,-0.2956,-1.4606,0.8594,63
