right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.05,0,9.5487,-0.3752,-10.7039,0.1713,0.3044,-0.0471,75
0.102,1,9.5786,-0.4021,-10.5953,0.1647,0.2448,-0.0782,75
0.154,2,9.5944,-0.4479,-10.3608,0.1008,0.1554,-0.086,75
0.206,3,9.467,-0.4408,-9.8526,0.1205,-0.0353,-0.0756,75
0.258,4,9.3382,0.4051,-9.0215,0.114,-0.6793,0.0653,75
0.309,5,11.4273,-1.4716,-8.3354,0.6933,-1.0597,-0.0795,75
0.361,6,10.8543,-2.2794,-7.8574,1.1791,-0.7556,-0.229,75
0.413,7,10.3311,-1.5844,-8.054,1.4972,-0.0721,-0.4389,75
0.465,8,9.648,-1.2059,-8.6125,1.3812,0.4952,-0.6199,75
0.516,9,9.3427,-1.1319,-9.5111,1.1884,0.7625,-0.6213,75
0.568,10,8.8386,-1.9962,-11.0186,0.8625,0.7256,-0.4047,75
0.62,11,7.8074,-2.3265,-14.8644,1.061,-0.1432,0.0621,75
0.672,12,7.4019,-2.233,-13.6045,1.1073,-0.7708,0.4119,75
0.724,13,7.939,-3.1483,-15.2066,0.9071,-1.1642,0.6026,75
0.775,14,9.8344,-3.7142,-16.3489,0.8133,-0.9031,0.7587,75
0.827,15,12.4433,1.16,-11.4496,0.5768,-0.4976,0.6967,75
0.879,16,12.3182,1.0013,-8.2576,0.162,-1.0062,0.9995,75
0.931,17,6.9496,6.077,-3.5146,-0.557,-0.3835,0.7989,75
0.982,18,6.2772,3.2682,-5.9575,-0.0636,0.3985,0.0016,75
1.034,19,5.569,-1.1381,-11.0609,-0.2226,0.9692,-0.6593,75
1.086,20,2.7229,-4.9157,-16.0776,-0.1718,0.3824,-0.2105,75
1.138,21,-3.3369,-8.1573,-19.739,-0.3792,-0.277,-0.4897,75
1.19,22,2.4867,-6.3092,-20.0471,-0.1997,-0.1311,-0.1996,75
1.241,23,7.0807,-1.0215,-13.6473,-0.0743,-0.029,0.0573,75
1.293,24,10.2808,0.839,-7.3763,0.0329,-0.6946,0.5741,75
1.345,25,11.2928,5.1929,-2.7995,-0.6512,-0.1831,0.8937,75
1.397,26,8.9187,3.7601,-5.1447,-0.6072,0.5447,0.6736,75
1.449,27,5.3509,-1.1252,-11.7597,0.2334,1.0737,-0.1824,75
1.501,28,9.1711,3.7225,-16.5877,-0.1942,0.1786,0.4867,75
1.552,29,11.9592,-2.383,-17.9669,-0.0862,-0.2357,0.1583,75
1.604,30,13.9941,2.0839,-12.3681,-0.0197,-0.0024,0.1953,75
1.656,31,14.6402,1.7249,-9.9684,-0.4099,-0.6751,0.6449,75
1.708,32,13.5013,6.6108,-4.6913,-0.7251,-0.6267,0.4521,75
1.76,33,10.5546,4.4841,-4.8185,-1.0759,0.2209,0.2983,75
1.811,34,6.7939,3.8626,-8.6625,-0.1087,0.8396,-0.4538,75
1.863,35,5.1694,-2.0369,-14.3271,0.5966,1.2911,-0.9906,75
1.915,36,-1.5513,3.8653,-18.4615,0.0954,1.6207,-0.3718,75
1.967,37,3.3945,0.9625,-20.5669,0.0787,0.6713,-0.2809,75
2.019,38,7.7432,5.6064,-13.9806,0.2842,0.8713,-0.2281,75
2.07,39,7.8105,2.6745,-8.9621,-0.1124,0.3481,-0.0283,75
2.122,40,7.6041,5.2794,-4.2423,-0.6258,0.7612,-0.0961,75
2.174,41,7.2296,3.773,-4.8921,-1.0273,1.2339,-0.1312,75
2.226,42,3.5955,1.6578,-9.7631,-0.6132,1.5789,-0.2197,75
2.277,43,0.9253,1.0899,-15.1304,0.229,1.5081,-0.326,75
2.329,44,5.9411,6.1474,-16.8222,0.4904,0.4273,-0.574,75
2.381,45,9.6018,6.0051,-20.2825,-0.045,-0.3021,-0.7818,75
2.433,46,12.2736,9.7144,-18.0012,0.6437,0.3312,-0.5221,75
2.485,47,10.8963,3.0181,-11.4904,0.3982,0.1735,-0.2633,75
2.536,48,13.2184,3.896,-7.4846,0.0141,-0.5467,-0.0485,75
2.588,49,10.3139,5.1586,-4.2993,-0.6649,0.2793,0.2204,75
2.64,50,10.0868,2.7354,-6.7855,-0.931,0.8822,0.448,75
2.692,51,8.9894,-3.2406,-11.4005,-0.0029,1.3222,-0.347,75
2.744,52,9.7271,-7.6022,-16.3255,0.0657,0.2916,0.4154,75
2.795,53,12.365,-4.9304,-15.2758,0.055,0.5486,-0.0396,75
2.847,54,14.2903,-2.6519,-17.6589,0.4912,-0.0657,0.0781,75
2.899,55,15.2709,-0.7121,-12.9253,-0.1917,0.3718,0.3393,75
2.951,56,12.7958,-2.2668,-12.4592,0.5366,-0.156,0.1104,75
3.003,57,8.588,2.4735,-8.7195,-0.2651,0.4085,-0.0322,75
3.054,58,7.3804,1.7127,-8.276,-0.8687,0.9765,-0.1404,75
3.106,59,6.7357,1.059,-9.5415,-0.981,1.391,-0.4718,75
3.158,60,2.2802,-1.646,-12.8728,-0.0395,1.6656,-0.8279,75
3.21,61,-3.66,4.1506,-17.4,-0.3661,0.8801,-0.1103,75
3.262,62,-1.9363,2.2179,-18.0905,-0.2017,0.1452,0.0723,75
3.313,63,3.8525,2.4878,-17.2745,0.5293,-0.3814,0.5017,75
3.365,64,7.5161,2.5541,-11.3746,0.2602,-0.2237,0.2991,75
