right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.338,6,9.838,-0.5628,-10.8949,-0.274,-0.3258,-0.1205,70,0.118,2,8.1297,-0.6205,-11.1693,-0.8048,0.1485,-0.0592,40
0.389,7,9.5271,-0.9746,-13.3001,-0.3424,-0.6437,-0.1781,70,0.169,3,8.2145,-0.9072,-11.0375,-0.7018,-0.0091,-0.0505,40
0.441,8,9.404,-0.5042,-15.1017,0.0198,-1.1432,-0.4228,70,0.221,4,8.1097,-0.1056,-9.6777,-0.3617,-0.5725,0.1398,40
0.493,9,9.1192,0.539,-15.1437,0.3992,-1.5078,-0.6863,70,0.273,5,6.8776,-1.387,-12.7032,-0.3998,-1.0519,0.1463,40
0.545,10,11.9214,0.5895,-14.8753,0.5355,-1.7738,-0.7757,70,0.325,6,6.2867,-1.1924,-14.1372,-0.2338,-1.4132,0.0416,40
0.597,11,13.9665,0.9618,-15.8003,0.6097,-1.968,-0.6171,70,0.377,7,6.7354,-1.2475,-15.6667,-0.0439,-1.4144,-0.1117,40
0.648,12,13.524,1.6492,-17.6434,0.6501,-1.919,-0.4632,70,0.428,8,7.2033,-0.3944,-16.9877,0.1297,-1.0034,-0.0825,40
0.7,13,12.2902,2.9365,-18.7908,0.1697,-1.6303,0.0316,70,0.48,9,8.898,-0.2798,-17.6891,0.2349,-0.3663,0.0814,40
0.752,14,6.7863,3.1313,-17.9699,-0.5514,-1.0009,0.5271,70,0.532,10,11.6114,0.2739,-12.3411,0.1954,-0.1924,0.2445,40
0.804,15,-0.3615,1.255,-16.8331,-0.7416,-1.2475,0.6496,70,0.584,11,13.5918,1.2847,-11.6243,0.1888,-0.8072,0.1368,40
0.856,16,-2.5323,0.6534,-15.1062,-0.5659,-1.3698,0.3364,70,0.636,12,10.1962,4.8088,-6.4505,0.0176,-0.2317,-0.0994,40
0.907,17,-1.4433,0.7249,-13.5596,-0.3757,-1.3097,0.0004,70,0.687,13,4.7629,2.2667,-6.7189,0.4037,0.5159,-0.3715,40
0.959,18,4.1553,-0.1626,-13.8592,-0.1966,-1.1436,-0.3376,70,0.739,14,1.3909,0.0841,-12.885,-0.3683,1.0615,-0.1956,40
1.011,19,8.2985,-1.0259,-15.671,0.3819,-0.9977,-0.3668,70,0.791,15,6.1324,-5.2354,-6.7963,-0.8063,0.4225,-0.7793,40
1.063,20,10.0217,0.1305,-18.2103,0.8287,-0.0582,-0.5748,70,0.843,16,2.586,-0.8365,-12.4359,-0.9602,-0.0675,-0.8917,40
1.115,21,9.2111,0.9588,-21.2956,1.2389,0.6359,-0.647,70,0.895,17,3.7363,1.3138,-14.626,-0.0323,-0.0783,-0.5774,40
1.166,22,6.8423,2.9412,-23.5473,0.4115,1.1425,-0.6259,70,0.946,18,7.8442,2.1376,-13.2171,-0.2625,-0.5696,-0.2782,40
1.218,23,-0.3303,2.4456,-24.1941,-0.3749,1.5122,-0.6213,70,0.998,19,7.954,1.8172,-8.7406,0.4831,-1.0825,-0.3382,40
