right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.36,6,11.4033,0.5577,-20.7221,0.4773,0.7421,-0.2606,71,0.022,0,6.0116,-2.2169,-11.5395,0.4688,0.3047,0.157,40
0.412,7,6.9517,-0.5125,-19.9118,0.0942,0.3917,-0.3055,71,0.074,1,6.9902,-1.9114,-11.9797,0.5483,-0.4441,-0.0003,40
0.464,8,3.1853,-2.4248,-18.3406,-0.0899,0.2226,-0.4104,71,0.125,2,7.5693,-1.1221,-12.7955,0.3539,-0.1799,-0.061,40
0.516,9,1.7969,-2.6399,-16.7654,0.0479,0.1268,-0.4063,71,0.177,3,10.6417,-0.4733,-12.2926,0.3015,0.5134,0.0,40
0.567,10,2.3357,-1.1176,-15.4737,0.4072,0.0645,-0.4124,71,0.229,4,12.14,2.3551,-9.1407,0.8699,0.3554,-0.022,40
0.619,11,3.672,0.6959,-14.2226,0.7545,-0.1593,-0.4196,71,0.281,5,11.5233,3.5036,-7.168,0.8021,-0.3553,0.2529,40
0.671,12,6.1259,0.7476,-13.0516,0.5392,-0.3333,-0.5495,71,0.333,6,5.694,1.5812,-3.5479,0.2626,0.4257,0.0297,40
0.722,13,9.7367,-0.7541,-14.3279,0.1891,0.2496,-0.8016,71,0.384,7,5.7821,-0.0707,-5.2558,0.8647,0.9956,-0.5749,40
0.774,14,12.372,-0.3824,-17.7577,0.163,0.7175,-0.4979,71,0.436,8,4.8863,-3.0304,-9.9303,0.4892,1.3136,-0.6489,40
0.826,15,11.0005,0.6584,-19.1733,-0.0462,0.4081,-0.1553,71,0.488,9,5.4189,-4.793,-14.9191,0.4447,0.4122,0.1966,40
0.878,16,5.7225,-0.1172,-19.292,-0.4026,-0.0063,0.0381,71,0.54,10,6.4785,-2.7277,-15.2556,0.411,-0.3516,0.2326,40
0.93,17,2.7365,-0.4799,-17.8591,-0.1696,-0.2943,0.0189,71,0.592,11,7.6077,-1.9625,-15.3606,0.251,0.0906,0.1421,40
0.982,18,2.2799,-0.7423,-16.2816,-0.0665,-0.5129,-0.1619,71,0.643,12,10.6697,-0.6565,-12.9219,0.0308,0.5475,-0.1945,40
