right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.569,10,6.0777,-0.1187,-11.5022,0.3589,0.5813,-0.6598,72,0.036,0,-4.5825,3.1201,-18.0683,0.0415,-0.9014,-0.0646,39
0.62,11,9.7015,5.2653,-7.0391,-0.4036,0.7647,-0.6095,72,0.088,1,0.8014,1.2637,-17.071,-0.1266,-1.3247,-0.294,39
0.672,12,6.6881,8.4993,-8.7283,0.0727,0.1763,-0.3132,72,0.14,2,2.7517,1.5397,-18.5836,-0.5636,-0.6278,-0.3915,39
0.724,13,10.147,7.8397,-9.7162,-0.0496,-0.3347,-0.0622,72,0.191,3,2.534,-1.3827,-21.5443,-0.1936,0.2268,-0.2193,39
0.776,14,11.6118,5.3249,-6.7976,-0.3214,-0.802,0.2484,72,0.243,4,0.357,-2.6752,-23.7052,-0.0019,0.8505,-0.1889,39
0.827,15,11.267,7.9016,-2.3771,0.3754,-1.0139,0.1977,72,0.295,5,-5.212,-0.5757,-23.3163,0.4104,0.7865,-0.0478,39
0.879,16,6.7257,7.7047,-0.0738,-0.4012,-0.0616,-0.2696,72,0.347,6,-7.8037,0.1702,-20.6641,0.0111,-0.0928,0.2342,39
0.931,17,8.1492,0.3862,-8.0588,0.3837,0.6334,-0.8606,72,0.399,7,-3.9013,-0.0263,-18.9476,-0.0936,-0.7345,0.3491,39
0.983,18,11.2134,-4.5027,-12.3087,0.6457,0.232,-0.2164,72,0.45,8,1.4842,0.8191,-17.9019,0.159,-0.8692,0.1177,39
1.035,19,13.4498,-7.6301,-11.8823,0.2675,-0.379,0.049,72,0.502,9,1.6692,-0.0601,-18.5975,-0.3711,0.0463,0.3887,39
1.086,20,15.082,-5.2308,-8.2245,-0.1247,-0.3293,0.4217,72,0.554,10,-0.6623,-0.473,-21.5544,-0.0111,0.7187,0.3878,39
1.138,21,14.5786,-1.7156,-7.7771,0.3096,-0.9137,0.3974,72,0.606,11,-4.3084,-0.8977,-22.789,0.5486,0.8449,-0.0726,39
1.19,22,9.3169,-0.6395,-3.092,-0.4493,0.0115,0.0536,72,0.658,12,-6.6642,-1.2766,-21.3688,0.3547,0.1221,-0.0133,39
1.242,23,11.6886,-5.7038,-10.2616,0.3486,0.6867,-0.6307,72,0.709,13,-6.0745,-1.8803,-19.4659,0.2781,-0.5777,-0.0263,39
1.294,24,13.7966,-9.3999,-4.9053,0.0281,-0.1722,-0.7292,72,0.761,14,0.6839,-1.667,-18.651,0.6154,-1.0884,0.121,39
1.345,25,15.3351,-9.8993,-10.4993,0.2431,-0.1808,-0.0415,72,0.813,15,3.4974,-2.2886,-19.4423,0.2131,-0.541,0.6457,39
1.397,26,16.458,-6.4467,-5.0788,-0.0642,-0.8054,0.3136,72,0.865,16,3.0551,-2.0455,-21.8984,-0.0927,0.2901,0.4687,39
1.449,27,15.3896,0.6468,-1.1227,0.1575,-0.427,0.2865,72,0.917,17,-3.1994,-2.5473,-22.7149,0.1189,0.862,-0.1135,39
1.501,28,16.4977,1.5778,-1.3563,-0.5603,0.3667,-0.1949,72,0.968,18,-7.8077,-3.6448,-21.0891,-0.2977,0.365,0.0431,39
1.553,29,9.8213,-4.0855,-8.9948,0.2676,0.946,-0.7672,72,1.02,19,-7.8878,-3.5256,-19.2005,-0.2922,-0.3845,0.1366,39
1.605,30,1.8438,-8.2188,-14.5697,0.5339,0.3549,-0.3057,72,1.072,20,-0.8424,-2.894,-19.665,0.0949,-0.9474,0.0657,39
1.656,31,6.6115,-6.4805,-15.4923,0.0361,-0.4143,-0.1559,72,1.124,21,4.5025,-1.3548,-21.0617,-0.1355,-0.774,0.3124,39
1.708,32,10.0911,-4.8396,-10.8244,0.1908,-0.9526,0.035,72,1.175,22,3.6964,-1.7507,-23.1755,-0.3343,0.12,0.1612,39
1.76,33,12.1481,-4.3645,-10.3334,0.4921,-1.3687,0.2017,72,1.227,23,-1.9189,-3.6686,-24.8957,-0.1019,0.7726,-0.4131,39
1.812,34,10.3128,2.1665,-4.9577,-0.162,-0.3206,-0.1547,72,1.279,24,-6.7445,-3.6925,-24.0407,0.0138,0.5374,-0.2821,39
1.864,35,12.7925,-0.1442,-11.6233,0.0027,0.4444,-0.494,72,1.331,25,-7.6391,-2.5473,-21.0556,-0.1943,-0.2741,-0.0134,39
1.915,36,14.6023,5.2466,-5.8991,-0.6733,-0.3491,0.1898,72,1.383,26,-2.4796,-2.0807,-18.7855,-0.1301,-0.8668,0.025,39
1.967,37,11.8165,9.1811,-7.1713,-0.3994,0.3283,0.384,72,1.434,27,0.8512,0.3028,-19.9351,-0.1152,-0.7065,0.0175,39
2.019,38,13.8899,9.3272,-6.5172,-0.6804,0.0692,0.4105,72,1.486,28,1.9164,0.5694,-22.4066,-0.3793,0.1693,0.3731,39
2.071,39,15.4032,4.5241,-5.7589,-0.3433,-0.6229,0.4506,72,1.538,29,-2.173,-0.7209,-24.3345,-0.0904,0.8086,0.0851,39
2.122,40,14.6959,6.0678,-1.619,0.2478,-0.4869,0.5394,72,1.59,30,-5.4934,-1.3445,-24.236,0.1995,0.6,-0.2093,39
2.174,41,12.5322,4.8991,-0.171,-0.4415,0.323,0.2207,72,1.641,31,-7.9002,-1.9456,-21.6348,0.1932,-0.1989,-0.1886,39
2.226,42,13.6035,-0.6799,-8.1297,0.3543,0.9141,-0.4943,72,1.693,32,-5.0632,-1.0146,-19.109,0.4911,-0.8119,-0.0252,39
2.278,43,4.6042,-2.7073,-13.9383,-0.226,1.0162,-0.0209,72,1.745,33,1.1969,-0.2026,-18.0086,0.3873,-1.2594,0.1986,39
2.33,44,2.3883,1.1246,-14.2346,-0.2248,0.8675,0.2472,72,1.797,34,2.2764,3.5219,-19.8494,-0.1141,-0.6896,0.5307,39
