right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.204,3,9.6261,-2.1085,-8.5828,0.824,-0.4539,-0.3846,75
0.256,4,10.2191,-1.5679,-8.8371,0.6174,-0.6615,-0.2978,75
0.307,5,10.2339,-1.5716,-10.6815,0.3635,-0.7686,-0.1625,75
0.359,6,11.176,-1.3745,-12.3832,0.0724,-0.6434,-0.2555,75
0.411,7,13.4225,0.0981,-8.2499,-0.3765,-0.8486,-0.1385,75
0.463,8,15.0063,-3.6883,-11.1881,-0.95,-1.2927,-0.2103,75
0.515,9,8.8242,-3.7909,-5.5815,-1.3686,-0.2651,0.5114,75
0.567,10,9.1979,-1.7725,-8.031,-1.2125,0.4848,1.0509,75
0.618,11,5.3459,1.126,-13.8663,-0.2084,1.0322,0.4373,75
0.67,12,9.1674,-2.4863,-13.9007,0.2895,0.4976,-0.3549,75
0.722,13,11.9565,-4.3752,-12.794,0.1325,-0.3102,0.2094,75
0.774,14,11.6446,-4.0114,-13.4723,-0.0859,-0.5165,0.0383,75
0.826,15,13.7645,-3.1432,-12.3291,-0.463,-0.8043,0.1633,75
0.877,16,14.7341,-1.3904,-11.7768,-1.0131,-1.0898,0.1975,75
0.929,17,13.1989,-3.9691,-6.0112,-0.6894,-1.1733,-0.1437,75
0.981,18,9.204,-4.7773,-4.315,-1.1783,-0.178,0.5729,75
1.033,19,10.19,1.8652,-11.1542,-0.3266,0.5485,1.0827,75
1.084,20,12.7029,6.3448,-5.5568,-0.6516,-0.1135,1.4504,75
1.136,21,8.9872,1.2654,-11.2474,-0.0937,-0.748,0.7599,75
1.188,22,11.3906,0.5773,-12.2887,-0.1331,-0.6961,0.7576,75
1.24,23,11.9187,-0.8746,-10.98,-0.4927,-0.7918,0.496,75
1.292,24,11.8418,0.2884,-5.9393,-0.5062,-0.4714,0.355,75
1.343,25,13.9084,-4.9281,-6.88,-1.0398,-1.0174,0.3004,75
1.395,26,8.0317,-5.0942,-2.4373,-1.4341,-0.0642,0.7923,75
1.447,27,8.4153,-2.8799,-6.2156,-0.8769,0.6315,1.256,75
1.499,28,5.2046,-4.0292,-12.5413,0.0365,0.9646,0.2426,75
1.551,29,-1.5256,2.4112,-13.753,-0.6485,1.0555,0.8548,75
1.602,30,-0.1588,4.8388,-13.9464,0.0811,0.8573,0.8614,75
1.654,31,3.0638,3.8059,-12.5465,-0.3452,0.3667,0.5727,75
1.706,32,7.5018,2.1309,-7.6375,-0.5705,0.0785,0.442,75
1.758,33,10.7409,-2.3104,-9.289,-0.7141,-0.6161,0.2413,75
1.81,34,5.6798,-3.3753,-4.1954,-1.1964,0.2287,0.6776,75
1.861,35,7.1197,1.3864,-11.0283,-0.4431,0.8453,1.1723,75
1.913,36,1.9901,-4.2252,-16.0538,0.3532,0.4459,0.2162,75
1.965,37,3.0379,-8.3207,-13.5829,0.6064,-0.3152,0.1055,75
2.017,38,4.7146,-6.2352,-16.0128,0.9729,-0.723,0.0085,75
2.069,39,8.7067,-4.6633,-11.4416,0.5979,-1.1977,0.0439,75
2.12,40,9.5145,-5.2619,-16.3391,-0.2389,-1.5438,-0.209,75
2.172,41,9.173,-5.5033,-9.341,-0.8495,-0.6718,0.0832,75
2.224,42,2.1437,-5.9461,-5.8031,-1.0603,0.188,0.7384,75
2.276,43,6.7704,-1.4182,-12.2402,-0.0973,0.8156,0.3131,75
2.327,44,-0.3829,4.3168,-16.9384,-0.6915,1.0919,0.9063,75
2.379,45,-0.5365,4.1365,-17.5092,-0.6054,1.162,1.1718,75
2.431,46,4.2651,4.0275,-12.8177,-0.7944,0.1751,0.8537,75
2.483,47,4.0533,-2.2976,-12.7559,-1.2505,-0.1423,0.3583,75
2.535,48,4.5374,-4.3073,-6.7257,-1.2228,-0.5812,0.0661,75
2.586,49,3.8897,-4.6078,-3.0616,-1.5677,0.2542,0.726,75
2.638,50,7.0603,1.9889,-10.2394,-0.4676,0.8639,1.1875,75
2.69,51,5.498,5.9534,-4.8891,0.011,-0.0425,0.4331,75
2.742,52,9.2784,-0.892,-6.5673,0.0161,-0.7044,0.5454,75
