right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.167,3,9.4439,-1.1553,-11.9748,0.1801,-0.5646,0.0598,93,0.035,0,8.7166,0.0587,-8.3803,-0.1963,-0.2598,-0.0444,63
0.219,4,9.5144,-1.2945,-11.4076,0.1114,-0.8842,0.0215,93,0.087,1,8.8673,0.1587,-9.0594,-0.3858,-0.4628,-0.0911,63
0.271,5,10.5783,-1.6211,-10.1475,0.3625,-0.9413,0.0577,93,0.139,2,9.0988,0.2428,-9.406,-0.2793,-0.4998,-0.0921,63
0.323,6,10.9261,-0.717,-9.7374,0.9411,-0.6959,0.0236,93,0.19,3,8.9156,0.1508,-9.4403,-0.2905,-0.482,-0.0854,63
0.375,7,10.6029,-0.5189,-10.3245,0.8654,-0.2806,-0.0915,93,0.242,4,8.9177,0.0993,-9.6526,-0.1223,-0.4797,-0.1053,63
0.426,8,9.3528,-1.5776,-11.2675,0.7435,0.0586,-0.0713,93,0.294,5,8.8641,0.065,-10.1694,0.0569,-0.4929,-0.1392,63
0.478,9,6.8268,-1.5846,-11.1413,0.1853,0.4139,0.2037,93,0.346,6,8.7409,0.3342,-10.4036,0.1872,-0.4634,-0.1515,63
0.53,10,10.2483,-5.0433,-5.5473,0.3019,0.6063,0.4957,93,0.398,7,8.6859,0.5217,-10.3523,-0.0385,-0.5037,-0.1967,63
0.581,11,9.2018,-4.211,-8.2915,0.4815,0.1835,0.6343,93,0.45,8,8.9634,0.343,-11.0222,0.0049,-0.5087,-0.2365,63
0.633,12,9.3,-5.0836,-10.8064,0.0595,0.0277,0.6247,93,0.502,9,9.0972,0.41,-11.6307,0.1571,-0.3759,-0.2594,63
0.685,13,12.0533,-4.045,-11.5483,0.1494,0.001,0.398,93,0.553,10,8.9438,1.0314,-11.4365,0.3622,-0.2439,-0.1839,63
0.737,14,13.0088,-2.4027,-7.5591,-0.4926,-0.3909,0.6161,93,0.605,11,8.8208,1.0258,-11.3303,0.379,-0.1784,-0.0804,63
0.789,15,12.9404,-2.4877,-5.922,-0.2634,-0.9426,0.6563,93,0.657,12,8.5795,0.1455,-11.0459,0.7568,-0.3109,-0.0585,63
0.84,16,8.5707,1.5955,-2.3659,-0.1869,-0.0096,0.2091,93,0.709,13,10.1737,0.5039,-13.919,1.227,-0.859,-0.0384,63
0.892,17,9.6389,2.1928,-5.9445,-0.383,0.6713,-0.3332,93,0.761,14,12.5425,2.4385,-16.3552,1.3115,-1.2938,0.2003,63
0.944,18,1.7107,-3.6366,-12.3435,0.178,0.5718,-0.2669,93,0.812,15,14.1749,1.3618,-16.3357,1.1364,-1.611,0.1714,63
0.996,19,-4.0756,-7.8912,-14.9058,-0.5453,0.0734,0.3037,93,0.864,16,10.9773,0.6682,-14.8124,1.2924,-1.8426,-0.0179,63
1.048,20,2.2912,-6.8539,-15.4596,-0.63,0.0439,0.2564,93,0.916,17,7.1348,-0.4848,-13.5437,0.808,-2.0116,-0.0508,63
1.1,21,6.938,-4.2541,-11.0319,-1.021,-0.143,0.337,93,0.968,18,3.5627,-1.3017,-12.1919,0.2087,-2.0316,0.3041,63
