right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.033,0,9.5885,-1.2414,-9.9712,-0.018,0.0272,0.0567,75
0.085,1,9.6177,-1.2654,-9.982,-0.0123,0.0242,0.0517,75
0.137,2,9.6445,-1.2915,-9.8652,-0.0053,0.051,0.0505,75
0.188,3,9.5737,-1.3388,-9.718,-0.0182,0.06,0.0422,75
0.24,4,9.3434,-1.6724,-9.2405,-0.0228,0.0132,0.0505,75
0.292,5,9.8902,-1.099,-9.5153,0.2441,-0.139,-0.0678,75
0.344,6,10.1376,-1.2772,-9.726,0.4,-0.1346,-0.0627,75
0.396,7,10.011,-1.4003,-9.9366,0.3217,-0.1246,-0.0146,75
0.447,8,9.864,-1.5019,-9.9714,0.2178,-0.0885,0.0252,75
0.499,9,9.7379,-1.5484,-10.03,0.1469,-0.0619,0.0402,75
0.551,10,9.6757,-1.5373,-10.0825,0.1025,-0.0392,0.0517,75
0.603,11,9.7162,-1.4933,-10.1665,0.0693,-0.014,0.0451,75
0.655,12,9.8031,-1.7927,-10.5136,0.0152,0.0447,0.0238,75
0.707,13,9.9421,-1.2831,-10.2424,-0.1172,0.0844,0.1075,75
0.758,14,9.8049,-2.1755,-9.8605,-0.4352,0.0368,0.284,75
0.81,15,10.527,-1.6643,-9.4354,-0.4219,0.0789,0.5699,75
0.862,16,9.9561,-2.2121,-9.2883,-0.2744,0.0447,0.7487,75
0.914,17,9.2148,-3.065,-9.3606,-0.0442,-0.1795,0.7317,75
0.965,18,8.7552,-3.0259,-9.8296,0.078,-0.4509,0.5218,75
1.017,19,8.9274,-2.9064,-10.533,0.034,-0.5886,0.4056,75
1.069,20,9.0242,-2.9995,-10.8709,-0.1215,-0.7487,0.3562,75
1.121,21,8.7282,-3.215,-11.0777,-0.282,-0.9279,0.3479,75
1.173,22,8.5688,-3.1258,-11.9275,-0.3794,-1.0501,0.4242,75
1.224,23,8.6388,-3.452,-12.5664,-0.4357,-0.8916,0.3549,75
1.276,24,11.4925,-3.5234,-12.5968,-0.4176,-1.0258,-0.2768,75
1.328,25,13.6535,-3.4907,-10.4868,0.3244,-1.235,-0.0229,75
1.38,26,10.7256,-2.8141,-9.81,-0.2556,-1.5521,0.5727,75
1.431,27,6.5926,2.4803,-6.0593,0.49,-0.4544,0.1233,75
1.483,28,9.6489,1.036,-9.6928,0.8579,0.0445,-0.584,75
1.535,29,6.7453,-4.3447,-14.3203,1.1746,0.7109,-0.5259,75
1.587,30,6.3743,-8.408,-12.2704,1.2817,-0.0336,0.2701,75
1.639,31,7.9828,-7.2522,-13.3559,0.761,-0.5734,0.7192,75
1.691,32,8.5569,-6.8414,-13.9351,0.5087,-0.566,0.9233,75
1.742,33,9.0453,-6.7172,-14.0423,0.2721,-0.4651,0.6178,75
1.794,34,11.8674,-6.3595,-12.0649,0.1807,-0.853,0.1271,75
1.846,35,12.5311,-5.1598,-9.7895,0.0075,-1.2106,0.3426,75
1.898,36,10.3184,-0.5813,-4.5607,0.2567,-0.2433,-0.4122,75
1.95,37,12.6154,-1.4367,-6.7923,0.3515,0.5008,-0.9749,75
2.001,38,10.7821,-2.985,-11.7783,-0.061,1.0439,-1.243,75
2.054,39,13.135,-7.4157,-11.8413,-0.7197,0.0885,-0.4901,75
2.105,40,11.5577,-4.2052,-16.0861,-0.9359,-0.5361,0.32,75
2.157,41,11.1675,-5.5636,-15.2599,-0.8033,-0.4263,0.5905,75
2.209,42,13.4163,-5.7807,-13.7854,-1.1113,-0.6852,0.2286,75
2.26,43,15.0575,-5.5619,-8.2108,-1.4863,-1.1735,-0.1148,75
2.312,44,12.1822,-5.1081,-6.5052,-1.76,-0.8951,0.5543,75
2.364,45,12.2479,-5.4767,-6.2715,-0.9013,0.0251,0.1886,75
2.416,46,14.2048,-3.1699,-12.5821,-0.4874,0.6967,-0.5364,75
2.468,47,10.5509,-7.5506,-14.4083,0.3208,0.9113,-0.7902,75
2.519,48,4.0468,-0.1589,-16.3367,0.5727,-0.0072,-0.6791,75
2.571,49,6.2685,-1.9545,-16.861,0.3943,-0.3086,0.0636,75
2.623,50,6.4812,-3.6709,-15.4315,0.2467,-0.2528,0.442,75
2.675,51,9.9849,-3.8747,-13.8487,-0.3974,-0.7906,-0.1904,75
2.727,52,12.5532,-2.4198,-9.8303,0.0463,-0.6999,-0.1278,75
2.778,53,10.7318,-0.434,-9.0492,-0.2422,-0.6877,0.4777,75
2.83,54,9.7009,2.4717,-6.596,-0.8176,0.1764,-0.3254,75
2.882,55,12.3459,-3.4331,-12.8189,-0.3503,0.8071,-0.9115,75
2.934,56,4.345,-7.7281,-17.3607,-0.5165,0.4582,0.0125,75
2.986,57,8.4369,-0.2884,-20.6755,-0.7483,-0.339,-0.6649,75
3.037,58,4.4945,-1.2089,-17.6211,-0.0433,-0.7353,0.1925,75
3.089,59,5.5841,-2.6782,-15.5429,0.1089,-0.557,0.4431,75
3.141,60,8.4847,-2.7736,-13.9294,-0.5375,-0.7885,-0.177,75
3.193,61,11.4583,-2.0907,-8.9557,-0.2531,-0.6123,0.0809,75
3.244,62,9.1327,-0.3058,-7.1655,-0.833,-0.8902,0.6943,75
3.296,63,8.9805,0.583,-3.5348,-0.5458,-0.0744,0.1276,75
3.348,64,9.3488,0.6663,-5.7606,0.2492,0.624,-0.5809,75
3.4,65,7.9149,-0.1546,-12.2092,-0.3788,1.1338,-0.3523,75
3.452,66,11.0424,-4.9739,-6.3268,-0.6224,0.4717,0.363,75
3.504,67,11.8611,-2.8987,-11.4939,-0.8499,-0.313,0.9,75
3.555,68,10.0819,-3.7093,-11.551,-0.6146,-0.4716,1.2879,75
3.607,69,11.7939,-4.2273,-12.27,-0.9478,-0.5112,1.0982,75
3.659,70,13.8735,-4.3903,-10.9844,-0.4425,-1.0351,0.7045,75
3.711,71,13.0571,-3.3695,-8.4192,-0.7373,-1.3776,1.1713,75
3.763,72,9.5853,1.9145,-4.2913,-1.141,-0.3271,0.7164,75
3.814,73,9.5901,0.5485,-4.9726,-0.7447,0.4396,-0.1226,75
3.866,74,9.3839,0.8148,-9.4165,-0.0901,0.9992,-0.7635,75
3.918,75,5.1661,-4.6424,-14.8775,0.6108,1.4076,-0.5142,75
3.97,76,1.4075,-6.1,-18.1446,0.0645,0.3548,0.3024,75
4.022,77,3.6836,-6.41,-16.9724,-0.1313,-0.0534,0.5639,75
4.073,78,7.9542,-5.5681,-14.794,-0.3067,-0.4538,0.2771,75
4.125,79,9.2304,-3.897,-8.4896,-0.595,-0.6162,0.5223,75
4.177,80,12.0025,-1.4053,-3.612,-0.5395,-0.603,0.4312,75
4.229,81,11.0135,0.9627,-3.1974,-0.8787,0.2383,-0.335,75
4.28,82,11.6461,2.8322,-6.5804,-0.5093,0.8522,-0.9185,75
4.332,83,10.5343,-1.3868,-10.2752,0.2966,1.1555,-0.8608,75
4.384,84,10.1246,4.3398,-4.9152,0.5551,0.5047,-0.9024,75
4.436,85,5.3942,0.5057,-8.2296,-0.0762,-0.0027,-0.0023,75
4.488,86,6.0091,-1.3757,-9.7995,0.0194,-0.1539,0.4313,75
4.539,87,8.6516,-2.3228,-10.6848,-0.063,-0.0976,0.2782,75
4.591,88,11.58,-1.9575,-10.0712,0.0121,-0.7248,-0.3577,75
4.643,89,11.546,-0.3604,-7.2149,-0.5785,-1.0297,0.3368,75
4.695,90,9.3042,2.8786,-2.6817,-0.9709,-0.0732,-0.2113,75
4.746,91,8.8072,3.2646,-4.6621,-1.2509,0.6249,-0.8282,75
4.798,92,10.8245,1.1399,-11.4075,-1.4609,1.1345,-1.201,75
4.85,93,4.3613,-2.9134,-6.0815,-0.5394,1.4664,-0.2582,75
4.902,94,1.4138,3.2255,-7.2674,-0.3613,0.7348,0.4793,75
4.954,95,5.5028,2.5124,-7.4734,-0.2634,0.0499,0.9578,75
5.006,96,7.2943,0.9244,-8.8363,0.0261,0.2444,0.8169,75
5.057,97,8.0587,-0.4587,-9.1245,0.0658,0.2885,0.7985,75
5.109,98,9.4879,-1.3281,-7.8309,-0.5948,-0.0209,0.0117,75
5.161,99,9.0766,-2.5973,-6.8424,-1.0718,0.2752,-0.0286,75
5.213,100,8.0048,1.0585,-5.7825,-1.4575,0.8792,0.1503,75
5.265,101,6.6017,2.9731,-7.2704,-1.739,1.32,0.3938,75
5.316,102,5.8771,-3.0672,-13.3112,-1.9205,1.0019,0.9646,75
5.368,103,9.5551,3.1133,-16.1582,-1.5666,0.0578,0.8507,75
5.42,104,12.2075,-2.9648,-14.8414,-1.7968,-0.3268,0.206,75
5.472,105,9.5108,-5.0659,-13.7403,-1.4714,-0.376,0.0922,75
5.524,106,11.132,-5.3728,-11.532,-1.0417,-0.7359,-0.6066,75
5.575,107,11.0052,-4.5886,-9.0773,-1.4355,0.0979,-0.5801,75
5.627,108,9.7482,0.6374,-9.2171,-1.7229,0.4529,-0.0758,75
5.679,109,8.9445,-4.7719,-13.5958,-1.9327,1.0089,0.5969,75
5.731,110,10.2721,-8.7198,-15.4553,-0.734,1.0074,-0.1363,75
5.782,111,12.7628,-11.6011,-8.6959,-1.0389,0.1991,0.5783,75
5.834,112,13.7089,-11.1084,-9.3365,-0.9085,-0.3432,0.1471,75
5.886,113,11.8867,-9.3933,-9.2256,-0.8649,-0.6118,-0.2781,75
5.938,114,12.3045,-7.4595,-10.4896,-0.5248,-1.1199,-0.877,75
5.99,115,9.691,-4.8467,-9.1969,-0.7355,-0.3816,0.0255,75
6.042,116,7.2184,1.8145,-7.5179,-0.5479,0.3999,-0.5225,75
6.093,117,6.0082,0.9824,-9.6214,-0.8911,0.797,-1.0554,75
6.145,118,6.9835,-4.52,-15.027,-1.0563,1.2431,-0.3702,75
6.197,119,5.153,-7.5605,-13.5076,-0.5895,0.8761,0.4075,75
6.249,120,7.09,-6.2146,-12.9813,-0.605,0.7376,-0.0179,75
