right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.04,0,9.6591,-0.9116,-10.655,-0.2146,-0.5563,0.0282,66,0.885,17,8.4187,0.9874,-9.4624,-0.0967,-0.4606,0.5188,39
0.092,1,9.6168,-0.887,-10.7495,-0.2775,-0.3427,-0.1973,66,0.936,18,8.0663,-0.159,-10.3822,0.0003,-0.8432,0.8568,39
0.143,2,9.4386,-1.4002,-11.3318,-0.2347,-0.2504,-0.2479,66,0.988,19,8.9153,-1.1411,-11.6672,0.1065,-1.0637,1.0036,39
0.196,3,9.1747,-1.435,-12.0617,0.0973,-0.3272,-0.2181,66,1.04,20,10.8007,-2.1723,-13.8055,0.3014,-0.7861,1.0006,39
0.247,4,8.5561,-1.4437,-12.5485,0.0524,-0.4912,-0.1182,66,1.092,21,13.0001,-0.0943,-12.4601,0.1285,-0.4963,0.7068,39
0.299,5,7.055,-1.2246,-12.5567,-0.1044,-0.7403,-0.0358,66,1.144,22,11.2088,-2.6286,-17.0751,0.7685,-0.1684,0.4701,39
0.351,6,5.7887,-6.1308,-17.1693,0.0161,-0.5797,-0.1137,66,1.195,23,10.6393,-1.0827,-15.613,0.4478,-0.7897,0.8593,39
0.403,7,3.5065,-9.1317,-19.3708,0.392,-0.7924,0.1103,66,1.247,24,8.0496,-1.9849,-14.0351,0.918,-1.2431,1.1986,39
0.455,8,4.1272,-7.8884,-19.1135,0.0996,-0.1691,0.1763,66,1.299,25,5.2802,-1.5871,-12.4558,0.6704,-1.5583,1.5551,39
0.506,9,6.577,-6.6892,-14.6406,0.4793,0.2843,-0.0291,66,1.351,26,4.7467,-0.9324,-11.5188,0.0053,-1.7886,1.8153,39
0.558,10,6.0988,-5.2431,-15.3298,1.0186,-0.1014,-0.3066,66,1.403,27,7.0346,-1.9024,-11.7777,-0.3166,-1.9722,2.0043,39
0.61,11,5.4955,0.1754,-9.8488,0.9989,0.3547,-0.2664,66,1.454,28,6.8547,-2.7403,-14.3399,-0.6983,-1.1498,1.7398,39
0.662,12,5.7388,1.2296,-8.8941,0.0538,0.9372,-0.4776,66,1.506,29,5.7178,-6.0995,-18.3421,-0.75,-0.3413,0.9109,39
0.714,13,3.2111,-0.5074,-13.1201,0.1389,1.3624,-0.3275,66,1.558,30,4.7293,-7.552,-20.5883,-0.2717,-0.0484,0.0316,39
0.765,14,7.4684,-5.6074,-6.9916,-0.2359,0.3666,0.1008,66,1.61,31,-2.021,-7.0935,-18.5886,-0.036,0.1477,-0.3426,39
