right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.799,15,9.4323,-1.1632,-8.87,-0.0843,-0.4642,-0.5678,73,0.0,0,9.8494,0.4912,-9.1345,-0.6597,0.9931,0.0854,39
0.851,16,9.4822,-1.1833,-8.6946,-0.0444,-0.7467,-0.7422,73,0.052,1,10.1997,0.507,-10.0717,-0.9402,1.3976,0.2114,39
0.902,17,12.1573,-1.9549,-9.0556,-0.4685,-1.2184,-0.8469,73,0.104,2,9.7104,0.8399,-10.1302,-0.9321,1.3878,0.2401,39
0.954,18,12.0927,-3.2434,-10.0179,-0.8769,-1.553,-0.8098,73,0.156,3,9.36,0.5528,-9.7835,-0.8786,1.2969,0.2275,39
1.006,19,10.2808,-3.0782,-8.519,-0.9645,-1.123,-0.3368,73,0.207,4,8.7315,0.5421,-10.3563,-0.5879,1.2445,0.1917,39
1.058,20,9.4479,-2.7184,-8.2254,-0.6446,-0.4649,0.2196,73,0.259,5,7.9229,0.9361,-11.306,-0.141,1.0202,0.1242,39
1.11,21,9.6372,-1.5843,-8.7491,-0.2913,0.3374,0.5786,73,0.311,6,9.7023,1.5033,-6.0016,0.4925,0.2882,0.0955,39
1.161,22,10.7599,-1.1111,-9.6562,0.2829,0.9246,0.7416,73,0.363,7,11.6651,2.3884,-5.0433,0.4104,-0.3106,-0.0827,39
1.213,23,11.323,-0.8754,-10.4724,0.7638,1.3532,0.7477,73,0.415,8,11.0058,1.7439,-5.8688,0.4468,-0.5741,-0.2667,39
1.265,24,11.2004,-0.1834,-10.9275,0.9204,1.5531,0.8227,73,0.466,9,10.2816,1.8375,-6.8745,0.2775,-0.5351,-0.3047,39
1.317,25,10.5319,0.6114,-10.9765,0.5423,1.4604,0.822,73,0.518,10,9.9628,1.8057,-7.2514,0.1394,-0.5228,-0.3148,39
1.369,26,9.8775,0.4935,-11.4275,0.1195,1.2411,0.7346,73,0.57,11,9.5047,1.8112,-7.6134,0.1121,-0.4921,-0.3198,39
1.42,27,9.5758,0.8056,-11.377,-0.0897,0.8724,0.5696,73,0.622,12,9.4743,1.6143,-7.6866,0.125,-0.4865,-0.3093,39
1.472,28,9.7143,0.5235,-10.993,-0.2502,0.378,0.3404,73,0.674,13,9.5037,1.4723,-7.9708,0.1595,-0.4254,-0.2914,39
1.524,29,9.8244,0.2483,-10.5026,0.0699,0.2575,0.2643,73,0.725,14,9.2882,1.7527,-8.4401,0.1418,-0.3296,-0.2755,39
1.576,30,10.2771,-0.1487,-11.3357,0.1044,0.0667,0.1936,73,0.777,15,9.1308,1.8332,-8.5374,0.0873,-0.2668,-0.2755,39
1.627,31,10.2109,-0.6893,-10.599,0.1093,-0.0113,0.1271,73,0.829,16,8.9204,1.9993,-8.8303,-0.0021,-0.228,-0.2276,39
1.679,32,9.9935,-1.1742,-9.794,0.0418,-0.0414,0.0379,73,0.881,17,8.8197,2.0702,-8.8533,0.0123,-0.2234,-0.1948,39
1.731,33,9.6636,-2.1031,-9.2571,-0.1283,-0.1235,-0.0707,73,0.932,18,8.649,2.3586,-8.9125,0.1226,-0.2724,-0.1596,39
1.783,34,9.6494,-1.7908,-8.9179,-0.1594,-0.1824,-0.1656,73,0.984,19,8.7242,2.3573,-8.8477,0.2444,-0.3918,-0.0597,39
1.835,35,9.5932,-1.6801,-8.703,-0.128,-0.2381,-0.2537,73,1.036,20,8.7678,2.1559,-8.8819,0.3231,-0.5962,0.0495,39
1.887,36,9.5911,-1.6413,-8.6403,-0.1093,-0.2884,-0.3349,73,1.088,21,9.4496,1.7308,-8.7665,0.4807,-1.0084,0.2109,39
1.938,37,9.5379,-1.5513,-8.6067,-0.0592,-0.3331,-0.4198,73,1.14,22,10.7134,1.6182,-9.1163,0.6059,-1.3524,0.3243,39
1.99,38,9.5211,-1.611,-8.4845,0.0286,-0.4256,-0.5285,73,1.191,23,10.1627,-0.2499,-7.9403,0.1519,-1.3243,0.2887,39
2.042,39,9.7342,-1.2803,-8.4666,0.1399,-0.6537,-0.6594,73,1.243,24,8.9075,-0.2723,-7.7523,0.4084,-0.7187,0.4091,39
2.094,40,10.6442,-2.0053,-9.0864,-0.0471,-0.9429,-0.6012,73,1.295,25,8.5611,-0.4793,-8.4777,0.4757,0.1547,0.4523,39
2.145,41,10.0766,-2.256,-9.2196,-0.4957,-0.8941,-0.424,73,1.347,26,8.9915,-0.1128,-9.9493,0.1065,0.7496,0.3695,39
2.197,42,9.8402,-2.3602,-9.0031,-0.9125,-0.59,-0.0011,73,1.399,27,9.2053,0.2297,-11.8999,-0.4049,0.9689,0.3487,39
2.249,43,9.6781,-1.7461,-9.0146,-0.907,-0.2829,0.35,73,1.45,28,9.1795,0.1873,-13.9039,-0.7655,0.7395,0.256,39
2.301,44,9.8584,-0.8585,-9.1798,-0.9418,-0.0021,0.5972,73,1.502,29,8.7045,2.7288,-12.9065,-0.7678,0.5127,-0.0208,39
2.353,45,9.901,-0.6551,-9.2906,-0.7692,0.1722,0.6546,73,1.554,30,9.2154,1.4424,-11.8364,-0.3693,0.4378,-0.1549,39
2.404,46,9.7201,-0.3087,-9.6842,-0.322,0.2081,0.5479,73,1.606,31,9.3568,1.3088,-11.3547,-0.3335,0.2444,-0.3748,39
2.456,47,9.3094,-0.0169,-10.0134,0.1512,0.1257,0.3653,73,1.658,32,9.1482,1.7037,-11.1206,-0.1447,0.072,-0.3414,39
2.508,48,9.0571,0.0176,-10.3569,0.4418,-0.2813,0.1683,73,1.709,33,9.1483,1.353,-11.0516,-0.0521,0.0307,-0.3221,39
2.56,49,9.1613,0.0069,-9.4078,0.4648,-0.5881,0.0219,73,1.761,34,8.9539,1.5265,-10.9123,-0.004,0.0308,-0.2844,39
2.612,50,8.5572,0.066,-9.4884,0.1851,-0.8693,-0.0795,73,1.813,35,8.9427,1.5795,-10.7422,-0.0038,0.0147,-0.2637,39
2.663,51,8.9194,-0.0282,-10.5489,0.216,-1.2196,0.0042,73,1.865,36,8.8605,1.6094,-10.6102,0.0292,-0.0483,-0.2101,39
2.715,52,9.1491,-0.8816,-11.6512,0.2346,-1.5616,-0.0148,73,1.916,37,8.7296,1.7588,-10.4798,0.0851,-0.2051,-0.0945,39
2.767,53,8.5573,-1.1325,-14.1595,0.0161,-1.513,-0.0404,73,1.968,38,8.4535,1.7807,-10.4916,0.0048,-0.3893,0.0585,39
2.819,54,10.7289,0.4045,-14.8783,-0.2538,-1.1607,0.0406,73,2.02,39,8.4539,1.3025,-11.1485,-0.0821,-0.6131,0.2435,39
2.871,55,13.0961,-0.6502,-13.9778,-0.4958,-1.01,0.034,73,2.072,40,7.942,1.5878,-11.7143,-0.0144,-1.0014,0.3703,39
2.922,56,11.4403,-1.5815,-13.9518,-0.792,-0.4431,-0.1314,73,2.124,41,7.7759,1.4501,-11.7902,0.1399,-1.2668,0.3715,39
2.974,57,10.0252,-1.6333,-9.6371,-0.6471,-0.3561,-0.0788,73,2.175,42,8.0448,0.803,-12.455,0.3035,-1.5287,0.3736,39
3.026,58,7.618,-3.9148,-5.5509,-0.8497,0.4185,0.1495,73,2.227,43,8.0911,0.5676,-14.0453,0.3835,-1.6505,0.4423,39
3.078,59,7.4644,-2.8423,-7.1812,-1.0062,0.9838,0.5992,73,2.279,44,10.6468,0.2059,-15.7675,0.4034,-0.9434,0.5469,39
3.13,60,6.2608,-0.6002,-13.2461,-0.4071,1.3963,0.6817,73,2.331,45,12.8878,1.7318,-13.8628,-0.2829,-0.0381,0.893,39
3.181,61,5.4966,-1.1823,-17.6725,0.3794,0.4172,0.0561,73,2.382,46,13.0256,5.0575,-18.0247,-0.0729,0.0994,0.8263,39
3.233,62,-1.3125,1.9315,-20.903,0.4885,0.3457,-0.2165,73,2.434,47,12.1726,2.6415,-15.3479,-0.558,-0.5943,0.7558,39
3.285,63,2.171,-0.9182,-19.9322,0.4492,-0.3892,-0.4575,73,2.486,48,7.9647,1.3743,-15.015,0.2674,-1.0216,0.547,39
3.337,64,3.8,-2.0884,-19.0977,0.3622,-0.6351,-0.2227,73,2.538,49,4.4813,0.9409,-13.8989,0.4528,-1.1552,0.4766,39
3.388,65,6.5214,-1.2887,-19.8108,-0.1604,-0.5283,-0.2286,73,2.59,50,3.1254,0.0745,-12.3396,0.3345,-1.2374,0.6087,39
3.44,66,10.0253,-3.3609,-15.1879,-0.5643,-0.6125,-0.1114,73,2.641,51,3.6975,1.3664,-9.7754,-0.2473,-0.9807,0.8345,39
3.492,67,12.5827,-7.69,-8.5007,-0.9171,-1.1204,-0.214,73,2.693,52,7.5106,1.989,-6.6482,-0.5895,-0.894,1.0384,39
3.544,68,11.1206,-7.1597,-3.6201,-0.9069,-0.3313,0.1781,73,2.745,53,10.5989,2.9344,-6.6865,-1.1033,-0.5264,1.0638,39
3.595,69,13.3821,-7.9782,-3.5096,-0.2358,0.4365,0.7889,73,2.796,54,12.8528,2.3785,-12.1567,-1.4813,0.3002,0.879,39
3.647,70,12.6634,-1.8189,-10.2489,0.1417,0.997,1.1713,73,2.849,55,14.4979,1.5447,-16.8537,-1.553,0.9041,0.9404,39
3.699,71,8.716,4.0244,-15.485,0.4641,0.4748,1.038,73,2.9,56,13.691,1.6212,-20.2818,-1.2771,1.3448,1.2956,39
3.751,72,11.627,8.2891,-8.7176,-0.3341,-0.3269,0.4214,73,2.952,57,4.9279,1.7241,-22.7837,-0.3198,1.3646,1.1902,39
3.803,73,12.6141,11.4016,-14.3674,-0.3144,0.1019,0.9259,73,3.004,58,-1.876,1.1194,-23.6504,0.12,0.6814,0.9637,39
3.854,74,12.8898,8.4066,-15.4755,-0.6359,-0.5684,0.9281,73,3.056,59,-4.9864,1.0028,-21.9033,-0.0134,-0.1695,0.7864,39
3.906,75,14.6154,8.5812,-16.5244,-1.1236,-0.7816,0.6829,73,3.107,60,-3.905,0.7501,-19.272,-0.6135,-0.7351,0.4351,39
3.958,76,15.9327,1.0259,-9.4762,-1.0557,-0.9271,0.5307,73,3.159,61,1.1229,0.5679,-14.8301,-0.708,-0.6127,0.0995,39
4.01,77,16.8941,-4.4883,-4.3321,-1.4001,-1.35,0.1915,73,3.211,62,5.9368,0.525,-9.6057,0.0142,-0.3623,-0.0951,39
4.062,78,14.7628,-4.4472,-0.5777,-1.2304,-0.5858,0.5022,73,3.263,63,9.4502,1.9368,-7.7072,0.0378,0.3359,-0.1252,39
4.113,79,13.9323,-5.956,-0.914,-0.2749,0.2508,0.9498,73,3.314,64,12.0145,1.3781,-11.569,-0.0782,0.9301,-0.2482,39
4.165,80,14.7129,-3.1195,-8.3423,0.362,0.8614,1.1954,73,3.366,65,13.886,0.3522,-16.4248,-0.4147,1.3638,-0.0424,39
4.217,81,10.3307,0.3918,-14.0934,0.736,0.8825,1.0753,73,3.418,66,14.7975,-0.4977,-19.9687,-0.3777,1.5867,0.3461,39
4.269,82,12.8056,-4.9511,-18.2909,0.1998,0.0483,1.1246,73,3.47,67,5.3272,-1.3522,-22.5552,0.399,1.1289,0.2484,39
4.321,83,14.6118,-8.8506,-17.5451,0.796,-0.6381,1.0001,73,3.522,68,-1.5846,-2.6651,-24.443,0.3918,0.3492,0.2322,39
4.372,84,15.9301,-11.6966,-12.7151,0.4496,-1.1164,0.4536,73,3.573,69,-3.3084,-2.5517,-24.1266,0.4233,-0.4119,0.3417,39
4.424,85,14.5512,-9.3909,-14.1822,0.2232,-0.9273,0.2193,73,3.625,70,-1.1905,-1.339,-21.7371,-0.0703,-0.9674,0.3098,39
4.476,86,15.8858,-7.9272,-13.4361,-0.0257,-1.2565,-0.0106,73,3.677,71,2.8449,-1.1043,-18.0251,-0.6081,-1.2728,0.2073,39
4.528,87,13.2586,-5.5887,-17.2759,-0.4918,-0.4731,-0.0113,73,3.729,72,7.1936,-0.1224,-12.5061,-0.2229,-1.3933,0.1139,39
4.579,88,13.0054,-5.9349,-10.0247,-0.4433,-0.3485,0.2069,73,3.78,73,10.3675,2.8533,-8.8461,0.3455,-1.1214,-0.1322,39
4.631,89,10.2417,-6.1491,-6.0663,-0.4083,0.424,0.5302,73,3.832,74,12.684,2.1138,-9.5674,0.0601,-0.3194,-0.3476,39
4.683,90,11.0469,-4.8204,-7.8855,0.3693,0.9878,0.807,73,3.884,75,14.3746,-0.05,-14.9639,-0.6332,0.4519,-0.3914,39
4.735,91,10.7293,-4.8527,-13.7539,0.946,1.3993,0.9114,73,3.936,76,15.6085,-0.6248,-18.9025,-0.5201,1.0148,-0.0607,39
4.787,92,5.5873,0.0102,-18.0431,1.367,0.8898,0.5511,73,3.988,77,11.6037,-0.5522,-21.7771,-0.1157,1.4256,0.1528,39
4.838,93,4.2429,5.3594,-21.1735,1.1851,-0.024,-0.1948,73,4.039,78,3.0456,-0.9902,-23.8751,0.2444,1.359,-0.113,39
4.89,94,-1.2747,6.8372,-16.3022,0.3429,0.3229,0.1976,73,4.091,79,-0.346,-1.8991,-24.2559,0.5451,0.8217,-0.39,39
4.942,95,-0.0396,7.6198,-19.903,0.2704,0.914,0.4712,73,4.143,80,0.128,-1.938,-22.0857,0.6538,0.2632,-0.3934,39
4.994,96,2.104,5.339,-18.8666,-0.185,0.3902,0.711,73,4.195,81,1.1792,-1.2784,-19.0558,0.6847,-0.2223,-0.4024,39
5.046,97,4.751,3.2585,-17.9073,-0.2328,0.1991,0.657,73,4.247,82,3.0247,-0.3749,-14.9204,0.872,-0.4156,-0.3838,39
