right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.097,1,9.1411,-2.5846,-10.5874,-0.0462,0.192,0.0956,75
0.149,2,9.1121,-2.7814,-10.4616,-0.0051,0.167,0.0805,75
0.201,3,9.0686,-2.8467,-10.2701,0.0269,0.1195,0.0621,75
0.253,4,9.1007,-2.9172,-10.2025,-0.0843,0.0958,0.0816,75
0.304,5,8.9242,-3.3894,-10.0522,-0.0664,0.0212,0.0578,75
0.356,6,9.2518,-3.0613,-10.1617,0.1644,-0.1491,-0.0506,75
0.408,7,9.4286,-2.5818,-10.3943,0.1947,-0.2825,-0.064,75
0.46,8,9.3286,-2.5304,-10.9124,-0.0108,-0.1247,0.0216,75
0.511,9,9.2723,-2.6982,-10.8582,-0.1332,-0.0464,0.051,75
0.563,10,9.3898,-2.6803,-10.6161,-0.2239,0.0359,0.0381,75
0.615,11,9.2227,-2.707,-10.5977,-0.2359,0.0387,0.029,75
0.667,12,9.1339,-2.7261,-10.7175,-0.1814,-0.0177,0.0052,75
0.719,13,9.1345,-2.8115,-10.789,-0.0743,-0.0937,-0.0679,75
0.77,14,9.1619,-2.6977,-10.7691,-0.0127,-0.111,-0.1283,75
0.822,15,9.0894,-2.7434,-10.6773,-0.0382,-0.1485,-0.1559,75
0.874,16,9.1212,-2.6942,-10.7621,-0.018,-0.2885,-0.2422,75
0.926,17,9.0695,-2.5715,-10.9463,-0.0491,-0.3789,-0.2915,75
0.978,18,9.2248,-2.4042,-11.1649,-0.0043,-0.542,-0.3575,75
1.029,19,9.3561,-2.2594,-11.6007,0.0178,-0.5999,-0.3556,75
1.081,20,9.2106,-1.8508,-12.2759,-0.0067,-0.4986,-0.3548,75
1.133,21,8.88,-1.6969,-12.5361,-0.0443,-0.4617,-0.3281,75
1.185,22,8.7001,-1.4637,-12.8332,-0.0266,-0.3912,-0.3056,75
1.236,23,8.7363,-1.3913,-12.839,-0.0377,-0.2968,-0.2504,75
1.288,24,8.8544,-1.331,-12.9878,-0.0178,-0.2297,-0.2082,75
1.34,25,8.8844,-1.3471,-13.0557,-0.0043,-0.1762,-0.1865,75
1.392,26,8.9642,-1.1992,-13.102,-0.0051,-0.1307,-0.1613,75
1.444,27,9.0009,-1.1108,-13.1507,-0.001,-0.0993,-0.1357,75
1.495,28,9.0831,-1.0698,-13.1534,-0.0056,-0.073,-0.1076,75
1.547,29,9.0575,-1.0098,-13.1755,-0.007,-0.0548,-0.0858,75
1.599,30,9.0236,-0.9748,-13.2054,-0.0084,-0.0315,-0.0687,75
1.651,31,8.997,-0.9645,-13.2165,-0.0034,-0.0073,-0.0556,75
1.703,32,9.0381,-0.9299,-13.2132,0.0017,0.0188,-0.0452,75
1.754,33,9.0802,-0.9086,-13.1656,0.0013,0.0338,-0.0339,75
1.806,34,9.1207,-0.8803,-13.1071,0.0044,0.0457,-0.0204,75
1.858,35,9.0346,-0.869,-13.1273,0.0158,0.0475,-0.0173,75
1.91,36,8.9822,-0.8759,-13.1095,0.0119,0.0509,-0.0154,75
1.962,37,9.6386,-0.9684,-12.6741,0.008,0.2529,0.0466,75
2.013,38,9.6615,-0.8567,-12.7409,-0.0213,0.2872,0.0502,75
2.065,39,9.5929,-0.8886,-12.5869,-0.0288,0.2683,0.053,75
2.117,40,9.5293,-0.9963,-12.451,-0.0335,0.2402,0.0615,75
2.169,41,9.5646,-0.9706,-12.3643,-0.0135,0.1577,0.059,75
2.221,42,9.5965,-0.9773,-12.2413,0.118,0.1092,0.0433,75
2.272,43,9.6371,-0.985,-11.8869,0.4113,0.0324,0.0165,75
2.324,44,9.562,-1.0802,-11.6505,0.5703,0.0187,0.0091,75
2.376,45,9.3785,-1.1537,-11.619,0.729,0.0574,0.0107,75
2.428,46,9.1069,-1.1896,-11.7231,0.8303,0.0859,0.0079,75
2.479,47,8.4118,-1.0068,-10.9555,0.7756,-0.0223,-0.0072,75
2.531,48,6.3754,-1.5486,-13.264,0.7707,-0.4363,0.1301,75
2.583,49,7.9676,-1.1625,-12.9029,0.6751,-0.1165,0.1617,75
2.635,50,8.1626,-1.6964,-12.3016,0.377,0.0602,0.2754,75
2.687,51,8.4186,-2.108,-12.1767,0.1411,0.1103,0.2765,75
2.738,52,8.6903,-2.2421,-11.8999,-0.0651,0.1999,0.2284,75
2.79,53,8.646,-2.4146,-11.4174,-0.2484,0.227,0.1633,75
2.842,54,8.5546,-2.6924,-10.8275,-0.2777,-0.0561,0.1166,75
2.894,55,8.9443,-2.4182,-11.1472,-0.0223,-0.5515,-0.2935,75
2.945,56,8.1439,-2.43,-10.7354,-0.2057,-0.9124,-0.5088,75
2.997,57,8.6906,-2.1654,-12.0898,-0.2486,-1.3083,-0.7528,75
3.049,58,8.5554,-1.1609,-13.0744,-0.3199,-1.5278,-0.7733,75
3.101,59,8.124,-0.8524,-13.7333,-0.3499,-1.5307,-0.6106,75
3.152,60,8.1393,-0.4918,-14.5383,-0.283,-1.3347,-0.5803,75
3.204,61,8.3111,-0.0588,-15.1886,-0.2177,-0.7898,-0.4645,75
3.256,62,9.2085,-0.2562,-15.0322,-0.1713,0.1019,-0.1445,75
3.308,63,11.9865,-0.158,-11.5475,-0.7616,0.019,0.0316,75
3.36,64,8.8934,-3.3901,-12.5855,0.0596,-0.4678,-0.651,75
3.412,65,7.742,-4.7895,-6.6014,0.72,0.2208,-0.4168,75
3.463,66,6.0573,-5.2595,-7.1275,0.8866,0.8395,0.2852,75
3.515,67,4.6774,-3.0708,-12.6191,1.3236,1.2304,0.0122,75
3.567,68,2.7192,-0.205,-16.3837,1.6426,0.8435,0.0238,75
3.619,69,-0.3983,4.376,-9.3735,1.5374,0.7208,-0.646,75
3.67,70,2.7402,3.1657,-11.3758,0.9915,0.61,-0.2279,75
3.722,71,7.2657,-1.7311,-16.3075,0.0484,0.2488,-0.689,75
3.774,72,8.6422,-4.079,-13.0736,-0.3294,-0.489,-1.0977,75
3.826,73,5.2651,-8.214,-6.9577,-0.4232,0.2374,-0.4577,75
3.878,74,3.5337,-9.4037,-4.6548,-0.9841,0.8516,0.3437,75
3.929,75,3.4049,-1.5113,-11.4022,-0.0417,1.2535,0.4904,75
3.981,76,-2.8391,-6.009,-5.7378,0.6461,0.3374,0.3491,75
4.033,77,-3.463,-6.5847,-6.5944,0.3776,0.2764,0.1823,75
4.085,78,1.1796,-4.5493,-9.6986,0.0662,-0.0327,-0.2649,75
4.136,79,6.1267,-8.0966,-5.3701,-0.5872,-0.1803,-0.7272,75
4.188,80,9.7372,-11.1463,-6.9263,0.2461,-0.805,-0.8772,75
4.24,81,7.9358,-12.186,-2.4711,-0.4956,0.0575,0.0375,75
4.292,82,8.5055,-5.8688,-8.8859,0.2341,0.7203,0.7051,75
4.344,83,6.2379,1.0686,-14.4902,0.8474,1.2041,0.2304,75
4.395,84,2.8695,-2.0524,-18.5805,0.9571,1.2363,-0.5058,75
4.447,85,6.1951,-1.6994,-18.9284,0.2672,0.7505,-0.6425,75
4.499,86,9.7872,-6.4773,-11.2308,-0.4682,-0.0839,-0.7468,75
4.551,87,12.3384,-9.3258,-10.8059,0.3348,-0.7346,-1.2043,75
4.603,88,8.1871,-11.6913,-5.3026,-0.4245,0.1165,-0.3659,75
4.654,89,10.3499,-9.3912,-6.9553,-0.2475,0.7634,0.4107,75
4.706,90,9.6739,-1.5022,-11.5067,-0.1561,1.2355,0.8986,75
4.758,91,3.6419,4.2555,-16.403,-0.3429,1.0368,-0.0103,75
4.81,92,2.1632,-1.6131,-12.4612,-0.6345,0.4209,-0.6815,75
4.862,93,5.2371,-6.3487,-14.1464,-1.1117,0.2441,-1.0023,75
4.913,94,9.088,-9.8692,-13.8017,-1.2632,-0.2771,-1.2802,75
4.965,95,7.9566,-12.44,-14.7335,-1.1266,-0.6354,-1.6083,75
5.017,96,3.9239,-13.5448,-9.0095,-1.0658,0.2146,-1.0507,75
5.069,97,4.6432,-11.3269,-8.2096,-1.4214,0.3019,-0.0891,75
5.12,98,5.2772,-7.7524,-9.7086,-0.5585,0.7499,0.6127,75
5.172,99,4.6771,-0.3061,-11.8756,0.2689,0.8611,0.4261,75
5.224,100,2.4296,5.0351,-13.7495,-0.1411,0.8748,0.8165,75
5.276,101,2.4599,0.2269,-17.3309,0.4456,0.757,0.9761,75
5.328,102,7.0611,1.8744,-18.5974,-0.35,0.0777,1.0654,75
5.379,103,10.4193,-3.869,-17.0288,-0.7421,0.3971,0.7311,75
5.431,104,12.8702,-8.0608,-9.8443,0.0732,-0.3836,0.2461,75
5.483,105,11.1792,-11.1202,-7.0351,-0.6218,-0.1513,0.8573,75
5.535,106,13.3873,-6.371,-8.2391,0.1928,0.0913,1.3035,75
5.586,107,10.3295,0.702,-14.0181,0.8173,0.7351,0.9637,75
5.638,108,3.0162,4.3965,-18.2359,0.9351,0.9236,0.2608,75
5.69,109,2.6801,1.0195,-18.7579,0.5322,1.0145,0.7693,75
5.742,110,7.2218,-4.4929,-11.9818,-0.1632,0.067,0.0958,75
5.794,111,6.3242,-8.5162,-12.7803,-0.5585,-0.3262,-0.6041,75
5.846,112,3.844,-11.4238,-7.0478,-0.7934,0.4014,-0.2388,75
5.897,113,4.6769,-11.6458,-6.4812,-0.9705,0.845,0.5034,75
5.949,114,6.0675,-8.5855,-7.4641,-0.4409,1.2174,1.0452,75
6.001,115,5.2208,-0.9142,-11.7073,0.3548,1.2373,0.9363,75
6.053,116,3.5051,1.7004,-5.9605,0.1471,0.7422,0.6338,75
6.105,117,3.1171,4.0693,-12.2538,0.7183,-0.1317,1.1066,75
6.156,118,7.4471,1.883,-14.4433,0.1168,-0.6786,0.9103,75
6.208,119,9.0262,-3.8627,-13.5296,-0.5892,-0.4364,0.4581,75
6.26,120,10.7738,-8.0562,-7.2904,0.1245,-0.1187,-0.0252,75
6.312,121,9.3353,-10.356,-6.5642,0.3557,0.2409,0.6594,75
6.363,122,9.9177,-9.0524,-8.0228,0.9362,0.7692,1.159,75
6.415,123,9.6721,-5.4474,-10.4393,1.3598,1.0878,1.3227,75
6.467,124,7.1626,1.073,-15.624,1.6482,1.4722,0.7111,75
6.519,125,4.7929,0.0354,-13.3675,0.5277,1.4149,-0.0368,75
6.571,126,3.4194,1.7803,-15.9013,0.0999,0.3593,0.2881,75
6.622,127,7.7614,1.8112,-15.1018,0.1246,0.5329,0.888,75
6.674,128,5.966,0.0752,-15.5587,0.2324,0.1195,0.5835,75
6.726,129,6.3487,-0.1809,-15.6258,0.2117,0.5281,0.1054,75
6.778,130,7.5056,0.2221,-15.5137,0.1741,0.4392,-0.0517,75
6.83,131,9.7446,0.4618,-14.5052,0.4028,0.398,-0.1982,75
6.881,132,9.5166,0.915,-12.194,0.9163,0.4033,-0.5855,75
6.933,133,9.6199,-0.605,-11.8226,1.3453,0.242,-1.0925,75
6.985,134,7.4461,-0.364,-15.2382,1.6584,0.5849,-1.2525,75
7.037,135,8.6389,-0.0273,-12.8904,0.8715,-0.2465,-0.5601,75
