right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.137,2,9.5452,-0.7641,-11.1895,-0.0736,0.0015,-0.0937,93,0.541,10,8.859,0.7199,-11.141,0.0085,-0.0386,-0.1419,63
0.188,3,9.4624,-0.7556,-11.1699,-0.1082,-0.0443,-0.1141,93,0.593,11,8.8749,0.8052,-11.0873,0.0487,-0.06,-0.1421,63
0.24,4,9.5835,-0.4528,-11.3973,-0.2184,-0.1444,-0.1615,93,0.644,12,8.8712,0.8997,-11.2086,0.1172,-0.0791,-0.1523,63
0.292,5,9.8408,-0.4642,-12.5573,-0.2422,-0.3227,-0.1627,93,0.696,13,8.7795,1.081,-11.3225,0.1027,-0.107,-0.1283,63
0.344,6,10.8598,-0.4836,-14.2236,-0.6439,-0.8956,-0.2275,93,0.748,14,8.7666,1.0476,-11.4577,0.0627,-0.0964,-0.1084,63
0.396,7,11.7824,-0.4615,-16.0266,-0.8318,-1.3271,-0.3971,93,0.8,15,8.6318,1.3476,-11.4973,-0.0142,-0.0614,-0.0752,63
0.447,8,11.6161,-0.1646,-16.4985,-0.6269,-1.642,-0.5954,93,0.852,16,8.8683,1.185,-11.43,-0.053,-0.0685,-0.0631,63
0.499,9,10.6073,0.2241,-15.6965,-0.4809,-1.8718,-0.7224,93,0.904,17,8.9211,1.1452,-11.3608,0.0577,-0.0589,-0.0856,63
0.551,10,8.8775,0.5502,-14.9228,-0.3808,-2.0395,-0.8059,93,0.955,18,8.8174,1.2461,-11.4565,0.1119,-0.0791,-0.0824,63
0.603,11,7.1721,0.5957,-14.9461,-0.2871,-2.0996,-0.7979,93,1.007,19,8.7938,1.2546,-11.5742,0.0708,-0.0867,-0.057,63
0.655,12,5.6866,0.5796,-15.8045,-0.1394,-1.9306,-0.6954,93,1.059,20,8.7042,1.3927,-11.6369,0.0281,-0.0774,-0.0259,63
0.706,13,4.506,1.0472,-16.3538,-0.131,-1.6231,-0.549,93,1.111,21,8.9004,1.0162,-11.7107,-0.1136,-0.068,0.0069,63
0.758,14,3.7779,1.4695,-16.172,-0.2546,-1.3287,-0.4115,93,1.163,22,8.8004,1.405,-11.6932,-0.1385,-0.0511,0.0195,63
0.81,15,2.6922,1.8512,-16.7522,-0.119,-1.0742,-0.3495,93,1.214,23,8.7528,1.075,-11.6529,-0.2084,-0.0668,0.0429,63
0.862,16,1.8079,1.9565,-17.7362,-0.1072,-0.8577,-0.2987,93,1.266,24,8.8213,1.0533,-11.643,-0.2362,-0.0828,0.0378,63
0.914,17,1.18,1.9206,-18.4244,-0.0881,-0.702,-0.2536,93,1.318,25,8.8197,1.1179,-11.6246,-0.1887,-0.0945,0.0287,63
0.965,18,0.3862,1.5763,-19.0004,-0.033,-0.5323,-0.201,93,1.37,26,8.7409,0.9713,-11.6864,-0.1828,-0.1072,0.0224,63
1.017,19,0.2859,1.9326,-18.1888,-0.0068,-0.3662,-0.075,93,1.421,27,8.7326,1.3511,-11.6387,-0.193,-0.1545,0.0286,63
1.069,20,0.6496,2.6506,-18.0171,-0.263,-0.0777,-0.0529,93,1.473,28,8.7448,0.9968,-11.7751,-0.1726,-0.1674,0.0144,63
1.121,21,0.6294,2.4252,-18.6904,-0.0702,0.0271,-0.1349,93,1.525,29,8.6946,1.2183,-11.7991,-0.1332,-0.1427,-0.016,63
1.173,22,0.5798,2.3971,-19.3262,0.2902,0.029,-0.2046,93,1.577,30,8.5957,1.2597,-11.8112,-0.066,-0.131,-0.0424,63
