right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.046,0,8.9884,-1.5349,-13.09,0.0618,0.4126,0.0604,93,0.455,8,1.4026,0.8616,-17.6548,-0.0371,-0.6439,-0.0395,63
0.098,1,8.9775,-1.6045,-12.8961,-0.0507,0.4041,0.0896,93,0.506,9,1.5474,0.8121,-17.7898,-0.0806,-0.775,-0.0347,63
0.149,2,8.8217,-1.5052,-11.5918,-0.351,0.242,0.1082,93,0.558,10,3.1229,0.8547,-19.3219,-0.0417,-0.7909,-0.0071,63
0.201,3,8.6946,-1.7516,-12.0879,-0.2275,-0.1802,0.1112,93,0.61,11,4.385,1.0129,-21.4453,0.0729,-0.6302,-0.0252,63
0.253,4,7.1686,-3.0583,-13.9753,-0.2822,-0.6249,0.1615,93,0.662,12,5.5434,1.0618,-22.873,0.3456,-0.3779,-0.2577,63
0.305,5,7.556,-2.2968,-13.927,-0.0589,-1.0623,0.1245,93,0.713,13,4.7727,1.5786,-23.1724,0.5973,-0.0427,-0.433,63
0.357,6,7.1638,-2.3529,-15.2359,-0.1315,-1.0737,0.0678,93,0.765,14,3.4267,1.8056,-22.111,0.5283,0.1012,-0.4461,63
0.408,7,7.4556,-2.1784,-15.7932,-0.1126,-0.9374,0.2102,93,0.817,15,0.926,1.7843,-19.8515,0.2004,0.0884,-0.3057,63
0.46,8,8.0469,-2.5509,-16.2564,-0.3584,-0.8368,0.2254,93,0.869,16,-0.5783,1.0591,-17.4896,0.0459,-0.1185,-0.1343,63
0.512,9,9.0443,-2.8555,-16.9042,-0.4938,-0.5283,0.1568,93,0.921,17,-0.9994,0.8208,-15.8877,-0.1164,-0.3449,0.059,63
0.564,10,11.8667,-2.0539,-14.8193,-0.408,-0.2872,-0.0789,93,0.972,18,-0.4734,0.3281,-15.1947,-0.1696,-0.6539,0.176,63
0.616,11,12.6534,-3.9236,-9.1778,-0.6295,-0.5133,-0.1452,93,1.024,19,1.4756,0.12,-16.7716,-0.2331,-0.7441,0.2844,63
0.667,12,8.3863,-2.7068,-7.6514,0.2171,-0.5716,-0.3495,93,1.076,20,2.0441,-0.0276,-20.1165,-0.3014,-0.3618,0.2909,63
0.719,13,6.8822,-0.7057,-4.8541,0.0129,0.2599,-0.3565,93,1.128,21,1.6109,-0.7064,-22.6631,-0.0603,0.1881,0.2933,63
0.771,14,6.801,-1.411,-8.309,-0.5272,0.868,-0.169,93,1.179,22,1.88,-0.2837,-24.1574,0.1308,0.5601,0.1998,63
0.823,15,2.597,0.7984,-14.0692,0.2918,0.2718,0.3287,93,1.231,23,0.4896,0.5602,-23.3374,0.0253,0.6735,0.2375,63
0.874,16,7.1611,-4.3754,-14.8296,-0.4623,-0.475,0.4701,93,1.283,24,-1.4658,0.7015,-20.9673,-0.0998,0.4459,0.2422,63
0.926,17,5.8138,-4.5805,-16.5582,-0.4862,-0.4006,0.3452,93,1.335,25,-2.609,0.7719,-18.4279,0.2117,0.1239,0.2776,63
0.978,18,8.4215,-4.004,-16.9284,-0.8381,-0.1997,-0.0279,93,1.387,26,-2.4298,0.8882,-16.4201,0.3919,-0.2913,0.3566,63
1.03,19,11.4121,-3.9417,-14.4091,-0.1098,-0.2002,-0.3652,93,1.438,27,-1.5276,0.7572,-15.2927,0.4208,-0.6268,0.4201,63
1.082,20,11.1477,-4.4668,-11.5139,-0.6083,-0.6106,-0.2873,93,1.49,28,1.1616,0.1917,-16.2796,0.3253,-0.8135,0.366,63
1.133,21,9.4544,-3.842,-9.163,0.2247,-0.8814,-0.1112,93,1.542,29,2.8255,1.6205,-18.2877,-0.1141,-0.4019,0.1878,63
1.185,22,7.1595,-3.0346,-6.2828,-0.1804,0.0351,0.157,93,1.594,30,3.5819,2.3585,-21.3284,0.1997,0.2727,0.1191,63
1.237,23,9.6536,-2.2272,-12.5903,-0.2322,0.7039,0.1852,93,1.645,31,3.9531,1.6612,-23.3992,0.0583,0.7587,0.0994,63
1.289,24,7.6834,-0.1616,-17.1939,-0.6149,-0.054,0.6004,93,1.697,32,2.1562,1.7059,-22.8567,-0.0815,0.8573,0.0441,63
1.341,25,7.1866,-4.9201,-18.8022,-1.0987,-0.7128,0.7915,93,1.749,33,-0.3587,1.4599,-20.8762,-0.1401,0.6314,0.0317,63
1.392,26,6.7997,-4.9645,-19.2263,-1.1956,-0.7021,0.6928,93,1.801,34,-1.7541,1.0042,-18.4984,-0.0543,0.2865,0.0327,63
