right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.04,0,8.8462,-1.795,-4.7057,-0.7297,0.2025,0.8039,70,0.755,14,11.4085,0.4363,-18.9434,-0.6031,1.3518,0.9565,39
0.092,1,2.7791,2.7483,-11.4393,0.1439,0.8261,0.4242,70,0.807,15,10.8848,-0.5713,-21.8069,-0.3092,1.5714,0.4706,39
0.144,2,1.2187,2.6016,-16.3538,0.7765,1.0801,-0.2085,70,0.858,16,2.4716,0.5972,-23.3196,0.449,0.8914,-0.0159,39
0.196,3,-4.4347,-3.3383,-19.9406,-0.1048,0.4528,-0.4883,70,0.91,17,-3.6688,0.9081,-19.9446,0.9619,-0.0162,-0.1073,39
0.248,4,0.5677,-3.4936,-22.2005,-0.5983,-0.0298,-0.4813,70,0.962,18,-5.7911,3.4614,-16.8558,0.2278,-0.3802,-0.3412,39
0.299,5,5.6801,-1.5671,-16.2695,-0.2178,-0.5281,-0.7768,70,1.014,19,0.8907,3.0801,-17.3239,0.1579,-0.3575,-0.3974,39
0.351,6,9.4113,-4.7387,-9.2902,-0.8341,-1.0588,-0.2884,70,1.065,20,5.7674,2.735,-15.4059,0.2103,-0.8104,-0.6462,39
0.403,7,12.1116,-2.0376,-4.1963,0.0677,-1.4462,-0.2222,70,1.117,21,9.2467,3.6537,-15.2735,-0.4659,-1.1297,0.0747,39
0.455,8,7.8921,-2.5656,-1.1782,-0.3811,-0.3771,-0.2307,70,1.169,22,8.0454,0.1951,-19.1284,-1.0146,-0.3478,0.4637,39
0.507,9,0.4358,-0.304,-8.8648,0.3246,0.4031,-0.1453,70,1.221,23,6.4787,-1.8778,-21.3739,-0.5858,0.4312,0.3594,39
0.558,10,5.5838,-5.4589,-10.409,0.8108,0.9726,-0.223,70,1.273,24,-0.7442,-1.2018,-21.1008,0.2471,0.823,0.014,39
0.61,11,8.7328,-1.0325,-15.6019,0.9771,0.2296,0.2508,70,1.324,25,-6.0158,-1.1195,-19.8322,0.6353,0.6407,-0.434,39
0.662,12,11.0142,-3.8271,-15.4817,0.1027,-0.3685,-0.077,70,1.376,26,-7.4155,0.8391,-18.2984,0.896,0.3939,-0.7966,39
0.714,13,13.3044,1.2133,-10.5108,-0.0015,-0.7236,-0.2744,70,1.428,27,-5.1006,1.6046,-17.8013,0.6306,0.4128,-1.1307,39
0.766,14,14.6873,-4.3515,-9.4385,-0.1614,-1.2015,-0.4822,70,1.48,28,1.3947,2.1885,-16.4247,0.7135,-0.2302,-0.7181,39
0.817,15,10.1097,-0.9182,-4.3046,-0.5684,-0.9235,-0.6238,70,1.531,29,6.1352,6.8894,-17.1995,0.3919,-0.8348,-0.2926,39
0.869,16,7.4519,-3.3581,-1.4904,0.0096,0.0044,-0.7521,70,1.583,30,9.595,2.5496,-18.5509,0.7026,-0.0868,-0.2577,39
0.921,17,4.6524,-3.4276,-7.7914,-0.4377,0.6815,-0.4234,70,1.635,31,9.1351,-0.3865,-19.76,0.8783,0.6216,-0.1132,39
0.973,18,3.5396,-2.9575,-13.6914,0.3571,1.1758,-0.522,70,1.687,32,2.066,-1.1369,-21.2592,1.3157,1.1386,-0.1988,39
1.025,19,-2.7408,3.1934,-17.9975,-0.1738,1.3518,-0.0412,70,1.739,33,-3.9648,-0.734,-22.7393,0.7741,1.5123,-0.176,39
1.076,20,2.7784,7.4938,-17.7513,0.3117,0.5104,0.0114,70,1.79,34,-5.1542,0.6636,-23.7376,1.2397,1.4125,-0.3144,39
1.128,21,7.2936,7.8544,-16.1031,0.6343,0.2348,-0.0004,70,1.842,35,-2.0329,2.6425,-23.8971,0.3081,0.8397,-0.0347,39
1.18,22,10.5889,2.8273,-9.302,0.5553,-0.3077,-0.1672,70,1.894,36,2.8178,0.8474,-21.6676,-0.4522,-0.054,-0.2327,39
1.232,23,12.994,5.4698,-4.205,0.304,-0.898,-0.4524,70,1.945,37,7.1738,5.7687,-20.3198,0.3446,-0.7062,0.0089,39
1.284,24,12.1392,2.5184,-0.8734,-0.4534,0.023,0.0019,70,1.998,38,10.3531,2.4876,-18.5027,-0.4256,-1.1822,-0.0279,39
