right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.167,3,10.6272,-0.9807,-16.7712,0.6979,-0.7543,-0.0474,92,0.022,0,8.6532,-0.9349,-12.1596,-0.2053,-0.0819,-0.0969,63
0.218,4,10.4548,-1.0479,-16.2041,0.306,-0.7199,0.1465,92,0.074,1,8.5621,-0.9681,-12.1156,-0.163,-0.0533,-0.112,63
0.27,5,11.1326,-1.652,-15.6059,0.0467,-0.4007,0.1061,92,0.126,2,8.6708,-0.6523,-11.8788,-0.0729,-0.0861,-0.1531,63
0.322,6,12.5399,-0.9901,-13.2299,-0.3334,-0.0213,0.0712,92,0.177,3,8.7673,-0.3239,-12.2283,0.0355,-0.151,-0.1345,63
0.374,7,9.4932,-1.7311,-12.7918,-0.3098,-0.0217,0.1357,92,0.229,4,8.7375,-0.3512,-12.3151,0.0339,-0.1692,-0.0705,63
0.426,8,8.7797,-0.8881,-8.8619,-0.1038,-0.0506,0.077,92,0.281,5,8.6665,-0.4046,-12.2191,0.063,-0.2024,-0.0366,63
0.477,9,6.6049,-0.7506,-8.516,-0.4777,0.6411,0.0261,92,0.333,6,8.544,-0.4529,-12.1163,0.0269,-0.3107,-0.0274,63
0.529,10,3.9572,0.0887,-11.6809,0.2586,0.7368,0.0274,92,0.385,7,8.4121,-1.1015,-11.4727,-0.08,-0.5599,-0.0913,63
0.581,11,8.1539,5.4166,-16.5301,0.5273,-0.1227,-0.3161,92,0.436,8,8.5895,-0.9158,-12.3899,0.1176,-1.0542,-0.3376,63
0.633,12,5.7194,5.4424,-17.4976,0.6379,0.5211,-0.0085,92,0.488,9,11.3863,-2.6394,-11.7543,0.3879,-1.4362,-0.6641,63
0.685,13,7.9571,3.6779,-17.4086,0.4875,0.2787,-0.0222,92,0.54,10,12.9537,-0.3925,-13.2242,-0.3108,-1.7147,-0.6413,63
0.736,14,11.0381,2.0164,-15.5794,0.0742,0.2533,-0.0723,92,0.592,11,9.9761,1.1505,-17.6328,-0.257,-1.9079,-0.6966,63
0.788,15,13.3218,-0.3989,-11.7095,-0.4215,0.0831,0.039,92,0.644,12,6.9453,1.5601,-18.3551,0.0132,-2.0316,-0.4901,63
0.84,16,12.6655,-0.7867,-8.9646,-0.7511,-0.3704,0.3125,92,0.695,13,4.198,1.5588,-17.1311,-0.2013,-2.0113,0.0342,63
0.892,17,7.9363,2.2403,-6.5179,-0.6603,0.408,0.3812,92,0.747,14,2.5974,1.1091,-15.6745,-0.6427,-2.0052,0.4663,63
0.943,18,5.8162,2.0669,-12.7619,0.1683,0.9761,-0.1165,92,0.799,15,1.3682,1.6139,-14.1633,-1.0505,-2.0346,0.7053,63
0.995,19,9.5107,-3.7285,-6.7302,0.0462,0.115,0.2942,92,0.851,16,0.6184,1.4765,-13.2388,-1.1522,-2.0304,0.6714,63
1.047,20,12.2071,-4.8846,-9.2456,0.3436,-0.5154,0.195,92,0.903,17,1.1753,0.4072,-13.1396,-0.8119,-2.0339,0.4274,63
1.099,21,11.7534,-4.8922,-11.7145,0.1755,-0.4165,0.2416,92,0.954,18,4.4197,1.9594,-15.0192,0.0433,-1.9281,-0.0645,63
1.151,22,12.4004,-4.4881,-12.771,0.0179,-0.2952,0.1011,92,1.006,19,5.1173,4.5365,-18.4109,0.22,-1.0523,-0.3318,63
1.203,23,14.3161,-3.9666,-10.5391,-0.152,-0.3992,0.0332,92,1.058,20,3.6173,4.8408,-21.4183,0.3286,-0.083,-0.2462,63
