right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.1,1,9.006,-2.4225,-8.045,-0.0694,0.0216,-0.1725,70,0.158,3,9.6126,1.1324,-11.4156,-0.4054,-0.1196,0.0405,40
0.152,2,9.092,-2.256,-8.1205,-0.2253,-0.1622,-0.1993,70,0.21,4,9.3903,1.0457,-11.2855,-0.5058,-0.1344,0.0445,40
0.203,3,9.1774,-2.1365,-8.4467,-0.4362,-0.3156,-0.2022,70,0.262,5,9.1652,1.1379,-11.3316,-0.3159,-0.1027,0.0346,40
0.255,4,9.2003,-2.2283,-8.7886,-0.4048,-0.4481,-0.1646,70,0.313,6,8.9837,1.3238,-11.2345,0.057,-0.0994,0.051,40
0.307,5,8.9798,-2.3338,-9.0707,-0.3156,-0.4979,-0.1406,70,0.365,7,8.9227,1.461,-11.5652,0.3513,-0.1067,0.2198,40
0.359,6,9.2017,-2.2881,-9.5732,-0.1674,-0.5273,-0.1226,70,0.417,8,9.7555,0.1064,-11.0236,0.629,-0.306,0.6701,40
0.411,7,9.2182,-2.0854,-9.6371,-0.1656,-0.5588,-0.1216,70,0.469,9,9.691,-0.1352,-12.3167,1.1337,-0.5448,1.1694,40
0.462,8,9.2435,-2.3392,-9.9001,-0.0362,-0.5422,-0.0822,70,0.521,10,12.1902,0.4504,-12.8295,1.1947,-0.8204,1.5339,40
0.514,9,9.6875,-1.9869,-10.2782,0.0793,-0.5796,-0.0394,70,0.572,11,12.9356,0.4311,-13.8039,0.7906,-1.1913,1.7998,40
0.566,10,10.1351,-3.0667,-9.832,0.2967,-0.6842,0.0719,70,0.624,12,10.9402,-1.4264,-14.4527,0.5592,-1.2808,1.9939,40
0.618,11,8.3916,-1.6258,-10.1674,0.3765,-0.5954,0.2465,70,0.676,13,9.2657,-2.7969,-15.0008,0.6419,-1.3858,1.8183,40
0.67,12,4.67,-6.4236,-15.4255,-0.2807,-0.1849,0.2771,70,0.728,14,6.253,-3.5074,-14.5647,0.7251,-1.1424,1.6912,40
0.721,13,1.5315,-7.6936,-15.7696,-0.8801,-0.5679,-0.0148,70,0.78,15,1.9831,-3.3129,-13.9723,0.4167,-0.972,1.7757,40
0.773,14,3.7538,-6.1969,-15.2355,-0.5505,-0.8605,-0.0087,70,0.832,16,1.7301,-3.5757,-12.2184,0.2189,-0.839,1.9316,40
