right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.131,2,7.8006,0.4759,-16.3158,0.1895,-0.7526,-0.14,91,0.192,3,8.1902,2.3,-9.7883,0.2535,-0.225,0.2054,62
0.183,3,8.9153,0.5232,-17.2757,0.0818,-0.6179,-0.0191,91,0.244,4,7.8507,2.639,-10.6576,0.0225,-0.6107,0.2952,62
0.234,4,10.6155,1.1442,-17.3522,-0.0182,-0.3823,0.1031,91,0.295,5,8.1726,1.6871,-11.4561,0.0604,-0.7614,0.3626,62
0.286,5,12.4176,0.3812,-16.2953,-0.5149,0.2967,0.2685,91,0.347,6,8.458,1.3352,-12.3374,0.0918,-0.8662,0.5174,62
0.338,6,7.9945,-1.1667,-19.8979,0.1687,-0.1407,-0.0635,91,0.399,7,8.3036,0.4878,-13.1556,0.1411,-0.9473,0.6351,62
0.39,7,7.7024,-0.3564,-19.2584,-0.2733,-0.7761,-0.0519,91,0.451,8,8.6619,0.1863,-13.8088,0.2084,-0.9587,0.5066,62
0.442,8,7.7474,-0.4572,-16.0239,-0.622,-1.2398,-0.1991,91,0.503,9,9.0636,0.0103,-14.4511,0.2483,-0.7905,0.4386,62
0.493,9,8.4037,0.6813,-11.9767,-0.7336,-1.5783,-0.013,91,0.555,10,11.7323,0.2431,-14.8324,0.4505,-0.3236,0.326,62
0.545,10,6.4534,-0.1621,-11.7725,-0.8686,-1.5059,0.1685,91,0.607,11,11.3901,2.9738,-13.8007,0.916,0.2724,0.2115,62
0.597,11,4.3369,-1.0087,-14.398,-0.0255,-0.4207,0.1636,91,0.658,12,9.7614,6.379,-9.6098,0.6438,-0.0393,0.128,62
0.649,12,1.5174,0.8717,-18.1966,0.0211,0.3713,-0.0506,91,0.71,13,6.4091,5.5226,-7.3246,0.3765,0.6563,-0.5139,62
0.701,13,0.6938,1.5788,-21.2419,-0.0003,0.6614,0.0243,91,0.762,14,5.4574,3.1618,-10.0232,-0.4023,1.1639,-0.8805,62
0.753,14,-0.8694,0.9136,-22.0902,0.3012,0.4583,0.0756,91,0.814,15,4.1186,-2.9892,-13.6664,0.054,1.2735,-0.766,62
0.805,15,-0.7216,0.9293,-20.7506,0.4389,-0.2952,-0.1848,91,0.866,16,8.1232,0.9986,-7.3666,-0.4959,0.4234,0.0713,62
0.856,16,2.7132,0.9758,-18.4852,0.2452,-0.8889,-0.2931,91,0.917,17,8.9998,-0.1223,-11.604,0.1443,0.1224,0.5577,62
0.908,17,5.0138,-0.282,-16.9402,-0.4826,-1.3213,0.0706,91,0.969,18,10.6482,-0.5035,-12.7912,0.433,0.2163,0.601,62
0.96,18,7.0555,0.3061,-16.6892,0.3243,-0.3965,0.1479,91,1.021,19,12.8888,2.7686,-11.1593,0.6157,-0.5089,0.4149,62
1.012,19,5.9708,1.8934,-18.8759,-0.353,0.389,0.1812,91,1.072,20,12.8284,3.836,-9.3071,0.8,-1.0382,0.5026,62
1.064,20,3.6604,1.9458,-20.8181,0.1564,0.9623,0.3707,91,1.124,21,7.7419,3.8248,-4.185,0.1851,-0.1616,-0.1337,62
1.115,21,-0.4662,1.4405,-21.5214,0.0913,1.2454,0.1862,91,1.176,22,7.6467,-1.6573,-6.7512,-0.5011,0.567,-0.769,62
1.167,22,0.0633,0.4338,-20.8672,0.0757,0.7377,-0.2754,91,1.228,23,1.97,4.0826,-12.9085,-1.0428,0.085,-0.6376,62
1.219,23,4.0306,-0.0695,-18.8397,0.2093,0.1203,-0.1813,91,1.28,24,5.6019,8.2718,-10.5721,-0.9296,-0.6048,0.0612,62
1.27,24,6.7098,0.5887,-16.6064,-0.0821,-0.4482,0.2713,91,1.331,25,7.6964,6.0172,-12.4692,-0.3106,-0.3159,0.1674,62
1.322,25,5.7425,-0.672,-17.6417,0.1978,-0.4408,0.3532,91,1.383,26,10.7345,6.7997,-8.7185,-0.1947,-0.8974,-0.0198,62
1.374,26,4.6506,1.5299,-20.5373,0.0706,0.3567,0.4536,91,1.435,27,10.6511,8.7603,-8.4999,0.4084,-1.3217,0.3438,62
1.426,27,3.8387,1.2975,-22.3148,-0.3742,0.9382,0.7202,91,1.487,28,8.6587,8.1209,-3.5959,0.3502,-0.4378,-0.1887,62
1.478,28,3.4199,1.4729,-22.6137,-0.2296,1.1621,0.5985,91,1.538,29,9.4602,3.3273,-5.023,0.5514,0.3654,-0.8092,62
1.529,29,2.2353,0.9778,-21.9699,-0.1277,0.8657,0.0982,91,1.59,30,7.7391,-0.2062,-11.6472,-0.2746,0.9517,-0.4778,62
