right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.036,0,7.1997,0.2651,-10.974,-0.2795,-0.9727,-0.0411,93,0.377,7,6.4329,3.2895,-13.4204,0.3591,-0.1329,-0.0446,62
0.088,1,10.5204,-0.2619,-14.8873,0.1109,-0.0316,0.3076,93,0.429,8,9.8123,0.2624,-10.0399,0.1512,-0.682,-0.126,62
0.139,2,12.7034,0.9095,-18.8703,0.7575,0.6553,0.5864,93,0.481,9,11.7131,1.2419,-5.7591,-0.0475,-1.1645,-0.293,62
0.191,3,11.3603,1.9858,-21.7772,0.2626,0.7814,0.8171,93,0.532,10,6.0922,-4.3904,-1.5955,-0.5345,-0.2932,0.2475,62
0.243,4,4.3637,3.3519,-21.3733,-0.2672,0.4977,0.5954,93,0.584,11,7.5266,-0.9378,-7.4157,-0.453,0.471,0.861,62
0.295,5,0.0808,4.1987,-18.5235,-0.2202,-0.0605,-0.047,93,0.636,12,7.814,4.6077,-13.3935,-0.8371,0.2016,0.2269,62
0.347,6,1.2965,2.9363,-14.8022,-0.3956,-0.4237,-0.4512,93,0.688,13,1.9184,8.655,-17.7563,-0.2231,-0.4548,-0.2055,62
0.398,7,4.6547,0.8835,-11.3412,-0.2447,-0.3899,-0.4544,93,0.74,14,4.1567,7.6326,-16.9506,-0.0486,-0.5393,-0.5711,62
0.45,8,8.663,-0.7108,-10.7746,0.2683,0.3938,-0.2938,93,0.791,15,5.9743,7.2367,-15.5748,0.3561,-0.6089,-0.4395,62
0.502,9,11.5884,-1.1201,-13.8243,0.4092,0.9658,0.2642,93,0.843,16,9.4776,5.5551,-12.1277,0.5891,-1.0903,-0.5403,62
0.554,10,13.7234,0.9683,-18.0945,0.6801,1.3832,0.6367,93,0.895,17,11.4341,5.3017,-6.8814,0.4023,-1.4625,-0.5529,62
0.606,11,13.1459,2.4501,-21.211,0.5843,0.7713,0.5332,93,0.947,18,12.9123,-1.4274,-2.4146,-0.2419,-1.032,-0.4614,62
0.658,12,6.2838,2.5716,-20.8837,0.3455,-0.1023,0.2429,93,0.999,19,4.3993,-2.2167,-3.8551,-0.1115,-0.0682,0.3436,62
0.709,13,0.9835,2.6537,-18.5673,0.1067,-0.7481,-0.1931,93,1.05,20,8.3281,3.6743,-10.4658,-0.7584,0.6352,0.9311,62
0.761,14,2.5028,2.7375,-16.1309,-0.1326,-1.0365,-0.4121,93,1.102,21,4.122,-1.247,-12.4653,-0.2168,0.5522,0.4942,62
0.813,15,7.0924,0.5914,-12.2908,-0.6184,-1.0881,-0.2364,93,1.154,22,6.947,0.413,-12.7388,0.1271,0.2359,-0.0681,62
0.865,16,10.4337,-1.2476,-10.48,-0.4934,-0.4935,-0.0154,93,1.206,23,7.919,1.9539,-12.5892,0.3573,-0.1255,-0.1279,62
0.917,17,12.8807,-0.7413,-12.8984,-0.086,0.3181,0.4911,93,1.258,24,10.8969,1.4877,-10.3715,0.6281,-0.7584,-0.161,62
0.968,18,14.6667,1.3794,-17.4187,0.31,0.9105,0.7695,93,1.309,25,10.4219,1.3086,-7.1566,0.681,-1.1921,-0.3202,62
1.02,19,13.561,2.6934,-20.7178,0.2444,0.326,0.5014,93,1.361,26,9.8848,-0.0907,-2.6155,0.3498,-1.247,-0.5117,62
1.072,20,9.6883,2.3089,-20.5284,-0.0815,-0.4355,0.2739,93,1.413,27,7.0225,-2.3692,-0.4692,0.6489,-0.2252,0.0955,62
1.124,21,4.6702,1.903,-18.013,-0.0846,-0.9912,-0.0539,93,1.465,28,8.4069,-2.2818,-7.5627,-0.1761,0.5206,0.7501,62
1.175,22,1.8448,1.8641,-15.3504,-0.2914,-1.3905,-0.3219,93,1.517,29,11.253,-6.9621,-2.9118,-0.4762,-0.2868,0.0119,62
1.227,23,2.4467,1.694,-12.8126,-0.8685,-1.458,-0.3724,93,1.568,30,12.0199,-5.8861,-4.2338,-0.6632,-0.5658,-0.3401,62
1.279,24,5.9682,1.0097,-11.1497,-0.8118,-1.3032,-0.3505,93,1.62,31,11.8341,-3.2207,-6.2365,-0.2284,-0.9383,-0.1636,62
1.331,25,9.6216,-0.1456,-13.1513,-0.5767,-0.2728,-0.0538,93,1.672,32,13.7544,-1.2457,-6.8803,-0.327,-1.3516,0.0619,62
1.383,26,12.288,0.8911,-17.548,-0.145,0.4793,0.5167,93,1.724,33,15.1558,-0.8614,-4.1784,-0.1439,-1.509,-0.0357,62
1.434,27,12.8106,3.1353,-20.8122,-0.1403,0.6656,0.7581,93,1.776,34,12.0189,-1.6786,-4.3093,-0.7243,-1.642,-0.2127,62
1.486,28,9.8742,3.8453,-21.743,-0.1354,0.2485,0.6813,93,1.827,35,7.6988,-4.4076,-0.9976,0.0442,-0.5134,0.2024,62
