right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.248,4,9.4826,-1.1691,-12.0263,-0.1066,-0.0529,0.0495,75
0.299,5,9.3909,-1.2734,-11.8426,-0.0743,-0.0188,0.0367,75
0.351,6,9.3443,-1.3566,-11.7811,-0.0682,-0.0406,0.0213,75
0.403,7,9.3142,-1.3456,-11.7657,-0.0667,-0.0753,0.01,75
0.455,8,9.4028,-1.332,-11.6876,-0.0704,-0.1166,0.0165,75
0.506,9,9.4191,-1.1651,-12.0567,-0.0726,-0.121,0.0014,75
0.558,10,9.3984,-1.1489,-11.9141,-0.0975,-0.0981,0.0258,75
0.61,11,9.3166,-1.3073,-11.8466,-0.1392,-0.1881,0.0266,75
0.662,12,9.336,-1.3271,-12.1067,-0.1292,-0.2282,0.0175,75
0.713,13,9.3017,-1.3851,-12.2336,-0.0905,-0.1692,0.0041,75
0.765,14,9.2303,-1.3653,-12.2391,-0.1077,-0.1818,-0.01,75
0.817,15,9.4145,-1.3957,-12.4277,-0.113,-0.2396,-0.0316,75
0.869,16,9.4771,-1.4333,-12.6018,-0.1165,-0.2544,-0.0576,75
0.921,17,9.8144,-1.1727,-12.3698,-0.0451,-0.252,-0.1027,75
0.972,18,9.8021,-1.0737,-12.5007,-0.0497,-0.4005,-0.0861,75
1.024,19,9.6127,-1.8424,-13.822,-0.0469,-0.7524,-0.0012,75
1.076,20,9.493,-1.8417,-14.476,-0.2004,-1.118,0.0725,75
1.128,21,8.9347,-1.5705,-14.792,-0.1536,-1.3845,0.1167,75
1.18,22,8.2645,-1.3319,-15.0297,-0.1728,-1.5008,0.1505,75
1.231,23,7.5956,-1.2049,-15.4079,-0.2011,-1.5056,0.1893,75
1.283,24,7.1817,-1.1696,-15.7328,-0.2663,-1.4226,0.2137,75
1.335,25,7.028,-1.2821,-16.0829,-0.5194,-1.2881,0.257,75
1.387,26,6.8806,-1.2974,-16.369,-0.5112,-1.1285,0.3111,75
1.438,27,6.3667,-1.2392,-16.4897,-0.4561,-0.9452,0.3575,75
1.49,28,5.5498,-1.0708,-16.6397,-0.3137,-0.736,0.3528,75
1.542,29,4.2799,-0.5408,-16.8302,-0.4052,-0.5451,0.3637,75
1.594,30,3.5174,-0.9551,-16.8851,-0.6232,-0.7774,0.3713,75
1.646,31,7.1198,-2.2965,-16.576,-0.251,-0.8918,-0.0674,75
1.697,32,10.4621,-2.0855,-17.3588,0.1877,-0.763,-0.3398,75
1.749,33,12.1068,-1.6887,-19.5853,0.7073,-0.6612,-0.5032,75
1.801,34,9.8326,-2.108,-22.0675,0.8268,-0.5773,-0.9527,75
1.853,35,8.0144,-2.35,-23.101,0.5316,-1.0827,-1.3078,75
1.905,36,6.0088,-3.0464,-20.9011,-0.2634,-1.4636,-0.8066,75
1.956,37,1.1269,-5.5947,-15.7698,-0.4129,-1.7416,-0.2951,75
2.008,38,-2.1657,-4.3825,-11.6166,0.3752,-1.9445,-0.0397,75
2.06,39,-1.5201,-1.1924,-10.6316,0.9503,-1.7222,-0.0138,75
2.112,40,4.1563,1.1328,-11.6906,0.6126,-0.5901,-0.2145,75
2.164,41,8.2992,-0.4709,-16.1093,-0.2281,0.2476,0.0759,75
2.215,42,8.8675,-2.8437,-19.7621,0.3857,0.8591,-0.511,75
2.267,43,7.5239,-4.6448,-22.4282,0.5643,1.3054,-1.047,75
2.319,44,5.9805,-4.25,-24.3739,0.5154,1.1506,-1.3213,75
2.371,45,1.4813,-4.2056,-23.6623,-0.1158,0.2013,-0.8892,75
2.423,46,-2.8093,-4.7147,-18.7127,-0.7597,-0.5265,-0.4449,75
2.475,47,-3.5772,-4.7138,-14.6397,-0.3738,-1.0576,-0.1598,75
2.526,48,-3.7493,-4.04,-12.8329,0.4037,-1.4453,0.0327,75
2.578,49,-1.3578,-2.9099,-12.2393,0.9712,-1.3409,0.1974,75
2.63,50,4.2748,-3.2149,-14.2516,0.2957,-0.4729,0.495,75
2.682,51,8.3857,-6.5544,-18.4063,0.7811,0.3332,0.2096,75
2.733,52,6.2277,-8.8095,-21.4386,1.2466,0.9216,-0.521,75
2.785,53,9.811,-1.8605,-21.7089,0.8946,1.1016,-0.9974,75
