right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.056,1,10.0771,-1.1999,-9.7262,0.4138,-0.3322,-0.0566,70,0.145,2,10.2148,1.1483,-14.9822,0.0829,-1.5294,-0.3186,40
0.108,2,10.1255,-1.1463,-9.5012,0.3151,-0.0464,0.0522,70,0.196,3,12.5725,0.2515,-15.6132,0.0089,-1.783,-0.5861,40
0.16,3,10.3485,-1.0378,-9.3111,0.0802,0.2299,0.2293,70,0.248,4,14.2932,2.6739,-18.0244,-0.0316,-1.9681,-0.824,40
0.211,4,10.0633,-0.9149,-9.6201,-0.2375,0.4209,0.4306,70,0.3,5,14.4227,2.5344,-17.8292,-0.5166,-2.1032,-0.7666,40
0.263,5,8.9194,-0.2613,-12.0813,-0.4556,0.401,0.4756,70,0.352,6,7.7251,1.9861,-17.4972,0.2976,-1.6596,-0.7699,40
0.315,6,7.1818,0.94,-15.4585,-0.4443,-0.2757,0.1577,70,0.404,7,0.1655,2.6576,-15.4432,0.8919,-1.7608,-0.943,40
0.367,7,6.9379,-4.551,-17.8597,-0.9419,-0.8481,0.5378,70,0.456,8,-3.7141,1.4157,-13.4575,0.216,-1.9105,-0.8503,40
0.419,8,4.6932,-5.5004,-16.279,-1.0702,-0.0517,0.587,70,0.507,9,-5.2409,1.2129,-11.7497,-0.4286,-1.9799,-0.6203,40
0.47,9,5.4306,-3.4308,-17.5695,-0.7124,0.1242,0.5925,70,0.559,10,-3.3682,0.0752,-11.1002,-0.8077,-1.9449,-0.3601,40
0.522,10,6.1695,-4.0086,-17.9296,-1.0549,0.1734,0.4772,70,0.611,11,2.659,-0.075,-13.2958,-0.1953,-1.7949,-0.1756,40
0.574,11,9.7685,-4.5393,-16.3148,-1.1538,-0.4311,-0.0426,70,0.663,12,7.058,-0.0242,-16.1816,0.0859,-1.0967,-0.2664,40
0.626,12,11.0631,-6.451,-9.3232,-1.2641,-0.9333,-0.1911,70,0.715,13,5.9983,3.1013,-19.7913,0.0736,-0.1155,0.1849,40
0.678,13,9.0873,-8.5214,-5.1663,-1.3651,-0.4339,0.1206,70,0.766,14,3.7313,3.6463,-22.4257,0.6715,0.6007,0.3889,40
0.729,14,6.1647,-6.0757,-3.3725,-1.0187,0.3617,0.4708,70,0.818,15,-2.7493,3.4813,-24.3485,1.1648,1.083,0.2609,40
0.781,15,5.9625,-2.7627,-10.4663,-0.0669,0.9423,0.4308,70,0.87,16,-6.4871,1.1771,-22.9485,1.0372,0.1236,-0.021,40
0.833,16,1.5355,-1.0276,-15.6436,0.6277,1.3661,-0.2286,70,0.922,17,-7.0805,0.8733,-20.0285,0.7562,-0.5766,0.0091,40
0.885,17,-2.6829,-5.8976,-10.633,0.861,1.3375,0.5109,70,0.973,18,-4.8592,1.4455,-17.2339,0.0691,-1.0876,0.1138,40
0.937,18,3.3077,-3.2445,-10.6612,0.264,0.3028,0.8139,70,1.025,19,1.5708,0.5874,-17.2041,-0.1341,-1.4465,0.2625,40
0.988,19,7.6798,-2.8787,-6.7754,-0.0003,-0.4524,0.7,70,1.077,20,6.2638,1.0744,-20.5375,-0.0805,-0.7949,0.3553,40
1.04,20,10.8708,-3.8164,-2.9471,-0.6754,-1.0036,0.8759,70,1.129,21,7.1563,0.5231,-22.9704,-0.71,0.1048,0.5375,40
1.092,21,7.7311,-3.1162,-1.2432,-0.9521,-0.1791,0.7331,70,1.181,22,4.804,0.6521,-24.746,-0.4019,0.7615,0.4645,40
1.144,22,5.2997,-2.0968,1.0522,-1.3587,0.5476,0.5132,70,1.232,23,-1.9664,1.0557,-26.0419,0.2359,1.0108,0.3207,40
1.196,23,3.6683,-3.0525,-7.2369,-0.366,1.078,0.3435,70,1.284,24,-6.1484,1.5287,-22.9441,0.5521,0.0988,0.1688,40
1.247,24,2.1889,-7.4649,-13.2867,-0.1198,0.438,0.7666,70,1.336,25,-7.032,1.8288,-19.3624,0.0075,-0.5947,0.1783,40
1.299,25,-3.7266,-10.6852,-17.7021,-0.2607,-0.0158,0.8993,70,1.387,26,-3.8596,1.1182,-16.1396,-0.5585,-1.0398,0.1651,40
1.351,26,-0.9348,-10.1892,-18.5102,-0.8655,0.3793,0.3961,70,1.439,27,2.3004,-0.4775,-16.2395,-0.0851,-1.1157,0.0304,40
1.403,27,4.5835,-8.7217,-13.1308,-0.3688,-0.3726,0.4286,70,1.491,28,6.7962,0.428,-19.8335,0.0135,-0.1681,0.1373,40
1.455,28,8.611,-9.894,-9.4433,-0.9444,-0.9453,0.906,70,1.543,29,7.1932,0.2806,-22.4565,0.0177,0.5622,0.258,40
1.506,29,6.797,-10.3785,-4.308,-0.925,-0.6238,1.1384,70,1.595,30,5.2845,0.533,-24.371,0.2958,1.0953,0.4828,40
1.558,30,5.876,-8.0773,-2.4584,-0.9572,0.2231,0.7695,70,1.646,31,-0.8881,1.6897,-25.7682,0.5761,1.4844,0.5744,40
1.61,31,4.8457,-5.8097,-9.7991,-0.022,0.8412,0.12,70,1.698,32,-6.1208,2.3079,-22.8919,0.8557,0.4882,0.6486,40
1.662,32,8.8023,1.1117,-13.8039,-0.5827,-0.0167,0.5147,70,1.75,33,-7.1524,1.3622,-19.9864,0.1855,-0.3105,0.7843,40
1.714,33,7.5967,4.9753,-18.0796,0.1211,-0.6856,1.0364,70,1.802,34,-3.7718,0.8437,-17.9897,0.0065,-0.8934,0.8188,40
1.765,34,8.0951,0.8818,-18.2422,-0.2574,-0.9235,0.6965,70,1.854,35,2.3644,-0.1864,-18.0783,0.0847,-1.3047,0.7643,40
1.817,35,11.1739,0.5235,-15.0968,-0.0528,-1.199,0.5396,70,1.906,36,6.8423,0.8973,-20.5065,0.2356,-1.156,0.1809,40
1.869,36,13.421,1.6257,-9.128,-0.7137,-1.5468,1.0519,70,1.957,37,8.4026,-0.29,-22.5702,-0.3136,-0.2611,0.1403,40
1.921,37,11.023,0.6294,-5.4036,-0.8781,-0.7063,1.142,70,2.009,38,4.4292,-0.6674,-24.4539,-0.3098,0.4944,-0.0655,40
1.973,38,8.8186,2.1451,-4.2138,-1.0825,0.1629,0.4857,70,2.061,39,-0.6055,-0.6469,-25.6912,0.0482,1.0243,-0.3566,40
2.024,39,1.7883,1.4616,-10.859,-0.1135,0.7972,-0.2599,70,2.113,40,-3.7196,-0.5276,-23.8647,0.0729,0.4261,-0.4365,40
2.076,40,6.571,-4.1703,-11.9694,0.467,0.5412,0.128,70,2.164,41,-4.853,-0.2398,-21.068,-0.0326,-0.3558,-0.377,40
2.128,41,-0.5284,-8.2807,-16.7407,0.6795,1.0733,-0.2427,70,2.216,42,-3.6251,0.1538,-18.4464,-0.0366,-0.9265,-0.4416,40
2.18,42,4.8801,-5.421,-16.5698,-0.0707,1.4573,-0.4377,70,2.268,43,-1.0536,-0.5553,-16.8489,0.1056,-1.343,-0.7206,40
2.232,43,8.8275,-2.3137,-10.3141,0.1329,0.3902,-0.3166,70,2.32,44,1.0064,-0.6988,-17.4489,0.465,-0.7754,-0.848,40
2.283,44,11.7084,-3.7669,-5.7165,-0.1825,-0.3886,0.3034,70,2.371,45,4.4499,-0.7982,-17.9171,0.2675,0.0794,-0.6865,40
2.335,45,9.6388,-4.5333,-6.3442,-0.8084,-0.8882,0.8903,70,2.423,46,5.5805,-2.3629,-19.8757,0.4414,0.7429,-0.7563,40
2.387,46,5.4265,-1.8945,-2.4315,-0.6203,0.0301,0.3444,70,2.475,47,7.0947,-3.3509,-21.6255,0.2897,1.2272,-0.8594,40
2.439,47,3.7304,-0.9645,-7.096,0.2238,0.7003,-0.4215,70,2.527,48,7.0417,-4.562,-23.0681,-0.0383,1.5806,-0.6563,40
2.491,48,7.9884,-5.941,-13.1839,0.8399,1.1803,0.1847,70,2.579,49,6.9931,-2.7874,-22.0908,0.0199,1.8386,-0.4869,40
2.542,49,0.5061,-9.573,-13.133,0.3036,0.5259,-0.5392,70,2.63,50,7.2453,-2.0549,-21.9098,0.6721,2.0268,-0.9749,40
2.594,50,5.6351,-8.3913,-12.0629,0.2328,0.7243,-0.1987,70,2.682,51,7.3316,-2.3401,-21.9145,1.1652,2.1642,-1.383,40
2.646,51,6.3378,-7.5319,-12.9504,0.4661,0.1472,-0.135,70,2.734,52,6.0354,-1.3981,-21.8449,1.5251,1.5581,-1.4331,40
2.698,52,6.1131,-7.4632,-13.7509,-0.1279,-0.0993,-0.0831,70,2.786,53,9.5222,-6.3172,-23.9245,0.436,0.4704,-0.8032,40
2.75,53,6.6208,-6.791,-14.5337,-0.1624,-0.0884,-0.1664,70,2.838,54,1.8163,-0.9696,-25.4139,0.9089,0.0144,-0.7089,40
2.801,54,8.1741,-5.6667,-14.6358,-0.3452,-0.2039,-0.292,70,2.889,55,4.5054,0.1189,-21.7034,0.9578,0.0508,-0.4122,40
2.853,55,8.7214,-4.3003,-14.2965,-0.3968,-0.4275,-0.2867,70,2.941,56,5.0248,1.0142,-18.462,0.953,0.2214,-0.0997,40
