right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.451,8,10.6643,-1.3877,-13.2425,-0.3087,0.0855,-0.21,71,0.064,1,7.076,-4.956,-17.1726,0.3878,0.1038,0.6525,40
0.502,9,13.049,1.5018,-7.0809,-0.8966,-0.318,-0.2548,71,0.116,2,7.6593,-5.9078,-17.6809,0.3944,0.2896,1.0369,40
0.554,10,14.7895,-4.137,-5.6976,-0.888,-0.8751,0.4912,71,0.167,3,8.2223,-7.0047,-20.1729,0.4242,0.5432,1.1938,40
0.606,11,5.4699,2.3036,-1.5743,-1.3233,0.0324,0.9213,71,0.219,4,7.0667,-6.686,-21.3077,0.6304,0.1871,1.2556,40
0.657,12,4.0526,3.845,-9.1539,-0.2893,0.702,0.4733,71,0.271,5,4.0412,-4.241,-20.2211,0.8933,-0.2115,1.1022,40
0.709,13,-2.3664,8.1581,-4.0968,0.1275,0.6198,-0.0475,71,0.323,6,0.1863,-2.0381,-16.2738,-0.0094,-0.4595,1.1607,40
0.761,14,-0.3707,3.698,-6.244,-0.1275,-0.221,0.3731,71,0.374,7,-1.6416,-1.1302,-13.2002,-0.3442,-0.3705,1.2362,40
0.813,15,2.5197,2.2333,-7.9903,-0.1242,-0.5134,0.4192,71,0.426,8,0.5401,-1.5851,-11.2111,-0.3054,-0.1763,1.0508,40
0.865,16,5.0313,1.2151,-8.8124,-0.2103,-0.1118,0.1857,71,0.478,9,4.9415,-2.3517,-12.1136,0.2585,0.4834,0.6201,40
0.916,17,8.9378,0.8607,-8.5964,-0.4627,-0.1212,0.3578,71,0.53,10,8.5874,-3.6673,-15.4238,-0.1574,1.0377,0.0017,40
0.968,18,11.1094,-0.6685,-8.4957,-0.6913,-0.7619,0.4173,71,0.582,11,10.3157,-6.8589,-19.2382,-0.4236,1.4424,-0.6683,40
1.02,19,9.2137,1.218,-3.6165,-0.1166,-0.0684,0.5344,71,0.634,12,9.232,-8.1493,-20.835,0.1917,1.3663,-0.8933,40
1.072,20,6.9924,2.4745,-7.3325,-0.267,0.6284,-0.1253,71,0.685,13,5.6746,-6.8938,-19.9998,0.5431,0.9781,-0.9376,40
1.124,21,10.3691,-3.431,-13.3565,0.4272,1.137,0.0915,71,0.737,14,1.4571,-5.2385,-18.6198,0.1289,0.744,-0.8123,40
1.175,22,4.3756,0.2732,-14.8746,0.6352,0.3708,0.0452,71,0.789,15,-0.3982,-4.2686,-16.7097,-0.4285,0.5779,-0.5019,40
1.227,23,6.5214,-0.3138,-14.4948,0.4506,0.0616,-0.0866,71,0.841,16,0.9317,-3.6412,-15.4409,-0.394,0.6462,-0.2837,40
1.279,24,10.0254,0.7463,-14.5624,0.6812,0.5155,-0.6895,71,0.893,17,5.7973,-3.5171,-13.8812,-0.3122,0.4375,-0.0868,40
1.331,25,8.8547,0.0363,-12.8694,-0.1017,-0.2972,-0.3566,71,0.944,18,9.3484,-4.6998,-13.7176,-0.0277,0.5142,-0.1322,40
1.383,26,9.9503,-2.3007,-8.2538,0.6023,-0.3008,0.2322,71,0.996,19,11.9402,-6.2989,-15.516,0.1342,0.7868,-0.4099,40
1.434,27,12.5279,-2.8254,-3.44,-0.2356,0.4588,-0.4191,71,1.048,20,10.5055,-7.2913,-16.655,0.239,0.8124,-0.3522,40
1.486,28,10.9152,-0.6346,-10.5155,-0.5961,1.0132,-0.8668,71,1.1,21,3.1885,-6.2873,-17.7354,0.1857,0.6717,-0.1315,40
1.538,29,5.5521,4.8888,-9.0118,0.1599,0.404,-0.7785,71,1.152,22,-0.9969,-4.5955,-17.4308,-0.3503,0.3966,0.1467,40
1.59,30,6.2663,0.8285,-7.6322,0.0265,-0.3785,0.0972,71,1.203,23,-1.734,-3.1289,-16.5742,-0.5648,0.1957,0.349,40
1.642,31,9.1882,-0.0281,-8.7877,-0.5525,-0.0417,-0.5496,71,1.255,24,3.5038,-2.8396,-15.0653,-0.5029,-0.13,0.4946,40
1.693,32,11.9717,5.3314,-3.8296,-1.0553,-0.3863,-0.049,71,1.307,25,7.6745,-2.8386,-13.9946,-0.4449,-0.3805,0.6977,40
1.745,33,14.0032,0.5389,-0.211,-1.1441,-0.9553,0.5827,71,1.359,26,10.7185,-5.3435,-13.8095,-0.5479,0.0224,0.3091,40
1.797,34,7.5475,4.3445,2.4301,-0.9376,-0.0189,0.5564,71,1.411,27,11.5073,-8.0411,-15.3813,-0.1786,0.5731,0.275,40
1.849,35,7.7371,4.0483,-5.2447,-1.3338,0.6646,0.0613,71,1.462,28,4.3592,-7.2463,-18.0511,0.5443,0.7881,0.2919,40
1.901,36,5.3039,-2.2501,-11.8327,-0.2969,1.1634,-0.1876,71,1.514,29,-2.2739,-4.1666,-18.9363,0.3892,0.5215,0.4634,40
1.952,37,-1.4532,-3.5593,-6.052,0.1845,0.4863,-0.7274,71,1.566,30,-4.5591,-1.7724,-17.8199,-0.3876,0.0241,0.3999,40
