right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.573,11,2.8849,-1.6141,-18.5936,-0.2089,0.5931,0.063,72,0.045,0,13.752,0.699,-11.0872,-0.3963,-0.756,0.0836,40
0.625,12,1.2945,-0.9236,-19.4443,0.1018,-0.2104,0.6874,72,0.097,1,14.3026,1.4637,-7.867,0.057,-1.0253,-0.0628,40
0.677,13,1.9135,-0.093,-17.4774,0.1982,-0.8269,0.9149,72,0.149,2,12.0595,0.0588,-9.7927,-0.6354,-1.4151,-0.0613,40
0.728,14,5.543,2.8629,-10.1717,0.3487,-1.0125,0.9472,72,0.201,3,8.6173,-1.4423,-4.7083,-0.8147,-0.3478,0.3415,40
0.78,15,6.8225,2.6893,-9.7812,0.6231,-0.0606,0.0786,72,0.253,4,11.4066,4.2395,-11.4175,-1.0143,0.4311,0.2347,40
0.832,16,6.9161,0.6186,-15.1437,0.7041,0.6341,-0.3105,72,0.305,5,13.4423,8.3863,-6.4148,-1.0796,-0.3522,0.3303,40
0.884,17,4.0091,-0.4996,-19.0574,0.1482,0.9271,-0.2155,72,0.356,6,14.0753,8.4575,-8.1418,-0.1133,-0.6293,0.1663,40
0.936,18,1.323,-0.0135,-19.3895,0.026,0.0033,0.0541,72,0.408,7,15.317,8.5764,-4.9201,0.4051,-1.0359,0.0744,40
0.987,19,1.354,0.7352,-15.9538,0.3144,-0.671,0.1801,72,0.46,8,14.5134,4.9823,-7.7919,-0.3072,-1.4229,-0.1413,40
1.039,20,5.0314,1.5467,-10.7925,0.2467,-0.7891,-0.0714,72,0.512,9,9.9339,-1.3623,-3.0791,0.429,-0.3535,-0.2358,40
1.091,21,2.3287,2.3348,-10.8575,0.1087,0.1025,-0.6401,72,0.564,10,9.9355,3.4123,-10.2285,-0.096,0.4269,-0.3819,40
1.143,22,3.7207,1.3327,-15.9291,0.7559,0.7531,-1.0591,72,0.615,11,1.7787,7.7826,-15.4464,0.6046,0.1092,0.0333,40
1.194,23,3.454,-0.9504,-19.6307,-0.1236,1.228,-0.6619,72,0.667,12,5.6453,5.1763,-16.4588,0.6937,-0.2494,0.0439,40
1.246,24,0.8877,-1.4313,-20.2856,0.087,0.9851,-0.3926,72,0.719,13,6.6436,3.9906,-11.2757,0.8139,-0.323,0.0616,40
1.298,25,0.0703,-1.6963,-18.9636,0.3794,0.45,-0.2671,72,0.771,14,9.9661,6.7723,-10.3996,0.2316,-0.9026,0.1394,40
1.35,26,1.5196,-1.6036,-17.2594,0.7699,-0.2329,-0.2452,72,0.823,15,3.184,0.7538,-4.9823,0.2003,-0.2097,-0.0283,40
1.402,27,6.3748,-0.2743,-16.1498,0.9151,-0.6476,-0.2498,72,0.874,16,6.443,-0.5506,-6.6635,-0.0231,0.5319,0.098,40
1.454,28,6.6776,-0.3934,-18.3072,0.6753,-0.094,-0.6402,72,0.926,17,6.1547,4.8903,-12.8445,-0.6926,1.0728,-0.2674,40
