right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.052,1,9.6046,-0.2594,-10.8517,-0.067,-0.0202,-0.0532,75
0.104,2,9.5997,-0.2198,-10.8717,-0.0515,-0.0316,-0.0816,75
0.155,3,9.5864,-0.1933,-10.9024,-0.0332,-0.0488,-0.1098,75
0.207,4,9.5424,-0.12,-10.9011,-0.0019,-0.0943,-0.1442,75
0.259,5,9.5752,-0.0024,-10.9102,-0.005,-0.2026,-0.1849,75
0.311,6,9.6125,0.1992,-11.0425,-0.0587,-0.3198,-0.2155,75
0.363,7,9.5311,0.3421,-11.4919,-0.0651,-0.3335,-0.2166,75
0.414,8,9.5045,0.3487,-11.6973,-0.0095,-0.2844,-0.2304,75
0.466,9,9.4886,0.5084,-11.8032,0.0546,-0.1976,-0.2374,75
0.518,10,9.5099,0.7486,-11.7839,0.1122,-0.1467,-0.2174,75
0.57,11,9.4939,0.8601,-11.8572,0.0595,-0.1131,-0.1672,75
0.621,12,9.4701,0.9231,-11.9199,0.0161,-0.0714,-0.1215,75
0.673,13,9.4588,0.9172,-11.9088,-0.0068,-0.0378,-0.0945,75
0.725,14,9.4358,0.9107,-11.893,-0.0126,-0.0285,-0.0851,75
0.777,15,9.4459,0.9185,-11.8963,-0.0297,-0.0449,-0.0845,75
0.829,16,9.4441,0.9421,-11.9295,-0.0261,-0.0576,-0.0907,75
0.88,17,9.2978,0.9916,-12.0944,-0.032,0.029,-0.081,75
0.932,18,9.2664,1.003,-12.0969,-0.0034,0.0172,-0.079,75
0.984,19,9.1741,1.0368,-12.0094,0.0725,0.0295,-0.0025,75
1.036,20,9.0222,1.4253,-12.1844,0.1509,0.0612,0.008,75
1.087,21,9.1957,1.63,-12.2512,0.2333,0.1628,0.017,75
1.139,22,9.3416,1.323,-11.999,0.0881,0.1864,0.0483,75
1.191,23,9.4304,1.1187,-11.7624,0.1012,0.1314,0.0619,75
1.243,24,9.2674,0.769,-11.6455,0.2658,-0.0443,0.066,75
