right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.006,0,9.3624,-1.856,-11.1831,0.1452,-0.0681,0.0123,93,0.655,12,9.7203,-0.3242,-18.169,0.3539,-0.1408,0.0211,63
0.058,1,9.3625,-1.9329,-11.3701,0.3928,-0.1464,-0.0165,93,0.707,13,7.5954,0.0898,-18.9916,0.5805,-0.7006,-0.1136,63
0.109,2,9.267,-2.0073,-11.1723,0.4401,-0.2861,-0.0118,93,0.759,14,3.3609,0.4685,-19.6651,0.3879,-1.1678,0.015,63
0.161,3,9.1539,-2.0805,-11.605,0.5966,-0.4223,-0.0425,93,0.811,15,1.4019,1.0323,-19.1635,-0.3939,-1.5191,0.2859,63
0.213,4,9.0031,-1.9798,-11.8498,0.6668,-0.5705,-0.0646,93,0.862,16,1.3866,1.2613,-19.4484,-0.0529,-1.7755,0.3313,63
0.265,5,8.821,-1.3982,-12.1901,0.6699,-0.6636,-0.057,93,0.914,17,6.1293,3.1972,-19.0041,-0.337,-1.9626,-0.0676,63
0.317,6,8.7262,-1.6815,-12.2254,0.3625,-0.7321,0.085,93,0.966,18,9.5907,1.7569,-18.2777,-0.4255,-2.0992,-0.7208,63
0.368,7,8.6076,-1.9549,-12.7385,0.1607,-0.8174,0.1638,93,1.018,19,7.3853,1.7286,-19.1566,-0.0029,-1.9105,-1.1052,63
0.42,8,9.0338,-1.4825,-13.6501,0.1733,-0.8037,0.2219,93,1.07,20,1.0238,-1.0066,-20.2395,0.0948,-1.0886,-1.147,63
0.472,9,9.1638,-1.499,-14.6472,-0.1901,-0.6648,0.3569,93,1.121,21,-3.3906,-1.3388,-21.321,0.487,-0.8138,-0.8497,63
0.524,10,11.9539,-2.0544,-14.1623,-0.3099,-0.6913,0.2446,93,1.173,22,-4.791,-0.6341,-19.7276,0.8412,-0.9173,-0.3064,63
0.575,11,13.9902,-2.7324,-9.4544,-0.8527,-0.8915,0.4064,93,1.225,23,-5.7675,-0.1207,-18.0643,0.4748,-1.3332,0.2767,63
0.627,12,13.4956,-2.2838,-9.0698,-0.7841,-1.2499,0.4272,93,1.277,24,-4.3651,-0.1378,-16.7944,-0.0016,-1.6398,0.6054,63
0.679,13,10.6848,2.5158,-4.0355,-0.0987,-0.2363,0.2232,93,1.329,25,1.1084,0.5539,-16.2636,-0.4017,-1.8634,0.6399,63
0.731,14,5.4897,4.6515,-10.9501,-0.4205,0.5059,-0.2969,93,1.38,26,1.702,-1.1498,-16.4888,-0.082,-1.2626,0.1037,63
0.783,15,1.3052,-1.8422,-15.9968,0.3697,0.1609,-0.8875,93,1.432,27,-1.0521,0.0722,-17.5192,-0.1399,-0.2365,0.0979,63
0.835,16,3.5592,-6.5816,-19.68,-0.4054,-0.556,-0.2588,93,1.484,28,-3.403,0.3388,-19.137,-0.1208,0.5124,-0.2841,63
0.886,17,6.7755,-5.5931,-18.9717,-0.5385,-0.4212,0.0823,93,1.536,29,-4.2552,-0.3208,-18.9481,0.4746,1.0589,-0.2665,63
0.938,18,10.2108,-4.8463,-13.3935,-0.4341,-0.7438,0.2012,93,1.588,30,-8.0406,0.2968,-18.212,0.5742,1.3537,-0.0497,63
0.99,19,12.718,-5.7659,-9.8964,-0.6753,-1.2163,0.4755,93,1.639,31,-6.6177,0.8931,-18.9846,-0.258,1.1185,0.1334,63
1.042,20,10.8374,-1.0005,-4.6388,0.18,-0.4878,0.4048,93,1.691,32,-2.4764,0.8226,-21.3455,-0.535,0.4324,0.2548,63
1.094,21,8.7264,2.6402,-6.299,-0.5439,0.3223,0.1258,93,1.743,33,3.3099,0.6098,-22.6961,-0.6911,-0.2671,-0.1895,63
1.145,22,3.9334,-0.2525,-12.6022,0.2662,0.9136,-0.5484,93,1.794,34,5.2201,0.4486,-22.6469,-0.4827,-0.3458,-0.3882,63
