right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.114,2,5.6431,-2.9355,-16.4575,-0.1359,-0.3678,0.3866,75
0.165,3,5.5668,-3.0434,-16.8006,-0.1,-0.2244,0.3146,75
0.217,4,5.499,-3.1746,-17.0557,-0.0673,-0.1569,0.2808,75
0.269,5,5.2719,-3.21,-17.0756,-0.07,-0.1016,0.2513,75
0.32,6,5.112,-3.3484,-17.1169,-0.0217,-0.0544,0.1874,75
0.372,7,5.0473,-3.4375,-17.1343,0.0523,0.025,0.0947,75
0.424,8,5.2845,-3.3655,-17.1798,0.0137,0.0238,0.1047,75
0.476,9,5.543,-3.4175,-17.3438,-0.0623,0.035,0.1585,75
0.528,10,5.5568,-3.4207,-17.4638,-0.1176,0.023,0.1807,75
0.579,11,5.32,-3.3669,-17.4442,-0.1,0.0064,0.1695,75
0.631,12,4.9792,-3.19,-17.3326,-0.0696,-0.0164,0.1179,75
0.683,13,4.9105,-3.1805,-17.2428,-0.0212,-0.0473,0.0384,75
0.735,14,5.1174,-3.3516,-17.2435,0.0463,-0.0525,-0.0627,75
0.786,15,5.2892,-3.5201,-17.327,0.1346,-0.0729,-0.1226,75
0.838,16,5.2065,-3.5063,-17.3661,0.2379,-0.1143,-0.1526,75
0.89,17,4.826,-3.4481,-17.3153,0.3262,-0.1474,-0.1745,75
0.942,18,4.2665,-3.5418,-17.3212,0.3765,-0.1921,-0.2033,75
0.994,19,3.6636,-3.466,-17.0791,0.3496,-0.2045,-0.257,75
1.045,20,3.4706,-3.8609,-17.5647,0.3785,-0.1568,-0.281,75
1.097,21,4.0787,-4.7928,-18.7563,0.2273,-0.096,-0.1762,75
1.149,22,5.3489,-6.052,-20.2793,-0.0936,-0.1635,0.0904,75
1.201,23,6.3567,-6.5874,-20.9035,-0.4429,-0.3279,0.4016,75
1.253,24,6.3226,-5.799,-19.8365,-0.7496,-0.5862,0.6804,75
1.305,25,5.4793,-4.5872,-18.4411,-0.9334,-0.8201,0.895,75
1.356,26,3.7004,-3.4621,-17.0319,-0.6982,-1.1328,1.0175,75
1.408,27,2.4677,-2.5836,-15.4201,-0.6852,-1.4099,0.9552,75
1.46,28,2.5146,-2.8496,-14.9972,-0.7662,-1.5987,0.8574,75
1.512,29,2.7487,-3.2604,-16.5264,-0.2007,-1.0778,0.3712,75
1.564,30,2.3011,-4.0223,-18.6952,0.0605,-0.2261,0.2361,75
1.615,31,1.6152,-3.7844,-19.8834,0.0607,0.2744,0.4833,75
1.667,32,1.2752,-2.8741,-19.7916,-0.2951,0.2998,0.6952,75
1.719,33,0.9698,-2.0278,-19.1372,-0.5182,0.0107,0.7356,75
1.771,34,0.8385,-1.3008,-18.3822,-0.4372,-0.1277,0.5155,75
1.822,35,0.7626,-1.3936,-18.4274,-0.2435,-0.12,0.1672,75
1.874,36,0.6114,-1.6619,-18.6064,-0.0889,0.014,-0.1221,75
1.926,37,0.3249,-2.1503,-19.131,-0.0266,0.1299,-0.256,75
1.978,38,-0.0902,-2.4479,-19.4198,0.0324,0.1393,-0.295,75
2.03,39,-0.2121,-2.6358,-19.5988,0.0177,0.0897,-0.3005,75
2.081,40,-0.1567,-2.6987,-19.5718,0.0389,0.0122,-0.246,75
2.133,41,-0.1427,-2.5927,-19.4068,-0.0026,0.0011,-0.1741,75
2.185,42,-0.0592,-2.4837,-19.3313,0.0031,0.0415,-0.1186,75
2.237,43,-0.0569,-2.3969,-19.3334,0.0021,0.0683,-0.0797,75
2.289,44,0.1135,-2.4066,-19.2712,-0.0045,0.0497,-0.0657,75
2.34,45,0.227,-2.523,-19.0268,-0.0302,0.0045,-0.0498,75
2.392,46,0.4099,-2.6963,-18.8046,0.0115,-0.0207,-0.0488,75
2.444,47,0.5572,-2.8305,-18.7022,0.0886,0.0224,-0.0556,75
2.496,48,0.7063,-2.9143,-18.7563,0.1622,0.0801,-0.0362,75
2.548,49,0.7803,-2.8713,-18.8916,0.2079,0.1533,-0.0014,75
2.599,50,0.8578,-2.8317,-19.0663,0.2247,0.2125,0.0383,75
2.651,51,0.876,-2.7658,-19.0118,0.1993,0.1975,0.0731,75
2.703,52,0.78,-2.9949,-18.8549,0.1931,0.2349,0.0564,75
2.755,53,0.802,-3.4357,-19.0069,0.2727,0.3374,0.0113,75
2.807,54,1.2863,-3.5448,-19.4297,0.3156,0.3791,0.0062,75
2.858,55,1.6501,-3.4806,-19.4774,0.359,0.3121,0.0233,75
2.91,56,1.674,-3.4113,-19.0884,0.3901,0.2018,-0.0024,75
2.962,57,1.4579,-3.5405,-18.7717,0.4216,0.1707,-0.0789,75
3.014,58,1.4269,-3.5958,-18.5663,0.4222,0.1842,-0.1811,75
3.065,59,1.6872,-3.6382,-18.6578,0.3886,0.1704,-0.2577,75
