right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.224,4,-5.5353,2.4196,-14.4064,-0.5834,-0.7217,-0.4302,92,0.2,3,-4.6486,4.0294,-18.1052,0.3432,0.2492,-0.289,63
0.276,5,-4.3054,1.169,-11.6026,-0.7249,-1.2001,-0.681,92,0.252,4,-0.0771,3.4341,-17.1095,0.2616,0.0469,-0.3383,63
0.328,6,-2.8453,0.2094,-10.8241,-0.1363,-1.3727,-0.7856,92,0.304,5,5.061,2.0564,-13.9165,0.4255,-0.3727,-0.2233,63
0.379,7,0.1449,1.1644,-10.1767,0.1319,-0.8765,-0.5382,92,0.356,6,8.8111,1.9651,-9.2906,0.2168,-0.9388,-0.5356,63
0.431,8,5.3715,-2.2368,-15.4323,0.3256,0.0386,-0.1699,92,0.408,7,4.8062,-3.8626,-4.173,0.1399,-0.0881,-0.4661,63
0.483,9,8.0068,1.2005,-19.2681,-0.3971,0.7065,0.2382,92,0.459,8,7.1596,-4.1847,-4.3154,0.7768,0.6207,-0.0331,63
0.535,10,6.3764,3.2115,-22.0676,0.3471,1.194,0.4597,92,0.511,9,6.3506,-1.5625,-11.1307,-0.1013,1.138,0.5006,63
0.587,11,0.9389,4.4541,-24.1108,-0.1866,0.9385,0.6509,92,0.563,10,4.9353,0.4991,-14.4788,-0.751,0.6652,0.4071,63
0.638,12,-4.6389,4.8567,-20.958,0.3836,0.0745,0.091,92,0.615,11,-1.8706,2.2473,-18.5484,-0.2114,0.8169,-0.3743,63
0.69,13,-5.8188,3.8854,-16.6671,0.1528,-0.619,-0.3065,92,0.666,12,2.2093,0.9841,-18.43,-0.1359,0.1876,-0.4476,63
0.742,14,-3.6262,2.7227,-13.4119,0.1354,-1.1252,-0.4409,92,0.718,13,5.6179,1.5285,-16.9896,0.0777,0.0859,-0.3597,63
0.794,15,-0.6345,0.7575,-10.6182,0.0102,-1.4896,-0.3385,92,0.77,14,9.2175,1.264,-12.3537,0.3949,-0.1333,-0.1274,63
0.846,16,4.8027,0.1415,-12.1642,0.5002,-0.6867,-0.078,92,0.822,15,10.4911,1.5676,-9.0314,0.2431,-0.7641,-0.416,63
0.897,17,6.8473,0.6977,-16.8829,0.0716,0.1772,0.1648,92,0.874,16,7.8134,-2.7945,-3.9838,0.0508,-0.1541,-0.5369,63
0.949,18,8.3179,4.4711,-20.3267,-0.4631,0.8077,-0.45,92,0.925,17,6.3276,-2.6783,-2.9933,0.7118,0.5725,-0.2072,63
1.001,19,5.9299,3.0794,-22.8402,-0.5707,0.6706,-0.9602,92,0.977,18,5.6169,-2.5822,-9.3945,0.0403,1.1028,0.0746,63
1.053,20,3.0204,1.284,-24.0,-0.929,0.0448,-0.8795,92,1.029,19,6.8658,3.4076,-14.7887,-0.6477,0.8117,0.2945,63
1.105,21,-2.7463,-1.9441,-19.5716,-0.9299,-0.6407,-0.8303,92,1.081,20,-0.4616,7.7791,-11.3953,0.202,0.2635,0.5574,63
1.157,22,-3.8185,-2.5387,-12.2668,-0.3502,-1.141,-0.9854,92,1.132,21,4.7804,6.0104,-12.7001,0.3278,-0.4744,0.2087,63
1.209,23,-4.514,-2.5409,-9.5463,-0.042,-1.5062,-0.8558,92,1.184,22,6.7267,5.1369,-13.5402,0.3646,-0.6356,0.0843,63
1.26,24,-3.4026,-3.4849,-10.9858,0.3932,-1.54,-0.5441,92,1.236,23,10.0267,4.3078,-13.2476,0.6172,-0.8882,0.2125,63
1.312,25,2.7824,-1.2432,-13.2115,0.2579,-0.6677,0.2005,92,1.288,24,11.2969,6.286,-10.1147,0.638,-1.2056,0.0461,63
1.364,26,7.2965,0.6708,-17.6472,0.3511,0.191,0.807,92,1.34,25,10.0685,1.8517,-4.7744,-0.2115,-1.1,-0.5961,63
1.416,27,7.4742,4.6278,-20.8846,0.2984,0.8178,0.8012,92,1.391,26,7.4504,-0.4588,-0.8768,0.5203,-0.1179,-0.3916,63
1.467,28,5.6467,7.0683,-23.2474,0.1,1.2752,0.2978,92,1.443,27,10.3462,-2.7258,-7.375,0.4251,0.5989,-0.7179,63
1.519,29,1.2185,6.2287,-24.9718,-0.3007,0.8184,-0.0315,92,1.495,28,7.2676,-4.1002,-13.3638,-0.3668,1.1221,-0.5148,63
1.571,30,-4.4349,2.3347,-23.076,-0.5254,-0.0543,-0.4122,92,1.547,29,10.4215,-8.2893,-17.7347,-0.9448,0.1522,-0.4085,63
1.623,31,-5.9248,1.8183,-17.7528,0.0671,-0.713,-0.7145,92,1.599,30,8.613,-4.4127,-16.9391,-0.0154,0.4724,-0.4683,63
1.674,32,-4.4725,1.0038,-13.501,0.2012,-1.1938,-0.5855,92,1.65,31,10.41,-3.2093,-16.9812,-0.0771,-0.2342,-0.4009,63
1.726,33,-2.6593,0.6454,-10.6656,0.6714,-1.5445,-0.562,92,1.702,32,12.715,-1.5476,-15.2804,0.1194,-0.5549,-0.273,63
1.778,34,1.6345,2.2627,-12.0083,1.1666,-0.9362,-0.2989,92,1.754,33,13.6055,4.1627,-8.5446,0.6452,-0.9354,-0.3192,63
1.83,35,6.4587,2.1085,-16.769,0.5297,-0.005,0.0791,92,1.806,34,9.1006,-1.6147,-3.6285,-0.1911,-0.219,-0.5821,63
1.882,36,8.2064,5.9738,-20.2437,0.9417,0.6747,-0.1663,92,1.858,35,9.9642,-2.8127,-2.4572,0.4296,0.5251,-0.0521,63
1.933,37,6.0657,6.741,-22.7796,0.4194,1.1708,-0.1976,92,1.909,36,11.8372,-1.2177,-9.3928,-0.3636,1.0682,0.4302,63
1.985,38,1.628,5.3553,-24.6304,-0.0167,0.8324,-0.0528,92,1.961,37,7.9305,1.7781,-14.8365,-0.9424,1.1478,0.3125,63
2.037,39,-4.136,4.2538,-22.8399,-0.6466,-0.0656,-0.1685,92,2.013,38,10.9053,6.5899,-18.8095,-1.0235,0.1709,0.5202,63
2.089,40,-5.599,3.7167,-17.0845,-0.38,-0.7213,-0.61,92,2.065,39,13.0764,3.9034,-19.1205,-0.6406,0.3774,-0.0231,63
2.141,41,-4.2122,2.9452,-13.0929,-0.2395,-1.1998,-0.8936,92,2.117,40,11.6493,4.3514,-18.4658,-0.3953,0.098,-0.3866,63
2.192,42,-2.9676,2.2002,-10.019,-0.2274,-1.4577,-0.7662,92,2.168,41,13.6195,4.7767,-15.4472,0.3593,-0.3345,-0.206,63
