right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.006,0,2.8593,7.8343,-15.038,-0.0079,-0.0341,-0.0638,75
0.058,1,2.8812,7.8805,-15.0439,-0.0139,-0.041,-0.0409,75
0.11,2,2.9515,8.0216,-15.0806,-0.0171,-0.0584,-0.0113,75
0.161,3,2.981,8.1447,-15.0474,-0.0211,-0.054,-0.0076,75
0.213,4,2.8748,8.157,-14.9633,-0.0254,-0.0487,-0.0228,75
0.265,5,2.7416,8.0828,-14.8894,-0.0369,-0.0363,-0.0481,75
0.317,6,2.6527,8.0417,-14.9001,-0.032,-0.0177,-0.0675,75
0.368,7,2.6714,7.7654,-15.1995,-0.0416,0.0043,-0.0651,75
0.42,8,2.8058,7.8994,-15.1715,-0.0059,0.0217,-0.0737,75
0.472,9,2.7727,7.8637,-15.0842,0.0101,0.0524,-0.0911,75
0.524,10,2.6909,7.8388,-14.9756,0.0424,0.0873,-0.0909,75
0.576,11,2.6192,7.8811,-14.9249,0.0659,0.1077,-0.0643,75
0.627,12,2.6019,8.0086,-14.9469,0.0729,0.1164,-0.0333,75
0.679,13,2.6062,8.1103,-14.9715,0.0526,0.1115,-0.0149,75
0.731,14,2.5609,8.0684,-15.0348,0.0191,0.0883,-0.0018,75
0.783,15,2.5556,7.9819,-15.1039,0.0013,0.0606,0.0123,75
0.835,16,2.6317,7.9748,-15.1669,0.0104,0.0328,0.0299,75
0.886,17,2.714,7.9889,-15.1131,0.0133,0.0019,0.0436,75
0.938,18,2.7473,7.9706,-14.9867,0.0142,-0.0207,0.0525,75
0.99,19,2.7823,8.0239,-14.9086,0.0104,-0.0293,0.065,75
1.042,20,2.8203,8.1953,-14.8944,-0.0134,-0.0235,0.0567,75
1.093,21,2.7716,8.3526,-14.9073,-0.0391,-0.0157,0.0249,75
1.145,22,2.5971,8.3246,-14.8959,-0.0661,-0.0088,-0.0298,75
1.197,23,2.4587,8.0656,-14.6696,-0.0202,0.0234,-0.0928,75
1.249,24,2.5321,7.6266,-14.6388,-0.0038,-0.0334,-0.0827,75
1.301,25,2.6634,5.8832,-14.7268,0.0491,-0.1295,-0.145,75
1.353,26,3.7095,4.9248,-15.2217,0.1221,-0.3757,-0.1909,75
1.404,27,5.51,5.4955,-16.1344,0.2445,-0.2335,-0.126,75
