right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.388,7,8.8324,-2.3335,-11.7429,-0.1267,-0.4016,-0.1509,93,0.126,2,8.9406,0.6144,-10.4035,0.0478,-0.0354,0.0382,63
0.439,8,8.7281,-2.3621,-11.5401,-0.2018,-0.6729,-0.1219,93,0.177,3,8.7526,0.663,-10.2622,-0.0424,-0.2552,0.0712,63
0.491,9,9.6394,-2.078,-12.2766,-0.4323,-1.0355,-0.0605,93,0.229,4,9.0628,1.0614,-10.3537,-0.1949,-0.5671,0.1102,63
0.543,10,11.8727,-2.4688,-12.9606,-0.7374,-1.4292,-0.082,93,0.281,5,9.4233,1.1015,-11.114,-0.8193,-0.6211,0.119,63
0.594,11,13.931,-2.5599,-17.4641,-0.3977,-1.7165,-0.0952,93,0.333,6,9.9222,-2.5489,-12.2443,-1.2004,-0.5308,0.037,63
0.646,12,13.4916,-2.8088,-19.7375,-0.5741,-1.9261,-0.082,93,0.385,7,9.951,-1.2622,-11.7899,-0.6245,-0.4123,-0.0917,63
0.698,13,10.8427,-2.9486,-17.7561,-1.0454,-2.0792,-0.0737,93,0.436,8,9.5169,-0.4743,-11.6631,-0.4836,-0.3835,-0.0979,63
0.75,14,5.7426,-2.3073,-16.0071,-1.0381,-2.1909,-0.1705,93,0.488,9,9.3888,-0.013,-11.7382,-0.2871,-0.41,-0.1105,63
0.802,15,3.0763,-1.842,-13.8932,-0.8835,-2.2724,-0.146,93,0.54,10,9.3998,0.1028,-11.6093,-0.1628,-0.552,-0.1532,63
0.854,16,3.6519,-2.1444,-12.1947,-0.5844,-2.3319,0.0904,93,0.592,11,9.4866,0.1874,-11.6867,0.0351,-0.7978,-0.243,63
0.906,17,6.0716,-1.7835,-12.0811,0.1298,-2.2464,0.5718,93,0.644,12,9.3233,0.2436,-11.8633,0.0842,-1.1384,-0.3107,63
0.957,18,6.8936,-0.9697,-12.1938,0.0998,-1.501,0.8816,93,0.695,13,6.416,0.3847,-13.7859,0.0958,-1.1381,-0.4014,63
1.009,19,4.2029,-2.6214,-15.167,0.684,-0.4172,0.4691,93,0.747,14,6.8527,2.3986,-14.0552,0.0922,-1.0171,-0.3517,63
1.061,20,4.8522,0.8835,-19.0635,0.1955,0.3739,0.0729,93,0.799,15,8.8098,2.0191,-14.9379,0.1297,-0.7717,-0.2038,63
1.113,21,3.0494,-0.3376,-21.9182,0.2955,0.9512,-0.2333,93,0.851,16,10.6881,2.4677,-14.6751,0.2044,-0.6164,-0.0749,63
1.165,22,0.2587,-1.4126,-23.2676,0.2819,0.9869,-0.3867,93,0.903,17,12.7442,2.8842,-11.7826,0.2552,-0.6231,0.0118,63
1.216,23,-3.5713,-1.9903,-21.5569,-0.2883,0.4955,-0.5138,93,0.954,18,11.0267,3.0395,-9.236,0.0752,-0.6956,-0.03,63
1.268,24,-4.7642,-1.6833,-19.1999,-0.3521,-0.2605,-0.3603,93,1.006,19,6.7815,-3.0784,-4.1331,-0.2053,0.1772,-0.1846,63
1.32,25,-3.4209,-1.0984,-17.5138,-0.1364,-0.8635,-0.1795,93,1.058,20,8.265,-0.7372,-10.9977,0.5004,0.8143,-0.0679,63
1.372,26,1.7899,-0.4226,-17.7613,-0.1036,-1.3036,0.0474,93,1.11,21,11.1494,-3.5423,-5.4189,-0.3114,0.0566,0.3289,63
1.424,27,4.8841,0.8038,-18.4346,0.4578,-0.9508,0.1783,93,1.162,22,10.8994,1.2966,-8.5249,-0.5621,0.248,0.3965,63
1.475,28,5.0628,0.1012,-21.1325,0.3356,-0.0156,0.0521,93,1.213,23,10.9853,1.4141,-10.4649,-0.3006,-0.1566,0.2299,63
1.527,29,4.0083,0.4175,-23.4283,0.5381,0.667,-0.2583,93,1.265,24,10.4731,2.7388,-12.1464,-0.1012,-0.1348,0.0895,63
1.579,30,-0.6618,-0.6838,-24.6446,0.3632,1.1446,-0.6725,93,1.317,25,11.2679,2.1187,-13.5164,0.1213,-0.3975,0.0362,63
1.631,31,-5.115,-0.6624,-23.0881,0.0637,0.5662,-0.9289,93,1.369,26,11.5825,6.7585,-11.1816,-0.3698,-0.2415,0.0965,63
1.683,32,-6.2704,-0.3321,-20.6564,-0.2799,-0.26,-0.804,93,1.42,27,11.1016,7.5689,-9.4121,0.4048,-0.8014,0.0789,63
1.734,33,-3.7557,-0.5415,-19.0899,-0.333,-0.8632,-0.6113,93,1.472,28,7.3104,0.2299,-4.2617,-0.3636,0.0986,-0.144,63
1.786,34,2.5247,-0.4187,-19.6105,-0.149,-1.2105,-0.1124,93,1.524,29,9.9167,-1.8459,-11.0915,0.4031,0.7569,-0.0795,63
1.838,35,7.1084,1.3905,-20.4834,0.5629,-0.4693,-0.1215,93,1.576,30,12.3549,-6.1905,-5.4873,-0.3829,-0.1143,0.376,63
1.889,36,7.9714,-0.4932,-22.2753,0.7148,0.3359,-0.0978,93,1.628,31,12.9536,-2.2027,-7.6879,0.1465,-0.4705,0.3358,63
1.941,37,7.1006,-0.2539,-24.2624,0.6176,0.9235,-0.1901,93,1.679,32,12.7332,-0.9313,-11.0685,-0.0618,-0.3055,0.1925,63
1.993,38,2.5592,-0.6188,-25.7126,0.3692,1.3524,-0.2274,93,1.731,33,14.2839,2.6864,-10.5834,0.3463,-0.8076,0.3986,63
2.045,39,-2.743,-0.3543,-24.5113,0.15,0.8329,-0.3548,93,1.783,34,13.4262,2.0181,-7.0509,0.7022,-1.0616,0.2891,63
2.097,40,-5.095,-0.4722,-22.1385,0.0076,-0.0653,-0.2433,93,1.835,35,12.5119,5.2511,-2.5383,0.189,-1.2027,-0.1943,63
2.148,41,-3.9376,-0.5037,-19.873,-0.1534,-0.721,-0.0927,93,1.887,36,11.3978,-0.1309,0.0777,0.3623,-0.1928,-0.4816,63
2.201,42,0.653,-0.5555,-19.3536,-0.044,-1.1996,0.0466,93,1.938,37,13.1185,1.2007,-7.9245,0.0865,0.5442,-0.0224,63
2.252,43,5.2405,2.4266,-17.3008,0.6443,-1.1507,0.1919,93,1.99,38,4.5154,6.1685,-3.1759,-0.5943,0.7442,0.5982,63
2.304,44,6.114,-0.5085,-18.8846,0.2782,-0.1615,0.2128,93,2.042,39,7.7032,7.705,-5.5121,-0.5779,-0.0127,0.5901,63
2.356,45,5.6159,0.0286,-21.7877,0.46,0.5605,0.1033,93,2.094,40,9.2596,6.5165,-9.0105,-0.353,-0.2652,0.4689,63
2.408,46,3.0438,0.0568,-23.9065,0.4321,1.0863,0.1122,93,2.145,41,11.8753,7.3991,-8.1723,-0.0696,-0.8604,0.4498,63
2.46,47,-2.351,0.2013,-24.0366,0.1103,0.6928,-0.0068,93,2.197,42,12.4411,7.501,-3.3597,0.1834,-1.1057,0.6911,63
2.511,48,-5.6897,0.5323,-21.5986,-0.4023,-0.1042,-0.1045,93,2.249,43,9.1961,6.7187,0.1557,-0.2635,-0.6978,0.2306,63
2.563,49,-5.1635,0.3486,-19.0862,-0.5065,-0.7494,-0.0346,93,2.301,44,10.0828,4.2059,1.8961,0.4797,0.1757,-0.1632,63
2.615,50,-2.1355,0.0696,-18.0192,-0.6204,-1.2204,-0.023,93,2.353,45,11.6996,4.3966,-6.5974,0.5288,0.8132,-0.2314,63
2.666,51,3.629,-0.3695,-18.6017,-0.268,-1.4994,-0.271,93,2.405,46,13.5495,1.9569,-12.7962,0.7032,0.2646,-0.7046,63
2.718,52,6.9691,-0.5964,-19.549,-0.0404,-0.804,-0.2062,93,2.456,47,15.0063,2.6721,-15.9856,0.7855,0.2383,-0.2432,63
2.77,53,6.6611,0.2007,-22.0859,0.4771,0.0916,-0.0215,93,2.508,48,13.99,2.4857,-16.6927,0.7535,-0.3958,-0.3231,63
2.822,54,5.2842,0.8696,-24.1242,0.6725,0.7452,0.1009,93,2.56,49,15.2391,1.7816,-17.3726,1.162,-0.3878,-0.1554,63
2.874,55,0.737,0.4513,-25.6118,0.5765,1.1164,-0.0351,93,2.612,50,16.2394,-0.6497,-13.1411,0.4451,-0.0036,0.4526,63
2.925,56,-4.1751,0.8936,-24.6216,0.1053,0.5663,-0.1122,93,2.663,51,16.2081,2.0268,-9.3655,0.4556,-0.6364,0.2814,63
2.977,57,-5.155,0.907,-21.6645,-0.366,-0.2601,-0.0133,93,2.715,52,13.8407,-0.9713,-4.2276,-0.3439,0.2205,-0.1884,63
3.029,58,-3.3335,0.6791,-19.1288,-0.6242,-0.8632,0.0588,93,2.767,53,14.3069,-1.5564,-7.0069,-0.1924,0.8459,-0.4428,63
3.081,59,-0.6027,0.1324,-17.3417,-0.4843,-1.3034,-0.082,93,2.819,54,10.4456,2.5185,-13.0951,-0.6163,1.3023,0.3559,63
3.133,60,3.1791,-2.3235,-16.9216,0.1363,-1.6076,-0.2157,93,2.871,55,2.151,6.835,-6.9497,-0.2112,1.4313,0.003,63
3.184,61,5.6806,-2.0646,-17.4133,0.0785,-0.6393,-0.1256,93,2.922,56,5.3502,4.1522,-9.4157,-0.2383,0.3814,-0.2207,63
3.236,62,7.3061,-1.0596,-20.7139,0.5707,0.2118,-0.0603,93,2.974,57,7.6914,3.9645,-11.8351,-0.0781,0.0989,-0.1105,63
3.288,63,6.0163,0.7969,-23.1228,0.5028,0.4502,-0.4097,93,3.026,58,4.8043,7.1294,-15.6615,-0.1896,-0.5329,0.3391,63
3.34,64,3.2336,0.014,-24.8809,0.5147,0.3602,-0.5821,93,3.078,59,8.6237,6.8016,-8.8227,-0.0671,-1.0557,0.5761,63
3.392,65,-2.1277,0.2997,-24.3109,-0.2867,0.0152,-0.7219,93,3.13,60,8.7709,5.9361,-3.8314,-0.5322,-1.0341,0.1577,63
3.443,66,-4.7066,-0.2741,-22.7878,-0.2994,-0.6622,-0.6942,93,3.181,61,8.3377,2.289,-0.8625,0.1986,-0.0697,-0.1153,63
3.495,67,-3.4716,-0.2509,-20.7936,-0.2935,-1.1567,-0.5127,93,3.233,62,8.1589,2.3391,-7.6608,0.7349,0.6341,-0.2558,63
3.547,68,2.732,-0.6988,-19.2336,-0.262,-1.5176,-0.1855,93,3.285,63,3.4436,3.374,-13.5724,-0.1257,1.1477,-0.0978,63
3.599,69,7.2597,-0.3343,-18.813,-0.0638,-1.7248,-0.0422,93,3.336,64,-2.9593,-2.8343,-15.2391,-0.2763,1.5226,-0.4049,63
3.651,70,9.227,0.552,-19.9704,0.1282,-1.0184,-0.0276,93,3.388,65,1.7743,-2.5356,-15.967,-0.4351,0.4636,-0.554,63
3.702,71,8.8362,0.0618,-22.5801,0.413,-0.0649,-0.1236,93,3.44,66,4.601,-1.5386,-16.6767,-0.2139,0.248,-0.5559,63
3.754,72,6.5538,-0.6926,-24.4849,0.1862,0.631,-0.3068,93,3.492,67,8.4753,0.08,-20.1526,-0.7929,-0.1452,-0.7392,63
3.806,73,1.0469,-1.2765,-24.5497,0.0185,0.9869,-0.4042,93,3.544,68,9.7907,2.8875,-13.9347,-0.0061,-0.4827,-0.4154,63
3.858,74,-4.1229,-0.8134,-22.5655,-0.3761,0.567,-0.2868,93,3.595,69,9.2492,5.1092,-7.5624,0.1861,-0.6321,-0.4672,63
3.91,75,-5.7797,-0.2591,-20.2111,-0.3723,-0.1827,-0.1157,93,3.647,70,8.0921,-0.4332,-3.0721,-0.0391,0.2237,-0.5538,63
3.961,76,-4.3043,-0.0166,-17.9759,-0.4378,-0.8064,0.011,93,3.699,71,10.21,-1.7135,-8.8151,0.5598,0.8482,-0.6621,63
4.013,77,-1.4581,-0.0802,-16.9345,-0.3511,-1.262,0.045,93,3.751,72,5.6759,0.751,-14.4149,-0.1374,1.304,-0.0184,63
4.065,78,4.1928,-0.6595,-18.2132,-0.0589,-1.2167,-0.1616,93,3.803,73,-1.3301,-4.7487,-18.5018,0.248,1.6367,-0.3577,63
4.117,79,8.1702,-0.7636,-19.2167,0.1741,-0.4449,-0.1994,93,3.855,74,2.38,-6.144,-18.8989,-0.1296,0.5991,-0.5697,63
