right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.045,0,9.3601,-1.3336,-11.72,-0.1816,0.0239,-0.088,70,0.761,14,8.9455,1.2018,-11.3255,-0.2776,0.1836,-0.1986,39
0.097,1,9.4026,-1.2559,-11.7807,-0.1275,-0.0122,-0.0977,70,0.813,15,9.2908,0.2728,-11.3739,-0.4533,0.2502,-0.1495,39
0.149,2,9.5224,-1.1291,-11.8431,-0.1305,-0.0285,-0.1197,70,0.865,16,9.2237,0.4109,-10.7923,-0.3413,0.215,-0.1573,39
0.201,3,9.7504,-0.9059,-11.8799,-0.1747,-0.0401,-0.1426,70,0.917,17,9.1196,0.7034,-10.6719,-0.0946,0.1468,-0.154,39
0.253,4,9.6232,-0.8513,-11.7705,-0.2331,-0.0693,-0.18,70,0.968,18,9.1102,0.8448,-10.7,-0.073,0.1059,-0.1136,39
0.304,5,9.7287,-1.3173,-11.8798,-0.0557,-0.1116,-0.1676,70,1.02,19,9.0858,0.7933,-10.6284,-0.1127,0.1014,-0.0835,39
0.356,6,9.7744,-1.1342,-12.1698,0.0662,-0.1512,-0.2953,70,1.072,20,9.0868,0.8412,-10.5796,0.0206,0.1077,-0.0701,39
0.408,7,9.8334,-1.1396,-14.6191,0.2645,-0.5891,-0.3264,70,1.124,21,8.9762,0.8594,-10.4057,0.1215,0.0781,-0.0529,39
0.459,8,10.0286,-1.2326,-15.5185,-0.1423,-1.1034,-0.2956,70,1.176,22,8.7814,1.4913,-10.2979,-0.0384,-0.014,-0.0272,39
0.511,9,9.8282,-0.7244,-15.5954,-0.356,-1.4787,-0.308,70,1.228,23,8.987,1.3678,-10.2451,-0.451,-0.0894,-0.0145,39
0.563,10,8.8032,-0.3287,-15.4747,-0.5437,-1.7526,-0.3406,70,1.279,24,9.062,1.2,-10.4297,-0.6054,-0.1795,-0.0491,39
0.615,11,7.6757,-0.2462,-15.6843,-0.4703,-1.9519,-0.332,70,1.331,25,9.0708,0.8258,-10.3769,-0.5728,-0.2618,-0.0884,39
0.667,12,6.7657,-0.1104,-15.8093,-0.3211,-2.0001,-0.2255,70,1.383,26,8.9454,0.6334,-10.7232,-0.5471,-0.3084,-0.1148,39
0.718,13,6.3438,0.2576,-15.8016,-0.3437,-1.9089,-0.1228,70,1.434,27,8.853,0.7562,-10.4351,-0.297,-0.3982,-0.1414,39
0.77,14,6.0203,0.1518,-16.0976,-0.4493,-1.6551,-0.0945,70,1.486,28,8.7934,0.723,-10.5468,0.0758,-0.4973,-0.2167,39
0.822,15,5.5495,0.084,-16.4618,-0.3799,-1.3757,-0.0854,70,1.538,29,8.5119,1.4538,-9.2426,0.365,-0.7754,-0.284,39
0.874,16,5.3255,0.4743,-16.7464,-0.2098,-1.0891,-0.1182,70,1.59,30,8.6088,1.438,-10.6963,0.1499,-1.1162,-0.2586,39
0.926,17,5.0207,0.7868,-17.2008,-0.0324,-0.8139,-0.1466,70,1.642,31,8.4043,1.5049,-11.6586,0.2629,-1.3761,-0.2181,39
0.977,18,5.1134,1.1194,-17.527,0.1885,-0.6534,-0.1369,70,1.693,32,7.4063,2.1287,-13.4066,0.3302,-1.3288,-0.1727,39
1.029,19,5.8395,1.7174,-17.8368,0.2054,-0.5882,-0.0548,70,1.745,33,9.7391,2.5431,-15.1689,0.3163,-0.9969,0.0931,39
1.081,20,8.4667,2.0407,-18.7261,0.0692,-0.6284,0.1143,70,1.797,34,12.2253,2.9014,-11.2404,0.2633,-0.9086,0.435,39
1.133,21,10.234,2.7606,-19.8933,-0.0667,-0.5346,0.1272,70,1.849,35,12.8126,5.8636,-9.2023,0.6547,-1.271,0.0515,39
1.185,22,9.7934,3.8988,-21.5334,-0.0397,-0.1666,0.0843,70,1.901,36,9.7561,1.8085,-4.2072,-0.1992,-0.3655,-0.4055,39
1.236,23,7.2521,4.1735,-22.5313,-0.2692,0.374,0.0547,70,1.952,37,5.2457,1.4549,-5.7994,0.5293,0.4182,-0.7106,39
1.288,24,2.7809,4.0186,-21.4756,-0.8717,0.682,0.0539,70,2.004,38,4.3765,1.8765,-12.2138,-0.2908,0.9902,-0.7225,39
1.34,25,-1.6623,2.077,-18.019,-0.8407,0.0664,-0.3237,70,2.056,39,4.0498,6.6617,-16.8954,-0.8893,0.332,-0.9403,39
1.392,26,-3.0455,0.7884,-16.5183,-0.3591,-0.5398,-0.8755,70,2.108,40,-2.5169,9.9793,-20.3122,-0.4012,-0.3318,-0.7094,39
1.443,27,-1.6758,-0.9094,-16.9645,0.4144,-0.7829,-1.095,70,2.159,41,3.2804,8.6369,-19.7181,0.0935,-0.8672,-0.7169,39
1.495,28,4.0427,0.0419,-16.1217,0.7328,-0.5943,-0.7023,70,2.211,42,7.5115,5.4607,-18.798,-0.1657,-0.7536,-0.2227,39
1.547,29,8.2163,-1.0449,-18.2084,-0.1404,-0.6252,0.1652,70,2.263,43,9.8874,-1.3113,-11.1119,0.5533,-0.4771,-0.2126,39
1.599,30,10.6744,0.0067,-20.9525,0.555,0.1263,0.1911,70,2.315,44,12.3336,-4.2887,-5.9112,-0.2732,-0.867,0.088,39
1.651,31,8.6451,2.0938,-23.297,0.979,0.7705,-0.1408,70,2.367,45,9.8741,-1.888,-5.4943,0.4753,0.0522,-0.1712,39
1.703,32,7.0787,2.3005,-25.008,0.4323,1.2407,-0.6034,70,2.418,46,5.6044,-2.5282,-11.1841,0.6471,0.723,-0.1011,39
