right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.059,1,10.3269,-3.0686,-16.7954,-0.2661,-1.2377,-0.4625,92,0.183,3,6.2499,0.8282,-13.0943,-0.6691,0.0797,0.2082,63
0.111,2,7.7407,-1.8431,-17.0255,-0.2662,-1.0339,-0.4235,92,0.235,4,5.5965,0.5671,-17.1761,-0.5853,-0.1153,-0.0853,63
0.163,3,5.0847,-1.2656,-17.5592,-0.0795,-0.8995,-0.4585,92,0.287,5,4.6597,-0.2009,-15.35,-0.1718,-0.036,-0.2189,63
0.215,4,1.9869,-0.8396,-16.9427,0.6185,-1.092,-0.5176,92,0.339,6,6.8786,0.586,-15.0847,-0.0633,-0.0156,-0.1525,63
0.266,5,1.2924,0.7957,-15.4772,0.7387,-1.2981,-0.4792,92,0.39,7,9.1224,-1.0478,-14.2672,0.1229,0.0734,0.0424,63
0.318,6,3.152,1.3118,-14.5369,0.2511,-1.577,-0.4085,92,0.442,8,9.2067,-0.6782,-12.44,0.2511,0.2008,0.0887,63
0.37,7,4.3665,1.0717,-15.0933,0.2541,-1.5884,-0.3402,92,0.494,9,8.8195,-2.5842,-9.4241,0.043,0.2705,0.1994,63
0.422,8,4.2274,1.3264,-15.8785,0.862,-1.103,-0.5008,92,0.546,10,5.5511,-1.9373,-12.3615,0.7061,0.4255,0.1317,63
0.474,9,4.6577,0.3121,-18.3338,0.0993,-0.2401,-0.6265,92,0.598,11,6.1536,3.8782,-16.1979,0.9671,-0.2786,-0.523,63
0.525,10,5.058,0.08,-20.2415,0.5656,-0.0366,-0.6313,92,0.649,12,9.6084,-0.1568,-16.5504,0.5309,-0.7078,-0.541,63
0.577,11,4.4263,0.6158,-19.1788,0.936,-0.2542,-0.5631,92,0.702,13,11.1015,2.5398,-16.1637,0.5288,-0.9856,-0.726,63
0.629,12,3.6484,0.689,-17.8059,0.6526,-0.2278,-0.5484,92,0.753,14,10.3907,1.7518,-15.117,0.5709,-0.6079,-0.4387,63
0.681,13,3.5902,-0.065,-17.6283,0.1875,-0.09,-0.4916,92,0.805,15,9.6091,1.4693,-14.2294,0.5779,-0.239,-0.2564,63
0.732,14,3.3984,-1.101,-17.6593,0.1916,0.1361,-0.4146,92,0.857,16,8.9055,1.5481,-13.171,0.5958,-0.1574,-0.1804,63
0.784,15,3.9494,-1.2798,-17.7314,0.4929,0.3782,-0.2893,92,0.909,17,8.8528,1.0123,-13.1358,0.5011,-0.072,-0.1563,63
0.836,16,4.4504,-1.2454,-17.2699,0.1001,0.6939,-0.0875,92,0.96,18,9.1907,1.0578,-12.8028,0.5,-0.0882,-0.1982,63
0.888,17,5.3525,-1.9013,-17.2823,-0.2947,0.9697,0.1202,92,1.012,19,9.1394,1.0137,-12.8034,0.4214,-0.113,-0.1715,63
0.94,18,6.0275,-1.7394,-16.4884,-0.5422,1.1979,0.3777,92,1.064,20,9.0261,1.0126,-12.7345,0.3427,-0.0735,-0.0938,63
0.992,19,7.5751,-2.0051,-15.5519,-0.7704,1.0126,0.5984,92,1.116,21,8.7565,0.7802,-12.6954,0.2705,-0.0252,0.0033,63
1.043,20,7.6566,-1.4126,-16.3756,-0.9277,0.9895,0.7315,92,1.167,22,8.6605,0.4936,-12.5224,0.2421,0.0696,0.0778,63
1.095,21,7.919,-0.1377,-16.5626,-0.6168,0.9891,0.5864,92,1.219,23,8.5736,0.248,-12.497,0.1675,0.1791,0.1345,63
1.147,22,8.1523,-0.9093,-15.6528,-0.2595,0.9318,0.4725,92,1.271,24,8.8987,-0.1389,-12.2706,0.1887,0.2006,0.1341,63
1.199,23,8.4541,-1.0694,-15.0254,-0.3501,0.8814,0.4203,92,1.323,25,8.8599,-0.0263,-12.0568,0.2607,0.2308,0.1279,63
1.251,24,8.5997,-1.0356,-14.6856,-0.1106,0.7619,0.3433,92,1.374,26,8.8595,0.1786,-11.6908,0.1985,0.2027,0.1768,63
1.302,25,8.7601,-1.1087,-14.2827,-0.0857,0.6581,0.271,92,1.426,27,8.5519,-0.2397,-11.9243,0.0022,0.1509,0.2379,63
1.354,26,8.7398,-1.321,-14.0806,-0.0106,0.5251,0.1994,92,1.478,28,9.0674,-0.5795,-12.3888,0.0405,0.1074,0.2292,63
1.406,27,8.781,-1.4498,-13.8505,0.0461,0.3975,0.134,92,1.53,29,9.1619,-0.5146,-11.957,-0.0106,0.1647,0.233,63
1.458,28,9.0258,-1.402,-13.7062,0.0416,0.2717,0.0978,92,1.582,30,9.1185,-0.6265,-11.6357,-0.0433,0.1111,0.2217,63
1.51,29,9.3623,-1.3344,-13.3666,-0.0388,0.1425,0.097,92,1.633,31,9.2099,-0.3636,-11.5846,-0.0234,0.1606,0.1742,63
1.561,30,9.2415,-1.017,-13.3066,-0.1862,-0.0462,0.1042,92,1.685,32,8.8958,0.6661,-12.6288,-0.1884,-0.0094,0.0041,63
1.613,31,10.0933,-1.2288,-13.1525,-0.3837,-0.283,0.1653,92,1.737,33,8.5918,0.9506,-13.1666,-0.6114,-0.3194,-0.2054,63
1.665,32,9.6069,-1.4005,-13.3566,-0.3162,-0.4552,0.13,92,1.789,34,9.2588,-2.425,-10.4681,-0.8678,-0.305,-0.0947,63
1.717,33,8.856,-1.0496,-12.2259,0.1395,-0.4878,-0.0311,92,1.84,35,11.2917,-2.4453,-8.5499,-0.6707,-0.1258,0.0451,63
