right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.306,5,9.7064,-1.1739,-11.727,0.342,0.4137,-0.026,70,0.11,2,7.8504,-0.726,-14.3561,0.1062,0.065,-0.1298,40
0.358,6,9.4224,-1.1484,-12.1794,0.1483,0.417,-0.0096,70,0.162,3,8.3524,-0.7537,-13.8816,-0.0805,0.0418,-0.0411,40
0.41,7,9.4256,-1.2892,-12.5921,0.0547,0.3281,-0.0061,70,0.214,4,8.128,-0.7276,-13.9111,-0.1824,0.1163,-0.0003,40
0.462,8,9.1599,-1.356,-12.4652,0.1179,0.1984,-0.0012,70,0.265,5,8.1284,-0.9177,-13.8769,-0.1461,0.148,0.0394,40
0.513,9,9.4582,-0.525,-10.6582,0.6739,0.215,-0.0119,70,0.317,6,8.1286,-1.0086,-13.9496,-0.1179,0.1523,0.0078,40
0.565,10,9.2776,-1.8688,-11.4452,0.4828,0.4372,0.1218,70,0.369,7,8.1484,-0.9236,-13.8709,-0.0255,0.1676,-0.0492,40
0.617,11,10.0742,-2.4394,-11.0723,0.1931,0.6053,0.1873,70,0.421,8,8.2262,-0.9749,-13.7792,0.0064,0.1593,-0.1101,40
0.669,12,9.5533,-2.2254,-10.6604,0.1971,0.6225,0.2162,70,0.473,9,8.2566,-0.8003,-13.5354,0.1739,0.1018,-0.1545,40
0.721,13,9.7222,-2.1768,-10.2627,0.308,0.6091,0.1712,70,0.524,10,8.6529,-0.5788,-13.2366,0.3105,-0.0181,-0.0562,40
0.772,14,10.0661,-1.9891,-10.356,0.3898,0.6737,0.1763,70,0.576,11,7.6926,-0.8631,-13.4132,0.3899,0.0166,-0.1594,40
0.824,15,9.9829,-1.955,-9.8939,0.3145,0.953,0.104,70,0.628,12,7.6414,-0.8169,-13.3532,0.3454,0.1855,-0.2593,40
0.876,16,8.8386,-2.1661,-7.9622,-0.0188,1.0317,0.0403,70,0.68,13,8.0979,-0.8628,-13.7379,0.1443,0.2041,-0.3422,40
0.928,17,9.2404,-2.0334,-7.9928,-0.0061,0.7539,-0.0391,70,0.732,14,8.0783,-0.7959,-13.9135,0.1433,0.3027,-0.5002,40
0.979,18,9.16,-1.8083,-8.0439,-0.2083,0.7117,-0.0707,70,0.783,15,8.0352,-0.5958,-13.6944,0.1579,0.4478,-0.7324,40
1.031,19,8.8563,-1.9137,-7.2966,-0.1955,0.6243,-0.0351,70,0.835,16,7.977,1.0503,-12.9034,0.2133,0.4009,-0.7854,40
1.083,20,9.01,-2.091,-7.0425,-0.1291,0.46,-0.0292,70,0.887,17,8.3698,0.7589,-13.0142,-0.0379,0.1835,-0.3883,40
1.135,21,8.7815,-2.2262,-6.8941,-0.2404,0.3642,-0.091,70,0.939,18,8.3052,1.0115,-13.1576,-0.08,0.1047,-0.2095,40
1.187,22,8.5753,-2.3217,-6.5334,-0.2438,0.2554,-0.0942,70,0.991,19,8.1465,1.6026,-12.5318,-0.3269,0.0112,0.0697,40
1.238,23,8.7979,-2.3068,-6.5233,0.0415,0.0173,-0.0259,70,1.042,20,8.8334,0.5642,-12.7463,-0.3916,-0.0996,0.2565,40
1.29,24,8.6261,-2.3241,-6.5924,0.1347,-0.217,-0.0188,70,1.094,21,8.7704,0.5252,-12.8446,-0.3131,-0.17,0.4185,40
1.342,25,8.4772,-2.5379,-6.762,0.2861,-0.5689,0.0143,70,1.146,22,8.5711,0.3045,-13.0033,-0.2601,-0.2008,0.4707,40
1.394,26,8.6713,-1.8528,-6.8633,0.4103,-0.9104,-0.0108,70,1.198,23,8.5256,0.1003,-13.0435,-0.2319,-0.2149,0.4715,40
1.446,27,9.2057,-2.0361,-7.8863,-0.1563,-1.1606,-0.1477,70,1.249,24,8.4141,-0.274,-12.9343,-0.1227,-0.3131,0.4364,40
1.497,28,9.3315,-2.6284,-9.0407,-0.09,-1.4497,-0.3353,70,1.301,25,8.3727,-0.2191,-13.2158,-0.022,-0.3966,0.4107,40
1.549,29,10.0515,-2.0413,-10.1549,0.0758,-1.6961,-0.4728,70,1.353,26,8.3293,-0.3768,-13.6117,-0.057,-0.3998,0.4725,40
1.601,30,9.9448,-1.9214,-11.0432,-0.0094,-1.7805,-0.5672,70,1.405,27,8.2397,-0.7376,-13.8799,-0.1168,-0.3352,0.4748,40
1.653,31,9.5435,-1.3518,-11.7255,-0.1367,-1.7432,-0.574,70,1.457,28,8.1283,-1.1042,-13.9244,-0.1271,-0.2791,0.402,40
1.705,32,8.957,-0.8831,-12.479,-0.3292,-1.587,-0.5251,70,1.508,29,8.0808,-0.9824,-14.1219,-0.079,-0.244,0.3001,40
1.757,33,8.4772,-0.5003,-13.2628,-0.322,-1.4512,-0.4551,70,1.56,30,8.061,-1.0471,-14.17,-0.0416,-0.2404,0.2287,40
1.808,34,8.165,-0.1736,-14.1637,-0.2398,-1.3443,-0.3603,70,1.612,31,7.9306,-1.199,-14.3536,0.0006,-0.2274,0.1817,40
1.86,35,7.9916,0.0574,-14.9319,-0.2047,-1.2748,-0.2579,70,1.664,32,7.9048,-1.2776,-14.3749,0.0384,-0.2192,0.1259,40
1.912,36,8.0344,0.3673,-15.5948,-0.2837,-1.2262,-0.1778,70,1.716,33,7.9196,-1.4866,-14.3986,0.2455,-0.2575,-0.0854,40
1.964,37,8.1403,0.5862,-16.2534,-0.3052,-1.235,-0.1375,70,1.767,34,7.6783,-1.1875,-14.6991,0.3354,-0.227,-0.1861,40
2.016,38,7.9387,0.7782,-16.6575,-0.2268,-1.2914,-0.1076,70,1.819,35,7.7176,-1.0689,-14.7382,0.3357,-0.161,-0.1983,40
2.067,39,7.2634,0.8798,-16.7697,-0.1948,-1.3111,-0.0514,70,1.871,36,7.5964,-0.9578,-14.9393,0.2224,-0.0775,-0.177,40
2.119,40,6.3113,0.926,-16.5868,-0.2139,-1.2656,0.0339,70,1.923,37,7.3031,-0.677,-14.9461,0.0723,0.0197,-0.1117,40
2.171,41,5.4736,0.9495,-16.3282,-0.2376,-1.1576,0.1135,70,1.974,38,7.9824,-1.0953,-14.5626,-0.007,0.0128,-0.0021,40
2.223,42,4.9457,0.8666,-16.4488,-0.328,-0.9089,0.18,70,2.026,39,7.6966,-1.0075,-14.7701,-0.0704,-0.0034,0.0937,40
2.274,43,4.5925,0.7885,-16.796,-0.3515,-0.7007,0.2227,70,2.078,40,7.9904,-1.1027,-14.5095,-0.1036,-0.0355,0.1343,40
2.326,44,4.5295,1.0638,-17.3371,-0.2941,-0.5263,0.2132,70,2.13,41,7.7942,-1.2257,-14.6182,-0.0523,-0.0499,0.0916,40
2.378,45,4.3101,1.1874,-18.1351,-0.2072,-0.4484,0.1656,70,2.182,42,7.6718,-1.2081,-14.7474,0.0391,-0.0412,0.0444,40
2.43,46,3.8126,1.1752,-18.3776,-0.1243,-0.4705,0.1133,70,2.233,43,7.5697,-1.2925,-14.7816,0.1179,-0.0078,-0.0309,40
2.482,47,3.5257,1.2479,-18.1607,-0.0366,-0.453,0.0853,70,2.285,44,7.4364,-1.1698,-14.8728,0.0786,0.0698,-0.0562,40
2.533,48,3.7861,1.16,-17.652,0.0882,-0.3697,0.0708,70,2.337,45,7.2486,-1.1625,-14.9684,-0.1121,0.0973,0.0894,40
2.585,49,4.1257,0.8827,-17.3223,0.0349,-0.2441,0.011,70,2.388,46,7.5198,-1.077,-15.1257,-0.4007,0.0074,0.3492,40
2.637,50,4.9078,0.4691,-17.4116,-0.0238,-0.1138,-0.0747,70,2.44,47,7.4673,-1.1963,-15.3721,-0.6388,-0.0889,0.6734,40
2.689,51,7.8095,-1.2116,-16.494,0.4042,-0.0539,-0.1024,70,2.492,48,7.3763,-1.8242,-16.5205,-0.6673,-0.598,1.0161,40
2.741,52,9.4425,-0.5225,-14.6759,0.699,0.4368,-0.0516,70,2.544,49,8.2503,1.5411,-10.2402,-0.3884,-0.7473,0.9754,40
2.792,53,11.7448,0.7682,-13.6336,0.8769,0.9972,-0.1636,70,2.596,50,7.0282,0.1061,-13.292,0.161,-0.5198,0.4151,40
2.844,54,13.6825,0.7694,-14.6465,1.0758,1.4061,-0.2618,70,2.647,51,7.6638,-2.424,-13.623,-0.0156,-1.0461,0.7026,40
2.896,55,15.2127,0.2977,-17.5162,0.9411,1.7046,-0.2479,70,2.699,52,6.0804,-3.0918,-15.2237,0.0779,-0.5846,0.5485,40
2.948,56,14.6774,0.061,-20.789,0.9687,1.881,-0.2779,70,2.751,53,6.2786,-3.5698,-16.5996,0.1197,-0.2892,0.3477,40
3.0,57,11.0979,-1.223,-23.1776,0.419,0.6994,-0.3623,70,2.803,54,9.6997,-2.6982,-19.2052,-0.092,-0.8053,0.105,40
3.052,58,6.6096,-2.8566,-24.0977,-0.0273,-0.1629,-0.1716,70,2.855,55,11.4666,0.6225,-15.1141,0.6076,-0.5371,-0.0434,40
3.103,59,5.9738,-3.1102,-21.9213,-0.4404,-0.7923,0.1487,70,2.906,56,10.5558,5.7465,-9.8032,1.0241,0.0276,-0.5058,40
3.155,60,6.7596,-3.6581,-19.3006,-0.4703,-1.2517,0.4534,70,2.958,57,6.1159,5.3855,-8.7762,1.1286,0.7051,-0.9224,40
3.207,61,10.1992,-1.9088,-15.2964,-0.2868,-1.5654,0.3356,70,3.01,58,4.2495,-1.3662,-11.7986,0.1481,0.1017,-1.3446,40
3.259,62,12.7096,-1.5459,-11.8062,-0.0617,-0.7394,0.0348,70,3.062,59,0.7059,-6.2939,-16.5923,0.5748,0.7303,-1.2665,40
3.311,63,14.5417,-3.6841,-13.1749,0.4271,0.1387,-0.5117,70,3.114,60,1.5911,-5.3619,-20.091,0.7951,0.8801,-0.244,40
3.362,64,15.879,-5.0393,-17.5434,0.6623,0.7796,-1.0318,70,3.165,61,0.3102,-6.43,-21.9053,0.0641,0.391,0.011,40
3.414,65,16.8549,-6.2258,-20.8088,1.1506,1.2473,-1.4081,70,3.217,62,1.8385,-5.4252,-22.2759,0.3227,0.6285,0.0074,40
3.466,66,17.5672,-6.3685,-23.1921,1.0485,1.5887,-1.6063,70,3.269,63,6.4591,-5.4097,-22.4301,-0.0787,-0.2081,-0.0127,40
3.518,67,9.1758,-5.9565,-24.9315,0.09,1.8332,-0.9732,70,3.321,64,9.8315,1.1335,-18.5932,0.6173,-0.527,0.1651,40
3.57,68,1.3727,-2.6155,-26.201,-0.6025,0.7315,-0.3717,70,3.372,65,11.8079,6.0418,-14.7993,0.9098,-0.2703,0.431,40
3.622,69,-1.9879,-0.296,-26.0539,-0.9678,-0.1395,-0.5321,70,3.424,66,13.5224,7.109,-12.5567,0.7289,-0.1538,-0.147,40
3.673,70,-0.8806,-0.7911,-25.7319,-0.6645,-0.7752,-0.8898,70,3.476,67,12.096,10.4806,-6.5567,0.9614,0.5727,-0.7787,40
3.725,71,4.623,-4.2856,-25.9076,0.0768,-1.2392,-0.6372,70,3.528,68,13.6434,2.3524,-12.7666,0.0265,0.0891,-0.2259,40
3.777,72,8.6398,-3.9122,-24.8032,0.7326,-1.5778,-0.6419,70,3.58,69,5.1988,3.058,-14.5335,0.3556,-0.2438,0.5155,40
3.829,73,11.5715,-1.4887,-23.1401,0.8439,-1.825,-0.3879,70,3.631,70,8.9116,-2.7123,-16.0972,-0.0744,-0.8447,0.4658,40
3.88,74,12.3948,1.1226,-19.4143,1.1154,-1.6304,0.0305,70,3.683,71,8.1337,-0.5264,-17.3255,0.3919,-0.6291,0.3085,40
3.932,75,11.9989,3.393,-16.7565,0.6957,-0.5116,0.1432,70,3.735,72,11.0536,-2.6531,-15.5663,0.2259,-0.1048,0.8357,40
3.984,76,9.0029,2.0192,-14.4229,0.7047,0.305,-0.2668,70,3.787,73,13.1847,0.2654,-13.4861,0.2839,-0.74,0.7902,40
