right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.778,15,9.2797,-2.5799,-10.8274,-0.1013,0.0299,0.1188,93,0.016,0,8.4977,-0.8251,-9.8974,0.9302,-0.2108,-0.1392,63
0.829,16,9.3202,-2.5023,-10.9177,-0.0855,0.0398,0.0246,93,0.068,1,8.7197,-1.2851,-9.9509,0.6326,0.1192,-0.0467,63
0.881,17,9.3419,-2.4445,-10.9328,-0.0699,0.1412,-0.0484,93,0.119,2,9.2225,-1.3135,-9.9543,0.6492,0.3153,0.0726,63
0.933,18,9.3339,-2.3752,-10.8081,-0.0615,0.2089,-0.117,93,0.171,3,9.1476,-1.255,-10.1988,0.6148,0.4682,0.1094,63
0.985,19,9.3965,-2.266,-10.7614,-0.0626,0.2781,-0.1872,93,0.223,4,8.9904,-1.3711,-10.0743,0.3402,0.4542,0.1129,63
1.036,20,9.3975,-2.1834,-10.6235,-0.0929,0.3685,-0.2682,93,0.275,5,8.7471,-1.4195,-9.9234,0.2768,0.4462,0.1464,63
1.088,21,9.3863,-2.0608,-10.4054,-0.1279,0.4372,-0.4169,93,0.327,6,8.5088,-0.9751,-10.1981,0.2325,0.3427,0.0768,63
1.14,22,9.2885,-1.883,-10.0737,-0.1478,0.3348,-0.7411,93,0.378,7,8.0087,-0.5144,-10.8764,0.1253,0.0601,-0.1218,63
1.192,23,9.2006,-1.9297,-9.7753,-0.0645,-0.3972,-1.2149,93,0.43,8,8.2296,2.1283,-14.7468,0.264,-0.3885,-0.4924,63
1.243,24,11.52,-1.7787,-11.4996,-0.1194,-0.9633,-1.5543,93,0.482,9,7.0348,1.9786,-15.1845,0.0741,-0.7063,-0.8129,63
1.295,25,12.2207,-2.4699,-13.7466,-0.5351,-1.3764,-1.8084,93,0.534,10,9.1201,2.4887,-14.3529,-0.0297,-0.9899,-1.2647,63
