right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.349,6,3.7099,2.792,-7.6656,-0.4558,0.4598,0.3282,94,0.012,0,6.9149,-1.8261,-13.0468,0.261,1.3346,-1.8802,64
0.401,7,4.9374,1.7339,-9.1828,-0.3405,-0.0244,0.1245,94,0.064,1,7.0714,-1.568,-12.8316,0.5365,1.659,-2.0437,64
0.453,8,6.3768,1.6539,-10.0336,-0.2776,-0.2253,0.0198,94,0.116,2,8.5841,-3.2514,-14.6016,0.1765,1.8788,-2.0321,64
0.504,9,7.3097,1.0722,-10.5097,-0.1642,-0.331,-0.0577,94,0.168,3,7.9214,-4.1199,-15.0229,-0.3093,1.0389,-1.1353,64
0.556,10,7.8767,0.9205,-10.9959,-0.0058,-0.4594,-0.1616,94,0.219,4,10.8986,2.2853,-8.3566,0.4489,0.1202,-0.8873,64
0.608,11,8.043,0.8448,-11.6107,0.0754,-0.5019,-0.2276,94,0.271,5,5.9894,5.1739,-10.7849,-0.193,-0.574,-0.3274,64
0.66,12,8.3241,0.6145,-11.9981,0.1746,-0.5292,-0.3136,94,0.323,6,6.9725,4.3272,-11.4654,-0.0653,-0.4107,-0.1046,64
0.712,13,8.1677,0.7938,-12.187,0.1588,-0.6881,-0.3864,94,0.375,7,7.1029,3.416,-11.5848,0.1224,-0.2363,-0.0375,64
0.764,14,8.5253,1.7706,-12.1535,0.1515,-1.1756,-0.5633,94,0.427,8,7.2455,2.7861,-11.6483,0.2339,-0.1544,0.0792,64
0.815,15,11.4879,0.5861,-11.9791,-0.1306,-1.5314,-0.7467,94,0.478,9,7.3888,1.7155,-11.7939,0.1724,-0.1716,0.3331,64
0.867,16,10.3759,0.4041,-14.4613,0.5812,-1.7509,-1.0903,94,0.53,10,7.9059,0.7704,-11.8679,0.0981,-0.1642,0.5643,64
0.919,17,8.6878,0.458,-12.8506,1.0596,-0.6032,-1.2278,94,0.582,11,8.2682,0.5578,-11.8839,0.1477,-0.2381,0.7548,64
0.971,18,8.0465,0.3707,-13.211,0.7896,0.2381,-0.934,94,0.634,12,8.3404,0.9764,-12.265,0.1658,-0.28,1.0585,64
1.022,19,8.3913,1.1213,-13.9632,0.449,0.8522,-0.4133,94,0.685,13,9.3627,-2.0185,-14.6632,0.0187,-0.7137,1.4137,64
1.074,20,9.3585,0.4508,-17.2284,0.079,1.3003,-0.1579,94,0.737,14,8.9978,-4.5065,-16.0661,-0.1016,-1.1876,1.7121,64
1.126,21,8.7599,0.1038,-18.5988,0.5051,1.2883,0.0197,94,0.789,15,8.8398,-5.5603,-15.8065,0.3647,-1.5336,1.9299,64
1.178,22,7.0586,-0.4098,-19.9197,0.2678,0.7979,0.1556,94,0.841,16,9.449,-5.3346,-15.7619,0.6387,-1.7861,2.0889,64
1.23,23,6.0318,1.6891,-17.6082,0.7673,0.2921,-0.2321,94,0.893,17,9.0345,-4.4501,-16.2713,1.0712,-1.9703,2.2049,64
1.281,24,7.5455,0.4188,-16.2469,0.3574,0.2081,0.0611,94,0.944,18,7.816,-4.1041,-16.1345,1.4565,-2.1048,2.1832,64
1.333,25,8.5232,0.6902,-14.4005,0.2732,-0.0857,0.1393,94,0.996,19,6.062,-2.3312,-15.0062,1.2397,-2.1286,1.3663,64
1.385,26,8.6176,-0.1873,-13.7371,0.229,-0.239,0.2094,94,1.048,20,4.5141,-2.0336,-13.1035,0.2617,-1.4779,0.3258,64
1.436,27,9.1962,-0.6833,-12.9852,0.1267,-0.2815,0.0218,94,1.1,21,4.1844,-3.3069,-13.5653,-0.4861,-0.3936,-0.4336,64
1.488,28,9.7598,0.2074,-12.8534,0.21,-0.351,-0.1703,94,1.152,22,4.7036,-7.7103,-16.0037,-1.0318,0.3977,-0.9879,64
1.54,29,9.7125,0.2936,-12.6696,0.2227,-0.3625,-0.0534,94,1.204,23,4.5392,-10.9241,-19.6614,-0.921,0.4635,-0.6603,64
1.592,30,9.6703,0.0754,-12.4802,0.1789,-0.5413,0.0648,94,1.255,24,4.3457,-9.9591,-19.7867,-0.3021,0.0412,0.0804,64
1.644,31,9.393,-0.066,-12.5641,0.1262,-0.7769,0.0793,94,1.307,25,3.1797,-6.9413,-15.6004,-0.3582,0.2169,0.5284,64
1.695,32,9.8252,-0.072,-13.2196,0.1068,-1.0195,0.1248,94,1.359,26,1.6197,-4.7744,-10.7601,-0.4891,0.8432,0.2651,64
1.747,33,9.5459,-0.0538,-13.8899,0.114,-1.0623,0.1362,94,1.411,27,0.2129,-4.0407,-12.0514,-0.4365,1.3004,0.2014,64
1.799,34,10.4861,0.217,-14.7345,0.0826,-0.4938,0.2512,94,1.463,28,-0.8219,-2.1873,-13.2404,0.3561,0.5586,-0.2847,64
1.851,35,12.919,3.0371,-12.2831,-0.2683,-0.8254,0.4463,94,1.514,29,2.3297,-5.5409,-16.4005,-0.4172,-0.2514,-0.8523,64
1.903,36,11.1209,2.9738,-11.9147,-0.4111,-0.7199,0.4259,94,1.566,30,6.8176,-9.3408,-19.5748,-0.8403,-0.6135,-0.7102,64
1.955,37,10.5189,2.1624,-7.3006,-0.9753,0.1529,0.9716,94,1.618,31,9.4108,-10.3524,-18.1868,-0.4118,-0.9418,0.162,64
2.007,38,8.0006,1.2743,-13.3332,-0.0352,0.79,1.0662,94,1.67,32,7.6934,-8.6097,-16.0351,0.0978,-0.5098,0.7582,64
2.058,39,11.1049,6.2819,-17.736,0.1025,0.0551,0.442,94,1.722,33,5.1144,-6.2605,-15.5881,0.3237,0.2732,0.758,64
2.11,40,13.3706,9.9367,-11.9459,0.6926,-0.6332,0.4105,94,1.773,34,2.8047,-4.2892,-16.2092,-0.0524,0.6794,0.2171,64
2.162,41,12.395,6.2518,-11.2079,0.3164,-0.5623,0.2778,94,1.825,35,0.8528,-2.9316,-16.1024,-0.274,0.3814,-0.5129,64
2.214,42,12.1713,5.0864,-11.1555,0.3185,-0.7049,0.1632,94,1.877,36,2.8573,-2.2156,-13.7589,0.0738,-0.3874,-1.0458,64
2.265,43,12.8958,3.7758,-9.7812,-0.0939,-0.6527,0.0955,94,1.929,37,-3.2387,-0.9821,-13.3844,0.4507,-0.7179,-1.4346,64
2.317,44,13.9844,0.9687,-7.1639,-0.2811,-1.1498,-0.1755,94,1.98,38,2.7535,-4.7482,-17.5698,0.1468,0.0361,-1.7185,64
2.369,45,12.1521,0.5124,-9.0999,-0.8736,-1.5126,-0.0412,94,2.032,39,7.1269,-8.2645,-19.7695,-0.2132,0.2289,-0.9507,64
2.421,46,3.5449,-2.8126,-5.3405,-0.051,-0.4256,0.3774,94,2.084,40,8.0182,-8.1284,-18.4766,-0.2527,0.0753,-0.0135,64
2.472,47,5.6078,-0.1431,-11.9026,0.6393,0.3677,0.2503,94,2.136,41,6.4953,-5.4144,-16.7193,0.0702,-0.096,0.6705,64
2.524,48,9.3585,5.2474,-16.6127,0.8052,-0.405,-0.1553,94,2.188,42,4.7273,-2.2553,-15.1757,0.329,0.0572,0.6961,64
2.576,49,6.831,7.3198,-15.9504,0.5838,0.0521,-0.1011,94,2.239,43,4.8033,-0.4811,-14.8068,-0.2625,0.3493,-0.0345,64
2.628,50,7.0673,4.4047,-14.3425,0.4905,0.0879,-0.1635,94,2.291,44,6.193,-1.6355,-16.4961,-0.5125,0.5731,-0.6966,64
2.68,51,7.7717,2.8357,-11.6353,0.1786,-0.2508,-0.1515,94,2.343,45,6.1663,-3.7219,-18.403,-1.0483,0.4194,-0.8237,64
2.731,52,8.6052,1.9388,-11.3856,0.0684,-0.8419,-0.231,94,2.395,46,3.4674,-6.7005,-18.9134,-1.4418,0.2427,-0.0052,64
2.783,53,9.2601,1.4703,-11.6883,0.237,-0.7402,-0.1761,94,2.447,47,0.0775,-2.9897,-12.4305,-1.5111,0.715,0.1631,64
2.835,54,10.3887,1.8132,-11.3671,0.2557,-0.648,-0.0217,94,2.498,48,-1.9409,-2.5045,-10.1382,-1.6102,1.2068,-0.5387,64
2.887,55,9.7561,1.3934,-11.2227,0.1325,-0.5528,0.1666,94,2.55,49,-0.004,-4.764,-10.7571,-0.5005,1.5658,-1.0646,64
2.939,56,10.5298,-0.3846,-9.8015,0.0872,-1.0769,-0.0156,94,2.602,50,5.1144,1.8151,-5.2739,-0.0285,1.5789,-1.1433,64
2.99,57,12.9509,0.0708,-8.3747,-0.6023,-1.4594,0.4942,94,2.654,51,2.2305,2.5649,-3.5112,-0.0042,0.6181,-0.8952,64
3.042,58,10.6283,-3.549,-3.5282,-1.1148,-0.3867,1.0384,94,2.706,52,1.5157,6.3776,-1.6316,0.4428,0.0595,-0.4163,64
3.094,59,2.4329,0.6919,-10.5799,-0.1771,0.3961,1.4356,94,2.757,53,3.5222,5.1717,-5.4747,0.7274,-0.4496,-0.3687,64
3.146,60,7.0414,5.8569,-13.7121,0.2093,-0.1215,0.7116,94,2.809,54,5.5344,4.9646,-7.9429,0.5494,-0.7136,0.0061,64
3.198,61,10.4048,2.833,-12.2446,-0.0312,-0.7621,-0.1215,94,2.861,55,6.2836,3.3161,-9.5175,0.1832,-0.5581,0.3903,64
3.249,62,9.4028,1.5911,-11.5533,-0.3377,-0.5609,-0.2709,94,2.913,56,6.9654,2.9197,-10.7911,-0.5434,-0.3374,0.5827,64
3.301,63,9.5593,1.0472,-11.2448,-0.3882,-0.583,-0.5653,94,2.965,57,6.1822,1.7967,-12.2552,-0.1481,-0.379,0.2276,64
3.353,64,10.5611,1.1409,-10.9508,-0.3437,-0.7983,-0.7944,94,3.016,58,6.4203,0.3592,-12.0474,0.5666,-0.785,-0.2269,64
3.405,65,12.9737,0.0611,-11.7421,0.0021,-1.256,-0.8991,94,3.068,59,8.6503,0.59,-10.9997,1.0882,-1.2397,0.0682,64
3.457,66,12.612,-0.9531,-7.0409,0.3067,-1.3875,-0.5569,94,3.12,60,11.4307,2.6163,-13.5095,1.1752,-1.5716,0.7194,64
3.508,67,10.4162,-2.456,-3.9859,0.3921,-0.3343,-0.0279,94,3.172,61,8.8103,5.1345,-12.489,1.5324,-0.4621,0.5607,64
3.56,68,11.1489,-3.3568,-7.1192,0.9627,0.4343,0.4215,94,3.223,62,8.0836,3.4393,-12.3657,0.5413,0.3477,-0.2622,64
3.612,69,10.3947,0.2451,-13.2008,0.5699,0.9954,0.7099,94,3.275,63,7.1372,2.0794,-15.8501,-0.282,0.9388,-0.8628,64
3.664,70,10.799,-5.0582,-17.6394,0.2831,0.0531,0.7475,94,3.327,64,8.8127,-0.2327,-19.5493,-0.8829,1.0606,-1.2761,64
3.716,71,12.4175,-0.4751,-15.9047,0.6467,-0.6347,0.1695,94,3.379,65,6.7772,-0.4174,-20.0193,-0.3089,0.8441,-0.811,64
3.767,72,12.8793,-0.5607,-14.9681,0.3308,-0.162,0.363,94,3.431,66,7.4882,0.1536,-18.0367,-0.17,0.5809,-0.7052,64
3.819,73,12.2281,-0.143,-14.2814,0.1081,0.3083,0.3551,94,3.482,67,7.7482,-0.0722,-16.4249,-0.2166,0.359,-0.4786,64
3.871,74,10.6708,-0.3279,-13.094,-0.1328,0.0536,0.1929,94,3.534,68,8.032,-0.2189,-15.2283,-0.1868,0.2079,-0.3316,64
3.923,75,10.2353,-0.5131,-12.5794,-0.117,-0.4759,0.0231,94,3.586,69,8.2182,-0.0111,-14.218,-0.1105,0.0857,-0.1731,64
3.975,76,12.7359,0.1289,-11.0947,-0.5246,-1.0207,-0.0305,94,3.638,70,8.4069,0.3934,-12.6176,-0.0129,-0.0913,0.1754,64
4.026,77,13.8066,-0.4468,-11.5935,-1.053,-1.4184,0.1363,94,3.689,71,8.0066,-0.6561,-13.6927,-0.0696,-0.2075,0.677,64
4.078,78,11.7138,0.7889,-10.0291,-1.2986,-0.9338,0.2039,94,3.741,72,9.6724,-0.9102,-12.774,0.0989,-0.5286,1.0702,64
4.13,79,10.7423,0.9286,-9.0076,-1.2994,-0.0032,0.3582,94,3.793,73,12.1766,-0.3237,-14.3526,0.451,-1.0526,1.4615,64
4.182,80,11.1322,0.9147,-9.3867,-0.3881,0.676,0.4086,94,3.845,74,12.901,-0.429,-15.5545,0.9943,-1.435,1.7466,64
4.234,81,11.565,0.2944,-13.1368,0.2233,1.1718,0.2655,94,3.897,75,11.4836,-1.8698,-16.2767,1.2102,-1.7141,1.638,64
4.285,82,10.6964,-0.1617,-17.0084,0.2419,0.4862,0.2815,94,3.948,76,8.3582,-3.3486,-15.5523,1.0523,-1.9178,1.2193,64
4.337,83,11.6668,1.6402,-17.2287,0.3882,-0.3185,-0.1052,94,4.0,77,5.2501,-3.9389,-13.8712,0.643,-1.7937,0.7333,64
4.389,84,11.1579,1.6749,-16.0324,0.482,-0.9008,-0.1732,94,4.052,78,2.5471,-3.5974,-11.6248,0.3337,-1.1593,0.3807,64
4.441,85,11.037,1.4662,-15.4635,0.3825,-1.1626,0.0151,94,4.104,79,1.0042,-2.9721,-10.0793,0.1142,-0.202,0.1126,64
4.492,86,10.7287,1.2492,-15.1509,0.3821,-1.118,0.1044,94,4.156,80,0.3241,-2.0133,-11.1024,-0.0111,0.4086,-0.0869,64
4.544,87,11.1658,1.4015,-18.9227,0.3495,-0.1967,0.1362,94,4.207,81,1.2259,-0.5622,-11.8045,0.3185,0.136,-0.5315,64
4.596,88,13.415,1.9458,-14.1732,-0.1936,0.2215,0.4577,94,4.259,82,-4.1705,0.5711,-13.4449,0.5725,-0.484,-1.0593,64
4.648,89,14.3187,1.4884,-12.3755,0.2951,-0.5117,-0.1457,94,4.311,83,2.0735,-4.7586,-17.7939,-0.1316,0.0783,-1.4445,64
