right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.325,6,9.2332,-1.7405,-12.2011,0.3149,0.4978,0.2214,93,0.042,0,8.8185,0.8796,-11.5871,0.0568,0.0771,-0.033,63
0.376,7,9.2775,-1.7963,-11.9348,0.2926,0.4262,0.203,93,0.094,1,8.8171,0.8604,-11.5482,0.0488,0.0558,-0.0164,63
0.428,8,9.3146,-1.8615,-11.6962,0.2468,0.3954,0.1827,93,0.145,2,8.8222,0.8167,-11.5388,0.0563,0.0324,-0.0102,63
0.48,9,9.2743,-1.9315,-11.4873,0.2027,0.3742,0.1633,93,0.197,3,8.8352,0.8377,-11.5034,0.0493,0.0245,-0.008,63
0.532,10,9.2674,-2.0131,-11.2956,0.179,0.3371,0.1482,93,0.249,4,8.8217,0.8143,-11.5289,0.0364,0.03,0.0123,63
0.583,11,9.3911,-2.1301,-11.1249,0.1616,0.2782,0.1468,93,0.301,5,8.8333,0.7897,-11.5165,0.0297,0.0316,0.0336,63
0.635,12,9.3538,-2.1936,-10.991,0.1365,0.2525,0.1607,93,0.353,6,8.8204,0.7451,-11.53,0.0191,0.0138,0.0454,63
0.687,13,9.3372,-2.2847,-10.8663,0.117,0.2249,0.1616,93,0.404,7,8.8088,0.7408,-11.5522,0.0196,-0.0043,0.0531,63
0.739,14,9.3205,-2.3513,-10.7169,0.0695,0.1856,0.1508,93,0.456,8,8.8104,0.7001,-11.5447,0.0207,-0.0163,0.0609,63
0.791,15,9.2979,-2.4029,-10.608,0.0349,0.1335,0.1346,93,0.508,9,8.8109,0.6599,-11.5422,0.0121,-0.021,0.0738,63
