right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.109,2,9.4317,-0.8252,-10.7169,-0.1645,-0.5306,-0.295,88,0.15,2,-11.3213,4.6687,-5.8458,-0.041,-0.3682,0.071,52
0.161,3,9.6791,-0.9453,-10.0639,-0.2672,-0.8529,-0.4796,88,0.202,3,-12.2189,2.6153,-4.4836,-0.0095,0.2774,-0.6157,52
0.213,4,12.33,-2.3882,-7.3877,-0.414,-1.2959,-0.757,88,0.254,4,-3.8006,7.2009,-3.0648,0.0445,-0.2291,-0.0378,52
0.265,5,14.2647,-3.6532,-10.7084,-0.4754,-1.6192,-0.9944,88,0.306,5,-6.1171,2.5715,-6.8548,0.6479,-0.834,0.6528,52
0.316,6,12.2474,-2.7999,-15.8203,0.3295,-1.8552,-1.1278,88,0.357,6,-4.388,-2.9384,-10.4363,1.1475,-0.79,0.6112,52
0.368,7,8.8547,-2.0242,-14.4249,-0.4023,-0.9146,-0.752,88,0.409,7,-8.6751,3.1476,-12.5954,0.8105,-0.9055,0.1126,52
0.42,8,3.4906,-1.4191,-10.7044,-0.3047,-1.2856,-0.0527,88,0.461,8,-10.1429,1.3716,-11.9101,0.168,-0.5979,-0.4466,52
0.472,9,-0.3178,-0.2971,-10.1526,-0.4485,-1.2482,0.2213,88,0.513,9,-12.8754,-4.2957,-16.6737,-0.5544,-0.0358,-0.1853,52
0.523,10,3.5575,-1.1103,-6.7255,0.231,-1.43,0.3064,88,0.565,10,-14.8696,-3.6064,-17.4153,0.148,0.4881,0.3262,52
0.575,11,5.1098,-2.2253,-9.203,0.8451,-0.6887,0.4882,88,0.617,11,-16.3251,-0.937,-15.4465,-0.1017,0.1402,-0.2401,52
0.627,12,3.7043,-2.3953,-14.7217,1.0132,0.1757,0.2347,88,0.668,12,-17.3874,-0.8557,-12.9691,-0.2106,0.6969,-0.8466,52
0.679,13,7.9693,2.5088,-18.7494,0.6659,0.8066,0.0822,88,0.72,13,-12.3833,4.6676,-10.1516,-0.8308,0.28,0.0619,52
0.731,14,7.5311,6.466,-21.689,-0.1834,0.1356,-0.4704,88,0.772,14,-9.4776,0.702,-10.5733,0.0683,-0.4624,0.7255,52
0.782,15,8.1835,2.2976,-20.9805,-0.8091,0.1488,0.195,88,0.824,15,-12.3898,-4.7844,-15.6981,-0.5399,0.0157,0.0515,52
0.834,16,6.8064,1.3834,-20.2151,-1.2657,-0.022,-0.4815,88,0.875,16,-14.5152,-7.1836,-19.4383,-0.1336,0.6965,-0.6237,52
0.886,17,-0.3565,-1.193,-17.5532,-1.1164,0.4553,-0.8762,88,0.927,17,-13.6385,-6.5526,-17.2958,-0.233,0.3196,-0.7831,52
0.938,18,-2.3082,1.0671,-15.2534,-0.8686,-0.3163,-0.181,88,0.979,18,-13.7062,-5.6493,-14.382,-0.4453,0.2304,-0.6865,52
0.99,19,-0.6867,-2.0784,-14.7813,-1.2715,-0.9043,-0.68,88,1.031,19,-15.476,-3.686,-11.0187,-0.343,0.6258,-0.6693,52
1.041,20,4.7646,-4.1848,-18.7929,-0.3655,-0.7762,-0.6591,88,1.083,20,-14.7369,-1.2856,-8.7157,-0.7103,0.9567,-1.1599,52
1.093,21,7.1306,-1.8178,-19.8316,0.4098,0.0737,-0.6475,88,1.134,21,-7.1722,4.3539,-5.1547,-1.0796,0.3617,-0.3517,52
1.145,22,7.9326,3.5729,-22.4788,0.9756,0.7321,-0.4549,88,1.186,22,-7.1487,2.0048,-8.7162,-0.1133,-0.4028,0.4237,52
1.197,23,7.5311,4.3455,-24.3924,0.6878,0.8778,-0.7993,88,1.238,23,-7.5256,-3.8336,-3.7537,0.0108,-0.788,0.4307,52
1.249,24,5.7853,3.6428,-22.1181,0.1516,0.4343,-0.8787,88,1.29,24,-7.8391,-8.0947,-7.561,-0.6692,-0.2281,-0.3367,52
1.301,25,-0.0219,1.8517,-18.2611,-0.5646,0.9093,-0.8918,88,1.342,25,-9.1648,-9.2175,-8.5637,-0.716,0.0208,-0.674,52
1.352,26,-1.2367,-1.5877,-15.676,-0.7008,0.0776,-0.3351,88,1.393,26,-12.1088,-7.502,-8.7937,-0.631,0.207,-0.7209,52
