right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.16,3,9.084,-2.6627,-11.4162,0.3832,-0.1545,-0.1433,80,0.012,0,8.7737,3.1011,-12.5683,0.2264,0.6872,0.0645,52
0.212,4,9.8049,-1.6293,-11.7826,0.7224,-0.3797,-0.3395,80,0.064,1,8.2504,3.5238,-11.8566,0.4681,0.9442,0.5219,52
0.264,5,9.9801,-1.2305,-11.7553,0.6699,-0.1184,-0.6277,80,0.116,2,8.1361,2.7772,-11.5428,0.5952,0.8846,0.8822,52
0.316,6,9.1259,-0.7265,-11.948,0.7888,-0.1398,-1.1322,80,0.167,3,8.3559,2.4173,-11.3098,0.3869,0.7397,1.1523,52
0.368,7,4.8368,-0.8965,-10.8057,0.7613,-0.3069,-1.5003,80,0.219,4,8.1504,1.29,-12.272,0.2819,0.3391,1.5213,52
0.419,8,5.8066,-2.0163,-9.4945,0.48,-0.47,-1.769,80,0.271,5,7.8275,-0.0505,-11.3274,0.3537,0.3781,1.3068,52
0.471,9,7.2591,-0.7273,-10.2329,0.6167,-0.6541,-1.9275,80,0.323,6,10.3739,1.5446,-11.874,0.291,-0.2968,0.3043,52
0.523,10,10.5637,0.1648,-11.9197,0.8172,-0.4631,-0.7854,80,0.374,7,12.6886,2.9184,-16.6474,0.8862,-0.808,0.897,52
0.575,11,11.7219,-2.5202,-13.5519,0.576,-0.5994,0.1045,80,0.426,8,12.6376,-0.5257,-19.8721,1.3215,-1.2365,1.335,52
0.626,12,9.2026,-2.2251,-12.2015,0.9383,-0.2472,0.0521,80,0.478,9,10.0553,-0.6454,-17.1284,1.6391,-0.2919,1.6547,52
0.678,13,5.3493,-5.1609,-12.8217,0.0096,0.498,0.4748,80,0.53,10,8.0934,1.4803,-15.17,1.871,-0.456,1.888,52
0.73,14,3.653,-2.1998,-10.2219,0.2703,0.3843,1.0243,80,0.582,11,7.8292,4.6742,-12.8529,1.7291,0.1564,1.9704,52
0.782,15,7.9319,2.0972,-4.8763,0.6449,0.6209,1.1642,80,0.633,12,3.8431,1.2426,-15.2874,0.5849,0.7991,0.7667,52
0.834,16,5.7369,6.7094,-8.7261,0.8267,0.3315,0.9828,80,0.685,13,3.4626,-3.9007,-16.8798,-0.2502,0.9513,-0.1119,52
0.885,17,7.6804,4.9415,-8.4579,0.2444,0.0255,0.6752,80,0.737,14,0.9071,-7.8821,-17.2841,-0.1245,1.2115,0.0373,52
0.937,18,10.8713,-0.3995,-4.482,-0.0365,-0.6548,1.1705,80,0.789,15,0.5807,-9.7142,-20.1584,0.1046,0.2617,0.5888,52
0.989,19,10.522,-2.2839,-6.0358,-0.5732,-0.6125,0.1803,80,0.841,16,-3.098,-8.3516,-16.4139,-0.238,0.0727,1.1101,52
1.041,20,4.5388,-5.4349,-8.3208,-1.0935,0.1569,0.0488,80,0.892,17,-1.3387,-6.0253,-14.0213,-0.7983,0.4453,1.4211,52
1.093,21,2.2001,-4.6843,-6.7842,-1.0266,-0.0934,0.7134,80,0.944,18,4.14,-4.513,-13.3787,-0.4768,-0.0079,0.8435,52
1.144,22,6.681,-0.5304,-12.9563,-0.0727,0.2723,1.1984,80,0.996,19,7.3149,-6.6913,-14.5121,-0.0782,0.6785,0.0193,52
1.196,23,4.9624,1.2044,-16.5891,0.1931,0.2234,0.4351,80,1.048,20,8.2312,-9.5285,-17.6329,-0.4272,1.1801,-0.6573,52
1.248,24,4.9044,1.3397,-17.6673,-0.0236,-0.3149,-0.0119,80,1.1,21,6.568,-11.4802,-17.0605,-0.072,1.5463,-0.9916,52
1.3,25,8.8452,0.2632,-17.5823,-0.6924,-0.3928,-0.1383,80,1.151,22,4.9538,-11.3347,-17.2715,-0.5279,1.5305,-0.5778,52
1.352,26,10.7918,-2.6913,-13.9097,-1.1806,0.3768,-0.4468,80,1.203,23,4.3089,-9.3521,-16.3806,-0.553,1.1227,-0.1754,52
1.404,27,2.5521,-7.2012,-11.4342,-1.5369,0.8834,-0.8329,80,1.255,24,5.8711,-6.6941,-14.8638,-0.4484,0.5899,0.191,52
1.455,28,2.8328,-7.8591,-12.6335,-0.4451,-0.0287,0.0699,80,1.307,25,5.408,-4.8699,-12.1721,-0.5137,-0.2254,0.7851,52
1.507,29,7.3333,-5.2261,-12.6678,0.0158,0.3195,0.3908,80,1.358,26,6.6624,-5.1366,-12.2056,-0.4935,-0.0295,0.5382,52
1.559,30,0.1964,-9.0513,-6.6615,-0.3259,-0.3274,-0.3888,80,1.41,27,8.718,-7.4461,-12.868,-0.3115,0.0575,0.1786,52
1.611,31,1.9565,-4.2292,-8.6565,-0.6101,0.0668,-0.4259,80,1.462,28,8.9383,-9.3224,-14.7144,-0.2021,0.0454,0.0014,52
1.663,32,6.6937,-4.7775,-11.1787,-0.3317,-0.1008,-0.0197,80,1.514,29,6.3018,-8.3465,-15.5036,0.5272,-0.3762,-0.0378,52
1.714,33,9.2094,-6.9252,-13.6195,-0.9173,0.5508,0.2285,80,1.566,30,4.0464,-6.8855,-14.1247,0.984,-0.7959,-0.1258,52
1.766,34,4.4803,-6.2813,-14.4449,-0.1553,1.0804,0.0766,80,1.617,31,3.4425,-6.2983,-11.9123,0.7967,-0.9437,0.0115,52
1.818,35,1.7634,-9.2569,-14.6484,-0.6629,0.1171,0.6579,80,1.669,32,5.319,-4.9551,-10.5001,0.6405,-0.775,0.3656,52
1.87,36,-1.2499,-5.6025,-11.8969,0.1927,-0.5592,1.1579,80,1.721,33,8.2755,-3.6401,-10.8217,0.5015,-0.6934,0.9425,52
1.922,37,-4.9013,-4.7179,-6.0988,-0.5346,-0.2947,0.4559,80,1.773,34,8.6025,-3.507,-10.2756,-0.1262,0.1488,0.1241,52
1.973,38,1.6885,1.9086,-9.1158,-0.3749,-0.6368,0.0462,80,1.824,35,8.8293,-7.6616,-14.1105,-0.2012,0.267,-0.5166,52
2.025,39,6.4235,1.048,-10.621,-0.2494,-0.5535,-0.0351,80,1.876,36,6.5241,-8.2749,-13.972,0.2171,-0.1029,-0.5768,52
2.077,40,9.9539,-3.5099,-14.3352,-0.8456,-0.5176,-0.0007,80,1.928,37,3.0084,-8.3979,-12.8155,-0.2107,-0.4108,-0.4376,52
2.129,41,5.5479,-2.3878,-13.2928,-0.1313,0.3006,0.2365,80,1.98,38,3.1257,-7.9811,-10.7701,-0.7872,-0.4648,-0.1802,52
2.181,42,3.308,-6.9225,-13.7255,-0.6908,-0.454,0.2266,80,2.032,39,5.2344,-7.642,-11.2097,-1.2429,-0.3933,0.529,52
2.232,43,1.0425,-5.0504,-8.9178,0.1698,-0.9886,0.8431,80,2.083,40,8.2493,-5.9151,-12.1317,-0.4745,-0.6933,1.0664,52
2.284,44,6.0266,-3.9312,-4.9973,-0.2856,-0.769,0.9551,80,2.135,41,8.2198,-1.2553,-8.7661,-0.5592,0.1116,0.8659,52
2.336,45,4.2212,-1.8832,-8.9621,0.0287,-1.2347,0.9153,80,2.187,42,6.2608,-5.5027,-12.6355,-0.7571,0.3001,0.3334,52
2.388,46,7.9471,-2.6976,-11.5126,-0.0109,-0.2325,0.9088,80,2.239,43,4.2736,-6.3437,-14.5925,-0.2505,-0.4477,-0.1382,52
2.44,47,11.0659,-4.4231,-16.2812,-0.4369,0.4651,0.3347,80,2.29,44,2.7134,-5.9364,-14.0692,-0.4878,-0.9936,-0.492,52
2.491,48,8.3182,-6.6919,-19.8877,-0.8047,0.969,0.163,80,2.342,45,2.2313,-5.451,-11.7983,-0.0787,-1.3919,-0.5543,52
2.543,49,0.7468,-10.1211,-22.5141,-0.6196,0.428,-0.5551,80,2.394,46,3.7802,-3.6376,-10.3419,-0.0723,-1.143,-0.3657,52
2.595,50,4.5952,-8.7756,-22.8668,0.2243,-0.3611,0.2726,80,2.446,47,2.532,-1.9633,-10.5218,0.3141,-0.6906,-0.2406,52
2.647,51,-1.9704,-11.6419,-14.1051,-0.5115,0.4148,-0.2609,80,2.498,48,5.6382,-3.8936,-13.8634,0.0225,0.181,-0.847,52
2.699,52,3.8277,-6.1482,-13.9539,0.2482,0.1739,-0.8048,80,2.549,49,8.6705,-8.1385,-17.9396,0.6911,0.5223,-1.0643,52
2.751,53,8.0593,-4.146,-15.634,-0.3852,-0.1452,-0.7212,80,2.601,50,6.5931,-7.8188,-16.1661,0.767,0.1619,-0.0964,52
2.802,54,9.107,-3.4048,-17.035,-0.7869,0.5724,-1.0767,80,2.653,51,3.4901,-6.9821,-16.1436,0.7172,0.0415,0.61,52
2.854,55,5.6191,-1.0311,-20.4377,-1.2461,1.0961,-0.2723,80,2.705,52,2.1889,-4.1625,-14.1836,0.4226,-0.0371,0.8803,52
2.906,56,1.6102,-3.9197,-20.5537,-1.5586,0.1266,-0.7224,80,2.756,53,3.7008,-2.3029,-12.3837,0.1114,0.178,0.7268,52
2.958,57,0.5375,-7.7208,-14.5409,-0.4642,-0.581,-0.4363,80,2.808,54,6.2754,-0.3881,-12.5602,-0.0756,0.5155,0.444,52
3.01,58,-2.1268,-7.793,-8.0286,-0.885,0.2543,-0.2622,80,2.86,55,9.6974,-5.58,-15.9339,-0.7323,1.0612,-0.3473,52
3.061,59,3.7135,-1.1841,-12.2885,-0.7492,-0.0682,-0.5422,80,2.912,56,11.5811,-8.8779,-18.6986,-0.2813,1.4595,-0.5839,52
3.113,60,7.976,-1.8352,-15.463,-0.9656,-0.7232,-0.8328,80,2.963,57,9.1715,-8.1425,-18.6258,-0.2044,1.0892,-0.1185,52
