right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.239,4,-0.7168,-1.9772,-1.9431,0.0748,0.0965,-0.1788,96,0.327,6,-0.2312,1.9283,0.3303,0.1011,0.1437,0.3794,64
0.291,5,-0.7186,-1.9983,-1.9589,0.0585,0.1245,-0.1575,96,0.379,7,-0.2007,1.8647,0.3056,0.1002,0.0736,0.3527,64
0.343,6,-0.7787,-1.906,-2.0782,0.0479,0.123,-0.1407,96,0.431,8,-0.1764,1.9522,0.2281,0.111,0.0333,0.3353,64
0.395,7,-0.7845,-1.933,-2.0834,0.0362,0.1408,-0.1209,96,0.483,9,-0.1112,1.9585,0.2994,0.1265,0.0122,0.3283,64
0.447,8,-0.8245,-1.859,-2.203,-0.0076,0.1411,-0.0807,96,0.535,10,-0.1686,2.0572,0.261,0.1341,-0.0177,0.3268,64
0.499,9,-0.899,-1.8176,-2.2341,-0.0493,0.1226,-0.0765,96,0.586,11,-0.1418,2.0144,0.0295,0.1525,-0.0374,0.3266,64
0.551,10,-1.1659,-2.4923,-2.3267,-0.0675,-0.022,-0.1399,96,0.638,12,-0.0949,2.0752,0.0248,0.1761,-0.0143,0.3398,64
0.602,11,-1.0842,-2.4893,-2.5248,-0.1341,-0.061,-0.5494,96,0.69,13,-0.2108,2.0747,-0.0236,0.1929,-0.0271,0.3504,64
0.654,12,-1.0967,-2.0319,-2.7027,-0.1655,-0.0957,-0.7236,96,0.742,14,-0.1114,2.0281,-0.1086,0.2,-0.0283,0.3546,64
0.706,13,-1.0578,-1.3389,-2.9159,-0.0661,-0.0873,-0.7015,96,0.793,15,-0.1265,2.0597,-0.1224,0.1982,-0.0425,0.3626,64
