right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.141,2,10.3923,-0.0996,-14.2329,-0.2242,-0.1816,-0.5139,86,0.087,1,7.8513,-3.5808,-19.1745,-1.407,-2.086,-0.64,51
0.193,3,4.3022,-1.6145,-10.667,-0.8388,0.5458,0.3027,86,0.138,2,7.8361,-4.316,-16.3508,-0.444,-2.1731,-0.8456,51
0.245,4,6.6941,1.7491,-10.2545,0.0179,-0.275,0.8986,86,0.19,3,1.8022,-0.7428,-14.904,-0.0674,-1.1548,0.0632,51
0.297,5,3.1524,0.5276,-11.8501,0.6896,-0.2018,0.6705,86,0.242,4,2.4966,1.9928,-18.8588,0.6255,-1.2497,0.7265,51
0.349,6,-3.0234,-4.852,-16.6536,0.166,0.2343,-0.1847,86,0.293,5,2.3452,6.7466,-21.7452,1.086,-0.9552,0.8625,51
0.401,7,0.4918,-1.0016,-16.1677,-0.0728,0.4269,-0.5316,86,0.345,6,-3.761,9.9003,-19.4143,1.0229,-0.3722,0.5302,51
0.452,8,4.7926,-0.1404,-16.3892,-0.2358,0.4404,-0.4113,86,0.397,7,-4.7522,6.3772,-15.7181,0.3765,-0.9385,-0.2845,51
0.504,9,8.7232,-1.8158,-13.2181,-0.8018,-0.352,-0.7059,86,0.449,8,1.649,-0.1709,-11.0192,-0.2976,-1.3517,-0.2635,51
0.556,10,9.4364,-5.1528,-15.1623,-1.2604,-0.1736,-0.8869,86,0.501,9,6.3208,-0.7856,-11.9615,0.3701,-0.3016,0.0839,51
0.608,11,4.4903,-4.7343,-11.7236,-1.0094,0.5155,0.0293,86,0.553,10,4.4171,3.4051,-15.8569,0.5804,0.4649,0.7415,51
0.66,12,3.4998,1.8966,-11.7229,-0.2507,-0.1993,0.6991,86,0.604,11,3.2937,7.7773,-19.5543,0.0354,0.8378,1.2216,51
