right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.059,1,9.6281,-0.7456,-11.4725,-0.1379,-0.1357,-0.3091,88,0.099,1,8.3324,0.4739,-12.9936,0.1661,-0.1271,-0.0811,52
0.11,2,9.5457,-0.8676,-11.3457,-0.1517,-0.1494,-0.2922,88,0.151,2,8.332,0.6238,-12.8279,-0.1017,-0.3286,0.1413,52
0.162,3,9.5585,-0.8355,-11.0831,0.0771,-0.1663,-0.2697,88,0.203,3,8.1837,-0.0912,-13.0464,-0.1815,-0.4855,0.3229,52
0.214,4,9.2336,-0.5726,-11.2725,-0.0313,-0.1989,-0.2195,88,0.255,4,8.102,-0.3242,-13.3064,-0.2115,-0.6629,0.3972,52
0.266,5,9.2263,-0.5015,-11.4913,-0.0965,-0.178,-0.1596,88,0.306,5,7.9833,-0.46,-13.8904,-0.0776,-0.7966,0.3249,52
0.318,6,9.3011,-0.4583,-11.4738,-0.2663,-0.3025,-0.1685,88,0.358,6,8.23,-0.8148,-14.782,-0.0236,-0.7875,0.172,52
0.369,7,9.5204,-0.188,-11.474,-0.3717,-0.5632,-0.272,88,0.41,7,8.9556,-1.2137,-16.2612,0.0659,-0.4243,0.0153,52
0.421,8,10.3288,-0.3211,-12.4087,-0.4638,-0.9523,-0.4724,88,0.462,8,11.6535,-1.5389,-13.1012,0.2243,0.0984,-0.2601,52
0.473,9,10.7231,-0.1022,-13.6664,-0.2939,-1.354,-0.6468,88,0.514,9,8.4226,3.1649,-11.7932,0.1092,-0.5184,0.469,52
0.525,10,10.6355,0.4235,-14.789,-0.4716,-1.5101,-0.551,88,0.565,10,5.0062,1.6283,-7.6315,-0.0885,0.2251,0.3446,52
0.577,11,9.9343,0.7285,-15.7859,-0.8113,-1.5322,-0.2321,88,0.617,11,4.2637,-0.6475,-13.2625,-0.4011,0.8492,-0.4199,52
0.628,12,8.665,0.6978,-16.179,-0.773,-1.3747,0.0979,88,0.669,12,-2.3608,0.9603,-17.6608,-0.0384,0.6927,-0.1098,52
0.68,13,7.3009,0.9049,-15.72,-0.4397,-1.173,0.1367,88,0.721,13,-7.1956,-0.8539,-17.2579,-0.5674,1.1142,0.1485,52
0.732,14,5.4956,0.9934,-14.6299,-0.7392,-1.1842,0.1375,88,0.773,14,-0.8786,-0.5091,-17.5291,0.2606,0.7823,-0.1667,52
0.784,15,6.3343,0.4334,-14.0103,-0.903,-1.4458,-0.1602,88,0.824,15,4.4761,-0.4197,-15.3521,0.2599,0.7087,-0.3589,52
0.836,16,9.0791,0.5816,-13.0064,-0.7672,-1.7286,-0.7155,88,0.876,16,4.7859,3.4755,-12.012,0.5753,-0.1094,0.1172,52
0.887,17,9.6149,0.7888,-12.6452,-0.378,-0.9164,-1.0258,88,0.928,17,5.8687,3.0643,-6.1591,0.6992,-0.1765,-0.029,52
0.939,18,8.3983,1.8373,-15.555,-0.0371,0.0095,-0.6536,88,0.98,18,5.9825,3.8354,-5.935,0.3524,0.5562,-0.6915,52
0.991,19,6.2446,3.4519,-18.2838,0.1322,0.6853,-0.2319,88,1.032,19,2.0045,3.4312,-12.3128,-0.4196,1.0777,-0.7703,52
1.043,20,2.9249,3.0101,-18.6184,0.1379,0.8578,-0.1367,88,1.083,20,-4.0096,7.7964,-16.9676,0.3684,0.5978,0.02,52
1.095,21,1.6189,3.2829,-17.8777,0.495,0.5751,-0.2242,88,1.135,21,-0.6172,4.7776,-17.8588,0.6785,0.3041,0.0782,52
1.146,22,2.7704,2.8389,-16.7509,0.4312,0.02,-0.3181,88,1.187,22,4.6668,3.8366,-16.5595,0.421,0.3087,-0.0339,52
1.198,23,6.1621,2.089,-16.1571,0.4578,-0.6588,-0.7462,88,1.239,23,4.1951,3.9098,-13.5707,0.9724,0.0458,0.079,52
1.25,24,8.9467,1.6415,-16.0492,-0.0158,-0.7677,-0.7156,88,1.29,24,8.1791,3.6926,-7.2967,0.1893,-0.2297,0.219,52
1.302,25,8.5476,2.7323,-17.8921,-0.5955,-0.0424,0.1526,88,1.342,25,6.8802,3.7585,-6.0897,0.7463,0.5173,-0.5115,52
1.354,26,7.2359,4.9715,-19.6182,-0.8938,0.3264,0.7891,88,1.394,26,0.9663,2.7681,-12.4257,-0.1324,1.0625,-0.1515,52
1.405,27,4.2504,4.7092,-18.9099,-0.8828,0.3551,0.832,88,1.446,27,5.8226,-2.953,-13.9294,-0.3626,0.1087,-0.2609,52
1.457,28,1.8683,4.5348,-16.9642,0.0117,0.1776,0.46,88,1.498,28,9.3669,-3.9499,-15.4001,-0.9417,-0.3777,-0.04,52
1.509,29,1.6984,4.3554,-15.3289,0.3618,0.0299,0.0992,88,1.549,29,10.961,-2.2778,-14.817,-0.6148,0.0462,-0.0167,52
1.561,30,4.459,2.4853,-15.3789,0.3171,-0.431,-0.3769,88,1.601,30,11.4728,0.1512,-10.7334,0.2009,0.136,-0.0026,52
1.613,31,8.5202,-1.106,-17.7242,-0.1911,-0.8867,-0.5116,88,1.653,31,12.6189,0.86,-5.226,-0.3781,-0.326,0.2716,52
1.664,32,10.6632,-0.635,-18.4027,-0.58,-0.3169,0.2742,88,1.705,32,11.4096,1.1047,-3.3624,-0.0595,0.447,-0.4732,52
1.716,33,9.0392,3.0236,-19.1106,-0.738,0.3502,0.8779,88,1.757,33,7.5445,-0.7092,-10.4352,-0.6562,1.0112,-0.8748,52
1.768,34,4.8793,3.9167,-19.4094,-1.0224,0.8687,1.2874,88,1.808,34,2.8022,4.7745,-13.562,-0.0234,0.0712,-1.0161,52
1.82,35,3.5214,4.444,-17.9619,-0.6866,1.0068,1.0487,88,1.86,35,-2.8995,8.7768,-17.8793,0.0697,-0.4039,-0.1256,52
1.872,36,3.1702,4.0019,-16.4199,0.1754,0.9282,0.4049,88,1.912,36,2.9712,7.2982,-17.6019,0.585,-0.7433,0.0181,52
1.923,37,3.9987,2.8601,-15.4282,0.447,0.2524,-0.1979,88,1.964,37,7.2858,5.4028,-15.289,0.5726,-0.4592,0.0312,52
1.975,38,7.9528,1.7264,-14.7832,-0.0533,-0.4892,-0.7152,88,2.015,38,8.9265,7.2278,-12.4267,1.0926,-0.6267,0.0664,52
2.027,39,11.07,1.1135,-16.3125,-0.3027,-0.5342,-0.9463,88,2.067,39,10.4039,9.1725,-6.4618,1.0324,-0.6727,-0.141,52
2.079,40,12.1132,2.4713,-17.8326,-0.6708,0.1574,-0.4356,88,2.119,40,10.9792,7.1893,-8.2151,0.1803,0.194,-0.7743,52
2.131,41,8.9302,4.9837,-18.3797,-1.1648,0.7804,0.1799,88,2.171,41,2.5405,0.299,-13.9769,-0.5389,0.8265,-0.7768,52
2.182,42,5.2519,4.9668,-19.4644,-0.5209,0.7281,0.164,88,2.223,42,0.562,2.7278,-9.0149,-0.6191,0.1513,-0.041,52
2.234,43,3.8425,4.137,-18.9392,-0.4545,0.2837,-0.1108,88,2.274,43,4.4988,4.4025,-11.9694,-0.5572,-0.5564,0.2145,52
2.286,44,3.1931,2.67,-17.5375,0.2711,-0.4195,-0.5651,88,2.326,44,8.4007,3.4545,-12.1776,-0.622,-0.368,0.4897,52
2.338,45,6.2016,1.4683,-14.3129,0.8744,-0.9796,-0.867,88,2.378,45,9.9859,4.63,-9.194,0.2207,-0.2868,0.2289,52
2.39,46,9.7919,0.0602,-14.3169,0.25,-1.2028,-0.5031,88,2.43,46,12.4054,5.0831,-5.49,0.5677,-0.4404,0.014,52
2.441,47,12.4123,1.7684,-17.3148,-0.4561,-0.1995,0.0726,88,2.482,47,7.8466,4.7606,-4.0915,0.6767,0.3636,-0.6612,52
2.493,48,12.8954,4.3963,-20.6155,-0.0689,0.2404,0.6087,88,2.533,48,8.0853,-0.1627,-10.9673,-0.1832,0.9503,-1.011,52
2.545,49,6.6142,5.4706,-19.7566,-0.4451,0.5235,0.6014,88,2.585,49,11.0183,-5.4156,-15.9856,0.1607,0.0268,-1.0714,52
2.597,50,3.5526,4.5517,-18.5248,0.3517,0.2652,-0.0879,88,2.637,50,13.1589,-6.3798,-17.2388,-0.5589,-0.6472,-0.5448,52
2.649,51,3.6766,3.0293,-17.9372,0.9332,-0.3212,-0.6961,88,2.689,51,14.7212,-1.657,-12.5759,0.2632,-0.1517,-0.5189,52
2.7,52,7.5857,3.1089,-16.5954,0.7306,-0.9078,-0.7856,88,2.74,52,15.8615,2.8476,-10.7226,0.2004,-0.7775,0.2384,52
2.752,53,10.8021,1.5037,-17.5881,0.0995,-1.336,-0.5635,88,2.792,53,13.8977,7.3705,-5.2289,0.4914,0.0993,-0.4974,52
2.804,54,10.7313,1.6033,-18.6176,-0.1111,-0.3541,0.0847,88,2.844,54,12.5234,1.8178,-11.7975,0.0523,0.7574,-1.0344,52
2.856,55,9.9667,2.6957,-19.5657,-0.2564,0.4199,0.7395,88,2.896,55,3.6675,-3.97,-16.5915,-0.5122,0.0527,-0.1309,52
2.908,56,4.7075,2.6023,-19.1328,0.0689,0.9846,0.5983,88,2.948,56,-2.7959,-5.4429,-20.0516,0.2655,0.7234,-0.2934,52
2.959,57,3.3558,2.0818,-19.2533,0.3674,1.083,0.1878,88,2.999,57,1.4697,-5.2997,-22.6158,0.7046,1.0413,0.3288,52
3.011,58,3.1165,1.1114,-17.7606,0.0334,0.4511,0.0107,88,3.051,58,6.1899,-4.167,-17.0496,1.0538,0.476,0.2997,52
3.063,59,7.4843,0.7619,-16.3652,0.1287,-0.3442,-0.0872,88,3.103,59,7.8248,-1.0533,-12.6659,0.1818,-0.3194,0.8056,52
3.114,60,9.4082,1.1306,-15.7151,0.1806,0.1018,0.1129,88,3.155,60,9.3194,0.1926,-6.6364,0.1786,0.3487,-0.0495,52
3.167,61,9.7978,3.3181,-16.6374,-0.2852,0.7523,0.5742,88,3.207,61,11.919,-0.0522,-12.8247,-0.5377,0.9395,-0.7076,52
3.218,62,8.3898,5.4511,-17.4802,-0.8501,1.2274,0.9579,88,3.258,62,3.2264,-5.3349,-17.3412,-0.0316,1.0841,-1.1621,52
3.27,63,4.5363,6.1932,-17.9968,-1.0305,1.1598,1.0041,88,3.31,63,-3.1179,-5.4934,-12.1214,-0.1796,1.4714,-0.2479,52
3.322,64,4.2605,6.0942,-17.5029,-0.4289,0.7716,0.1779,88,3.362,64,0.0537,-1.6263,-13.9056,0.5436,0.745,0.1126,52
3.374,65,4.3245,3.8992,-15.7537,0.0712,-0.0831,-0.5441,88,3.414,65,5.1565,-4.1349,-12.0008,-0.095,0.3609,0.24,52
3.426,66,8.3395,1.6456,-13.5955,0.477,-0.734,-1.0426,88,3.466,66,5.9095,2.2743,-10.4617,0.6053,-0.3685,0.3895,52
3.477,67,10.1343,2.4132,-14.2748,0.2774,-0.0648,-0.9122,88,3.517,67,5.2429,5.8964,-6.554,0.5951,0.2713,-0.3871,52
3.529,68,7.0723,5.9562,-18.4233,0.6806,0.6306,-0.0001,88,3.569,68,5.8619,1.9518,-10.2823,0.0483,0.883,-0.9539,52
3.581,69,6.4449,8.3088,-18.5348,-0.1785,0.513,0.6555,88,3.621,69,0.455,-3.8723,-15.4857,-0.6418,1.0829,-1.1102,52
3.632,70,1.9017,8.5662,-18.0689,0.1824,0.5134,0.0799,88,3.673,70,5.4494,1.5206,-19.2833,-0.6231,0.1235,-0.8994,52
3.684,71,1.0046,5.2341,-17.6691,0.8097,0.2417,-0.6025,88,3.724,71,4.903,5.9649,-19.8849,0.2136,-0.5766,-0.0944,52
3.736,72,3.5423,4.0006,-16.3518,1.1575,-0.3156,-0.7468,88,3.776,72,8.6957,6.2656,-12.9275,-0.0011,-0.0435,0.1736,52
3.788,73,7.8511,2.8438,-14.2004,0.4227,-0.9037,-0.6532,88,3.828,73,10.841,9.865,-7.8559,0.6738,-0.6985,0.125,52
3.84,74,10.7727,1.2237,-13.5542,-0.1724,-1.1891,-0.531,88,3.88,74,10.9629,9.2263,-4.3025,0.3862,0.1751,-0.5802,52
3.891,75,10.2209,2.1138,-15.4321,-0.2448,-0.1895,-0.0422,88,3.931,75,8.0575,1.437,-11.1214,-0.3952,0.8128,-1.0949,52
3.943,76,9.3993,5.2354,-19.2679,0.0094,0.5401,0.647,88,3.983,76,0.4081,-3.7933,-16.0981,-0.2713,-0.0736,-0.1902,52
3.995,77,4.4461,5.9408,-20.6093,-0.07,0.6354,0.0855,88,4.035,77,-5.1748,-3.7411,-19.7303,-0.2261,0.6313,-0.4036,52
4.047,78,4.3563,3.492,-20.467,0.6184,0.1778,-0.6116,88,4.087,78,1.3405,-4.6824,-20.1197,0.2231,0.7042,-0.4365,52
4.099,79,4.9747,3.5359,-17.1861,0.8605,-0.5436,-0.7568,88,4.139,79,4.7,-0.2726,-15.0636,0.8335,-0.1346,0.0461,52
4.151,80,8.0237,3.3534,-14.6016,-0.0472,-1.0702,0.0489,88,4.19,80,7.6156,0.8752,-8.3864,-0.0688,-0.364,0.6435,52
4.203,81,9.2652,2.0844,-14.5387,0.1925,-0.1957,0.3604,88,4.242,81,9.3322,-2.8179,-6.0832,-0.7273,0.4193,0.9326,52
4.254,82,10.5464,3.4485,-16.7796,0.2282,0.5356,0.9408,88,4.294,82,9.479,0.8107,-12.421,-1.2079,0.991,0.9905,52
4.306,83,6.1084,5.05,-18.3892,0.4016,1.0692,1.1062,88,4.346,83,1.4456,1.6371,-17.0466,-0.3476,0.3069,1.244,52
4.358,84,4.128,4.1131,-18.3504,0.2045,1.2037,1.0378,88,4.397,84,-4.4176,1.718,-20.4225,0.0831,0.909,1.1087,52
4.41,85,3.6396,3.3034,-16.9026,0.6522,0.9583,1.1376,88,4.449,85,1.1719,1.6459,-18.9684,0.4802,0.6057,1.0419,52
4.462,86,4.456,3.1077,-15.2461,0.215,0.541,1.234,88,4.501,86,4.24,-0.7769,-17.0128,0.2805,0.4541,0.8904,52
4.513,87,6.8836,3.3235,-13.7782,-0.5183,-0.2417,1.3251,88,4.553,87,4.3521,-1.3121,-15.2291,0.2705,0.275,0.7479,52
4.565,88,9.2662,2.7528,-14.9846,-0.0477,0.3483,1.2357,88,4.605,88,7.1668,-0.6804,-14.2651,0.2473,-0.3325,1.1076,52
