right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.585,11,9.6468,1.258,-10.8959,0.1105,-0.1605,-0.0739,95,0.195,3,8.682,0.5714,-10.9078,0.1271,-0.0155,0.0558,64
0.636,12,9.5993,1.489,-11.0474,0.1007,-0.1833,-0.0802,95,0.246,4,8.4931,0.5427,-10.7699,0.2106,0.0344,0.1314,64
0.688,13,9.5236,1.3772,-11.2924,0.0799,-0.1435,-0.05,95,0.298,5,8.5364,0.4565,-10.8633,0.2607,-0.1385,0.144,64
0.74,14,9.4785,1.4492,-11.1798,0.061,-0.0748,-0.0223,95,0.35,6,8.5654,0.517,-10.8842,0.3637,-0.3922,0.0899,64
0.792,15,9.4967,1.391,-11.3888,0.1214,-0.0832,-0.009,95,0.402,7,8.7625,0.6444,-11.7781,0.2873,-0.7542,0.1363,64
0.843,16,9.6992,1.1382,-11.2762,0.065,-0.0923,-0.0159,95,0.454,8,8.7487,0.3489,-11.167,0.144,-0.9408,0.1407,64
0.895,17,10.1144,-0.0642,-11.6806,0.3403,-0.1535,0.0201,95,0.506,9,8.8697,-0.6362,-12.091,-0.0289,-1.0409,0.1649,64
0.947,18,10.4438,0.5497,-10.2682,0.5517,-0.1613,0.0357,95,0.557,10,8.8989,-1.2215,-12.2247,-0.1468,-1.1662,-0.0472,64
0.999,19,10.2827,0.3941,-9.9052,0.3649,0.0145,0.2544,95,0.609,11,10.7447,-0.0675,-12.58,-0.1175,-1.5179,-0.3048,64
1.051,20,10.0157,0.5229,-9.7848,0.7239,0.1398,0.2454,95,0.661,12,12.9593,1.6374,-16.4119,0.2548,-1.7747,-0.4375,64
1.103,21,9.7569,0.0395,-10.0924,1.1899,0.2399,0.2232,95,0.713,13,14.5534,1.9243,-19.1607,0.6189,-1.962,-0.5397,64
1.154,22,9.482,-0.217,-9.9684,1.3405,0.266,0.2172,95,0.764,14,12.958,0.0923,-19.7343,0.4208,-2.0987,-0.5796,64
1.206,23,9.6506,-0.4163,-9.7099,1.3437,0.2278,0.269,95,0.816,15,9.7739,0.5539,-17.71,0.2453,-2.1671,-0.424,64
1.258,24,9.4025,-0.2482,-9.443,0.9753,0.2844,0.327,95,0.868,16,5.9745,1.2888,-14.6052,-0.2396,-1.7284,0.0006,64
1.31,25,10.0107,0.1535,-11.8935,0.6046,0.0162,0.2951,95,0.92,17,3.1295,1.1478,-11.0298,-0.1506,-0.8425,0.3853,64
1.362,26,6.5139,1.4673,-11.9613,0.4055,-0.5761,0.1495,95,0.972,18,4.1484,0.4519,-8.4005,-0.0392,0.07,0.711,64
1.413,27,7.7477,0.8882,-13.9491,0.2778,-1.074,-0.0007,95,1.023,19,5.9128,0.2255,-8.4013,0.1712,0.7361,0.6424,64
1.465,28,8.7653,1.0384,-14.2827,0.2919,-1.4334,0.0589,95,1.075,20,6.2214,2.5503,-9.9794,0.6417,1.2222,0.1768,64
1.517,29,9.1074,0.4481,-14.8268,0.3188,-1.2266,0.2163,95,1.127,21,9.6579,2.653,-14.0021,0.857,1.577,-0.5424,64
1.569,30,11.9048,0.7682,-14.489,0.0889,-0.2219,-0.0669,95,1.179,22,12.0898,1.9957,-17.1053,0.6107,1.6267,-0.6937,64
1.621,31,13.9544,0.4314,-10.396,-0.2403,0.0617,0.166,95,1.231,23,12.9768,1.8371,-16.8108,0.3453,0.5317,-0.2006,64
1.672,32,12.4464,1.0031,-11.2933,0.0682,-0.5569,-0.2092,95,1.282,24,12.5546,1.2205,-15.9319,-0.425,-0.2787,0.5293,64
1.724,33,5.5968,2.8408,-5.6583,-0.3685,0.1942,0.103,95,1.334,25,10.7051,1.3665,-15.7037,-0.954,-0.8702,1.0667,64
1.776,34,5.4281,4.1708,-9.271,-0.9442,0.8201,0.7529,95,1.386,26,7.8925,1.5433,-15.159,-1.3725,-1.3019,1.2389,64
1.828,35,3.3431,4.4037,-14.7713,-0.9643,1.2769,0.9066,95,1.438,27,7.098,0.53,-12.9207,-1.0984,-1.6169,0.7455,64
1.879,36,7.7057,8.5659,-8.1967,-0.3289,0.2585,0.3229,95,1.489,28,7.7652,-1.0558,-9.7966,-0.8744,-1.3744,-0.0839,64
1.931,37,7.1766,7.3013,-12.602,-0.1665,-0.4847,0.2357,95,1.541,29,8.6324,-2.7534,-7.3533,-0.6405,-0.3181,-0.6338,64
1.983,38,8.3247,5.0141,-13.9885,-0.1321,-0.5197,0.5852,95,1.593,30,9.9665,1.0968,-12.6251,0.2072,0.4306,-0.664,64
2.035,39,9.2881,3.3942,-14.0443,-0.4697,0.1303,0.1629,95,1.645,31,12.2979,3.4423,-14.5181,0.8083,0.9869,-0.3374,64
2.087,40,12.0446,1.1823,-11.4755,-0.262,-0.107,-0.1512,95,1.697,32,13.7161,2.2118,-15.6634,0.2752,0.7677,0.1969,64
2.139,41,12.2417,-1.9752,-10.5539,0.0526,-0.7515,-0.644,95,1.748,33,13.3536,1.393,-16.5499,-0.2429,0.0944,0.6111,64
2.19,42,11.8052,-1.6309,-5.1186,0.7149,-0.8962,-0.2114,95,1.8,34,11.6979,1.6327,-16.1501,-0.6386,-0.5538,0.921,64
2.242,43,7.2524,-1.2784,-5.2964,-0.0937,0.0242,0.5233,95,1.852,35,9.4906,2.5848,-15.067,-0.7563,-0.6409,0.7142,64
2.294,44,7.1104,4.4068,-11.8704,0.5038,0.696,0.3935,95,1.904,36,7.3933,2.3276,-13.929,-0.569,-0.3925,0.1948,64
2.346,45,10.4553,3.6509,-16.6684,-0.2191,-0.0093,0.674,95,1.956,37,6.8617,0.3099,-13.004,-0.4283,-0.2055,-0.5044,64
