right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.767,14,8.9569,1.6145,-14.0944,0.3224,0.478,0.1455,77,0.186,3,10.1982,1.4905,-9.1648,-0.6772,0.2219,-0.5485,51
0.819,15,8.966,1.4699,-13.869,0.2219,0.5278,0.1964,77,0.238,4,12.5604,-3.1771,-4.0811,-0.8911,-0.167,0.2791,51
0.871,16,9.0289,1.1379,-13.4653,0.1759,0.5316,0.2363,77,0.289,5,9.2324,-2.7099,-6.3563,-0.5851,-0.7886,-0.0528,51
0.922,17,9.1037,0.7866,-13.1823,0.1802,0.4548,0.2215,77,0.341,6,11.8529,-1.7398,-9.4433,-0.0959,-0.892,0.6261,51
0.974,18,9.1444,0.7277,-12.987,0.1683,0.3758,0.196,77,0.393,7,13.768,1.6187,-8.2145,0.0488,-1.3178,1.0537,51
1.026,19,9.1751,0.5817,-12.8447,0.1485,0.2747,0.1664,77,0.445,8,15.1658,6.4736,-7.3321,-0.6415,-1.6176,1.4494,51
1.078,20,9.2343,0.5403,-12.8026,0.1216,0.1882,0.1363,77,0.496,9,13.3231,8.2836,-2.8447,0.2065,-0.5144,0.3864,51
1.129,21,9.2826,0.4356,-12.8042,0.094,0.1415,0.0971,77,0.548,10,10.5718,9.267,-6.155,-0.5264,0.3095,-0.3894,51
1.181,22,9.2808,0.4103,-12.7699,0.0552,0.1388,0.0735,77,0.6,11,12.8331,1.4667,-12.4734,-1.0203,0.9109,-0.1039,51
1.233,23,9.2887,0.3412,-12.6683,0.0329,0.1427,0.0572,77,0.652,12,3.8935,-1.198,-13.1118,-0.5596,1.3311,0.2435,51
1.285,24,9.3056,0.3389,-12.5944,0.0261,0.1314,0.043,77,0.704,13,6.1371,1.7278,-16.9098,-0.3945,1.0403,0.5203,51
1.337,25,9.3361,0.283,-12.5476,-0.0068,0.1127,0.0381,77,0.756,14,9.5964,1.622,-9.7338,0.1317,0.0924,0.41,51
1.388,26,9.3565,0.2998,-12.499,-0.0294,0.1055,0.0302,77,0.807,15,12.1212,2.0555,-4.4964,0.0028,-0.5922,0.5491,51
1.44,27,9.3549,0.2729,-12.4506,-0.0397,0.0877,0.0237,77,0.859,16,11.5701,5.2831,-0.9548,0.6767,0.2527,-0.2707,51
1.492,28,9.3582,0.2542,-12.4254,-0.0427,0.0723,0.011,77,0.911,17,9.5098,0.1898,-8.6781,-0.1832,0.8694,-0.869,51
1.544,29,9.3746,0.2765,-12.3657,-0.0329,0.0643,0.0034,77,0.963,18,12.058,0.7348,-3.7259,0.2181,0.3056,0.0252,51
