right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.003,0,9.375,-1.1598,-13.531,0.0285,0.0221,0.0867,88,0.054,1,8.9618,0.2575,-18.7746,0.8396,-1.1463,0.0823,52
0.054,1,9.4363,-0.9954,-13.4853,-0.023,0.1392,-0.0971,88,0.106,2,8.1297,0.5804,-19.3377,0.709,-1.1712,0.2056,52
0.106,2,8.7764,-1.2353,-13.1707,-0.0201,0.4272,-0.1358,88,0.158,3,6.0103,1.1518,-17.3216,-0.0169,-1.1841,0.269,52
0.158,3,9.2527,-0.7504,-12.5153,-0.0768,0.8958,-0.396,88,0.209,4,3.8768,0.7143,-15.0632,-0.6894,-0.9827,0.4162,52
0.21,4,9.3065,0.1345,-11.71,-0.1585,0.8487,-0.5138,88,0.261,5,2.3658,-0.5267,-13.0823,-0.9501,-0.7465,0.5092,52
0.262,5,9.2299,0.3204,-11.2146,-0.2218,0.393,-0.5399,88,0.313,6,4.6281,-1.2942,-11.9155,-0.0317,-0.5256,0.6455,52
0.313,6,9.6004,0.6803,-11.6258,-0.0319,-0.23,-0.64,88,0.365,7,8.4951,-1.2796,-15.2607,0.4312,0.2729,0.5366,52
0.365,7,10.098,0.86,-11.3921,-0.1959,-0.7409,-0.3909,88,0.417,8,11.3174,-1.9639,-19.1191,-0.1527,0.8841,0.4006,52
0.417,8,12.6357,-1.5084,-13.2722,-0.6165,-1.0407,-0.5407,88,0.468,9,9.8137,-1.2343,-21.5879,0.4511,1.0157,0.1173,52
0.469,9,12.1904,-2.5078,-14.4296,-0.88,-0.7277,-1.0276,88,0.52,10,3.6379,0.4747,-20.4555,0.1474,1.0205,0.0329,52
0.52,10,9.0621,-3.8631,-12.8473,-0.9154,0.0216,-0.7538,88,0.572,11,-0.5744,0.8694,-17.9168,-0.3929,0.7504,0.2001,52
0.572,11,2.4126,-4.3705,-13.2702,-0.7287,-0.1295,0.1276,88,0.624,12,-1.8409,0.0985,-15.5237,-0.6682,0.6377,0.5191,52
0.624,12,7.0266,2.1621,-7.1726,-0.0311,-0.7679,0.5553,88,0.675,13,0.2657,-0.7873,-13.0969,-0.3453,0.7256,0.6233,52
0.676,13,7.0972,6.9299,-7.9868,0.0246,-1.2339,0.236,88,0.727,14,4.8669,-1.2091,-11.5133,-0.142,0.8577,0.3794,52
0.728,14,8.1881,5.5591,-9.1247,-0.1104,-0.9956,0.1526,88,0.779,15,8.6694,-1.5463,-12.9252,0.5707,1.2859,0.0372,52
0.779,15,11.2418,2.9526,-10.5251,-0.3666,-0.7347,-0.2136,88,0.831,16,11.006,-6.4253,-17.4146,-0.0478,1.0243,0.2854,52
0.831,16,11.6495,-2.1286,-12.8013,-0.5114,-0.3119,-0.8036,88,0.883,17,10.1248,-5.4643,-17.4079,0.4095,0.6768,0.3193,52
0.883,17,8.7247,-6.7184,-12.4105,-0.0325,-0.238,-0.406,88,0.934,18,5.482,-0.2083,-17.8988,0.2318,0.3909,0.3664,52
0.935,18,1.794,-8.863,-11.0564,-0.5474,0.4763,0.3814,88,0.986,19,1.0448,0.331,-17.2498,-0.2823,-0.1371,0.2564,52
0.987,19,6.5751,-2.4812,-10.6399,0.277,-0.3258,0.9516,88,1.038,20,1.3469,-0.308,-15.1665,-0.6706,-0.5998,0.0836,52
1.038,20,2.817,-7.0479,-8.0414,-0.4693,-0.3917,0.2599,88,1.09,21,6.1003,-1.7095,-11.142,-0.7191,-0.7991,0.0042,52
