right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.625,12,9.6869,-1.3588,-12.1425,-1.1619,-0.5574,0.0095,75,0.022,0,7.9604,5.3111,-14.1838,-0.5707,0.6177,-0.5953,51
0.677,13,9.4099,-0.2397,-12.959,-0.7744,-0.7787,0.2142,75,0.074,1,10.9271,2.6811,-16.0782,-1.0936,0.2207,-1.1059,51
0.729,14,9.6651,-0.3887,-13.7151,-0.2384,-0.6256,0.4624,75,0.126,2,11.9118,-3.34,-19.6886,-0.9954,0.7323,-1.1501,51
0.781,15,9.7489,-0.5698,-13.8255,-0.4162,-0.4209,0.4829,75,0.178,3,13.0407,2.8545,-11.7619,-0.1368,0.7484,-1.4015,51
0.832,16,9.6672,-0.1358,-13.8449,-0.457,-0.3169,0.3552,75,0.23,4,14.635,-0.0742,-7.7294,0.1283,-0.1205,-0.7812,51
0.884,17,9.5723,-0.6584,-13.0649,-0.5686,-0.2223,0.2925,75,0.281,5,13.2639,0.7718,-8.9187,0.2566,0.073,-0.2513,51
0.936,18,9.4423,-0.8232,-12.4943,-0.5824,-0.2851,0.2331,75,0.333,6,11.5303,0.856,-10.8838,0.3203,0.1271,-0.0122,51
0.988,19,9.4914,-0.5319,-11.7142,-0.544,-0.4239,0.1818,75,0.385,7,10.1094,1.3838,-11.6495,0.518,0.1047,0.1552,51
1.039,20,11.2854,-0.7705,-11.5436,-0.7541,-0.9828,-0.012,75,0.437,8,9.5207,1.8364,-12.2429,0.6649,0.0559,0.3739,51
1.091,21,13.131,-0.1138,-10.8869,-0.6521,-1.3907,-0.2371,75,0.489,9,9.2836,1.3303,-12.9457,0.7643,0.0136,0.611,51
1.143,22,14.8493,-0.5903,-10.7243,-0.5662,-1.6884,-0.3687,75,0.54,10,9.6312,1.9514,-12.6058,0.8036,-0.1305,0.9837,51
1.195,23,12.1154,-0.6074,-10.8415,-0.5547,-1.6944,-0.4656,75,0.592,11,9.602,1.9203,-13.5327,1.2246,-0.1067,1.3983,51
1.247,24,10.6854,-2.0038,-9.7109,-0.2575,-0.6006,-0.4072,75,0.644,12,9.3361,1.0153,-13.3702,1.5685,-0.233,1.6436,51
1.298,25,10.1301,-2.5723,-10.4057,-0.0404,0.24,-0.4184,75,0.696,13,8.25,-0.2081,-14.2533,1.5912,-0.0601,1.8742,51
1.351,26,10.5816,-1.5355,-11.6364,0.008,0.8535,-0.3001,75,0.748,14,9.8373,-1.4554,-13.4449,1.7123,-0.6039,1.0753,51
