right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.027,0,6.4199,-2.0397,-12.9792,-0.7713,-0.0107,-0.2632,90,0.09,1,-1.5983,-4.4175,-13.9706,-0.2729,0.3414,0.3422,51
0.078,1,8.5039,-0.912,-13.0897,-0.5507,-0.01,-0.0764,90,0.141,2,1.6532,-5.3776,-14.8574,-0.3373,0.0369,0.5263,51
0.13,2,9.622,-1.2092,-12.8372,-0.4222,0.0977,-0.1588,90,0.193,3,5.6575,-8.3168,-17.2301,-0.2117,-0.3686,0.1044,51
0.182,3,8.5377,-0.2776,-12.6457,-0.5017,0.0582,-0.347,90,0.245,4,7.807,-10.8068,-18.9027,0.3439,-0.321,-0.3331,51
0.234,4,6.5263,-1.7504,-12.2149,-0.4042,0.1896,-0.3956,90,0.297,5,7.0615,-10.7875,-18.9964,0.8239,-0.2589,-0.8969,51
0.286,5,2.6714,-3.0162,-11.5858,-0.4768,0.7333,0.389,90,0.349,6,4.8412,-9.5792,-18.3516,0.8002,0.056,-0.9076,51
0.337,6,3.1759,-0.6074,-11.3246,0.3285,0.1997,0.4485,90,0.4,7,-0.0669,-6.2659,-16.8475,0.3579,0.6231,-0.5825,51
0.389,7,4.4036,3.5564,-15.308,0.6967,-0.4429,-0.3281,90,0.452,8,-2.2321,-3.9544,-14.9906,-0.0296,0.5088,-0.0885,51
0.441,8,6.1892,3.6828,-14.6576,0.431,-0.2568,-0.3221,90,0.504,9,-1.8001,-3.8148,-14.182,-0.2857,0.2941,0.3159,51
0.493,9,7.379,3.631,-15.7008,0.5563,-0.8224,-0.2293,90,0.556,10,2.6278,-5.2414,-14.6284,-0.0825,-0.1886,0.5348,51
0.544,10,9.0534,2.7981,-14.5564,0.2835,-0.4613,-0.1974,90,0.608,11,4.1488,-6.267,-16.0986,-0.182,-0.0389,0.591,51
0.596,11,8.6782,2.1791,-14.714,-0.0513,-0.4006,-0.5027,90,0.66,12,6.3007,-8.8214,-17.4812,-0.1336,0.0029,-0.054,51
0.648,12,6.7248,-1.6629,-15.1787,0.2364,-0.4732,-0.5537,90,0.711,13,7.1333,-10.5736,-18.7534,0.0461,-0.0848,-0.7108,51
0.7,13,2.967,-3.3352,-13.3751,-0.1667,-0.1327,0.2736,90,0.763,14,6.5182,-9.7975,-18.7688,-0.0622,0.0596,-0.9017,51
0.752,14,4.3471,-0.6564,-9.3709,-0.2618,-0.2093,0.7653,90,0.815,15,0.3794,-7.1316,-17.2063,-0.1139,0.7284,-0.5806,51
0.804,15,5.4997,-5.7001,-4.3928,-0.7767,-0.4883,-0.1155,90,0.867,16,-1.6739,-5.5404,-14.7115,-0.1302,0.2752,-0.0553,51
0.855,16,2.2521,0.6193,-3.8517,-0.4065,-0.9168,-0.6445,90,0.918,17,-0.2938,-4.965,-14.0525,0.0111,-0.3153,0.1745,51
0.907,17,6.0867,1.3887,-6.4043,-0.3909,-1.1874,-0.5939,90,0.97,18,4.8814,-5.5823,-14.8972,-0.1089,-0.701,0.5039,51
0.959,18,9.179,0.4627,-8.5644,-0.4281,-0.9006,-0.682,90,1.022,19,6.7696,-7.6458,-16.1469,-0.0115,-0.2953,0.2577,51
1.011,19,9.9633,-0.0197,-10.4124,-0.3774,-0.621,-1.1163,90,1.074,20,7.5494,-9.6359,-17.6107,-0.0857,0.1662,-0.4183,51
1.063,20,6.1448,-3.9772,-11.721,-0.9432,0.2251,-0.6164,90,1.126,21,6.7387,-9.7096,-18.4699,0.0547,0.5444,-0.6774,51
1.114,21,3.4358,-4.7631,-10.9756,-1.3636,-0.4895,0.2279,90,1.177,22,2.0425,-8.0244,-17.7931,0.4218,1.0806,-0.3442,51
