right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.136,2,0.3036,-0.6735,-11.1344,0.3759,-0.4514,-0.1314,87,0.048,0,14.9309,6.0163,-10.8968,-0.3492,-0.939,0.3947,52
0.187,3,5.4873,1.3302,-11.2512,0.9487,0.2656,-0.4346,87,0.1,1,15.0673,6.8212,-5.3452,-0.2208,-1.3521,0.2617,52
0.239,4,9.2706,-2.0189,-14.0794,0.7732,-0.2476,0.0795,87,0.152,2,10.1971,6.2416,-1.2934,-0.7622,-0.3019,-0.4804,52
0.291,5,10.2614,-1.6342,-18.2806,1.2409,0.4977,-0.5146,87,0.204,3,11.7407,0.1517,-8.9252,-1.2334,0.4647,-0.8336,52
0.343,6,7.6782,-4.1176,-21.3469,0.7571,1.0416,-1.0496,87,0.256,4,5.0286,-5.1861,-3.9062,-0.7243,-0.2818,-0.9406,52
0.394,7,1.8953,-4.832,-22.6807,0.5137,0.8953,-1.0989,87,0.307,5,5.8839,-2.0931,-6.8173,-0.3218,-0.8349,-0.3685,52
0.446,8,-3.9409,-5.5424,-21.2395,0.1703,0.0868,-0.8169,87,0.359,6,8.0,-1.2896,-9.227,-0.123,-0.6249,0.1302,52
0.498,9,-6.1344,-4.3408,-16.5604,0.0792,-0.61,-0.5419,87,0.411,7,9.7508,0.4579,-8.6129,-0.364,-0.8991,0.2773,52
0.55,10,-0.5661,-1.9731,-14.3042,-0.2675,-0.5935,-0.2481,87,0.463,8,9.3737,4.1611,-6.9626,-0.2882,-1.2619,0.5292,52
0.602,11,4.8525,-1.0762,-17.7514,-0.2186,-0.5479,0.1214,87,0.515,9,6.855,3.0787,-2.7028,-0.0905,-0.6437,0.2658,52
0.654,12,8.8074,-0.6025,-19.3963,0.0603,0.1706,0.0261,87,0.566,10,6.0355,3.758,-2.9508,0.486,0.2151,-0.4606,52
0.706,13,7.345,-2.0902,-22.1611,0.3184,0.8029,-0.3908,87,0.618,11,2.1707,-1.4331,-9.8632,0.5163,0.842,-0.829,52
0.757,14,5.081,-1.7785,-24.1791,0.1027,1.2246,-0.3446,87,0.67,12,6.7016,-6.3428,-4.5908,-0.1195,0.2646,-0.2236,52
0.809,15,-0.4013,-2.9338,-22.7938,0.0157,0.5975,0.0639,87,0.722,13,8.7624,-2.8674,-6.6351,0.5359,-0.4736,-0.0976,52
0.861,16,-5.1295,-2.9183,-20.219,-0.2846,-0.2373,0.3985,87,0.774,14,10.5134,-1.6381,-9.4591,0.5691,-0.0646,0.6091,52
0.913,17,-5.1768,-3.169,-17.5743,0.0092,-0.3054,0.3758,87,0.825,15,12.5047,0.5987,-7.798,-0.0259,-0.6399,0.8268,52
0.965,18,-1.2091,-2.5153,-15.9963,0.2164,0.3258,-0.1904,87,0.877,16,13.8305,5.211,-6.3536,-0.6683,-1.1338,1.1312,52
1.016,19,4.3833,-4.1319,-16.4976,0.4319,0.0829,-0.2866,87,0.929,17,14.4693,6.8694,-2.0294,0.1869,-0.1796,0.3378,52
1.068,20,8.4648,1.3036,-18.3185,-0.36,-0.6129,0.4686,87,0.981,18,11.6495,6.091,-3.1702,-0.5016,0.5539,-0.4249,52
1.12,21,8.9563,2.8969,-18.78,0.2298,-0.6595,0.6958,87,1.033,19,9.8142,6.5512,-10.295,-0.6829,1.0892,-0.7645,52
1.172,22,5.8072,3.5743,-20.9887,0.2351,0.1963,0.4601,87,1.084,20,11.3496,5.2341,-12.7493,-0.281,0.1282,-0.4589,52
1.224,23,-1.0858,1.4963,-19.7397,0.0924,0.8216,0.1442,87,1.136,21,11.7365,5.2879,-13.1576,0.0248,-0.3145,0.0227,52
1.275,24,-6.1166,-0.2069,-17.3868,0.0373,0.371,-0.0513,87,1.188,22,13.6831,4.5983,-10.9716,-0.1403,-0.2811,0.1285,52
1.327,25,-5.5335,-1.8348,-16.5988,0.23,-0.3796,-0.1832,87,1.239,23,10.8055,7.5567,-8.6853,-0.4531,-0.7124,0.7451,52
1.379,26,1.2272,-1.3095,-16.8255,-0.1666,-0.8483,-0.2769,87,1.291,24,8.7115,4.6093,-3.7312,-0.3033,-0.4525,0.591,52
1.431,27,6.1614,-2.7377,-19.3322,-0.7968,-0.9658,0.4613,87,1.343,25,7.6781,4.812,-2.3894,0.3331,0.3547,-0.2401,52
1.482,28,7.9569,-1.738,-21.4162,-0.8377,-0.0432,0.8393,87,1.395,26,5.9954,0.4227,-9.7251,-0.0988,0.9439,-0.8009,52
1.534,29,7.0863,0.8663,-23.6354,-0.9928,0.6468,1.1578,87,1.447,27,9.493,-4.9883,-5.6183,-0.0174,0.2122,-0.2272,52
1.586,30,1.4425,0.6932,-22.8275,-1.0586,0.9388,0.8865,87,1.498,28,9.5167,-5.0497,-10.6904,0.3365,-0.5118,-0.0417,52
1.638,31,-3.2038,-0.3174,-20.1909,-0.3815,0.5254,0.1705,87,1.551,29,12.063,-3.7374,-8.9432,0.3921,-0.347,0.2344,52
1.69,32,-3.7607,-0.161,-18.4318,0.3801,0.0128,-0.3359,87,1.602,30,13.9214,-0.8593,-4.7184,0.4538,-0.4047,0.4405,52
1.741,33,-1.0541,0.4077,-16.7782,0.3352,-0.1796,-0.5776,87,1.654,31,14.4446,-0.038,-0.836,-0.3404,-0.6377,0.2715,52
1.793,34,4.4964,1.6587,-16.7618,0.1641,-0.6133,-0.504,87,1.706,32,11.7498,0.4222,0.4441,0.4263,0.2196,-0.1033,52
1.845,35,8.5474,3.4028,-17.0938,0.7963,-0.5123,-0.965,87,1.757,33,11.6958,-0.9877,-7.3785,0.1153,0.8452,-0.6553,52
1.897,36,8.7525,2.1231,-20.4636,0.5347,0.3045,-0.8804,87,1.809,34,13.6534,4.5713,-13.3663,0.5399,0.0904,-0.9478,52
1.949,37,6.0239,0.5987,-21.5606,0.3463,0.8251,-0.4134,87,1.861,35,11.6611,3.9919,-15.1687,0.5387,-0.6008,-0.4581,52
2.001,38,0.3145,0.5068,-20.3937,0.1185,0.9085,-0.4388,87,1.913,36,13.628,3.6949,-14.5473,0.7574,-0.3758,0.0298,52
2.052,39,-1.6881,0.3455,-19.0439,0.3514,0.6755,-0.7682,87,1.965,37,15.0636,2.6036,-9.3699,0.2051,-0.3696,0.3145,52
2.104,40,1.3347,0.4745,-17.425,0.6607,0.1403,-0.9169,87,2.016,38,12.8933,3.4446,-8.2502,-0.4752,-0.9366,0.3743,52
2.156,41,4.9242,1.5069,-16.0909,0.6828,-0.4688,-0.6332,87,2.068,39,10.4028,2.3703,-4.2986,0.2445,0.0014,0.1227,52
2.208,42,8.1838,0.1161,-17.3268,0.5078,-0.3613,-0.3442,87,2.12,40,10.8541,1.5216,-8.7745,0.2805,0.686,-0.521,52
2.26,43,8.6329,-0.538,-20.6508,0.5883,0.0167,-0.3124,87,2.172,41,5.5957,-4.1863,-14.3852,0.7871,0.942,-0.5986,52
2.311,44,7.2585,-0.6619,-21.1282,0.5363,0.1103,-0.1081,87,2.223,42,-1.3886,-5.8569,-9.7799,0.2303,0.1003,-0.5377,52
2.363,45,1.9609,-1.4748,-18.6373,0.2498,0.0034,0.2301,87,2.275,43,3.5479,-2.8753,-10.5602,0.5184,0.0581,0.1144,52
2.415,46,-0.9847,-1.401,-17.1388,0.1954,-0.3681,0.3101,87,2.327,44,7.7067,-4.082,-5.2429,-0.2945,-0.6244,0.1794,52
2.467,47,0.9403,-1.3221,-16.2402,0.128,-0.6815,0.2906,87,2.379,45,8.2383,-0.3307,-5.9604,-0.8663,-1.1225,0.6315,52
2.518,48,5.952,-0.5034,-15.5872,0.4682,-0.995,0.2254,87,2.431,46,6.0585,-0.1672,-1.7424,0.0325,-0.1675,0.3986,52
2.57,49,7.4992,-1.2625,-17.9407,0.1695,-1.0069,0.3793,87,2.482,47,7.7368,1.8182,-4.2932,-0.3202,0.5627,-0.2612,52
2.622,50,6.75,-1.7635,-21.0159,0.2303,-0.0565,-0.1496,87,2.534,48,6.7034,-0.424,-11.1146,-0.6989,1.0957,-0.3298,52
2.674,51,8.3657,2.5195,-23.3432,-0.0375,0.166,0.1332,87,2.586,49,8.2776,4.9827,-13.6502,-0.4137,0.1377,-0.5873,52
2.726,52,4.1703,1.4656,-22.6555,-0.4401,-0.0649,0.1945,87,2.638,50,11.1586,3.74,-13.2296,-0.0313,0.0697,-0.1262,52
2.777,53,-0.8629,-0.0514,-19.2715,-0.3655,-0.7131,0.1394,87,2.69,51,13.2614,0.8722,-7.0478,-0.6705,-0.6159,-0.1843,52
2.829,54,0.0314,-0.0481,-16.5945,0.0303,-1.1938,0.0698,87,2.741,52,12.8286,0.7855,-5.2444,-1.1664,-1.1163,0.2655,52
2.881,55,5.2887,0.6545,-15.2274,0.1364,-1.3295,0.1242,87,2.793,53,7.929,-0.9512,-2.2185,-0.7921,-0.1298,0.7219,52
2.933,56,3.6552,-0.5129,-16.3057,0.1844,-0.8208,0.0531,87,2.845,54,10.5269,-1.4261,-3.2528,-0.3815,0.5902,0.545,52
2.984,57,5.1564,-0.2398,-19.9055,0.1801,0.0793,-0.5359,87,2.897,55,5.8054,-0.6624,-10.3552,-0.6762,1.1157,0.2163,52
3.036,58,6.679,-1.2443,-22.5328,-0.0884,0.7362,-0.4955,87,2.949,56,9.3543,-5.7802,-5.0007,-0.8327,0.4578,0.5003,52
3.088,59,3.9672,-2.721,-21.7128,-0.2686,0.5839,0.014,87,3.0,57,1.9821,-3.7772,-10.5952,-0.7994,0.5557,0.4896,52
3.14,60,0.1617,-3.2728,-19.102,0.2449,0.2727,0.3102,87,3.052,58,4.4058,-2.2457,-11.4896,-0.6191,0.313,0.3621,52
3.192,61,-1.3193,-2.8162,-15.9281,0.7207,-0.0898,0.6196,87,3.104,59,7.1258,-6.9358,-9.8048,-0.5891,0.4173,0.2407,52
3.244,62,0.1384,-1.5301,-14.0259,0.1773,-0.2952,1.0696,87,3.156,60,7.645,-8.7825,-9.5966,-1.107,0.4648,0.6107,52
3.295,63,4.2895,-0.4958,-13.9242,-0.3604,-0.5102,1.4312,87,3.207,61,5.571,-6.4211,-9.8937,-1.485,0.4571,1.1257,52
3.347,64,5.5446,-2.9488,-16.151,-0.4497,0.306,0.9191,87,3.259,62,4.5094,-1.9709,-11.6292,-1.7609,0.6872,0.6953,52
3.399,65,7.3677,-4.019,-19.7763,-0.743,0.9017,0.4794,87,3.311,63,6.5032,-3.0894,-9.8209,-1.3971,-0.0735,0.4198,52
3.451,66,7.208,-2.5528,-21.1102,-0.9308,1.3364,0.4686,87,3.363,64,7.4292,-1.9914,-10.499,-1.1542,-0.0342,0.3298,52
3.503,67,7.2683,-1.9961,-21.2979,-1.3546,1.2319,0.6338,87,3.415,65,7.8525,-1.2033,-10.082,-1.0391,-0.048,0.1942,52
3.554,68,6.527,-0.2335,-18.7093,-1.6155,0.6814,0.7509,87,3.466,66,8.1586,-0.643,-9.8955,-0.7973,0.0869,0.0068,52
3.606,69,5.2149,-0.2147,-17.5664,-1.8543,0.429,1.0135,87,3.518,67,8.2886,-0.1613,-9.6151,-0.7064,0.0861,0.0148,52
