right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.032,0,9.7784,-0.5223,-11.7714,-0.2767,-0.0623,-1.4284,87,0.13,2,3.125,10.1326,-12.3459,1.3262,-0.3229,-0.1947,51
0.084,1,12.4025,-3.5509,-13.9173,-0.5881,-0.6899,-1.7165,87,0.182,3,7.398,2.0984,-9.806,0.2908,-0.9007,-0.8135,51
0.136,2,14.3176,-0.3358,-18.1624,-0.6087,-1.1769,-1.9268,87,0.234,4,10.5167,-3.7653,-15.138,0.549,-0.1252,-0.1707,51
0.188,3,13.2398,1.3399,-17.9206,-1.1195,-1.5324,-2.0803,87,0.286,5,5.897,-2.342,-14.5829,-0.0039,0.5743,0.5193,51
0.239,4,8.1969,3.4792,-15.905,-0.8854,-1.7918,-2.1923,87,0.337,6,8.565,-1.764,-15.2858,0.1957,-0.2476,0.5068,51
0.291,5,6.1619,3.637,-13.0998,-1.3215,-1.8836,-2.2741,87,0.389,7,11.3684,4.0047,-15.8314,0.8175,-0.3898,0.5639,51
0.343,6,7.3991,2.6587,-11.3287,-1.5128,-2.0122,-2.3337,87,0.441,8,13.4144,6.0753,-14.2098,1.2312,-0.5499,1.0919,51
0.395,7,10.666,0.3229,-12.1288,-1.7765,-1.8572,-2.3773,87,0.493,9,6.2597,9.7261,-9.1495,1.53,0.1664,0.2868,51
0.447,8,5.6115,1.3853,-11.6315,-1.9521,-0.7264,-1.4167,87,0.545,10,0.748,6.8225,-6.5152,0.6215,0.6896,-0.4621,51
0.499,9,0.1698,3.3963,-10.7979,-0.8046,0.1482,-0.3562,87,0.596,11,5.6632,-0.3175,-12.7363,0.7904,1.1761,-0.772,51
0.551,10,-2.9078,7.7363,-12.2732,0.0893,0.7851,0.4177,87,0.648,12,9.0282,-5.5285,-6.8914,-0.1002,1.2028,0.1169,51
0.602,11,-5.6558,9.2601,-14.3716,0.7417,0.6253,0.0298,87,0.7,13,11.7064,-3.637,-2.4735,0.3251,0.2111,0.314,51
0.654,12,-5.6539,9.7513,-14.2713,0.0094,0.4454,-0.6278,87,0.752,14,13.6612,2.6041,-6.9054,0.9119,-0.3749,0.8976,51
0.706,13,-2.7763,8.4543,-13.0976,-0.4924,-0.0121,-1.1322,87,0.804,15,11.0521,7.1928,-9.4112,1.3403,-0.038,0.2192,51
0.758,14,1.1106,8.0273,-13.3073,-0.7806,-0.5965,-1.491,87,0.855,16,6.6703,10.5417,-5.7654,1.5087,-0.0437,-0.5114,51
0.81,15,2.1457,6.3932,-15.5787,-0.8729,-0.0794,-1.1588,87,0.907,17,2.3646,4.89,-4.6741,0.424,-0.5025,-1.0447,51
0.861,16,-3.7582,8.5282,-15.8606,-0.7112,0.6204,-0.168,87,0.959,18,0.215,8.7352,-0.8036,0.6462,0.1634,-0.7596,51
0.913,17,-4.1399,11.305,-16.7182,0.1161,0.2872,0.5551,87,1.011,19,-0.0608,6.2764,0.5454,0.0314,-0.5475,-0.0746,51
0.965,18,-7.2907,12.5032,-15.4032,-0.0151,0.3533,0.5312,87,1.063,20,5.0729,6.6155,-4.688,0.5478,-0.3959,0.123,51
1.017,19,-6.9245,11.334,-13.0889,-0.121,-0.132,-0.2153,87,1.114,21,8.6959,7.0736,-8.9196,1.0721,-0.3226,0.7701,51
1.069,20,-3.5836,8.862,-12.186,-0.3785,-0.5722,-0.8311,87,1.166,22,1.4544,10.4548,-9.0376,1.4572,0.3212,0.3909,51
1.12,21,2.6503,5.6849,-13.8096,-0.6557,-0.6386,-1.183,87,1.218,23,1.6146,11.6629,-8.702,0.3864,-0.4324,-0.3861,51
1.172,22,-0.6126,6.1546,-14.578,-0.413,0.0548,-0.1969,87,1.27,24,3.3638,3.2153,-14.1259,-0.395,0.3694,-0.3976,51
1.224,23,-3.7924,9.4664,-15.173,0.053,0.7184,0.534,87,1.321,25,4.6105,1.6376,-11.363,0.3864,0.6167,-0.041,51
1.276,24,-6.6198,12.2609,-17.4779,0.5105,1.0256,0.9811,87,1.373,26,4.7821,-3.0115,-16.2744,0.1659,-0.158,0.3388,51
1.327,25,-7.9441,12.7762,-17.2359,0.3388,0.4427,0.1429,87,1.425,27,8.6075,0.8933,-16.6102,0.7481,-0.1183,0.5038,51
1.379,26,-6.2176,11.1685,-16.1977,0.0944,-0.3503,-0.5698,87,1.477,28,11.3994,2.0661,-15.9512,0.8227,-0.3391,1.048,51
