right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.802,15,9.2008,-5.1771,-5.7096,0.4579,-0.2078,-0.394,81,0.022,0,3.2813,0.9771,-14.7364,1.1158,-2.253,0.0374,50
0.854,16,5.2358,-4.7954,-3.9624,0.0883,0.5267,0.3334,81,0.074,1,3.6421,0.5307,-12.9124,0.8809,-2.3111,0.0437,50
0.905,17,2.9214,-2.3945,-10.8969,0.741,1.0627,0.2214,81,0.125,2,4.9037,0.562,-10.9716,0.7589,-1.7528,-0.0354,50
0.957,18,2.804,-6.9846,-13.1619,0.4491,0.1022,0.51,81,0.177,3,6.302,1.0467,-11.2668,0.3648,-0.5943,-0.3053,50
1.009,19,4.3328,-5.6712,-15.0094,0.0253,-0.0644,0.5247,81,0.229,4,8.1674,1.6118,-16.1338,0.0144,0.2512,-0.8878,50
1.061,20,8.428,-4.5883,-15.4706,0.2053,0.6314,0.6911,81,0.281,5,10.2033,0.1134,-19.7563,-0.6572,0.8683,-1.0384,50
1.113,21,11.4169,-4.4399,-12.8987,0.6378,0.5191,0.2294,81,0.333,6,8.7991,-1.2491,-21.8811,-0.5052,0.6233,-0.7314,50
1.164,22,12.0194,-4.0398,-10.7886,0.2247,-0.2945,-0.2497,81,0.384,7,5.9998,-1.1283,-20.7135,-0.23,-0.0084,-0.4824,50
1.216,23,8.8589,-5.3938,-5.3035,-0.5113,0.2008,0.4433,81,0.436,8,3.6002,-0.9442,-19.7771,0.5068,0.1599,-0.2663,50
1.268,24,6.477,-2.3793,-6.7003,-0.2638,0.8249,1.0013,81,0.488,9,3.4774,-2.1815,-17.0973,0.4597,0.0004,-0.1073,50
1.32,25,5.2463,-4.1128,-12.895,0.4761,0.9036,0.2806,81,0.54,10,4.4923,-1.3739,-14.7601,0.8134,-0.3924,-0.1971,50
1.372,26,2.7275,-8.2387,-11.8165,0.3018,-0.0139,-0.1483,81,0.591,11,4.5893,-1.6904,-13.6896,0.4896,-0.1719,-0.2542,50
1.423,27,4.106,-6.206,-14.3803,0.0253,-0.5378,-0.1346,81,0.643,12,6.3164,-2.6904,-17.9725,0.2311,0.5595,-0.5027,50
1.475,28,6.223,-4.6954,-14.9541,-0.2074,0.2358,0.0779,81,0.695,13,9.3198,-3.8879,-21.0983,-0.3039,1.0368,0.1626,50
1.527,29,9.8076,-4.4718,-13.4447,-0.1781,0.6217,-0.0641,81,0.747,14,8.872,-1.0591,-20.087,0.4286,0.4896,0.511,50
1.579,30,11.1625,-3.1281,-12.0604,-0.2531,-0.1624,-0.4933,81,0.799,15,5.6676,1.0436,-18.34,0.66,0.1439,1.0533,50
1.631,31,9.9156,-4.9265,-6.6999,-0.8599,-0.2049,-0.217,81,0.851,16,2.364,1.5228,-16.31,0.4127,-0.3502,0.997,50
1.682,32,6.6399,-6.5425,-3.9648,-0.1469,0.5288,0.5194,81,0.902,17,2.2502,1.5829,-14.1982,0.101,-0.7088,0.4551,50
1.734,33,7.2913,-1.0563,-10.8985,0.5693,1.0643,1.0417,81,0.954,18,4.4879,0.4766,-11.9317,-0.112,-0.8878,0.0171,50
1.786,34,-0.0027,4.581,-15.9591,0.0777,1.1172,0.2212,81,1.006,19,3.1482,-0.9183,-12.5544,-0.2196,-0.1068,-0.1621,50
1.838,35,4.1135,3.2628,-16.4417,-0.2575,0.1596,0.2643,81,1.058,20,4.9702,-1.0183,-17.1439,-0.2043,0.607,-0.1052,50
1.89,36,7.0733,0.972,-20.0048,-0.0607,0.4034,0.1291,81,1.11,21,8.6473,-1.8545,-20.4936,-0.7772,1.128,-0.2074,50
1.941,37,10.4282,3.5604,-17.8185,0.6322,0.418,-0.1587,81,1.161,22,8.0184,-3.0073,-22.214,-0.7751,1.1906,-0.2209,50
1.993,38,9.5044,0.1491,-18.1406,0.0991,-0.3683,-0.6366,81,1.213,23,5.7441,-2.939,-22.078,-0.2634,0.7313,-0.0738,50
2.045,39,7.9478,-4.103,-10.6557,-0.6029,0.0862,0.0497,81,1.265,24,3.2575,-2.3871,-20.3415,-0.3121,0.182,0.2497,50
2.097,40,11.0664,-4.1988,-10.7242,-0.018,0.7413,0.714,81,1.317,25,2.465,-1.7546,-18.3199,-0.1267,-0.327,0.5033,50
2.149,41,6.6175,2.1742,-15.8319,0.6634,1.2194,0.9055,81,1.368,26,3.33,-0.7811,-15.786,0.1642,-0.9055,0.4004,50
2.201,42,3.1341,-3.6502,-16.9237,-0.0335,0.2166,1.1588,81,1.42,27,2.5683,0.1859,-14.8658,0.3135,-1.0879,0.0861,50
