right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.223,4,9.2562,0.859,-12.5641,0.099,0.0483,-0.0112,89,0.042,0,8.7931,1.7383,-9.7165,-0.0209,0.0126,0.0273,51
0.274,5,9.2998,-0.0384,-12.6737,-0.1026,0.0527,0.0418,89,0.094,1,8.8054,1.7387,-9.712,0.0036,0.021,0.0211,51
0.326,6,9.1911,0.292,-12.6891,-0.1701,0.0411,0.0515,89,0.146,2,8.8237,1.7838,-9.6859,0.0044,0.0444,0.0145,51
0.378,7,9.3732,0.2497,-12.6737,-0.1467,0.0609,0.0802,89,0.198,3,8.8103,1.7909,-9.6478,0.0144,0.0591,0.0223,51
0.43,8,9.3758,0.2266,-12.6786,-0.1131,0.1057,0.0945,89,0.25,4,8.7993,1.8216,-9.6066,0.0084,0.0572,0.0252,51
0.482,9,9.3821,0.3885,-12.5527,-0.0877,0.1586,0.1016,89,0.302,5,8.8203,1.7822,-9.6066,0.0046,0.0621,0.0265,51
0.533,10,9.4315,0.3615,-12.3844,-0.0807,0.1597,0.1108,89,0.353,6,8.814,1.728,-9.5794,-0.0105,0.0749,0.0278,51
0.585,11,9.4653,0.287,-12.2754,-0.0942,0.1296,0.0929,89,0.405,7,8.8125,1.7149,-9.4912,-0.0099,0.0665,0.0204,51
0.637,12,9.4442,0.2488,-12.2412,-0.0776,0.0988,0.0723,89,0.457,8,8.8119,1.7278,-9.4509,-0.0068,0.0443,0.0094,51
0.689,13,9.4791,0.2476,-12.2197,-0.0592,0.0979,0.0594,89,0.509,9,8.8232,1.7227,-9.4252,-0.005,0.0228,0.0025,51
0.74,14,9.4833,0.2467,-12.1574,-0.0679,0.099,0.0495,89,0.561,10,8.8271,1.7073,-9.4226,-0.0052,0.0058,0.0003,51
0.792,15,9.4847,0.226,-12.0639,-0.0711,0.0951,0.043,89,0.613,11,8.8285,1.6875,-9.4507,-0.0118,-0.0131,-0.001,51
0.844,16,9.5038,0.1791,-12.0494,-0.0702,0.0841,0.0351,89,0.664,12,8.8308,1.6842,-9.4923,-0.0033,-0.0262,-0.0143,51
0.896,17,9.5132,0.2423,-12.061,-0.0709,0.0849,0.0278,89,0.716,13,8.8118,1.6784,-9.5645,0.0074,-0.0102,-0.0244,51
0.947,18,9.4961,0.2273,-12.0184,-0.0514,0.1099,0.0273,89,0.768,14,8.819,1.6938,-9.5629,0.0108,0.013,-0.0288,51
0.999,19,9.4895,0.235,-11.8847,-0.0414,0.1279,0.0255,89,0.82,15,8.8785,1.7321,-9.4231,0.0055,0.0218,-0.0251,51
1.051,20,9.4835,0.2284,-11.7968,-0.0395,0.1078,0.0174,89,0.871,16,8.7455,1.666,-9.387,-0.0564,0.0628,-0.0064,51
1.103,21,9.4155,0.2663,-11.7573,-0.056,0.1403,0.0213,89,0.923,17,8.6139,1.6495,-9.2451,-0.021,-0.0355,-0.0157,51
1.155,22,9.5119,0.2762,-11.6175,-0.0592,0.2276,0.0211,89,0.975,18,8.6715,1.4478,-9.6983,0.101,-0.2973,-0.0694,51
1.207,23,9.4844,0.1491,-11.5845,-0.0176,0.2238,-0.0025,89,1.027,19,8.4984,1.5209,-9.9661,0.1517,-0.385,-0.1253,51
1.258,24,9.7118,0.5629,-11.2828,0.0809,0.1563,-0.0606,89,1.079,20,8.5296,1.7923,-10.1158,0.1458,-0.3798,-0.1028,51
1.31,25,9.8388,0.6104,-11.3648,0.1406,0.0226,-0.1251,89,1.13,21,8.3693,2.2137,-10.489,-0.0951,-0.4474,-0.139,51
1.362,26,9.7719,0.5805,-11.1851,0.1425,-0.1795,-0.2235,89,1.182,22,8.0661,2.6319,-10.697,-0.679,-0.7131,-0.2335,51
1.414,27,10.0621,1.0618,-11.772,0.174,-0.5387,-0.2521,89,1.234,23,7.4101,3.0524,-11.3387,-0.346,-1.011,-0.3481,51
1.466,28,10.3165,1.169,-11.7191,0.103,-1.0665,-0.3112,89,1.286,24,7.2843,2.9385,-11.8808,-0.2796,-1.3969,-0.8415,51
