right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.035,0,0.197,2.0719,-6.6115,-0.3775,-0.5727,-0.7124,87,0.014,0,0.1529,-2.2423,-18.3238,0.4167,-1.0521,-1.1693,52
0.087,1,5.4096,6.8641,-2.2413,0.2392,-0.9929,-0.7614,87,0.066,1,1.5042,-4.0624,-14.9104,0.3331,-1.4347,-0.72,52
0.139,2,8.8886,5.0982,-5.52,-0.0964,-0.94,-0.5989,87,0.117,2,4.3803,-2.5425,-12.3324,0.9171,-1.2888,0.0001,52
0.191,3,11.753,2.0353,-7.0383,-0.4712,-0.9463,-1.1072,87,0.169,3,7.7195,-0.3587,-12.2602,0.6569,-0.8224,0.6786,52
0.242,4,11.0895,-2.5631,-9.2036,-0.7341,-1.0261,-1.2194,87,0.221,4,10.7514,1.6955,-15.262,0.2173,0.0835,1.1679,52
0.294,5,7.119,-6.9309,-9.4784,-1.211,-0.0706,-0.2122,87,0.273,5,11.3003,-0.6477,-19.1201,0.432,0.7459,0.559,52
0.346,6,4.5737,-6.2066,-9.4035,-1.4699,0.2343,0.5229,87,0.325,6,7.6978,1.0651,-21.5742,0.6357,0.91,-0.1441,52
0.397,7,7.2153,0.822,-14.7972,-0.3962,-0.5024,0.0683,87,0.376,7,1.9394,-0.0246,-21.0399,-0.186,0.3289,-0.5753,52
0.45,8,-0.0581,0.6139,-13.6154,-0.6265,-0.7022,-0.5798,87,0.428,8,0.1723,-1.9774,-20.1705,-0.4862,-0.4267,-0.4927,52
0.501,9,-0.9962,1.2232,-16.1732,-0.742,-0.441,-0.8193,87,0.48,9,2.535,-1.6687,-17.7641,-0.3568,-0.9782,-0.1152,52
0.553,10,4.5387,-1.9237,-12.6515,-0.0188,-0.9953,-1.0626,87,0.532,10,6.9674,-1.3878,-14.1964,-0.0856,-1.3807,0.1663,52
0.605,11,5.2564,-6.6411,-13.7901,0.2445,-1.3892,-1.4495,87,0.583,11,10.2024,0.421,-14.3729,-0.45,-0.3731,0.5335,52
