right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.645,12,8.6038,-1.5395,-11.4005,-0.2132,-0.6063,-0.7558,93,0.151,2,8.6058,-0.5891,-14.0751,0.3863,-1.349,0.8273,63
0.697,13,9.9224,-1.5001,-11.4622,-0.4305,-0.8079,-1.2155,93,0.203,3,10.1045,-1.1027,-14.1654,0.6471,-1.6513,1.2074,63
0.748,14,9.3596,-2.0866,-12.3433,0.2963,-1.1789,-0.9645,93,0.255,4,12.492,-0.9256,-13.7813,0.7642,-1.8528,1.4048,63
0.8,15,7.6555,-3.0052,-10.6035,0.8928,-0.8759,-0.8953,93,0.306,5,10.6678,0.3004,-12.0741,-0.1162,-1.3084,1.5513,63
0.852,16,8.7424,-3.1651,-10.1627,1.2935,0.0391,-0.3677,93,0.358,6,8.8241,-0.1882,-12.9518,-0.7619,-0.27,1.3919,63
0.904,17,9.8402,-2.9703,-10.2735,1.1671,0.7069,0.2482,93,0.41,7,7.8916,-0.9596,-14.8166,-0.0266,0.4879,0.6392,63
0.956,18,10.6374,-2.5288,-10.6902,1.3662,1.1943,0.7221,93,0.462,8,9.4648,-1.2072,-17.882,-0.602,1.0411,-0.2049,63
1.008,19,10.3047,-1.9815,-10.579,1.6737,1.5415,0.8464,93,0.514,9,7.5186,-1.8805,-19.3052,-0.9067,1.4448,-0.3489,63
1.059,20,10.1883,-1.1457,-12.5631,1.6995,1.2141,0.5226,93,0.565,10,4.6097,-3.5522,-17.539,-0.5931,0.8243,-0.3295,63
1.111,21,9.3728,-0.8536,-15.3169,0.9432,0.3662,0.1699,93,0.617,11,3.6196,-3.7142,-14.9153,-0.4166,-0.0652,0.2439,63
1.163,22,7.8329,-0.8036,-16.6634,0.0913,-0.4061,-0.0896,93,0.669,12,-2.8309,-0.8292,-14.1949,-0.626,-0.388,0.7865,63
1.215,23,6.2251,-2.5183,-18.1768,0.4314,-0.7084,-0.7394,93,0.721,13,0.1988,-1.3609,-15.415,-0.5124,-0.4579,0.5404,63
1.267,24,5.4843,-1.612,-16.1239,0.1352,-1.1904,-1.0856,93,0.773,14,5.2624,-0.577,-14.0254,-0.5306,0.1127,0.1392,63
1.318,25,6.2798,-1.0438,-15.5951,0.0195,-1.5233,-0.4399,93,0.824,15,5.3121,0.5795,-12.4815,0.198,0.7158,-0.2066,63
1.37,26,7.0087,-1.3092,-16.0679,0.2901,-1.2569,0.1364,93,0.876,16,3.4579,0.803,-13.6761,-0.0207,-0.0144,0.1993,63
1.422,27,10.381,-3.9823,-15.1894,-0.0676,-0.239,0.1929,93,0.928,17,2.0149,0.9986,-11.9993,0.2578,-0.13,-0.0308,63
1.474,28,9.729,-5.757,-14.2975,-0.7241,0.5012,0.0486,93,0.98,18,-0.0958,-1.0052,-10.8976,-0.0746,0.411,-0.4263,63
1.526,29,9.2782,-7.4673,-14.9361,-1.2037,-0.3076,0.1394,93,1.031,19,5.0474,-1.8653,-5.3458,-0.5514,-0.3668,-0.4511,63
1.577,30,9.8067,-5.8505,-14.323,-1.4351,-0.8979,-0.5722,93,1.083,20,5.4561,-0.5442,-10.3165,-0.4004,-0.7626,-0.1827,63
1.629,31,10.4169,-4.443,-14.2815,-1.426,-1.3287,-1.0861,93,1.135,21,9.0781,-1.2416,-11.8453,-0.0865,0.1284,0.0565,63
1.681,32,9.6953,-3.5605,-15.8709,-0.6096,-1.3946,-1.4234,93,1.187,22,7.4278,-0.7957,-11.0328,0.6112,0.7683,-0.3243,63
1.733,33,6.738,0.3923,-18.7292,-0.686,-0.3395,-0.9006,93,1.239,23,7.1199,-0.5848,-11.2711,0.363,0.1237,-0.0692,63
1.785,34,7.7792,2.3442,-18.0437,-0.2946,0.2117,-0.209,93,1.29,24,5.7342,0.7044,-8.5794,0.7598,0.6098,-0.4702,63
