right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.574,11,9.2288,-3.1238,-10.2182,-0.534,-1.3568,0.22,93,0.107,2,6.8878,4.8468,-11.7196,-0.8082,0.5043,0.4678,64
0.626,12,10.224,-3.4819,-10.3058,-0.8176,-1.6636,0.3377,93,0.159,3,5.2322,7.5013,-11.3561,-0.481,1.0524,-0.33,64
0.678,13,12.7277,-3.5309,-11.8182,-0.9893,-1.8876,0.4598,93,0.211,4,8.936,10.7669,-9.9341,0.3236,0.6312,-0.9122,64
0.73,14,14.5549,-4.7042,-10.2922,-1.3561,-2.0511,0.3771,93,0.263,5,9.7243,8.8039,-10.6976,-0.1167,0.2021,-1.2881,64
0.781,15,11.6339,-6.4851,-12.2503,-0.6618,-1.6955,0.2298,93,0.314,6,11.1742,7.4967,-11.3596,-0.0798,-0.0881,-1.0625,64
0.833,16,8.2521,-3.6,-13.8771,-1.012,-0.5591,-0.0648,93,0.366,7,13.2727,2.1408,-9.6749,0.143,-0.0916,-0.9134,64
0.885,17,0.8872,-6.3093,-16.9815,-0.1063,0.2703,-0.7213,93,0.418,8,10.4729,-0.6775,-7.913,0.779,0.0271,-1.338,64
0.937,18,0.1923,-4.9469,-16.4683,0.2815,0.1121,-0.4935,93,0.47,9,6.9006,-0.9682,-7.8139,0.4446,0.7047,-0.3191,64
0.988,19,-0.0514,-3.8127,-15.7262,0.3428,0.1179,-0.2109,93,0.522,10,5.5694,-2.3146,-10.4119,0.3282,0.6879,-0.038,64
1.04,20,0.5559,-2.8313,-14.7004,0.6479,0.0346,-0.0172,93,0.573,11,5.9239,3.6029,-15.5802,0.8892,0.9377,0.2454,64
1.092,21,1.4519,-0.192,-15.0175,0.3172,0.1025,-0.1565,93,0.625,12,9.0202,-1.3329,-19.1427,-0.0082,0.3568,0.3432,64
1.144,22,1.2055,-1.8386,-14.2945,0.6151,0.5748,-0.4283,93,0.677,13,9.4649,-0.6065,-16.2329,0.3357,0.1492,-0.3022,64
1.196,23,2.1764,-4.1024,-17.1958,0.4146,1.0979,-0.6206,93,0.729,14,9.0805,-4.043,-16.0433,0.9197,-0.1363,-0.4308,64
1.247,24,3.7311,-5.8145,-18.3749,0.9448,1.1464,-0.8742,93,0.781,15,6.6629,0.2456,-12.0491,0.5588,-0.3621,-0.2917,64
1.299,25,4.8837,-4.8996,-17.0896,1.3661,1.1797,-0.8765,93,0.832,16,4.3423,-0.7748,-12.7251,0.1076,-0.4274,0.0685,64
1.351,26,3.838,-2.65,-15.0012,0.3402,1.5393,-0.289,93,0.884,17,1.762,4.7267,-7.6486,-0.4448,-0.8018,-0.4248,64
1.403,27,3.7186,-1.5011,-12.3985,-0.0222,1.8018,-0.2815,93,0.936,18,6.007,4.1974,-10.8423,0.0635,-0.6442,-0.7422,64
1.455,28,7.0722,-2.6358,-10.9732,0.1564,1.9934,-0.5481,93,0.988,19,8.7138,3.4605,-10.4844,0.2858,-0.6716,-1.0948,64
1.507,29,9.1049,-6.2477,-11.7832,0.4064,2.1332,-0.6678,93,1.039,20,10.242,2.3363,-10.6696,0.5319,-1.1401,-1.4705,64
1.558,30,8.4148,-7.1769,-13.156,0.1965,1.9049,-0.3487,93,1.091,21,12.2528,4.2952,-8.2626,1.0629,-1.4989,-1.7446,64
1.61,31,11.4072,-3.7789,-12.99,0.7272,0.7169,-0.1954,93,1.143,22,13.3773,-0.069,-9.589,0.1269,-1.7608,-1.5448,64
1.662,32,12.9075,-4.4366,-13.126,0.3901,-0.0333,-0.3277,93,1.195,23,11.9655,-2.5865,-9.4282,0.7673,-0.9922,-0.4471,64
1.714,33,11.5983,-4.5158,-11.8616,0.1984,-0.2121,0.2468,93,1.247,24,11.6165,-1.3676,-9.8059,1.0941,-0.0392,0.354,64
1.766,34,10.7573,-4.2328,-11.3052,-0.0372,-0.6118,0.2353,93,1.298,25,12.4213,-0.1501,-11.3187,0.1215,0.6563,0.9387,64
1.817,35,9.9175,-4.0511,-10.027,-0.2626,-0.6388,0.4297,93,1.35,26,14.1829,5.1826,-11.6264,-0.1561,1.164,1.3655,64
1.869,36,9.0085,-4.0176,-10.8455,-0.644,-1.1131,0.54,93,1.402,27,10.4787,9.0451,-16.4666,-0.1504,0.4063,0.3252,64
1.921,37,10.8312,-3.6261,-10.6906,-1.0876,-1.4858,0.6539,93,1.454,28,9.0847,7.7233,-12.8835,-0.2019,0.7846,-0.4341,64
1.973,38,13.1708,-3.0658,-11.2067,-1.469,-1.542,1.054,93,1.506,29,8.8339,6.8976,-12.8618,-0.1284,0.8679,-0.5748,64
2.025,39,10.4964,-3.9355,-9.7987,-1.3276,-1.3638,0.401,93,1.558,30,9.4282,4.5878,-12.1373,0.1223,0.7665,-0.4912,64
2.076,40,8.0711,-2.5503,-9.7178,-1.0547,-0.3248,0.1616,93,1.609,31,8.8969,3.6615,-11.6597,0.3566,0.6095,-0.5506,64
2.128,41,6.8568,-3.3744,-10.974,-0.0932,0.4413,-0.1154,93,1.661,32,8.585,3.1068,-10.9901,0.3893,0.4356,-0.5221,64
2.18,42,8.4509,-2.9565,-13.9393,0.6085,1.0005,-0.3041,93,1.713,33,8.5928,2.6259,-10.9209,0.3055,0.2675,-0.5205,64
2.232,43,8.9194,-3.4653,-13.9798,0.1578,1.4085,-0.3532,93,1.765,34,8.5994,1.7193,-10.7261,0.1897,0.0836,-0.5421,64
2.284,44,8.6392,-4.0352,-14.9377,-0.2093,1.6583,0.0026,93,1.816,35,8.9511,1.5146,-10.8152,-0.0284,-0.2636,-0.7854,64
2.335,45,8.2784,-3.6817,-14.4124,0.5238,1.26,-0.051,93,1.868,36,9.7408,1.048,-11.0073,0.0177,-0.5806,-1.1405,64
2.387,46,9.0889,-3.257,-15.7621,-0.2187,0.9838,0.0592,93,1.92,37,11.3505,0.3537,-11.0518,0.0244,-1.0806,-1.5038,64
2.439,47,9.0625,-3.5113,-14.0808,0.1394,0.5584,0.1093,93,1.972,38,10.5776,3.3246,-10.933,-0.1626,-1.3432,-1.7689,64
2.491,48,8.7874,-3.5176,-13.3149,0.2922,0.2391,0.0797,93,2.024,39,7.5189,2.3614,-9.7811,0.1506,-0.8719,-0.8974,64
2.543,49,8.5002,-3.6369,-11.9995,0.2048,0.0744,0.3355,93,2.075,40,7.6366,1.6589,-9.8236,0.5824,-0.094,0.0254,64
2.594,50,9.1034,-4.9086,-12.618,-0.0769,-0.3214,0.2727,93,2.127,41,8.4315,0.9377,-10.4502,0.2297,0.6163,0.6989,64
2.646,51,8.8999,-4.3118,-12.381,-0.0452,-0.4987,0.185,93,2.179,42,9.9104,0.7372,-11.3603,0.2154,1.1348,1.1904,64
2.698,52,8.803,-3.8286,-11.5999,-0.0491,-0.4866,0.1756,93,2.231,43,10.3978,0.919,-12.3025,0.1734,1.4133,1.5492,64
2.75,53,9.4777,-4.1123,-11.7063,-0.2307,-0.7619,0.2265,93,2.282,44,9.8393,3.16,-12.6772,-0.5219,1.0773,1.6466,64
2.802,54,9.1843,-3.9258,-12.0313,-0.3663,-1.0674,0.2582,93,2.334,45,9.2007,4.5379,-11.8649,-0.8214,0.6087,0.7551,64
2.853,55,9.7188,-3.5816,-12.2587,-0.5221,-1.4127,0.2831,93,2.386,46,7.7967,3.5011,-11.4178,0.0501,0.607,-0.1203,64
2.905,56,10.5051,-3.7428,-11.787,-0.7429,-1.7044,0.3815,93,2.438,47,1.7123,1.0917,-9.2573,-0.5661,1.128,-0.7468,64
2.957,57,12.8882,-3.7717,-11.256,-0.9143,-1.9174,0.7146,93,2.49,48,3.2958,0.4807,-9.8243,-0.7535,1.2063,-1.2105,64
3.009,58,14.6722,-5.6625,-13.4295,-1.3425,-2.0728,0.9828,93,2.541,49,4.9724,0.9286,-10.3332,-0.5534,0.9842,-1.412,64
3.061,59,11.5543,-8.3838,-13.9988,-0.8866,-1.6492,0.6245,93,2.593,50,8.7463,0.5078,-10.9847,-0.3389,0.4592,-1.0777,64
