right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.566,10,8.7868,-2.0752,-12.714,1.392,-0.8798,0.2535,94,0.139,2,5.1385,5.6923,-14.6891,-0.7328,0.8795,-1.0837,64
0.618,11,7.6472,-4.641,-14.3523,1.1238,-1.2428,0.4661,94,0.191,3,7.6221,0.5283,-18.702,-1.1911,1.1215,-1.4623,64
0.669,12,8.7723,-2.8304,-13.7795,1.2208,-1.2716,0.4564,94,0.243,4,10.6017,-3.0012,-11.0418,-1.1101,0.2526,-0.6409,64
0.721,13,9.1724,-2.061,-13.3948,0.8954,-1.0098,0.5758,94,0.295,5,5.048,-1.8853,-14.7397,-1.1235,0.294,-0.1937,64
0.773,14,9.2368,-1.5384,-12.6215,0.8949,-0.8984,0.6461,94,0.347,6,8.5774,0.6717,-13.9885,-0.7348,0.3638,0.0004,64
0.825,15,8.9553,-1.5062,-12.2524,0.5858,-1.0381,0.8585,94,0.398,7,8.8215,0.7891,-13.2467,-0.3954,0.582,0.2141,64
0.876,16,10.2374,0.3766,-11.5809,-0.0929,-1.4311,1.0361,94,0.45,8,8.6463,0.3666,-12.1275,-0.4373,0.5598,0.3952,64
0.928,17,12.7374,1.4318,-11.7966,-0.743,-1.7179,1.0771,94,0.502,9,8.3354,0.3181,-11.3719,-0.5364,0.2418,0.8124,64
0.98,18,12.9827,0.0656,-11.0557,-1.2175,-0.964,0.439,94,0.554,10,9.4701,0.3069,-11.7043,-0.4822,-0.1904,1.2733,64
1.032,19,10.6821,-1.3775,-9.4387,-1.3292,-0.0252,0.1404,94,0.606,11,9.4504,-1.7475,-11.3299,-0.5023,-0.0741,1.2241,64
1.084,20,8.4783,-0.7427,-10.0929,-0.3276,0.66,0.2639,94,0.657,12,10.3503,-1.5014,-14.0716,-0.6784,-0.3717,1.1329,64
1.135,21,9.1893,-0.519,-13.1912,-0.8979,1.16,0.4703,94,0.709,13,9.6131,-3.5827,-14.7877,-0.4023,-0.9381,1.3601,64
1.187,22,10.2287,-0.2082,-17.6324,-0.1136,1.3676,0.1798,94,0.761,14,8.552,-4.7265,-13.3605,-0.3109,-1.3515,1.6364,64
1.239,23,9.5607,2.1809,-16.2379,0.4354,0.3366,0.0388,94,0.813,15,9.0036,-4.7175,-14.1077,-0.3355,-1.6531,1.814,64
1.291,24,10.1515,1.8154,-15.1832,0.3377,0.0732,0.0516,94,0.865,16,9.4409,-4.6616,-15.1135,0.3026,-1.8733,1.9592,64
1.343,25,10.0276,1.9059,-14.1031,0.1706,-0.0567,0.1692,94,0.916,17,9.5685,-4.4526,-15.3924,0.8955,-2.034,1.9501,64
1.394,26,9.753,1.3141,-13.2004,0.0515,0.0133,0.2149,94,0.968,18,8.8389,-4.3584,-14.8185,1.2358,-2.1248,1.8949,64
1.446,27,10.2789,0.8378,-12.3991,-0.0032,-0.2089,0.0316,94,1.02,19,8.0061,-4.5594,-14.613,1.1862,-2.0954,1.8829,64
1.498,28,10.2245,0.7652,-12.3536,0.0454,-0.5363,0.0166,94,1.072,20,6.9746,-4.8555,-14.367,1.121,-1.97,1.8302,64
1.55,29,10.2454,0.571,-12.3307,0.0551,-0.4024,0.0458,94,1.123,21,6.0099,-5.0177,-14.7052,0.9544,-1.6723,1.6169,64
1.602,30,10.0667,0.4013,-12.1589,0.1022,-0.181,0.1143,94,1.175,22,5.0134,-5.5046,-15.1289,0.721,-1.3108,1.0949,64
1.653,31,9.8781,0.1604,-11.8822,0.101,-0.2064,0.1579,94,1.227,23,4.0756,-5.8954,-15.0748,0.3662,-0.8896,0.1764,64
1.705,32,9.9719,-0.0207,-12.0039,0.0592,-0.3995,0.1433,94,1.279,24,3.412,-7.635,-15.1107,-0.4092,-0.3842,-0.5427,64
1.757,33,9.8647,-0.0892,-12.081,0.0353,-0.562,0.1055,94,1.331,25,3.2158,-9.821,-17.0246,-0.9757,0.0018,-1.0666,64
1.809,34,9.8763,-0.2163,-11.9879,0.0071,-0.8029,0.0685,94,1.382,26,2.1459,-12.3577,-18.1128,-0.9854,0.0957,-0.9468,64
1.861,35,9.5662,-0.1402,-12.4337,-0.0023,-1.0418,-0.0435,94,1.434,27,0.3629,-11.9945,-16.9518,-0.8986,-0.215,-0.2382,64
1.912,36,9.4872,0.2093,-13.0266,0.124,-1.2542,-0.1176,94,1.486,28,-0.7573,-9.5924,-13.2117,-0.5899,-0.2577,0.215,64
1.964,37,10.2167,0.4413,-13.7974,0.4418,-0.5282,0.1035,94,1.538,29,-0.6687,-5.3505,-10.1808,0.0133,0.0795,0.3133,64
2.016,38,12.7223,2.786,-11.6618,0.0822,-0.9063,0.3967,94,1.589,30,0.1737,-1.6353,-11.0818,0.6844,0.2984,-0.4174,64
2.068,39,13.1336,1.1859,-10.6477,0.4843,-1.3349,-0.1535,94,1.641,31,5.2253,-0.914,-15.1446,-0.1776,0.5966,-0.7412,64
2.12,40,11.68,3.1129,-5.1871,-0.3218,-0.3548,-0.2335,94,1.693,32,8.0961,-5.8105,-19.0344,-0.4831,0.8798,-0.7369,64
2.171,41,13.167,1.7741,-11.3331,-0.0931,0.4194,0.5073,94,1.745,33,8.9561,-8.2844,-19.7598,-0.7261,0.7109,0.0737,64
2.223,42,4.2857,6.6467,-16.2763,0.6086,0.6382,0.4507,94,1.796,34,7.8984,-7.5725,-17.8283,-0.2722,0.6563,0.4951,64
2.275,43,-2.1963,5.0295,-16.3952,0.8162,1.1279,-0.3451,94,1.848,35,6.8063,-6.0496,-15.9722,-0.0661,0.7285,0.2808,64
2.327,44,3.6628,3.1479,-13.9268,0.3954,0.5985,0.0537,94,1.9,36,6.7474,-5.7248,-16.4662,0.0149,0.6714,-0.3605,64
