right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.536,10,11.7219,0.9567,-13.2979,-0.1802,0.027,0.3601,94,0.087,1,3.2906,0.9274,-16.7969,-0.4256,-0.6352,0.9712,63
0.588,11,13.7221,-0.4697,-9.9113,0.5054,0.6981,0.1562,94,0.138,2,7.5189,-0.6324,-14.3418,-0.1105,-0.2955,0.6768,63
0.64,12,10.0,4.9907,-14.752,0.2608,0.6681,-0.263,94,0.19,3,8.0273,-1.9463,-17.7427,-0.4806,0.4297,-0.034,63
0.691,13,6.6524,1.0401,-12.4541,-0.3405,0.2646,-0.6041,94,0.242,4,8.7197,-0.9895,-15.1872,0.1406,0.9986,-0.6886,63
0.743,14,5.1764,-0.5095,-12.2206,0.0072,-0.0922,-0.612,94,0.294,5,3.7892,2.466,-17.5299,0.0872,1.184,-0.4731,63
0.795,15,2.6039,-2.8352,-11.9028,-0.67,0.0733,-0.2791,94,0.346,6,3.9583,-0.1884,-16.4207,-0.6134,0.1974,-0.3207,63
0.847,16,7.1662,-7.3063,-9.9873,-0.3157,-0.3196,-0.2941,94,0.397,7,3.6843,0.094,-14.4465,-0.7602,-0.5227,-0.3628,63
0.899,17,6.6881,-2.9834,-14.1896,0.2918,0.0818,0.4604,94,0.449,8,1.8239,-0.4468,-17.6283,-1.0554,-0.8547,-0.4777,63
0.95,18,8.9878,-5.3817,-13.2888,-0.2416,0.736,1.0138,94,0.501,9,6.4484,4.966,-14.6204,-0.7419,-1.2653,-0.2773,63
1.002,19,5.466,-1.8065,-15.5245,0.0584,1.034,1.1997,94,0.553,10,6.6569,3.1184,-16.2642,-0.7237,-1.5205,-0.3322,63
1.054,20,4.851,-1.4415,-14.3636,0.7192,0.0813,0.6422,94,0.605,11,7.7745,1.8274,-16.8732,-0.5843,-0.4248,-0.5827,63
1.106,21,3.9171,0.2896,-13.549,1.1145,-0.6141,0.2369,94,0.656,12,10.7915,1.1531,-14.9254,-0.3067,-0.2817,-0.5542,63
1.158,22,8.1246,5.5633,-17.8935,0.4267,-1.0467,0.0785,94,0.708,13,8.6257,-0.4728,-12.2612,-0.1349,0.4794,-0.9465,63
1.209,23,2.2239,2.3519,-19.2865,0.2029,-1.4373,-0.502,94,0.76,14,3.4207,-0.5685,-13.4811,0.5649,0.6551,-0.4752,63
1.261,24,3.667,1.633,-19.4205,0.1299,-1.1565,-0.3059,94,0.812,15,1.9092,-0.8907,-12.9497,0.6203,0.0594,0.3178,63
1.313,25,5.6927,0.9319,-19.0814,0.6981,-0.1657,0.0668,94,0.864,16,1.0086,-0.9828,-11.7782,-0.0508,-0.2298,0.8164,63
1.365,26,9.4205,-0.9737,-16.7899,-0.1424,-0.2636,0.571,94,0.915,17,2.922,-0.9038,-14.4211,-0.4615,-0.1631,1.2079,63
1.417,27,7.2495,0.3285,-20.2589,-0.2154,0.486,-0.0632,94,0.967,18,7.2499,-0.5925,-11.1955,-0.4634,0.2352,0.8637,63
1.468,28,1.8378,0.1587,-15.508,-0.4591,0.3978,-0.5192,94,1.019,19,7.2512,-2.7159,-13.8303,-0.4801,0.8566,0.3921,63
1.52,29,3.4822,2.2454,-12.41,-0.221,-0.2523,-1.053,94,1.071,20,10.4096,-2.3483,-13.005,0.3242,1.3102,-0.3814,63
1.572,30,2.2312,0.8145,-13.2104,-0.7436,-0.8575,-0.9537,94,1.123,21,8.215,-7.0107,-17.4728,0.8983,1.6201,-0.9426,63
1.624,31,1.0543,3.0679,-17.6464,0.0168,-1.2979,-1.3513,94,1.174,22,6.6664,-2.7311,-15.477,0.0958,0.5156,-0.574,63
1.676,32,1.0345,5.2309,-15.5978,-0.0005,-1.5669,-1.6293,94,1.226,23,6.1256,-2.4255,-13.1143,-0.1783,-0.2905,-0.3504,63
1.727,33,4.3307,4.236,-15.3528,0.2278,-0.4652,-0.5114,94,1.278,24,4.6798,-1.8438,-10.9528,-0.4566,-0.7965,-0.1641,63
1.779,34,6.7125,2.1096,-17.2119,-0.4866,-0.2773,0.2977,94,1.329,25,5.39,-6.6425,-7.2676,-0.9532,-1.2481,0.295,63
1.831,35,3.981,4.9529,-20.5669,-0.5985,0.4429,0.3835,94,1.381,26,0.343,-4.8715,-11.6871,-0.4178,-1.5777,0.3351,63
1.883,36,2.2515,1.3988,-16.6578,-0.2636,0.0756,-0.3617,94,1.433,27,2.8511,-4.1796,-14.1636,-0.3992,-0.5167,-0.1313,63
1.935,37,2.2715,1.3723,-14.705,0.4841,-0.6182,-0.6926,94,1.485,28,7.1981,-8.0471,-17.8647,0.1098,0.3066,-0.1416,63
1.986,38,1.088,3.6714,-12.6029,1.0299,-0.611,-1.0537,94,1.537,29,6.0975,-7.9947,-16.9846,0.5178,0.9088,-0.6565,63
2.038,39,6.0598,-2.5575,-6.6141,0.1218,-1.1194,-0.8098,94,1.588,30,2.2202,-0.6219,-14.7394,1.0526,0.645,-0.1934,63
2.09,40,7.7295,0.3275,-9.8832,-0.1671,-1.4904,-0.7107,94,1.64,31,0.3502,-0.9325,-14.2127,0.8497,-0.0857,0.5302,63
2.142,41,9.7756,-0.3141,-12.2104,0.2716,-0.4094,0.059,94,1.692,32,-0.3503,-0.6788,-13.0888,1.2948,-0.4415,0.6507,63
2.194,42,12.4004,-2.7626,-7.1735,-0.2117,-0.3569,0.1668,94,1.744,33,-1.567,-5.7922,-17.534,1.4504,-0.4581,0.1629,63
2.245,43,7.7149,-1.223,-13.2404,0.3244,0.4179,0.0944,94,1.796,34,3.9736,1.0647,-17.6296,1.477,-0.8622,0.2454,63
2.297,44,0.4789,-2.1429,-8.7294,0.679,0.308,-0.3951,94,1.847,35,5.1112,0.4124,-18.6344,1.2544,-0.0965,0.0536,63
2.349,45,1.5217,-0.5426,-8.427,1.1721,-0.4486,-0.9434,94,1.899,36,8.8477,-0.2317,-16.7898,1.546,0.5268,-0.3462,63
2.401,46,1.4421,-1.4887,-8.1184,1.532,-0.812,-1.0924,94,1.951,37,7.7194,-0.5511,-15.0514,1.6857,1.0695,-0.7435,63
2.453,47,-0.0714,4.2654,-13.93,1.4774,-1.1671,-1.3387,94,2.003,38,6.2823,0.1432,-13.1117,0.5532,0.1373,-0.3289,63
2.504,48,5.2136,0.2743,-7.5827,0.741,-0.5114,-0.5912,94,2.055,39,6.2717,-1.2002,-11.5873,-0.2733,-0.5666,0.2542,63
2.556,49,5.2117,1.6935,-13.4583,0.7842,0.1356,0.0516,94,2.106,40,4.1363,-0.84,-10.7784,-0.043,-0.537,0.3502,63
2.608,50,9.0694,0.8873,-13.7415,-0.0484,0.7773,0.5677,94,2.158,41,1.7214,-5.7555,-15.8478,-0.2431,-0.4614,0.1738,63
2.66,51,6.3003,2.1204,-17.9631,-0.5904,1.2457,0.8485,94,2.21,42,1.6162,-3.989,-18.1844,0.4729,-0.4175,0.5815,63
2.712,52,3.6328,2.0433,-15.8448,-0.9978,1.469,0.763,94,2.262,43,6.111,-4.4926,-18.025,0.592,-0.7792,0.4517,63
2.764,53,3.4685,2.078,-12.6109,-0.5345,0.6147,0.5376,94,2.314,44,7.3145,-4.5468,-17.9735,0.7973,0.1163,0.2808,63
2.815,54,2.0601,2.4887,-12.0411,-0.9726,0.5737,0.585,94,2.365,45,10.4558,-6.6698,-15.0513,0.0045,0.533,-0.3799,63
2.867,55,0.9511,3.6294,-16.3086,-1.0472,-0.2547,0.4326,94,2.417,46,5.4936,-7.0513,-18.9663,0.678,1.074,-0.5404,63
2.919,56,-4.2661,4.7576,-18.7914,-1.1062,-0.8593,-0.3583,94,2.469,47,7.8279,-8.285,-16.815,-0.1823,0.1171,0.2704,63
2.971,57,-0.3584,4.1702,-18.6428,-0.7069,-0.6421,-0.0895,94,2.521,48,5.1213,-7.0674,-14.0221,-0.1416,0.2021,0.2929,63
3.023,58,3.6445,2.6403,-17.9805,0.1458,0.2097,0.6124,94,2.572,49,3.8207,-5.2915,-12.5872,0.5713,0.6312,-0.0359,63
3.074,59,7.9257,-3.3101,-17.2591,-0.4431,0.5949,0.9539,94,2.624,50,4.2729,-3.154,-13.3577,1.0916,0.218,-0.2683,63
