right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.572,11,1.1681,-0.2163,-8.3228,-0.5884,-0.2954,-0.6413,93,0.301,5,8.8333,0.7897,-11.5165,0.0297,0.0316,0.0336,63
0.624,12,6.1182,-1.6695,-8.6204,-0.7935,0.4627,-0.4828,93,0.353,6,8.8204,0.7451,-11.53,0.0191,0.0138,0.0454,63
0.676,13,8.3117,-1.1909,-7.8337,-0.3712,1.0161,-0.02,93,0.404,7,8.8088,0.7408,-11.5522,0.0196,-0.0043,0.0531,63
0.727,14,7.04,-0.4645,-10.5546,-0.5316,0.8658,0.0148,93,0.456,8,8.8104,0.7001,-11.5447,0.0207,-0.0163,0.0609,63
0.779,15,7.517,0.7841,-13.0989,-0.8262,0.1671,-0.127,93,0.508,9,8.8109,0.6599,-11.5422,0.0121,-0.021,0.0738,63
0.831,16,4.4181,1.0571,-12.9794,-0.6086,-0.021,-0.4267,93,32.137,620,7.6189,7.5897,-10.4103,0.5606,-0.1554,-0.2323,64
0.883,17,1.8029,1.147,-8.6074,0.2323,0.0887,-0.6658,93,32.188,621,10.6779,5.9549,-11.4325,0.3397,-0.1232,-0.1998,64
0.935,18,6.5816,-4.3999,-3.698,0.4971,-0.3633,-0.0492,93,0.04,0,10.0542,4.2364,-11.3678,0.7697,0.2328,-0.457,64
0.986,19,9.6138,-3.1,-8.9008,0.3769,0.1406,-0.0571,93,0.092,1,7.2441,-2.2049,-13.6409,1.1967,0.166,0.1202,64
1.038,20,11.7659,-5.0297,-9.4049,0.4187,0.781,0.1293,93,0.144,2,8.0507,-1.6242,-13.3633,0.8478,-0.4637,0.6993,64
1.09,21,7.993,-1.9251,-11.1509,-0.1671,1.2483,0.2389,93,0.196,3,3.2839,0.0993,-10.3053,0.189,0.3465,1.1644,64
