right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.214,4,-0.3013,5.5015,-0.5227,-0.1143,-0.5302,-0.2402,86,0.113,2,-1.3249,6.7645,-15.4709,0.7325,-1.0567,-0.0231,91,0.792,15,0.4974,-3.7602,-4.7756,-1.2471,-0.7876,0.4881,63
0.266,5,-0.6638,7.3361,-0.4206,-0.7522,-0.7441,-0.14,86,0.165,3,-0.5076,10.153,-18.3009,0.2794,-0.9563,-0.6156,91,0.844,16,3.1109,-4.3026,-1.8087,-0.8806,-0.2112,0.9678,63
0.318,6,-1.1268,7.5892,-0.8757,-0.6624,-0.662,0.0966,86,0.217,4,1.0985,12.626,-20.4335,-0.0011,-1.3698,-1.1365,91,0.895,17,1.9823,-5.4273,-0.6199,-0.581,-0.1782,0.6452,63
0.37,7,-0.9773,7.9374,-0.3347,-0.4216,-0.9357,0.2509,86,0.269,5,-0.054,13.7847,-21.9416,-0.6822,-1.2451,-1.1014,91,0.947,18,4.1629,-5.685,-0.5553,-0.455,-0.6974,0.1931,63
0.421,8,-0.7899,6.7196,-0.0803,-0.173,-0.8864,0.3901,86,0.32,6,-2.9132,8.2264,-15.5091,-1.1793,-1.5804,-0.4454,91,0.999,19,5.0788,-4.3961,-2.7093,0.2334,0.2019,-0.4338,63
0.473,9,2.3589,2.2505,-1.2901,-0.8366,-1.2653,0.8908,86,0.372,7,-1.2237,3.8347,-15.9926,-1.0223,-1.0693,0.3394,91,1.051,20,6.4546,-8.5112,2.9243,0.8842,0.4492,-0.8914,63
0.525,10,4.6452,-1.0113,-2.3475,-0.022,-1.3291,1.3352,86,0.424,8,-2.1531,0.8908,-12.9667,-0.1778,-0.391,0.4494,91,1.103,21,-0.3052,-11.5146,0.8915,0.7725,0.7264,-0.2817,63
0.577,11,4.5208,-3.3918,-2.0913,0.6254,-1.2907,1.6596,86,0.476,9,-2.2475,1.6534,-12.8329,0.537,-0.4035,0.9925,91,1.154,22,-4.5307,-8.8454,-0.2022,-0.0381,0.6523,0.2107,63
0.628,12,3.5022,-1.984,-0.544,0.5747,-1.1766,1.446,86,0.528,10,-1.7226,2.1126,-12.0678,0.5631,0.3723,0.7698,91,1.206,23,-5.7877,-6.2875,-0.933,-0.263,0.4931,0.3278,63
0.68,13,2.0624,6.4859,0.2999,0.83,-0.6537,0.3907,86,0.579,11,-1.8514,1.7956,-12.7175,1.0813,0.9506,1.057,91,1.258,24,-6.9051,-4.6925,-2.0882,-0.6152,0.2507,0.5424,63
