right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.811,15,10.8139,-2.2602,-10.2435,-1.8797,0.4595,-1.5493,91,0.023,0,8.0116,1.4612,-11.9477,0.0264,0.0006,0.0488,88,0.239,4,10.8973,-3.27,-9.01,-0.3836,-0.5743,0.3782,88,0.025,0,-11.1596,-1.8248,-9.6764,-0.1255,1.1834,-0.6961,52
0.863,16,9.1642,-6.8473,-12.2594,-2.0492,0.5485,-0.8531,91,0.075,1,8.0353,1.7383,-12.0024,0.2438,0.0127,0.0282,88,0.291,5,10.9289,-1.961,-9.9966,-0.4195,-1.0925,0.2712,88,0.077,1,-13.6174,-0.0206,-7.287,0.2944,1.5487,-1.1795,52
0.915,17,11.4568,-10.1952,-13.3207,-2.173,-0.268,0.054,91,0.127,2,7.9752,1.9545,-11.827,0.083,0.0162,0.1352,88,0.343,6,9.8995,-1.9094,-11.7784,-0.5251,-1.3621,0.3978,88,0.128,2,-15.4112,-3.6582,-7.7844,0.65,1.8153,-1.5322,52
0.967,18,13.418,-12.6386,-16.1248,-1.7295,-0.8649,0.7161,91,0.179,3,8.0987,1.8406,-12.0111,0.1223,0.0428,0.1628,88,0.395,7,9.445,-2.11,-12.7523,-0.5386,-1.1252,0.3822,88,0.18,3,-15.0243,-3.4402,-6.6303,0.4318,1.0294,-0.8342,52
1.018,19,14.8493,-10.3549,-14.8919,-0.6075,-1.3006,1.1993,91,0.231,4,7.8302,2.1359,-12.0488,0.3678,0.1225,0.0804,88,0.446,8,10.6513,-2.0603,-13.2899,-0.4226,-0.739,0.0572,88,0.232,4,-15.0251,-5.8499,-8.3248,0.9898,0.0845,0.0715,52
1.07,20,15.894,-4.5207,-9.0564,0.231,-1.2848,1.5519,91,0.282,5,7.3487,2.4843,-12.071,0.1093,0.1143,0.1514,88,0.498,9,13.0395,-0.8278,-11.6753,-0.2142,0.1272,-0.2219,88,0.284,5,-15.2019,-7.4925,-11.4233,1.1495,-0.6051,0.7325,52
1.122,21,12.5766,-4.1175,-7.27,0.6956,-0.397,0.9371,91,0.334,6,7.2911,2.4241,-12.1081,-0.4095,-0.0791,0.4977,88,0.55,10,11.0903,-2.114,-12.3213,-0.8316,0.3861,0.2587,88,0.336,6,-12.2698,-7.617,-12.9495,1.0568,-1.1084,1.1796,52
1.174,22,10.3405,-2.4344,-8.5531,1.182,0.025,0.5738,91,0.386,7,7.1337,2.2556,-12.1399,-0.735,-0.2303,0.7714,88,0.602,11,5.5164,-4.4426,-8.0428,-1.2821,0.193,-0.4763,88,0.387,7,-6.6856,-7.1101,-16.025,0.0943,-1.4758,1.3188,52
1.225,23,8.9254,0.6375,-9.5669,1.5371,0.2911,0.0655,91,0.438,8,6.8984,2.2332,-12.0575,-0.8236,-0.4138,0.8332,88,0.654,12,4.1344,-3.6486,-5.8498,-0.2592,0.4203,0.1882,88,0.439,8,-2.6262,-5.4605,-18.3383,-0.1001,-1.4516,1.4542,52
1.277,24,7.2319,0.4003,-11.0726,1.6306,0.4776,-0.4173,91,0.49,9,8.0926,2.3789,-11.8954,-0.9321,-0.62,1.0214,88,0.706,13,3.2565,-0.906,-5.602,-0.1346,0.7273,0.284,88,0.491,9,-3.8913,-6.8586,-18.9265,0.6016,-0.6981,1.7417,52
