right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.979,18,10.9961,-15.059,1.1731,0.8684,1.277,1.6178,90,0.663,12,6.6112,7.119,-12.2671,-1.7569,1.5931,-1.6106,90,0.044,0,9.3273,-0.5511,-12.8278,-0.0129,-0.5044,-0.8117,80,0.157,3,6.8062,2.0368,-11.5996,-0.2544,-0.9216,-0.6845,51
1.031,19,11.5074,-12.1435,-4.3991,1.3082,1.6144,1.8574,90,0.715,13,4.835,4.7752,-16.8929,-0.6105,0.5044,-1.1086,90,0.096,1,9.4671,-0.131,-12.8807,-0.0144,-0.7586,-0.9416,80,0.209,4,6.624,-1.6045,-9.9368,-0.7509,-0.104,0.1534,51
1.083,20,12.0295,-7.4568,-11.1831,1.6178,0.802,1.9462,90,0.766,14,5.2102,3.7539,-17.81,0.2261,-0.3045,-0.1437,90,0.147,2,9.3439,0.4882,-13.3986,-0.0073,-0.8698,-1.1969,80,0.26,5,3.9437,-4.7207,-12.9434,-1.2251,0.6091,-0.1649,51
1.135,21,12.2105,-4.2501,-15.8448,0.8419,-0.084,0.8462,90,0.818,15,5.7804,4.0995,-16.6906,0.8368,-0.8949,0.5605,90,0.199,3,8.8995,1.2124,-13.7492,-0.1481,-0.915,-1.4285,80,0.312,6,4.2453,-6.7579,-16.3312,-0.8049,0.6722,0.0331,51
1.186,22,13.7181,-3.3814,-17.9045,-0.0629,-0.7306,-0.0575,90,0.87,16,9.1077,6.1151,-12.8436,1.2824,-1.3258,1.0744,90,0.251,4,7.6201,2.3262,-14.1444,-0.3583,-0.8311,-1.1255,80,0.364,7,3.126,-6.7814,-16.6773,0.0872,-0.1762,0.6982,51
1.238,23,15.0684,-6.4075,-12.4807,-0.4633,-1.2026,-0.7171,90,0.922,17,11.5664,8.9813,-10.0702,1.6077,-1.3885,1.4495,90,0.303,5,8.2964,3.087,-10.0063,-0.8275,-0.0388,-0.2184,80,0.416,8,7.3988,0.3428,-16.7577,0.6842,0.5564,-0.1618,51
1.29,24,11.7813,-5.8129,-6.5178,-1.0155,-1.0736,-1.1985,90,0.974,18,13.3609,11.8818,-9.5498,1.8451,-0.7418,1.4694,90,0.355,6,11.3208,-1.8471,-9.5096,-0.3072,-0.0085,-0.4671,80,0.468,9,5.3052,-0.2434,-16.0631,1.173,-0.1816,0.5623,51
1.342,25,10.3227,-9.4403,-3.8643,-1.4186,-0.7881,-1.5498,90,1.025,19,11.6277,10.8423,-9.5032,0.6717,-0.5551,1.2538,90,0.407,7,9.0983,-1.9786,-9.6929,-0.4481,0.2659,-0.8638,80,0.519,10,6.7002,-1.3762,-16.1661,1.0757,0.4319,0.1802,51
1.393,26,10.3218,-10.4767,-2.2965,-0.3609,-1.2445,-0.5619,90,1.077,20,9.231,10.3529,-9.5807,1.149,0.0289,0.7615,90,0.459,8,7.3062,2.7429,-13.2345,-0.1519,-0.2691,-1.3045,80,0.571,11,6.1508,-3.1615,-15.9291,0.7149,0.6969,0.198,51
1.445,27,8.3231,-7.2248,-2.3983,0.3353,-1.1097,-0.0041,90,1.129,21,5.4123,12.8829,-9.0809,1.5103,0.6855,-0.1306,90,0.51,9,9.1299,3.5916,-14.9879,-0.7861,-0.8698,-1.1762,80,0.623,12,6.401,-2.864,-14.5624,0.5212,0.6026,0.4408,51
1.497,28,5.0694,-6.0801,-1.131,-0.4327,-0.6637,-0.0318,90,1.181,22,4.8591,14.7293,-9.437,0.4486,-0.1724,-0.7817,90,0.562,10,9.4228,-1.5639,-12.2114,-1.2489,-0.2706,-1.5289,80,0.675,13,7.0079,-2.449,-13.5727,0.6299,0.7218,0.9524,51
1.549,29,5.3168,-9.6352,1.7657,-0.9932,0.0789,0.6535,90,1.233,23,8.4656,16.077,-13.9332,-0.3526,-0.4704,-1.2569,90,0.614,11,6.3213,-1.171,-11.2986,-0.235,0.4809,-1.7899,80,0.726,14,6.6486,-3.5459,-12.3243,0.8632,1.0927,1.3755,51
1.601,30,8.9369,-12.2299,0.9477,-0.0505,0.74,1.1536,90,1.284,24,9.9289,15.3994,-18.1089,-0.9374,-0.1219,-1.4136,90,0.666,12,3.8899,3.3197,-16.2511,-0.2403,1.0293,-0.6286,80,0.778,15,6.6177,-4.9386,-11.4435,0.594,0.6164,1.0419,51
1.653,31,11.5791,-14.1237,-0.4285,0.6375,1.2225,1.5186,90,1.336,25,6.078,6.5569,-21.1565,-1.3642,0.5901,-1.6862,90,0.718,13,3.0876,2.8102,-15.5872,-0.101,0.5517,0.2189,80,0.83,16,9.5258,-3.8281,-12.3361,0.2783,-0.2169,0.089,51
1.704,32,12.5975,-7.4526,-8.3093,1.1397,1.5746,1.785,90,1.388,26,3.8392,8.0638,-23.3808,-0.3239,-0.242,-1.5699,90,0.769,14,2.3951,5.6349,-15.8734,0.2586,0.7494,0.7958,80,0.882,17,12.0697,1.8636,-16.9424,0.8778,-0.8251,0.5181,51
