right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.199,3,4.9938,11.6085,-1.3458,-0.7474,-0.0799,1.2292,93,0.05,0,10.7754,-0.4668,-16.0658,-0.0487,0.1599,0.0763,91,0.296,5,-1.4303,5.078,-7.358,0.4833,1.0059,-0.1728,96,0.718,13,-0.7425,-0.3097,-5.1423,0.9379,1.0316,0.3842,64
0.251,4,3.1061,11.7443,-1.072,-0.5872,-0.2137,0.8269,93,0.102,1,9.6011,-1.5109,-14.9254,0.1896,0.7834,-0.15,91,0.348,6,-4.3542,5.5102,-7.3979,0.3772,1.0187,-0.0712,96,0.77,14,-3.6584,-0.4184,-7.5441,0.4746,0.957,0.4114,64
0.303,5,2.4277,11.9809,-0.4193,-0.4848,-0.2195,0.4556,93,0.154,2,4.0757,-1.4285,-13.6291,0.3481,1.033,0.0212,91,0.4,7,-5.9796,4.0579,-4.5444,0.1171,0.9431,0.255,96,0.822,15,-5.3993,-0.3603,-5.8663,1.0603,0.4009,0.2533,64
0.355,6,5.0789,11.4285,-0.6304,-1.0438,-0.7738,0.1004,93,0.206,3,2.7179,-1.6392,-12.4195,-0.329,0.0821,0.232,91,0.452,8,-6.8171,4.8293,-6.8089,0.0656,0.9783,0.4582,96,0.874,16,-5.2346,1.8754,-5.831,0.9752,-0.2807,0.2217,64
0.407,7,8.6905,12.1835,-2.2199,-1.4721,-0.7388,0.1581,93,0.258,4,2.9806,-1.6145,-11.3491,-0.7042,-0.1486,0.567,91,0.503,9,-2.2805,-1.2894,-10.3352,0.1803,0.4263,0.275,96,0.925,17,-1.0726,1.3494,-5.3076,0.8145,-0.8457,-0.031,64
0.458,8,10.1173,9.7706,-0.4636,-1.3431,-0.8405,0.0405,93,0.309,5,5.1398,-2.1242,-13.0665,-0.1106,-0.6875,0.5791,91,0.555,10,1.0306,-1.2712,-8.9157,-0.0821,0.6495,0.458,96,0.977,18,-0.112,0.7681,-4.9582,0.8289,0.0874,0.2201,64
0.51,9,6.1672,8.974,-1.3632,-0.3388,-0.23,0.208,93,0.361,6,8.9667,0.0078,-15.5582,0.5896,-0.0006,-0.2645,91,0.607,11,-1.4031,-1.5216,-7.4333,-0.4498,0.9425,0.4722,96,1.029,19,-1.3423,1.1542,-4.7118,0.5764,0.6897,0.2519,64
0.562,10,3.5085,10.2346,-0.5274,0.0062,-0.3817,0.0729,93,0.413,7,8.2959,-2.0177,-14.4387,0.272,0.6795,-0.8803,91,0.659,12,-3.8988,0.0428,-8.049,-0.2264,0.5282,0.004,96,1.081,20,-4.4751,1.8792,-6.3515,-0.1954,0.6516,0.4632,64
0.614,11,2.2401,9.675,-0.2355,-0.667,-0.352,-0.227,93,0.465,8,5.661,-2.3483,-14.6155,0.8689,1.1758,-1.3297,91,0.71,13,-3.9886,0.415,-4.3003,-0.0155,0.1325,-0.3183,96,1.132,21,-4.8712,-0.3158,-3.4531,-0.6033,0.0314,0.4853,64
0.666,12,2.1542,8.5938,0.0666,-0.5929,-0.3751,-0.2438,93,0.517,9,0.9521,-2.0132,-13.6458,1.1607,1.0985,-0.6428,91,0.762,14,-6.145,0.3757,-2.5832,0.5538,0.3221,-0.3659,96,1.184,22,-5.6467,-0.5115,-8.2075,-0.5048,0.5329,0.4506,64
0.717,13,6.556,10.9816,-2.6479,-0.4304,-1.1317,0.3431,93,0.568,10,0.6036,-2.4566,-12.9119,0.7774,0.3681,-0.1764,91,0.814,15,-1.79,-4.5399,3.3038,-0.1029,-0.3707,0.0485,96,1.236,23,-1.3734,-4.396,-9.0405,-0.3136,-0.068,-0.1907,64
0.769,14,8.8133,10.5979,-1.6407,-1.0244,-0.4903,0.3904,93,0.62,11,3.7453,-2.3477,-11.9979,0.4,-0.4032,0.158,91,0.866,16,0.7208,-4.2707,-1.5079,-0.1999,-0.0292,0.0337,96,1.288,24,1.0079,-3.9578,-9.3419,0.1655,0.6037,-0.067,64
0.821,15,4.4527,8.2016,-0.6471,-0.1871,0.0662,0.5288,93,0.672,12,7.949,-0.1084,-15.502,0.9623,-0.7844,0.1187,91,0.918,17,1.6324,-4.1409,-2.1281,-0.2716,0.7247,0.4324,96,1.34,25,1.1867,-1.9566,-7.2809,0.2229,1.1515,0.0981,64
0.873,16,1.8291,10.2334,-0.6907,0.5049,-0.3776,0.4144,93,0.724,13,10.3915,-0.565,-13.1921,0.6748,-0.0857,-0.2099,91,0.969,18,-0.734,-1.2687,-4.3873,-0.6434,1.2749,0.937,96,1.391,26,-2.2559,-0.9708,-7.599,0.2586,1.5513,0.2735,64
0.924,17,1.3305,10.0392,-0.1163,0.1422,-0.2754,-0.1601,93,0.776,14,6.8994,-0.1254,-11.591,-0.1889,0.6173,-0.4398,91,1.021,19,-4.8787,-0.1663,-4.9209,-0.1559,0.5127,0.6361,96,1.443,27,-4.1331,-1.2939,-6.2321,0.4147,0.8162,0.2895,64
0.976,18,2.6533,9.8749,1.0499,0.301,-0.1559,-0.5998,93,0.827,15,2.5723,-1.7595,-12.239,-0.8193,0.4316,-0.513,91,1.073,20,-6.4021,0.2388,-3.3617,-0.0758,0.1084,0.2117,96,1.495,28,-5.0503,-1.3426,-5.3907,0.4471,-0.0421,0.2798,64
1.028,19,6.9202,11.2118,0.1639,0.7302,-0.8503,-0.7992,93,0.879,16,2.7928,-1.7445,-11.4407,0.0474,-0.2537,-0.1271,91,1.125,21,-7.0183,1.566,-1.6685,-0.1051,-0.2823,-0.0637,96,1.546,29,-6.1513,0.1495,0.918,-0.1383,-0.6367,0.2336,64
1.08,20,10.0344,12.0297,0.2763,0.0187,-0.2827,-0.4357,93,0.931,17,2.2983,-1.1019,-11.1146,0.638,0.0856,0.33,91,1.177,22,-2.4273,-3.6711,-6.6082,-0.4819,-0.76,0.3725,96,1.599,30,-1.7416,-2.0474,-0.9464,-0.3312,-0.8936,-0.1336,64
1.132,21,7.5971,10.9859,0.5279,-0.5658,-0.0337,0.0528,93,0.983,18,3.6173,-1.148,-11.5604,0.5088,-0.4528,0.3383,91,1.228,23,0.1355,-2.5813,-10.1564,-0.2404,-0.7558,0.0986,96,1.65,31,1.1763,-0.1179,-2.8703,0.0936,0.0049,0.1398,64
1.183,22,3.9619,10.809,0.0851,-0.3843,-0.3895,0.2767,93,1.035,19,7.8556,-0.9022,-15.4783,1.0417,0.0108,-0.2411,91,1.28,24,1.6062,-3.5384,-7.1863,-0.147,0.1944,0.5404,96,1.702,32,1.4668,1.0124,-2.4959,0.0838,0.7145,0.4052,64
1.235,23,2.1213,10.1894,0.0044,-0.0961,-0.4007,0.1899,93,1.086,20,10.7574,-1.0143,-13.7152,0.46,-0.0565,-0.7087,91,1.332,25,-0.4448,-0.5652,-9.4916,-0.3433,0.8879,0.9446,96,1.754,33,-3.8444,2.0783,-7.5089,0.3306,1.1358,0.324,64
1.287,24,1.0445,10.4064,0.2389,0.3728,-0.4903,0.1121,93,1.138,21,7.1582,-2.1521,-12.0748,-0.3457,0.6387,-0.7474,91,1.384,26,-4.7331,2.0179,-7.9659,0.3611,0.3037,0.4266,96,1.806,34,-4.5885,-0.1421,-6.3147,0.2274,0.1881,0.3175,64
1.339,25,1.1908,10.5926,0.5577,0.4043,-0.5985,-0.0135,93,1.19,22,4.4502,-2.4873,-12.1144,0.418,-0.2057,-0.2208,91,1.436,27,-4.4058,0.4379,-5.0603,-0.0199,-0.1087,0.073,96,1.858,35,-5.1122,-0.2,-3.8092,0.4032,-0.5036,0.3279,64
1.39,26,5.8528,11.6773,-1.2941,0.0237,-1.2947,0.0677,93,1.242,23,5.9925,0.7607,-10.5317,0.9025,-0.0789,0.0253,91,1.487,28,-5.1177,0.639,-2.4375,0.146,-0.392,-0.2407,96,1.909,36,-4.9928,-0.5077,-8.4674,-0.0759,-0.1297,0.4918,64
1.442,27,9.2554,11.9371,-0.3495,-0.1767,-0.7484,0.2269,93,1.294,24,3.4385,0.6767,-10.369,-0.0227,0.3959,0.2437,91,1.539,29,-1.0402,-4.3477,3.4195,-0.2268,-0.8918,-0.1533,96,1.961,37,-0.8961,1.2346,-6.8452,-0.2201,-0.1973,-0.0224,64
1.494,28,5.5705,11.0199,0.1487,0.4203,-0.0573,0.5588,93,1.346,25,3.6136,-0.2388,-9.8569,-0.6978,-0.0718,0.1836,91,1.591,30,1.9358,0.4228,0.6243,-0.0039,-0.9011,-0.1407,96,2.013,38,1.7189,3.7473,-8.3888,-0.0885,0.1887,0.3443,64
1.546,29,2.4061,11.5382,-0.361,-0.0845,-0.6962,0.2453,93,1.397,26,7.8529,-0.4734,-15.0555,0.0062,-0.7242,-0.1616,91,1.643,31,2.7449,-0.8595,-0.4694,-0.4432,0.0883,0.4964,96,2.064,39,1.8451,3.0334,-6.2641,0.1702,0.8486,0.5174,64
1.598,30,2.7367,9.5965,-0.244,-0.6637,-0.4565,0.0316,93,1.45,27,10.5305,-1.0096,-14.2072,0.4423,-0.5496,-0.7767,91,1.695,32,1.7746,1.4013,-4.1821,-0.3769,0.8105,0.9569,96,2.116,40,-1.5528,2.0072,-6.9868,0.8382,1.3302,0.3481,64
1.649,31,1.4703,9.3302,-0.3074,-0.0803,-0.5718,0.1922,93,1.501,28,6.2324,-1.7613,-11.9916,0.1933,0.2788,-0.6729,91,1.746,33,-4.4815,3.0148,-3.485,0.3437,0.9738,0.2007,96,2.168,41,-3.3147,0.3738,-5.755,0.0319,0.33,0.269,64
1.701,32,1.1311,9.349,-0.0246,0.4639,-0.595,0.4236,93,1.553,29,2.8842,-1.9689,-11.6627,-0.0946,-0.4293,-0.185,91,1.798,34,-3.5576,1.4569,-2.4097,-0.4025,0.105,-0.1537,96,2.22,42,-3.9934,0.9798,-4.6056,0.4812,-0.4,0.2425,64
1.753,33,5.8093,10.3331,-1.2779,0.2217,-1.2906,0.3832,93,1.605,30,4.4648,-1.4505,-9.8853,0.0042,-0.4193,0.2089,91,1.85,35,-5.5538,1.9724,-0.2671,-0.6318,-0.176,-0.2253,96,2.272,43,-5.6002,-0.7601,-2.5676,0.2762,-0.7598,0.3226,64
1.805,34,9.2236,10.5191,-1.7959,-0.5485,-0.448,0.4916,93,1.657,31,2.3508,-0.6605,-10.1447,-0.2669,0.1766,0.3721,91,1.902,36,-5.2036,2.6471,4.5923,0.1801,-0.5573,-0.8513,96,2.323,44,-1.3394,4.4863,2.9991,-0.3572,-1.1954,0.1724,64
1.857,35,9.4185,9.3041,-0.4964,-0.2272,-0.1516,0.5189,93,1.709,32,2.6475,-1.2767,-9.992,-0.3647,0.1134,0.306,91,1.954,37,-1.1166,0.3258,0.6093,-0.0965,-0.2411,-0.3128,96,2.375,45,-0.2825,6.9199,-1.4045,-0.063,-0.4276,0.6073,64
1.908,36,3.1811,10.7566,-1.2672,0.4249,-0.3946,0.5053,93,1.76,33,7.1478,-1.4062,-13.0037,0.3775,-0.5891,0.3726,91,2.006,38,1.0718,0.9216,-1.7514,-0.2475,0.57,0.0628,96,2.427,46,2.1467,5.8979,-1.3466,0.2836,0.3988,0.8893,64
1.96,37,3.6471,10.0259,-0.9328,-0.3832,-0.3493,0.0444,93,1.812,34,10.4323,-0.483,-13.0813,0.3504,-0.8132,-0.0135,91,2.057,39,1.6646,2.7767,-1.8956,-0.4909,1.162,0.7017,96,2.479,47,1.2567,2.6699,-2.7514,0.8696,1.002,0.5985,64
2.012,38,1.7684,9.5174,-0.8603,-0.3142,-0.3598,-0.0119,93,1.864,35,8.5509,-0.2185,-11.9105,-0.4257,0.0864,-0.0468,91,2.109,40,-3.2801,2.7434,-6.7498,0.2146,1.5941,0.3336,96,2.53,48,-2.2725,1.8356,-3.5319,-0.0032,0.3419,0.458,64
2.064,39,1.2451,9.1641,-0.3483,-0.1266,-0.2896,0.0427,93,1.916,36,1.7498,-2.5424,-12.4854,-0.2225,0.5159,0.2006,91,2.161,41,-4.0117,3.0186,-5.0836,-0.3302,0.5577,-0.0073,96,2.582,49,-3.7821,2.0739,-2.9001,0.2308,-0.3026,0.4699,64
2.116,40,5.8078,9.7947,-0.8049,0.043,-1.0302,-0.1002,93,1.968,37,1.2825,-2.0015,-11.5693,0.4744,-0.2954,-0.0331,91,2.213,42,-4.6098,2.0622,-2.8493,0.3057,0.122,-0.5716,96,2.634,50,-4.9437,0.8239,-2.7462,-0.0382,-0.8614,0.4604,64
2.167,41,9.2225,10.6946,-2.1546,-0.6789,-0.2594,0.0871,93,2.019,38,1.7343,-0.8686,-10.6239,0.3245,-0.0988,0.283,91,2.265,43,-6.4638,7.28,-7.47,0.8255,0.3609,-0.8271,96,2.686,51,-2.2546,1.5569,0.3192,-0.2613,-1.2695,0.3862,64
2.219,42,10.7304,8.47,-1.2772,-0.8319,-0.0131,-0.0971,93,2.071,39,1.3404,-0.9,-10.2543,-0.1818,-0.0662,0.4144,91,2.316,44,-2.0226,1.2195,-10.8424,0.0353,-0.3423,-0.1199,96,2.738,52,1.1023,-0.7507,-1.6135,-0.6266,-1.1508,0.305,64
2.271,43,3.6835,8.1953,-1.6997,0.0343,0.4843,0.3031,93,2.123,40,6.0472,-0.47,-12.2311,-0.1765,-0.7201,0.1686,91,2.368,45,0.6712,0.5239,-11.4724,0.0338,0.1782,-0.0639,96,2.789,53,2.7364,0.0992,-4.0867,-0.3558,-0.166,0.6345,64
2.323,44,3.7485,8.8368,-1.0421,-0.0086,0.0833,-0.0453,93,2.175,41,9.6291,-0.2708,-14.2751,0.4245,0.1543,-0.1629,91,2.42,46,1.9167,-1.4856,-9.242,0.3226,0.8761,0.2341,96,2.841,54,2.6358,-1.2586,-3.5177,0.3664,0.5897,0.4843,64
2.375,45,1.7051,8.3631,-1.0436,-0.2393,0.0707,-0.1803,93,2.227,42,12.2433,-0.1079,-13.3034,-0.182,0.3548,-0.2679,91,2.472,47,-0.1977,1.2446,-10.2654,-0.2399,1.3854,0.8064,96,2.893,55,-2.5095,0.5837,-6.1925,0.7996,1.1413,0.5791,64
2.426,46,0.9825,8.2613,-0.8095,0.1519,-0.0939,-0.0123,93,2.278,43,7.1639,-0.8702,-11.668,-0.7208,0.9388,-0.0438,91,2.524,48,-4.9832,2.7321,-8.2195,-0.1632,0.9516,0.475,96,2.945,56,-3.8938,-0.6122,-4.9101,0.5559,0.3979,0.483,64
2.478,47,2.1086,9.265,-0.3724,0.4261,-0.5401,0.1153,93,2.33,44,3.4102,-2.0558,-11.7449,-1.1765,0.0891,-0.3296,91,2.575,49,-4.3512,0.84,-5.6838,-0.6945,0.0888,0.2029,96,2.997,57,-4.9764,-1.6865,-3.8636,0.0342,-0.2221,0.5947,64
2.53,48,6.5227,10.413,-2.1955,-0.3527,-1.252,0.1364,93,2.382,45,3.2917,-2.2524,-11.3425,-0.1883,0.2503,-0.0648,91,2.627,50,-5.7044,1.2386,-3.1363,-0.499,-0.2872,-0.0688,96,3.048,58,-6.4302,-1.0619,-2.7256,-0.6129,-0.6281,0.6502,64
2.581,49,9.7443,9.6289,-1.5565,-0.7428,-1.2788,0.2184,93,2.434,46,2.2823,-0.7452,-11.1885,0.5329,0.1762,0.1641,91,2.679,51,-8.2973,6.6789,-7.6794,0.3251,-0.4229,-0.6046,96,3.1,59,-1.9452,1.7789,2.9124,-0.8522,-1.0993,0.3537,64
2.633,50,7.5542,9.0905,-0.6813,-0.1056,-0.4395,0.4049,93,2.486,47,2.5216,-0.7391,-11.0413,0.4238,0.2079,0.1878,91,2.731,52,-3.3608,10.6494,-4.3567,0.3437,-0.5765,-0.4189,96,3.152,60,-1.5385,3.0346,-2.4333,-0.4293,-0.1276,0.4462,64
2.685,51,2.3579,10.2841,-0.6692,0.4115,-0.7727,0.6223,93,2.537,48,7.0559,-0.3379,-15.0,0.0323,-0.5201,-0.2338,91,2.783,53,0.2421,9.6278,-5.7868,0.2003,0.1571,-0.0761,96,3.204,61,1.3055,2.8677,-3.142,0.2599,0.6178,0.6366,64
2.737,52,1.7138,9.615,-0.6558,-0.41,-0.5725,0.2776,93,2.589,49,10.3652,-0.6416,-15.1333,-0.6532,-0.5253,-0.0042,91,2.834,54,1.5612,7.5804,-5.1724,0.2124,0.8607,0.5173,96,3.256,62,2.528,1.0265,-3.0048,0.717,1.1618,0.5319,64
2.789,53,0.9435,9.2149,-0.6855,-0.4232,-0.5806,0.1525,93,2.641,50,11.3204,-0.9552,-13.8098,-1.1581,0.2965,0.2787,91,2.886,55,-1.6186,6.5026,-6.3857,0.0244,1.3742,0.5294,96,3.307,63,-4.7161,0.8183,-4.6787,0.4984,0.9587,0.4646,64
2.84,54,0.5991,9.4836,-0.4692,0.2772,-0.5828,0.2508,93,2.693,51,2.8892,-2.5246,-14.3973,-0.6759,0.7785,0.2263,91,2.938,56,-4.8766,6.1022,-5.4036,-0.3254,0.4707,0.3459,96,3.359,64,-5.3829,0.5656,-3.5771,0.6902,0.0848,0.4922,64
2.892,55,4.3099,9.9212,-0.0572,0.6394,-1.2238,0.0461,93,2.745,52,3.5203,-1.8926,-13.4456,0.177,-0.1036,0.077,91,2.99,57,-3.5939,3.9333,-2.9853,-0.1603,-0.2622,0.021,96,3.411,65,-5.9456,0.1655,-2.147,0.5944,-0.5144,0.5393,64
2.944,56,8.1293,10.9258,-1.8515,-0.2385,-0.7814,-0.0566,93,2.796,53,2.8578,-0.2486,-12.0125,0.473,0.5665,0.2886,91,3.041,58,-5.9968,3.5505,-1.6417,0.3,-0.4114,-0.328,96,3.463,66,-7.6276,-0.0024,-7.2543,-0.2041,-0.2941,0.7088,64
2.996,57,10.9169,9.176,-1.0049,-0.7702,-0.6025,-0.0439,93,2.848,54,1.6778,-0.0974,-11.4773,-0.3278,0.1061,0.2788,91,3.093,59,-4.4753,1.0783,4.0003,0.1922,-0.906,-0.4592,96,3.515,67,-2.8191,1.4915,-8.5856,-0.0798,-0.5214,0.0885,64
3.048,58,5.0801,8.6185,-1.3826,-0.0926,0.0542,0.3718,93,2.9,55,3.6245,-0.1818,-10.4138,-0.9206,-0.3101,0.2491,91,3.145,60,-3.3135,-1.0323,-0.1912,-0.0194,-0.0371,-0.4895,96,3.566,68,0.6889,3.7577,-9.3559,0.1285,-0.0892,0.4175,64
3.099,59,3.6686,9.7938,-1.3888,-0.0448,-0.7559,0.0306,93,2.952,56,7.8609,-1.4428,-15.2329,-0.0518,0.1045,-0.1082,91,3.197,61,0.2616,-2.788,-1.7972,-0.4418,0.7189,0.203,96,3.618,69,1.2879,3.5771,-6.2869,0.2467,0.6458,0.5981,64
3.152,60,1.7339,8.8754,-1.3301,-0.6397,-0.4026,-0.1589,93,3.004,57,10.9526,-0.842,-14.1654,0.6325,0.1273,-0.4626,91,3.249,62,-0.3984,1.8384,-6.7021,-0.9758,1.2707,0.8041,96,3.67,70,-1.8135,2.069,-6.7322,0.8939,1.1822,0.2604,64
3.203,61,1.0123,8.9434,-0.777,-0.0961,-0.5284,-0.1329,93,3.056,58,6.4621,-0.2165,-11.1367,0.0865,0.7728,-0.2803,91,3.301,63,-6.8253,1.4988,-5.1318,-0.6717,1.6734,0.0432,96,3.722,71,-3.6333,0.0775,-5.1538,0.3449,0.3762,0.0926,64
3.255,62,0.8932,8.9088,-0.1622,0.5664,-0.698,-0.1283,93,3.108,59,2.2622,-1.8397,-12.4288,-0.4889,-0.0613,-0.4527,91,3.352,64,-6.0337,0.1305,-3.2169,-1.1413,0.6156,-0.0587,96,3.773,72,-4.1855,-0.9957,-3.3912,0.3319,-0.2429,0.2858,64
3.307,63,5.6357,11.3776,-2.2591,0.5007,-1.3673,-0.1698,93,3.159,60,4.8743,-2.156,-12.3079,0.3135,-0.2835,-0.3378,91,3.404,65,-6.543,1.1993,-2.1463,-0.4192,0.3608,-0.6001,96,3.825,73,-5.4089,-0.4739,-2.5434,-0.3875,-0.6231,0.5335,64
3.358,64,9.0969,10.4021,-1.6546,-0.3346,-0.972,-0.1296,93,3.211,61,3.091,-0.7014,-11.2927,0.8992,0.4716,-0.3107,91,3.456,66,-7.7524,2.0294,-0.1571,0.2182,0.0488,-0.9629,96,3.877,74,-6.5982,1.81,-7.5435,-0.9206,-0.6206,0.5992,64
3.41,65,8.2383,9.7531,-0.8163,0.2015,-0.2196,0.0844,93,3.263,62,2.2636,-1.3204,-10.4934,0.9069,0.4146,-0.2417,91,3.508,67,-2.9631,-3.3329,-3.591,-0.0626,-0.5701,-0.0547,96,3.929,75,-2.0678,1.1101,-0.604,-0.7031,-1.0938,0.2722,64
3.462,66,1.7878,10.9754,-1.2906,0.5292,-0.2877,0.3829,93,3.315,63,3.8221,0.1994,-11.6409,1.158,-0.3074,0.0092,91,3.56,68,-1.6295,-2.4696,-6.3624,-0.2788,0.1084,-0.2945,96,3.981,76,-3.076,2.6897,-4.6012,-0.4508,-0.0874,0.5867,64
3.514,67,2.5685,10.871,-1.168,-0.3171,-0.2664,0.1927,93,3.367,64,8.0049,0.2852,-14.516,0.6152,0.4555,0.5092,91,3.611,69,-1.076,-3.9955,-4.4047,-0.4554,0.8251,0.4249,96,4.032,77,-1.451,2.2342,-3.4919,0.3849,0.6471,0.496,64
3.566,68,1.5694,9.8453,-1.1116,-0.6126,-0.3799,0.1677,93,3.418,65,11.0579,0.8106,-13.1032,0.2694,0.0623,0.3977,91,3.663,70,-1.3379,-0.5657,-8.2018,-0.3185,1.3482,0.8387,96,4.084,78,-5.0105,1.9496,-8.2359,0.9948,1.1832,0.5482,64
3.617,69,0.4612,9.5334,-0.784,-0.0261,-0.3855,0.2214,93,3.47,66,6.8416,-0.0485,-11.3122,-0.4291,0.7254,0.236,91,3.715,71,-7.5584,1.8224,-6.8083,0.466,1.6305,0.3732,96,4.136,79,-5.3445,0.0811,-6.4609,0.9961,0.3368,0.2762,64
