right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.722,13,13.4437,-5.8777,-8.7801,1.0738,2.0174,1.8957,92,0.233,4,6.5822,12.597,-10.8187,-0.6621,-0.1453,-1.3699,87,0.081,1,9.8947,1.4877,-8.0278,-0.7618,1.0145,-0.9345,86,0.03,0,10.5992,5.1014,-16.6021,-0.0023,-0.8941,0.7678,51
0.774,14,11.2237,1.1002,-14.2168,0.8954,2.1548,0.78,92,0.285,5,7.9161,14.5207,-11.3007,-1.1599,-0.5373,-1.6862,87,0.133,2,10.0008,2.2262,-7.8765,-0.4942,0.6271,-1.2156,86,0.082,1,12.8531,5.2273,-16.2145,0.4747,-1.1456,0.1471,51
0.825,15,9.8022,3.841,-16.2964,-0.0238,1.8191,-0.1058,92,0.336,6,8.4806,15.9247,-10.9017,-1.5266,-1.0361,-1.917,87,0.185,3,10.5291,4.0137,-8.4519,-0.2987,-0.1316,-1.4084,86,0.133,2,14.3684,1.4298,-16.2541,-0.3306,-1.5029,-0.3621,51
0.877,16,11.9075,0.6565,-15.2893,0.0543,1.0435,-0.7524,92,0.388,7,10.3965,13.4376,-11.5445,-1.7942,-1.4289,-2.0855,87,0.236,4,10.9529,5.0499,-8.9388,-0.1844,-0.7694,-1.325,86,0.185,3,9.5574,0.6377,-13.7965,0.4334,-0.6594,-0.9357,51
0.929,17,12.9017,-3.1318,-14.6684,-0.6299,0.8293,-1.2242,92,0.44,8,9.3063,6.9082,-12.7377,-1.9895,-0.3638,-1.9667,87,0.288,5,12.609,2.3725,-12.3374,-0.3383,-0.5317,-0.4467,86,0.237,4,1.5028,2.3331,-11.1172,-0.3608,0.2037,-0.0475,51
0.981,18,10.7061,-3.3722,-13.5145,-0.4239,0.4142,-1.5686,92,0.492,9,7.7741,-0.2189,-15.1531,-1.3315,0.4136,-0.7768,87,0.34,6,10.2082,2.4603,-12.9117,-0.902,0.1057,-0.4149,86,0.289,5,6.2141,-2.5397,-5.5061,-0.9404,-0.5181,0.6457,51
1.032,19,8.0007,-6.8978,-14.9672,-0.9868,0.5842,-1.8199,92,0.544,10,6.385,-0.5524,-17.6684,-0.3001,0.4796,0.0984,87,0.392,7,6.787,-3.3398,-12.6608,-1.3336,0.2335,0.3449,86,0.341,6,6.9596,-3.1683,-5.6039,-0.247,-0.6304,1.1516,51
1.084,20,10.7102,-10.232,-16.0667,-0.7655,-0.2405,-2.0034,92,0.595,11,6.1894,1.6614,-16.4355,0.2793,-0.3227,0.7372,87,0.444,8,5.9501,-3.948,-12.201,-1.0477,-0.503,0.9295,86,0.393,7,9.2569,-1.9575,-6.2014,-0.3819,0.1268,1.5208,51
1.136,21,9.8053,-12.6655,-14.3481,-0.097,-0.6711,-0.9984,92,0.647,12,7.9155,2.0401,-14.5903,-0.1509,-0.9082,1.2034,87,0.495,9,5.9342,2.4705,-9.4805,-0.0882,0.2056,0.386,86,0.444,8,11.8734,2.5132,-10.4422,0.3959,0.7775,1.7903,51
1.188,22,10.8131,-14.4415,-12.8445,0.6036,-1.1235,-0.052,92,0.699,13,7.5842,2.6311,-12.0782,0.5616,-0.7998,1.5437,87,0.547,10,9.5157,7.1275,-4.3352,0.5295,-0.2385,0.6406,86,0.496,9,10.4007,7.1064,-15.2025,-0.0636,1.1865,1.798,51
