right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.468,9,2.9256,6.6286,-20.9856,-0.8411,0.9821,-1.0895,84,0.345,6,8.8361,7.6243,-0.6703,1.1935,-1.012,1.5566,90,0.023,0,6.6633,-1.6293,-13.8859,0.2789,-0.2891,0.6364,88,0.874,16,14.2699,4.5299,-12.6774,1.1381,-1.7998,1.6706,51
0.519,10,6.9553,0.1812,-23.3127,-1.2913,1.3635,-1.4703,84,0.397,7,4.1202,8.2223,-0.5349,1.5402,-0.6001,1.6712,90,0.075,1,5.5436,-0.1231,-13.7173,-0.4281,-0.7548,0.7718,88,0.925,17,15.5321,1.7147,-8.4966,0.1581,-0.9219,1.8996,51
0.571,11,5.486,-5.0655,-25.0112,-1.095,0.3885,-1.7482,84,0.449,8,3.0165,10.2848,-0.3603,1.5728,-0.7462,0.7635,90,0.127,2,8.9975,-0.221,-14.4959,-0.3821,-0.9558,0.4989,88,0.977,18,13.2229,1.4397,-9.8051,-0.1199,0.0121,1.9925,51
0.623,12,5.0562,-7.1232,-25.3839,-0.1248,-0.3858,-1.951,84,0.501,9,2.2848,12.8138,2.0915,1.0686,-0.0831,-0.1291,90,0.179,3,10.9133,1.1342,-13.4752,-0.5551,-1.0968,0.3696,88,12.417,239,11.6511,2.9119,-14.3879,-1.3547,1.1994,-0.0009,51
0.675,13,7.184,-8.0312,-20.9124,0.5833,-0.9509,-2.099,84,0.553,10,6.5866,14.6789,4.1743,0.0999,0.5998,-0.7806,90,0.23,4,11.8046,0.2202,-12.1499,-1.0803,-1.0564,0.307,88,12.469,240,11.0115,-0.7212,-18.4821,-1.6658,1.5603,-0.4632,51
0.727,14,7.2921,-7.2335,-15.2336,0.7038,-0.9417,-1.2455,84,0.605,11,9.7261,16.0402,4.5421,-0.6071,1.1169,-1.2561,90,0.282,5,13.4746,-0.7424,-9.973,-1.2775,-1.4444,-0.0811,88,0.02,0,7.5162,-2.5026,-21.4702,-1.3407,0.925,-0.5291,51
0.778,15,10.3784,-10.477,-16.5267,1.1241,-0.0049,-0.2324,84,0.656,12,12.0176,13.5056,-3.3663,-1.1231,1.4942,-1.6031,90,0.334,6,13.3504,-0.1727,-15.2836,-1.6076,-1.7276,-0.2774,88,0.072,1,3.6491,-1.7962,-19.1907,-0.3038,0.046,-0.4275,51
0.83,16,12.6309,-12.5057,-20.0584,1.4948,0.4477,0.507,84,0.708,13,11.0197,7.6086,-10.3967,-0.2541,1.3562,-0.7559,90,0.386,7,11.7078,-0.387,-16.1822,-0.4969,-1.7651,-0.688,88,0.124,2,7.7806,-0.4538,-12.1908,-0.8955,0.3806,0.3683,51
0.882,17,13.4664,-6.3491,-14.4285,1.4601,-0.2466,1.0467,84,0.76,14,9.9348,4.6269,-12.3596,0.4863,0.3172,0.1137,90,0.438,8,8.7679,2.5021,-17.9528,0.1655,-0.6099,-0.4275,88,0.176,3,10.7959,-1.9939,-15.0241,-0.2031,0.0957,-0.1189,51
0.934,18,11.2876,0.063,-16.6899,1.74,0.5025,0.0888,84,0.812,15,9.5636,3.57,-12.6673,1.0266,-0.4412,0.7484,90,0.489,9,1.2656,3.64,-20.671,0.1107,0.2333,-0.3255,88,0.227,4,10.2929,-1.9886,-16.3981,-0.0268,0.1251,-0.1853,51
