right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.741,14,6.4123,-1.9133,-11.1567,-0.6671,-0.2064,0.1913,92,0.471,9,8.8066,9.7796,-1.1611,-1.8549,1.9668,-1.8297,87,0.026,0,10.6151,1.3163,-14.0734,0.4036,-1.3246,-0.8037,86,0.278,5,3.0361,-4.4273,-11.1976,-0.9868,1.3196,-0.1759,52
0.792,15,7.4702,-3.094,-12.2541,-1.1026,-0.1063,0.1344,92,0.523,10,8.7493,9.4847,-2.5152,-2.0338,1.8266,-1.6559,87,0.078,1,9.7501,1.3977,-13.9244,0.553,-0.5548,-0.0414,86,0.33,6,2.1221,-3.2492,-11.0322,-1.0482,0.9631,-0.7998,52
0.844,16,9.5273,-3.6849,-12.0724,-1.0106,-0.2293,0.1517,92,0.575,11,6.5886,7.9404,-6.5307,-1.9335,1.4246,-1.8053,87,0.13,2,8.014,2.219,-14.4614,0.5414,0.2735,0.5783,86,0.382,7,1.39,-2.3867,-10.8815,-1.4177,0.3301,-1.2551,52
0.896,17,11.3694,-4.2886,-12.4258,-0.7968,-0.0984,-0.048,92,0.626,12,4.5317,5.5151,-9.4083,-1.3256,0.5425,-1.8605,87,0.182,3,5.8147,2.475,-13.4959,-0.2679,0.8455,1.0607,86,0.434,8,1.5491,-3.0321,-11.6273,-1.5767,-0.2783,-1.5875,52
0.948,18,13.3107,-4.9788,-14.2287,-0.2411,0.1911,-0.6469,92,0.678,13,3.3978,3.7552,-10.9367,-0.3742,-0.2767,-1.6201,87,0.233,4,5.7047,1.5103,-11.2684,-0.8707,1.29,1.4519,86,0.485,9,3.2919,-2.4789,-11.5326,-0.7398,-0.8699,-1.83,52
1.0,19,12.5204,-4.6292,-14.1143,0.4984,-0.3929,-1.1472,92,0.73,14,4.632,2.1525,-9.7699,-0.4963,-0.8746,-1.0449,87,0.285,5,5.9594,0.5123,-10.3575,-0.7543,1.6199,1.7374,86,0.537,10,6.2446,-1.6344,-10.3813,-0.8528,-1.0614,-2.007,52
1.051,20,9.8088,-3.5895,-11.9043,-0.0654,-0.3552,-1.2762,92,0.782,15,6.9828,-0.8914,-10.9977,-0.6946,-0.8838,-0.5456,87,0.337,6,7.8056,1.0927,-11.8915,0.1257,1.8606,1.9458,86,0.589,11,8.531,-5.0767,-11.0332,-1.2995,-0.6519,-1.9185,52
1.103,21,6.2013,-3.5365,-10.5672,-0.108,0.2145,-0.7697,91,0.834,16,10.0156,0.1398,-10.7587,0.1648,-1.3177,0.1859,87,0.389,7,7.8921,2.5605,-16.6838,0.7683,1.8102,1.2128,86,0.641,12,9.0454,-6.1582,-15.906,-0.8286,-0.2463,-0.8023,52
1.155,22,4.0368,-1.2196,-10.6465,-0.6945,0.5746,-0.3386,91,0.886,17,12.2291,2.5553,-10.8961,0.792,-1.6344,0.8011,87,0.441,8,7.2032,3.5216,-10.2466,0.6683,0.6478,0.3077,86,0.693,13,1.1291,-3.9278,-17.038,-1.0336,0.5052,-0.3315,52
1.207,23,1.6859,-1.9813,-10.6209,-1.1842,1.0244,-0.2681,91,0.937,18,13.8445,4.6108,-10.633,0.969,-1.8655,1.25,87,0.492,9,2.7584,3.9651,-11.691,0.1504,0.416,0.1368,86,0.744,14,-2.2458,-2.5914,-14.4737,-0.0797,0.6696,-0.1284,52
1.259,24,0.1618,-4.6616,-10.948,-0.3982,0.283,-0.4388,91,0.989,19,12.6932,6.1754,-10.8384,1.379,-2.0342,1.4436,87,0.544,10,5.0905,3.0908,-12.927,-0.2021,0.2436,0.2488,86,0.796,15,-0.0613,-2.1496,-14.9572,0.2828,0.5106,-0.2032,52
